"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Deckenia_nobilis"	"Canthium_bibracteatum"	"Euphorbia_pyrifolia"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Ceratina_tabescens"	"Unidentified_sp1_M_PL_113"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_113"	"Pachycerina_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0.103174603174603	0.19047619047619	0.0793650793650794	0.00793650793650794	0.103174603174603	0	0.00793650793650794	0	0	0	0.00793650793650794	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0.102040816326531	0.295918367346939	0.0408163265306122	0	0	0	0	0.0408163265306122	0	0.0204081632653061	0	0	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0.0428571428571429	0	0.242857142857143	0	0	0.0857142857142857	0	0	0.0571428571428571	0.0142857142857143	0.0285714285714286	0.0285714285714286	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0.173913043478261	0	0	0.260869565217391	0	0	0.0652173913043478	0	0	0	0	0	0
"Euphorbia_pyrifolia"	0	0	0	0	0	0	0	0.444444444444444	0	0.0277777777777778	0	0	0	0	0	0	0	0	0	0.0277777777777778
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0.117647058823529	0	0.382352941176471	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0.25	0	0	0	0	0	0.125
"Lasioglossum_mahense"	0.118181818181818	0.0909090909090909	0.0272727272727273	0.0727272727272727	0.145454545454545	0.0363636363636364	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.226415094339623	0.273584905660377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.111111111111111	0.0444444444444444	0.188888888888889	0	0.0111111111111111	0.144444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratina_tabescens"	0.0384615384615385	0	0	0.461538461538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_113"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.0833333333333333	0	0	0.25	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0	0.333333333333333	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_113"	0.166666666666667	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_seychellensis"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
