"Guarea_guidonia"	"Cecropia_schreberiana"	"Schefflera_morototoni"	"Miconia_prasina"	"Cupania_americana"	"Alchornea_latifolia"	"Myrcia_sp1_M_SD_003"	"Byrsonima_coriacea"	"Clusia_rosea"	"Henriettea_fascicularis"	"Casearia_arborea"	"Ocotea_leucoxylon"	"Miconia_affinis"	"Phoradendron_sp1_M_SD_003"	"Psychotria_berteroana"	"Inga_vera"	"Ficus_sp1_M_SD_003"	"Myrcine_coriacea"	"Anthurium_scandens"	"Dendropanax_arboreus"	"Inga_laurina"	"Miconia_serrulata"	"Tournefortia_hisutissima"	"Unidentified_sp2_M_SD_003"	"Unidentified_sp3_M_SD_003"	"Loxigilla_portoricensis"	"Spindalis_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Columba_squamosa"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Euphonia_musica"	"Margarops_fuscatus"	"Icterus_dominicensis"	"Zenaida_zenaida"	"Molothrus_bonariensis"	"Nesospingus_sp1_M_SD_003"	"Tiaris_bicolor"	"Todus_mexicanus"	"Unidentified_sp1_M_SD_003"
"Guarea_guidonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395348837209302	0	0.0697674418604651	0	0	0	0.0232558139534884	0	0.0116279069767442	0	0	0	0	0	0	0
"Cecropia_schreberiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.15	0.0125	0.0375	0.0125	0.0875	0	0.0125	0.025	0	0	0	0.0125	0.0125	0.0125	0
"Schefflera_morototoni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.0178571428571429	0.178571428571429	0.0535714285714286	0	0	0	0	0	0	0	0	0	0	0
"Miconia_prasina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.3	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0
"Cupania_americana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.0714285714285714	0.0238095238095238	0	0.0476190476190476	0.142857142857143	0	0	0.0238095238095238	0	0.0238095238095238	0	0	0	0
"Alchornea_latifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3125	0	0.0625	0	0	0	0	0	0	0	0.125	0	0	0	0	0
"Myrcia_sp1_M_SD_003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.3125	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0
"Byrsonima_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0714285714285714	0.142857142857143	0	0.214285714285714	0	0	0	0	0	0	0	0	0	0	0
"Clusia_rosea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Henriettea_fascicularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.0714285714285714	0	0.0714285714285714	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0
