"Clethrionomys_rufocanus"	"Clethrionomys_rutilus"	"Apodemus_peninsulae"	"Tamias_sibiricus"	"Microtus_evoronensis"	"Myopus_schisticolor"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Pectinoctenus_pectiniceps"	"Amalaraeus_dissimilis"	"Neopsylla_acanthina"	"Catallagia_ioffi"	"Hystrichopsylla_microti"	"Megabothris_asio"	"Ctenophthalmus_pisticus"	"Ceratophyllus_indages"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Ctenophthalmus_congeneroides"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0.368655387355298	0.177114870881567	0.145458593054319	0.0897595725734639	0.041273374888691	0.0296527159394479	0.0280498664292075	0.00240427426536064	0.0056099732858415	0.0060106856634016	0.00240427426536064	0.00160284951024043	0.00200356188780053
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0.438323353293413	0.159880239520958	0.123053892215569	0.0538922155688623	0.0404191616766467	0.0260479041916168	0.0116766467065868	0.0179640718562874	0.00449101796407186	0.00359281437125748	0.00808383233532934	0.00718562874251497	0.00538922155688623
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0.135564853556485	0.282426778242678	0.00376569037656904	0.35397489539749	0.00753138075313808	0	0.00376569037656904	0.0941422594142259	0.00376569037656904	0.00376569037656904	0.00376569037656904	0.00753138075313808	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0.0173076923076923	0	0	0.363461538461539	0	0	0	0.121153846153846	0.363461538461539	0	0	0.0346153846153846	0
"Microtus_evoronensis"	0	0	0	0	0	0	0	0.121621621621622	0.243243243243243	0.145945945945946	0	0	0.0486486486486487	0.291891891891892	0.0243243243243243	0	0	0.0243243243243243	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Megabothris_advenarius"	0.570640937284631	0.302687801516196	0.022329427980703	0.00062026188835286	0.0031013094417643	0.00062026188835286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pectiniceps"	0.564255319148936	0.227234042553191	0.0957446808510638	0	0.0127659574468085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_dissimilis"	0.644378698224852	0.243195266272189	0.00177514792899408	0	0.0106508875739645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.505263157894737	0.135338345864662	0.21203007518797	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.618	0.27	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.634285714285714	0.248571428571429	0	0	0.0171428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_asio"	0.65625	0.121875	0.009375	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0.0915254237288136	0.305084745762712	0.38135593220339	0.106779661016949	0.0152542372881356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.3	0.107142857142857	0.0214285714285714	0.45	0	0	0.0214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.675	0.18	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.317647058823529	0.476470588235294	0.0529411764705882	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.225	0.45	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_pseudodahurica"	0.409090909090909	0.490909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
