"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Sciurus_vulgaris"	"Apodemus_peninsulae"	"Microtus_oeconomus"	"Clethrionomys_glareolus"	"Neomys_fodiens"	"Microtus_agrestis"	"Sicista_betulina"	"Talpa_altaica"	"Arvicola_terrestris"	"Myopus_schisticolor"	"Amalaraeus_penicilliger"	"Ceratophyllus_indages"	"Megabothris_rectangulatus"	"Hystrichopsylla_talpae"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_sibirica"	"Palaeopsylla_soricis"	"Catallagia_dacenkoi"	"Neopsylla_mana"	"Megabothris_turbidus"	"Catallagia_ioffi"	"Catallagia_fetisovi"	"Rhadinopsylla_integella"	"Rhadinopsylla_altaica"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Leptopsylla_sicistae"	"Rhadinopsylla_pseudodahurica"	"Ceratophyllus_sciurorum"	"Ctenophyllus_subarmatus"	"Neopsylla_acanthina"	"Frontopsylla_elata"	"Megabothris_calcarifer"	"Amphipsylla_vinogradovi"	"Hystrichopsylla_microti"	"Neopsylla_pleskei"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282901554404145	0.00466321243523316	0.139119170984456	0.153886010362694	0	0.0660621761658031	0.0248704663212435	0.0582901554404145	0.0427461139896373	0.0287564766839378	0.049740932642487	0.0155440414507772	0.0077720207253886	0.0077720207253886	0.00466321243523316	0	0	0.00233160621761658	0	0	0.00155440414507772	0.00310880829015544	0.00155440414507772	0.00155440414507772	0.00155440414507772	0.00155440414507772
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164686998394864	0.0057784911717496	0.140128410914928	0.114125200642055	0	0.132905296950241	0.0346709470304976	0.102568218298555	0.0346709470304976	0.057784911717496	0.0548956661316212	0.0202247191011236	0.0158908507223114	0.0057784911717496	0.007223113964687	0	0	0.0057784911717496	0	0	0	0	0.0028892455858748	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818181818181818	0.81	0.0204545454545455	0.00409090909090909	0	0	0.00613636363636364	0	0.0368181818181818	0.00613636363636364	0.00409090909090909	0	0	0.00409090909090909	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0975903614457831	0.00542168674698795	0	0.761746987951807	0	0	0	0.00813253012048193	0	0	0	0	0	0	0	0	0	0.0162650602409639	0.0108433734939759	0	0	0	0	0	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290322580645161	0.0290322580645161	0.145161290322581	0.052258064516129	0	0.0348387096774194	0.0812903225806452	0	0.150967741935484	0.226451612903226	0	0	0.0174193548387097	0.0232258064516129	0.0174193548387097	0.0232258064516129	0.0406451612903226	0	0	0.0116129032258065	0.0174193548387097	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109090909090909	0	0.0954545454545455	0.170454545454545	0	0.0272727272727273	0.375	0	0.0613636363636364	0.0477272727272727	0	0	0.0136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178021978021978	0.0494505494505494	0.138461538461538	0.0197802197802198	0	0.197802197802198	0.0593406593406593	0.108791208791209	0.0395604395604396	0.0296703296703297	0.0791208791208791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276923076923077	0	0	0.775384615384615	0	0	0	0	0	0	0	0	0.0969230769230769	0	0	0	0	0	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183333333333333	0.0833333333333333	0.183333333333333	0.116666666666667	0	0.133333333333333	0.0666666666666667	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0.321428571428571	0	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0.192857142857143	0	0	0	0	0	0	0	0	0
