"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Canthium_bibracteatum"	"Paragenipa_wrightii"	"Erythroxylum_sechellarum"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_086"	"Phelsuma_sp1_M_PL_086"	"Megachile_seychellensis"	"Hemipyrellia_sp1_M_PL_086"	"Plagiostenopterina_cyanosoma"	"Unidentified_sp1_M_PL_086"	"Lygistorrhina_sp1_M_PL_086"	"Unidentified_sp4_M_PL_086"	"Musca_domestica"	"Nectarinia_dussumieri"	"Physiphoa_azurea"	"Unidentified_sp3_M_PL_086"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0.344859813084112	0.252336448598131	0.15981308411215	0.0672897196261682	0.0420560747663551	0	0	0.0168224299065421	0	0	0	0	0.00841121495327103	0.00841121495327103
"Memecylon_eleagni"	0	0	0	0	0	0	0.860869565217391	0	0	0	0	0	0	0.0391304347826087	0	0	0	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0	0.45	0.192857142857143	0	0	0	0.192857142857143	0	0	0	0	0.0642857142857143	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0.761538461538461	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0.3	0	0	0	0	0	0.3	0	0	0.2	0	0.1	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0.45	0	0	0.15	0	0	0	0.3	0	0	0	0	0
"Apis_mellifera"	0.439285714285714	0.235714285714286	0.075	0.117857142857143	0.0321428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.75	0	0.075	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_086"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_086"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.642857142857143	0	0	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_086"	0	0	0.675	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plagiostenopterina_cyanosoma"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_086"	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_086"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_086"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musca_domestica"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Physiphoa_azurea"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_086"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
