"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Psychotria_pervillei"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Craterispermum_microdon"	"Syzygium_wrightii"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Apis_mellifera"	"Lasioglossum_mahense"	"Scaptodrosophila_sp1_M_PL_104"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_104"	"Simosyrphus_aegyptius"	"Nectarinia_dussumieri"	"Neophyllomyza_approximatonervis"	"Lygistorrhina_sp1_M_PL_104"	"Phelsuma_sp1_M_PL_104"	"Tricimba_seychellensis"	"Unidentified_sp1_M_PL_104"	"Unidentified_sp4_M_PL_104"	"Unidentified_sp5_M_PL_104"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_104"	"Mabuya_sechellensis"	"Rhynchium_brunneum"
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.168224299065421	0.277570093457944	0.15981308411215	0.0504672897196262	0.134579439252336	0.0588785046728972	0	0.0336448598130841	0.0168224299065421	0	0	0	0	0	0	0	0	0
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.397058823529412	0.317647058823529	0	0	0	0	0	0.0529411764705882	0.0794117647058824	0.0264705882352941	0	0	0	0	0.0264705882352941	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.589655172413793	0	0	0.279310344827586	0	0	0	0	0	0	0	0	0	0	0.0310344827586207	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.5	0.266666666666667	0	0	0	0	0.1	0	0	0	0.0333333333333333	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.380769230769231	0.380769230769231	0	0	0	0	0	0	0	0	0	0	0	0.103846153846154	0	0	0	0.0346153846153846
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.432	0.288	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0.072	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.568421052631579	0.236842105263158	0	0.0947368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Craterispermum_microdon"	0	0	0	0	0	0	0	0	0	0	0	0.276923076923077	0.276923076923077	0	0.0692307692307692	0	0	0	0	0	0	0.138461538461538	0.138461538461538	0	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.225	0	0	0	0	0	0	0.225	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.6	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"Apis_mellifera"	0.166666666666667	0.125	0.158333333333333	0.125	0.0916666666666667	0.1	0.1	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.366666666666667	0.133333333333333	0	0.0888888888888889	0.122222222222222	0.0888888888888889	0.0555555555555556	0.0444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_104"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.3	0	0.45	0	0	0	0.1	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_104"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0.45	0	0	0	0	0.3	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_104"	0.36	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_104"	0	0.225	0	0	0	0	0	0	0.225	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tricimba_seychellensis"	0	0	0	0.3	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_104"	0	0	0	0	0	0	0	0.6	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_104"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_104"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_104"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mabuya_sechellensis"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
