"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Gastonia_crassa"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Neophyllomyza_approximatonervis"	"Forcipomyia_sp1_M_PL_128"	"Unidentified_sp6_M_PL_128"	"Xylocopa_caffra"	"Unidentified_sp1_M_PL_128"	"Mabuya_sechellensis"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_128"	"Ornidia_obesa"	"Phelsuma_sp1_M_PL_128"	"Unidentified_sp7_M_PL_128"	"Cratopus_aurostriatus"	"Unidentified_sp5_M_PL_128"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_128"	"Unidentified_sp4_M_PL_128"	"Chalcidoma_disjunctum"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp2_M_PL_128"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.288	0.12	0.312	0.024	0	0	0.06	0	0	0.048	0	0.012	0	0.024	0	0	0	0	0	0	0	0	0.012
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.172058823529412	0.357352941176471	0	0	0.198529411764706	0	0	0	0	0.0132352941176471	0	0.0397058823529412	0.0661764705882353	0	0	0	0	0.0264705882352941	0.0264705882352941	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3375	0.3375	0	0	0.1125	0	0	0	0	0	0	0.045	0.0675	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.310344827586207	0.527586206896552	0	0	0	0	0	0	0	0.0620689655172414	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.0333333333333333	0	0	0.0333333333333333	0	0.2	0	0	0	0	0.0666666666666667	0.0666666666666667	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0	0.211764705882353	0	0	0	0	0.635294117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.61875	0.05625	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.05625	0	0
"Gastonia_crassa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.4	0.3	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.218181818181818	0.118181818181818	0	0.0909090909090909	0.136363636363636	0.0363636363636364	0.154545454545455	0.1	0	0.0363636363636364	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.155172413793103	0.418965517241379	0	0.263793103448276	0	0	0	0.0155172413793103	0	0.046551724137931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.557142857142857	0	0.321428571428571	0	0	0	0	0	0	0.0214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Forcipomyia_sp1_M_PL_128"	0.105882352941176	0	0.794117647058823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
