"Bouvardia_ternifolia"	"Salvia_elegans"	"Penstemon_roseus"	"Castilleja_tenuiflora"	"Penstemon_gentianoides"	"Prunella_vulgaris"	"Castilleja_scorzonerifolia"	"Salvia_mocinoi"	"Hylocharis_leucotis"	"Archilochus_colubris"	"Eugenes_fulgens"	"Lampornis_clemenciae"	"Colibri_thalassinus"	"Selasphorus_platycercus"	"Selasphorus_rufus"	"Selasphorus_sasin"
"Bouvardia_ternifolia"	0	0	0	0	0	0	0	0	0.23855421686747	0.271084337349398	0.162650602409639	0.0975903614457831	0.130120481927711	0	0	0
"Salvia_elegans"	0	0	0	0	0	0	0	0	0.233766233766234	0.175324675324675	0.128571428571429	0.128571428571429	0.0584415584415584	0.0701298701298701	0.0584415584415584	0.0467532467532468
"Penstemon_roseus"	0	0	0	0	0	0	0	0	0.194594594594595	0.158108108108108	0.0972972972972973	0.109459459459459	0.0972972972972973	0.0608108108108108	0.072972972972973	0.109459459459459
"Castilleja_tenuiflora"	0	0	0	0	0	0	0	0	0.167441860465116	0.146511627906977	0.0418604651162791	0	0	0.230232558139535	0.188372093023256	0.125581395348837
"Penstemon_gentianoides"	0	0	0	0	0	0	0	0	0.235714285714286	0.171428571428571	0.15	0.192857142857143	0.15	0	0	0
"Prunella_vulgaris"	0	0	0	0	0	0	0	0	0.163636363636364	0	0.122727272727273	0	0	0.204545454545455	0.245454545454545	0.163636363636364
"Castilleja_scorzonerifolia"	0	0	0	0	0	0	0	0	0.5	0	0.4	0	0	0	0	0
"Salvia_mocinoi"	0	0	0	0	0	0	0	0	0.5625	0	0.3375	0	0	0	0	0
"Hylocharis_leucotis"	0.217582417582418	0.197802197802198	0.158241758241758	0.0791208791208791	0.108791208791209	0.0395604395604396	0.0494505494505494	0.0494505494505494	0	0	0	0	0	0	0	0
"Archilochus_colubris"	0.330882352941177	0.198529411764706	0.172058823529412	0.0926470588235294	0.105882352941176	0	0	0	0	0	0	0	0	0	0	0
"Eugenes_fulgens"	0.254716981132075	0.186792452830189	0.135849056603774	0.0339622641509434	0.118867924528302	0.0509433962264151	0.0679245283018868	0.0509433962264151	0	0	0	0	0	0	0	0
"Lampornis_clemenciae"	0.213157894736842	0.260526315789474	0.213157894736842	0	0.213157894736842	0	0	0	0	0	0	0	0	0	0	0
"Colibri_thalassinus"	0.3375	0.140625	0.225	0	0.196875	0	0	0	0	0	0	0	0	0	0	0
"Selasphorus_platycercus"	0	0.2	0.166666666666667	0.366666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0
"Selasphorus_rufus"	0	0.173076923076923	0.207692307692308	0.311538461538462	0	0.207692307692308	0	0	0	0	0	0	0	0	0	0
"Selasphorus_sasin"	0	0.156521739130435	0.352173913043478	0.234782608695652	0	0.156521739130435	0	0	0	0	0	0	0	0	0	0
