"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Cordia_sulcata"	"Alchornea_latifolia"	"Miconia_serrulata"	"Clusia_rosea"	"Anthurium_scandens"	"Miconia_affinis"	"Inga_vera"	"Musa_acuminata"	"Inga_laurina"	"Dendropemon_bicolor"	"Myrcine_coriacea"	"Syzigium_jambos"	"Andira_inermis"	"Coffea_arabica"	"Miconia_racemosa"	"Palicourea_guianensis"	"Tilandsia_sp1_M_SD_004"	"Buchenavia_capitata"	"Casearia_arborea"	"Citrus_sinensis"	"Dendropanax_arboreus"	"Henriettea_fascicularis"	"Momordica_charantia"	"Palicourea_crocea"	"Philodendron_angustatum"	"Piper_sp1_M_SD_004"	"Solanum_rugosum"	"Unidentified_sp1_M_SD_004"	"Zanthoxylum_martinicensis"	"Spindalis_portoricensis"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Melanerpes_portoricensis"	"Columba_squamosa"	"Margarops_fuscatus"	"Tyrannus_dominicensis"	"Zenaida_asiatica"	"Coereba_flaveola"	"Dendroica_tigrina"	"Vireo_flavirostris"	"Dendroica_caerulescens"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Tiaris_bicolor"	"Todus_mexicanus"	"Tyrannus_caudifasciatus"	"Vireo_latimeri"
"Phoradendron_sp1_M_SD_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0.61875	0.03375	0.10125	0.01125	0	0	0	0	0	0.01125	0	0.01125	0	0	0	0	0	0	0
"Schefflera_morototoni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646153846153846	0.0115384615384615	0.0461538461538462	0.0115384615384615	0.0346153846153846	0	0.0576923076923077	0.0115384615384615	0.0461538461538462	0	0.0115384615384615	0.0115384615384615	0	0	0	0	0	0	0.0115384615384615	0
"Cecropia_schreberiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474545454545454	0	0.0981818181818182	0.0981818181818182	0.0654545454545455	0.0490909090909091	0	0.0163636363636364	0	0	0.0327272727272727	0.0490909090909091	0	0.0163636363636364	0	0	0	0	0	0
"Ficus_sp1_M_SD_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765	0	0.09	0	0.0225	0	0	0.0225	0	0	0	0	0	0	0	0	0	0	0	0
"Guarea_guidonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118421052631579	0.402631578947368	0.331578947368421	0	0	0.0236842105263158	0	0	0	0	0.0236842105263158	0	0	0	0	0	0	0
"Cordia_sulcata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alchornea_latifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.466666666666667	0.1	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0.0333333333333333	0	0.0333333333333333
"Miconia_serrulata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0.09	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clusia_rosea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.55	0.15	0	0	0.05	0	0	0	0	0	0.05	0.05	0	0	0	0
"Anthurium_scandens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0.847058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
