"Marmota_caudata"	"Microtus_juldaschi"	"Apodemus_uralensis"	"Alticola_argentatus"	"Cricetulus_migratorius"	"Dryomys_nitedula"	"Rattus_turkestanicus"	"Citellophilus_lebedewi"	"Rhadinopsylla_li"	"Amphipsylla_phaiomydis"	"Oropsylla_silantiewi"	"Callopsylla_caspia"	"Pectinoctenus_nemorosa"	"Frontopsylla_elata"	"Leptopsylla_nana"	"Ceratophyllus_sinicus"	"Amphipsylla_montana"	"Neopsylla_pleskei"	"Amphipsylla_anceps"	"Ceratophyllus_sciurorum"	"Frontopsylla_ambigua"	"Nosopsyllus_simla"	"Frontopsylla_ornata"	"Amphipsylla_primaris"	"Frontopsylla_protera"	"Neopsylla_meridiana"	"Callopsylla_lagomys"	"Rhadinopsylla_altifrons"	"Paraneopsylla_ioffi"	"Leptopsylla_taschenbergi"
"Marmota_caudata"	1.00514944221724	0.00108933343187604	0.00228742762837146	0.000725175387214238	0.000366974730465055	3.22002196830043e-07	0.000482334703645567	0.0143833181462681	0.0143592777459606	3.20979046099386e-05	0.0143592777459606	3.20979046099386e-05	2.87617706966199e-05	0.0143880395166572	3.20979046099386e-05	0.0143735741686379	3.20979046099386e-05	3.20979046099386e-05	3.20979046099386e-05	6.44004393660086e-06	0.0143880395166572	2.41167351822784e-05	2.40404003075582e-05	9.74397763023655e-06	2.07042663942395e-05	9.74397763023655e-06	6.40784371691786e-06	2.40404003075582e-05	0.0143976909038202	1.42964226773216e-05
"Microtus_juldaschi"	0.00044854906018425	1.00370719359292	0.00223091661930009	0.00138757592020795	0.00202940053110362	0.000296691455392528	6.82921898910853e-07	0.00594296013063615	6.40784371691786e-06	0.00595196979714377	6.40784371691786e-06	0.00595196979714377	0.00593352070140647	0.00593992854512339	0.00595196979714377	2.03510725875434e-05	0.00595196979714378	0.00595196979714378	0.00595196979714378	0.00593382910785056	0.00593992854512338	3.41460949455427e-08	0.00593655228691924	0.00592260905804862	0.00591810319118193	0.00592260905804862	0.00590415996231131	0.00593655228691924	2.0385218682489e-05	1.39432288706256e-05
"Apodemus_uralensis"	0.00100074958741251	0.00237034890800635	1.00351687649721	0.00147333381401335	0.00152805174031169	7.00664767368119e-07	0.000210948889288083	0.00631411150911289	1.42964226773216e-05	0.00631618546214683	1.42964226773216e-05	0.00631618546214683	0.00630229408268946	0.00631659050536677	0.00631618546214683	0.00628627690078489	0.00631618546214683	0.00631618546214683	0.00631618546214684	1.40132953473624e-05	0.00631659050536677	1.05474444644042e-05	0.00629981508643557	2.78346083280045e-05	0.0062859237069782	2.78346083280045e-05	1.39432288706256e-05	0.00629981508643557	0.00629682434524929	0.00627198047810757
"Alticola_argentatus"	0.00056402530116663	0.00262097673817058	0.0026192601138015	1.00260947660118	0.00168567686992	7.74749257514211e-07	8.19727517236236e-07	5.51697254192635e-05	8.05750430238043e-06	0.0111872175166855	8.05750430238043e-06	0.0111872175166855	0.0111718931815044	0.0111799506858068	0.0111872175166855	2.44278800136398e-05	0.0111872175166855	0.0111872175166855	0.0111872175166855	1.54949851502842e-05	0.0111799506858068	4.09863758618118e-08	4.71122211168831e-05	3.07418454056237e-05	3.17878859357922e-05	3.07418454056237e-05	1.54175102245328e-05	4.71122211168831e-05	2.44688663895016e-05	1.63703757112594e-05
"Cricetulus_migratorius"	0.000233529373932308	0.00313634627534195	0.00222262071318063	0.00137919016629818	1.00312781837754	9.27090238055557e-07	5.78104475526767e-07	0.00915502041254021	3.33613391331869e-06	0.00916700861380799	3.33613391331868e-06	0.00916700861380799	4.76648103757755e-05	5.10009442890941e-05	0.00916700861380799	1.72275133706977e-05	0.00916700861380799	0.00916700861380799	0.00916700861380799	1.85418047611111e-05	5.10009442890941e-05	2.89052237763383e-08	0.0091516842786269	0.00913779289916952	3.23404751946846e-05	0.00913779289916952	1.84490957373056e-05	0.0091516842786269	1.7256418594474e-05	1.3891379457379e-05
"Dryomys_nitedula"	2.2540153778103e-06	0.00504375474167298	1.12106362778899e-05	6.9727433176279e-06	1.01979926186111e-05	1.00502661653998	3.43176833623544e-09	2.98641212594782e-05	3.22002196830043e-08	2.99093959655466e-05	3.22002196830043e-08	2.99093959655466e-05	2.9816686941741e-05	2.9848887161424e-05	2.99093959655466e-05	1.02266696419816e-07	2.99093959655466e-05	2.99093959655466e-05	2.99093959655466e-05	0.100532330799537	2.9848887161424e-05	1.71588416811772e-10	2.98319210397952e-05	2.97618545630584e-05	2.97392120159896e-05	2.97618545630584e-05	2.96691455392528e-05	2.98319210397952e-05	1.02438284836628e-07	7.00664767368119e-08
"Rattus_turkestanicus"	0.00168817146275949	5.80483614074226e-06	0.00168759111430467	3.68877382756306e-06	3.17957461539722e-06	1.71588416811772e-09	1.00671257262348	3.47272309654044e-05	2.41167351822784e-05	1.06514821589879e-05	2.41167351822784e-05	1.06514821589879e-05	1.06225769352115e-05	3.47393121174899e-05	1.06514821589879e-05	3.46641796466825e-05	1.06514821589879e-05	1.06514821589879e-05	1.06514821589879e-05	3.43176833623544e-08	3.47393121174899e-05	0.0503356286311739	1.06104957831261e-05	6.3051318721881e-08	1.05815905593497e-05	6.3051318721881e-08	3.41460949455427e-08	1.06104957831261e-05	0.0503702928108206	1.05474444644042e-05
"Citellophilus_lebedewi"	0.0251708067559692	0.0252575805552037	0.0252564460364516	0.000124131882193343	0.0251763061344856	7.46603031486954e-06	1.73636154827022e-05	1.00089488525496	0.000359582953656704	0.000536681544442713	0.000359582953656704	0.000536681544442713	0.000307806034129208	0.000667388987785911	0.000536681544442713	0.000517435741384526	0.000536681544442714	0.000536681544442713	0.000536681544442714	0.000149320606297391	0.000667388987785911	8.68180774135111e-07	0.000535302301307232	0.000377449513579409	0.000306426790993726	0.000377449513579409	0.000148574003265904	0.000535302301307232	0.000518303922158661	0.000157852787727822
"Rhadinopsylla_li"	0.100514944221724	0.000108933343187604	0.000228742762837146	7.25175387214238e-05	3.66974730465055e-05	3.22002196830043e-08	4.82334703645567e-05	0.00143833181462681	1.0014359277746	3.20979046099386e-06	0.00143592777459606	3.20979046099386e-06	2.87617706966199e-06	0.00143880395166572	3.20979046099386e-06	0.00143735741686379	3.20979046099386e-06	3.20979046099386e-06	3.20979046099386e-06	6.44004393660086e-07	0.00143880395166572	2.41167351822784e-06	2.40404003075582e-06	9.74397763023655e-07	2.07042663942395e-06	9.74397763023655e-07	6.40784371691786e-07	2.40404003075582e-06	0.00143976909038202	1.42964226773216e-06
"Amphipsylla_phaiomydis"	5.61713330673925e-05	0.025295871637861	0.0252647418485873	0.0251712394125424	0.025209273687972	7.47734899138665e-06	5.32574107949394e-06	0.000536681544442714	8.02447615248465e-07	1.00081555953474	8.02447615248465e-07	0.000815559534744603	0.000586384319399403	0.000587186767014651	0.000815559534744603	0.000158707084168919	0.000815559534744603	0.000815559534744603	0.000815559534744603	0.000149546979827733	0.000587186767014651	2.66287053974697e-07	0.000535879096827465	0.000377974460273794	0.000306703881482265	0.000377974460273794	0.000148799244928594	0.000535879096827465	0.000158973371222894	0.000157904636553671
"Oropsylla_silantiewi"	0.100514944221724	0.000108933343187604	0.000228742762837146	7.25175387214238e-05	3.66974730465055e-05	3.22002196830043e-08	4.82334703645567e-05	0.00143833181462681	0.00143592777459606	3.20979046099386e-06	1.0014359277746	3.20979046099386e-06	2.87617706966199e-06	0.00143880395166572	3.20979046099386e-06	0.00143735741686379	3.20979046099386e-06	3.20979046099386e-06	3.20979046099386e-06	6.44004393660086e-07	0.00143880395166572	2.41167351822784e-06	2.40404003075582e-06	9.74397763023655e-07	2.07042663942395e-06	9.74397763023655e-07	6.40784371691786e-07	2.40404003075582e-06	0.00143976909038202	1.42964226773216e-06
"Callopsylla_caspia"	5.61713330673925e-05	0.0252958716378611	0.0252647418485873	0.0251712394125424	0.025209273687972	7.47734899138665e-06	5.32574107949393e-06	0.000536681544442713	8.02447615248465e-07	0.000815559534744603	8.02447615248465e-07	1.00081555953474	0.000586384319399403	0.000587186767014651	0.000815559534744603	0.000158707084168919	0.000815559534744603	0.000815559534744603	0.000815559534744603	0.000149546979827733	0.000587186767014651	2.66287053974697e-07	0.000535879096827465	0.000377974460273794	0.000306703881482265	0.000377974460273794	0.000148799244928594	0.000535879096827465	0.000158973371222894	0.000157904636553671
"Pectinoctenus_nemorosa"	6.71107982921131e-05	0.0336232839746367	0.0336122351076771	0.0335156795445133	0.000174770971377843	9.93889564724701e-06	7.08171795680769e-06	0.000410408045505611	9.5872568988733e-07	0.000781845759199204	9.5872568988733e-07	0.000781845759199204	1.00078025693219	0.000781215657876566	0.000781845759199204	0.000211035195112869	0.000781845759199204	0.000781845759199204	0.000781845759199204	0.00019877791294494	0.000781215657876565	3.54085897840384e-07	0.000409449319815723	0.000199372850392741	0.000407860492803197	0.000199372850392741	0.000197784023380216	0.000409449319815723	0.000211389281010709	0.000210076469422982
"Frontopsylla_elata"	0.0251790691541501	0.0252446963167744	0.0252663620214671	0.0251548890430653	0.000140252596795009	7.46222179035601e-06	1.73696560587449e-05	0.000667388987785911	0.00035970098791643	0.000587186767014651	0.00035970098791643	0.000587186767014651	0.000585911743407424	1.00094561273132	0.000587186767014651	0.0005176157505506	0.000587186767014652	0.000587186767014652	0.000587186767014652	0.00014924443580712	0.000945612731323854	8.68482802937248e-07	0.000307687999869481	0.000149773237235312	0.000306412976262254	0.000149773237235312	0.000148498213628085	0.000307687999869481	0.000518484233353537	0.000157914762634169
"Leptopsylla_nana"	5.61713330673925e-05	0.0252958716378611	0.0252647418485873	0.0251712394125424	0.025209273687972	7.47734899138665e-06	5.32574107949394e-06	0.000536681544442713	8.02447615248465e-07	0.000815559534744603	8.02447615248465e-07	0.000815559534744603	0.000586384319399403	0.000587186767014651	1.00081555953474	0.000158707084168919	0.000815559534744603	0.000815559534744603	0.000815559534744603	0.000149546979827733	0.000587186767014651	2.66287053974697e-07	0.000535879096827465	0.000377974460273794	0.000306703881482265	0.000377974460273794	0.000148799244928594	0.000535879096827465	0.000158973371222894	0.000157904636553671
"Ceratophyllus_sinicus"	0.0503075095902327	0.000172984116994119	0.0502902152062791	0.000109925460061379	9.47513235388371e-05	5.11333482099081e-08	3.46641796466825e-05	0.00103487148276905	0.000718678708431895	0.000317414168337839	0.000718678708431895	0.000317414168337839	0.000316552792669304	0.0010352315011012	0.000317414168337839	1.00103299255347	0.000317414168337839	0.000317414168337839	0.000317414168337839	1.02266696419816e-06	0.0010352315011012	1.73320898233413e-06	0.000316192774337156	1.87892929791205e-06	0.000315331398668622	1.87892929791205e-06	1.01755362937717e-06	0.000316192774337156	0.00103472576245347	0.000314313845039245
"Amphipsylla_montana"	5.61713330673925e-05	0.0252958716378611	0.0252647418485873	0.0251712394125424	0.025209273687972	7.47734899138666e-06	5.32574107949394e-06	0.000536681544442714	8.02447615248465e-07	0.000815559534744603	8.02447615248465e-07	0.000815559534744603	0.000586384319399403	0.000587186767014651	0.000815559534744603	0.000158707084168919	1.00081555953474	0.000815559534744603	0.000815559534744604	0.000149546979827733	0.000587186767014651	2.66287053974697e-07	0.000535879096827465	0.000377974460273794	0.000306703881482265	0.000377974460273794	0.000148799244928594	0.000535879096827465	0.000158973371222894	0.000157904636553671
"Neopsylla_pleskei"	5.61713330673925e-05	0.0252958716378611	0.0252647418485873	0.0251712394125424	0.025209273687972	7.47734899138666e-06	5.32574107949394e-06	0.000536681544442714	8.02447615248465e-07	0.000815559534744603	8.02447615248465e-07	0.000815559534744603	0.000586384319399403	0.000587186767014652	0.000815559534744603	0.000158707084168919	0.000815559534744603	1.00081555953474	0.000815559534744604	0.000149546979827733	0.000587186767014651	2.66287053974697e-07	0.000535879096827465	0.000377974460273794	0.000306703881482265	0.000377974460273794	0.000148799244928594	0.000535879096827465	0.000158973371222894	0.000157904636553671
"Amphipsylla_anceps"	5.61713330673926e-05	0.0252958716378611	0.0252647418485873	0.0251712394125424	0.025209273687972	7.47734899138666e-06	5.32574107949394e-06	0.000536681544442713	8.02447615248465e-07	0.000815559534744603	8.02447615248465e-07	0.000815559534744604	0.000586384319399404	0.000587186767014652	0.000815559534744603	0.000158707084168919	0.000815559534744604	0.000815559534744604	1.00081555953475	0.000149546979827733	0.000587186767014652	2.66287053974697e-07	0.000535879096827465	0.000377974460273794	0.000306703881482265	0.000377974460273794	0.000148799244928594	0.000535879096827465	0.000158973371222894	0.000157904636553671
"Ceratophyllus_sciurorum"	2.2540153778103e-05	0.0504375474167298	0.000112106362778899	6.9727433176279e-05	0.000101979926186111	0.0502661653997685	3.43176833623544e-08	0.000298641212594782	3.22002196830043e-07	0.000299093959655466	3.22002196830043e-07	0.000299093959655466	0.00029816686941741	0.00029848887161424	0.000299093959655466	1.02266696419816e-06	0.000299093959655466	0.000299093959655466	0.000299093959655466	1.00532330799537	0.00029848887161424	1.71588416811772e-09	0.000298319210397952	0.000297618545630584	0.000297392120159896	0.000297618545630584	0.000296691455392528	0.000298319210397952	1.02438284836628e-06	7.00664767368119e-07
"Frontopsylla_ambigua"	0.0251790691541501	0.0252446963167744	0.0252663620214671	0.0251548890430653	0.000140252596795009	7.46222179035601e-06	1.7369656058745e-05	0.000667388987785912	0.00035970098791643	0.000587186767014651	0.00035970098791643	0.000587186767014651	0.000585911743407424	0.000945612731323854	0.000587186767014652	0.000517615750550599	0.000587186767014652	0.000587186767014652	0.000587186767014652	0.00014924443580712	1.00094561273132	8.68482802937248e-07	0.000307687999869481	0.000149773237235312	0.000306412976262254	0.000149773237235312	0.000148498213628085	0.000307687999869481	0.000518484233353537	0.000157914762634169
"Nosopsyllus_simla"	0.000168817146275949	5.80483614074226e-07	0.000168759111430467	3.68877382756306e-07	3.17957461539722e-07	1.71588416811772e-10	0.100671257262348	3.47272309654044e-06	2.41167351822784e-06	1.06514821589879e-06	2.41167351822784e-06	1.06514821589879e-06	1.06225769352115e-06	3.47393121174899e-06	1.06514821589879e-06	3.46641796466825e-06	1.06514821589879e-06	1.06514821589879e-06	1.06514821589879e-06	3.43176833623544e-09	3.47393121174899e-06	1.00503356286312	1.06104957831261e-06	6.3051318721881e-09	1.05815905593497e-06	6.3051318721881e-09	3.41460949455427e-09	1.06104957831261e-06	0.00503702928108206	1.05474444644042e-06
"Frontopsylla_ornata"	5.60942673843024e-05	0.033640462959209	0.033599013794323	0.000141336663350649	0.0335561756882986	9.94397367993173e-06	7.07366385541737e-06	0.000713736401742976	8.01346676918605e-07	0.00071450546243662	8.01346676918605e-07	0.00071450546243662	0.000409449319815723	0.000410250666492642	0.00071450546243662	0.000210795182891438	0.00071450546243662	0.00071450546243662	0.00071450546243662	0.000198879473598635	0.000410250666492642	3.53683192770869e-07	1.00071293505507	0.000502941218851538	0.00040787891244516	0.000502941218851538	0.000197885076230641	0.000712935055066057	0.000211148866084208	0.000209993836214519
