"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_sylvaticus"	"Microtus_agrestis"	"Neomys_fodiens"	"Sorex_araneus"	"Ctenophthalmus_agyrtes"	"Palaeopsylla_soricis"	"Nosopsyllus_fasciatus"	"Megabothris_turbidus"	"Peromyscopsylla_silvatica"	"Doratopsylla_dasycnema"	"Ctenophthalmus_uncinatus"	"Hystrichopsylla_talpae"	"Leptopsylla_segnis"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"
"Apodemus_flavicollis"	1.00393304249546	0.00142692520541265	0.00166042932186709	0.00149096155541638	0.000939441106437667	0.00065021041641734	0.0144615345010163	0.0144567709829518	0.0143751091935153	0.0144302197974684	0.0143970112110311	0.0144429998703322	1.78365650676582e-05	5.10451515049999e-05	0.014341900607078	1.78365650676582e-05	1.78365650676582e-05
"Clethrionomys_glareolus"	0.00124855955473607	1.0056437682467	0.00145451142759362	0.000991486707784761	0.000507934004076849	0.000254750160119507	0.0126591921978671	0.0126471425381785	4.69267936195305e-05	0.0126422610643979	0.012613170835846	7.22923742374808e-05	0.0125705471030837	0.0125996373316356	1.78365650676582e-05	0.0125705471030837	0.0125705471030837
"Apodemus_sylvaticus"	0.00232460105061392	0.00232721828414979	1.00332063500357	0.000912779011784831	0.000809673576543082	0.000406103174351616	0.0201785201095733	0.0201760057929962	0.0200996212865087	0.0201515309903552	8.51182902838349e-05	0.000103322339667646	2.90902285518723e-05	0.0200955029286232	3.32085864373418e-05	2.90902285518723e-05	2.90902285518723e-05
"Microtus_agrestis"	0.00260918272197866	0.00198297341556952	0.00114097376473104	1.00259936322372	0.00113613584708033	0.000632381127932921	0.0251877359573703	0.000154370933173973	6.00935141800302e-05	0.0251498647624676	0.025127045287173	0.0251717483707777	2.4787167694619e-05	4.76066429892398e-05	3.72740388854094e-05	2.4787167694619e-05	2.4787167694619e-05
"Neomys_fodiens"	0.00219202924835456	0.00135449067753826	0.00134945596090514	0.0015148477961071	1.00218028436535	0.00150990205275269	0.033519115629983	0.033556739537718	5.83038227660249e-05	0.000113106151137931	8.61170319198281e-05	0.0335506904799333	1.69311334692283e-05	4.3920252687331e-05	3.13147035479222e-05	1.69311334692283e-05	1.69311334692283e-05
"Sorex_araneus"	0.00227573645746069	0.00101900064047803	0.00101525793587904	0.00126476225586584	0.00226485307912904	1.0022613997322	0.000172667346578704	0.050254118276792	5.28156795384478e-05	9.71722439410692e-05	7.68670852234884e-05	0.050252694666465	1.27375080059753e-05	3.30426667235561e-05	3.2510520820867e-05	1.27375080059753e-05	1.27375080059753e-05
"Ctenophthalmus_agyrtes"	0.0202461483014228	0.0202547075165874	0.0201785201095733	0.0201501887658962	0.0201114693779898	6.90669386314815e-05	1.00212012196792	0.00161982059570037	0.000692801092211792	0.00144973965531654	0.00104616925312507	0.00146682106869897	0.000253183843957342	0.000656754246148808	0.000289230690020326	0.000253183843957342	0.000253183843957342
"Palaeopsylla_soricis"	0.0202394793761325	0.0202354280610856	0.0201760057929962	0.000123496746539178	0.0201340437226308	0.0201016473107168	0.00161982059570037	1.00262181554257	0.00069265553551896	0.000948685804946009	0.000545165689086085	0.00196843999461271	0.00025294285076357	0.000656462966623494	0.000289135419659035	0.000252942850763569	0.000252942850763569
"Nosopsyllus_fasciatus"	0.0503128821773036	0.000187707174478122	0.0502490532162717	0.00012018702836006	8.74557341490374e-05	5.28156795384478e-05	0.00173200273052948	0.0017316388387974	1.001723736524	0.00172908753939118	0.000724106475065745	0.000727316110499991	2.34633968097653e-06	0.00100732740400641	0.000718755459675766	2.34633968097653e-06	2.34633968097653e-06
"Megabothris_turbidus"	0.0252528846455697	0.0252845221287958	0.025189413737944	0.0251498647624676	8.48296133534481e-05	4.85861219705346e-05	0.00181217456914567	0.00118585725618251	0.000864543769695589	1.00180934691537	0.00130555864060835	0.000994759073875374	0.000316056526609947	0.000819844801368827	0.00036075549493671	0.000316056526609947	0.000316056526609947
"Peromyscopsylla_silvatica"	0.0335930261590725	0.0336351222289227	0.000141863817139725	0.033502727049564	8.61170319198281e-05	5.12447234823256e-05	0.00174361542187512	0.000908609481810141	0.00048273765004383	0.00174074485414446	1.0017379075778	0.00132290135384491	0.000420439027861534	0.000423276304204329	0.000479900373701035	0.000420439027861534	0.000420439027861534
"Doratopsylla_dasycnema"	0.0252752497730813	0.000144584748474962	0.000129152924584558	0.0251717483707777	0.02516301785995	0.0251263473332325	0.00183352633587371	0.00246054999326589	0.000363658055249996	0.000994759073875375	0.000992176015383684	1.00308545333469	1.80730935593702e-06	4.39036784762817e-06	0.000361074996758305	1.80730935593702e-06	1.80730935593702e-06
"Ctenophthalmus_uncinatus"	0.000124855955473607	0.10056437682467	0.000145451142759362	9.91486707784761e-05	5.07934004076849e-05	2.54750160119507e-05	0.00126591921978671	0.00126471425381785	4.69267936195305e-06	0.00126422610643979	0.0012613170835846	7.22923742374808e-06	1.00125705471031	0.00125996373316356	1.78365650676582e-06	0.00125705471030837	0.00125705471030837
"Hystrichopsylla_talpae"	0.0001786580302675	0.0503985493265424	0.050238757321558	9.52132859784796e-05	6.58803790309965e-05	3.30426667235561e-05	0.00164188561537202	0.00164115741655874	0.00100732740400641	0.00163968960273765	0.000634914456306493	8.78073569525635e-06	0.000629981866581781	1.00163475701301	2.55225757525e-06	0.000629981866581781	0.000629981866581781
"Leptopsylla_segnis"	0.100393304249546	0.000142692520541265	0.000166042932186709	0.000149096155541638	9.39441106437666e-05	6.5021041641734e-05	0.00144615345010163	0.00144567709829518	0.00143751091935153	0.00144302197974684	0.00143970112110311	0.00144429998703322	1.78365650676582e-06	5.10451515049999e-06	1.00143419006071	1.78365650676582e-06	1.78365650676582e-06
"Amalaraeus_penicilliger"	0.000124855955473607	0.10056437682467	0.000145451142759362	9.91486707784761e-05	5.07934004076849e-05	2.54750160119507e-05	0.00126591921978671	0.00126471425381785	4.69267936195305e-06	0.00126422610643979	0.0012613170835846	7.22923742374808e-06	0.00125705471030837	0.00125996373316356	1.78365650676582e-06	1.00125705471031	0.00125705471030837
"Rhadinopsylla_integella"	0.000124855955473607	0.10056437682467	0.000145451142759362	9.91486707784761e-05	5.07934004076849e-05	2.54750160119507e-05	0.00126591921978671	0.00126471425381785	4.69267936195305e-06	0.00126422610643979	0.0012613170835846	7.22923742374808e-06	0.00125705471030837	0.00125996373316356	1.78365650676582e-06	0.00125705471030837	1.00125705471031
