"Miconia_minutiflora"	"Miconia_ternatifolia"	"Miconia_splendens"	"Miconia_dolichorrhyncha"	"Miconia_wittii"	"Miconia_phanerostila"	"Miconia_duckei"	"Melastomataceae_unknown"	"Tococa_discolor"	"Clidemia_hirta"	"Ossaea_cucullata"	"Clidemia_japurensis_var._heterobasis"	"Henriettea_sp."	"Ossaea_araneifera"	"Melastomataceae_minute-seeded"	"otherMelastomes"	"Psychotria_deflexa"	"Psychotria_alboviridula"	"Palicourea_punicea"	"Psychotria_spp."	"otherRubiaceae"	"Coussapoa_cf_parvifolia"	"Ficus_americana"	"Coussapoa_sp."	"Clusia_sp."	"Marcgraviaceae_1"	"Alchornea_triplinervia"	"Croton_schiedianus"	"Anthurium_acaule"	"Unidentified_1"	"Unidentified_2"	"Codonanthe_sp."	"Dilleniaceae"	"Sorocea_sp."	"Iryanthera_grandis"	"Unidentified_3"	"Ficus_sp."	"Piper_aduncum"	"Piper_sp._2"	"Piper_arboreum"	"Pothomorphe_peltata"	"Piper_sp._5"	"Piperaceae_unknown_6"	"Piperaceae_unknown_7"	"Cecropia_distachya"	"Cecropia_ficifolia"	"Cecropia_sciadophylla"	"Cecropia_membranacea"	"Ficus_sp._1"	"Ficus_sp._2"	"Ficus_sp._3"	"Vismia_angusta"	"Vismia_macrophylla"	"Vismia_sp._1"	"Anthurium_sp."	"Philodendron_sp."	"Araceae_unknown"	"Solanum_lanceolatum"	"Solanum_sp."	"Guttiferae_unknown"	"Passifloraceae_unknown"	"Gurania_acuminata"	"Unknown_family"	"Amaranthaceae"	"Solanum_jamiacense"	"Physalis_sp."	"Thoracocarpus_bissectus"	"Ficus_sp._9"	"Cactaceae"	"Curcurbid"	"Unknown_1"	"Vismia_sp._2"	"Piper_sp."	"Ficus_sp._42"	"Passifloraceae"	"Gesneriacea"	"Unknown_2"	"Marcgravia_sp."	"Marcgravia_sp._301"	"Souroubea_guianensis"	"Coussapoa_villosa"	"Havetiopsis_flavida"	"Philodendron_cuneatum"	"Phytolacca_rivinoides"	"Catharus_ustulatus"	"Machaeropterus_regulus"	"Manacus_manacus"	"Pipra_coronata"	"Pipra_pipra"	"Tachyphonus_surinamus"	"Tangara_schrankii"	"Artibeus_gnomus"	"Artibeus_jamaicensis"	"Artibeus_lituratus"	"Artibeus_obscurus"	"Carollia_brevicauda"	"Carollia_castanea"	"Carollia_perspicillata"	"Phyllostomus_hastatus"	"Rhinophylla_pumilio"	"Sturnira_lilium"	"Uroderma_bilobatum"
"Miconia_minutiflora"	1.00068336390381	0.000348242216439833	0.000240009545871223	0.000444952331012034	0.000348852341562383	0.000444342205889484	0.000685185692441636	6.10125122549783e-07	0.000444379177762142	0.000109672185100759	0.000684770997736837	0.00010864736527341	0.000683363903806016	0.00010864736527341	0.000349039185248104	0.000683363903806016	0.000239594851166424	0.000348242216439833	0.00010864736527341	0.00010864736527341	0.000349039185248104	0.000444952331012034	0.000109257490395959	5.73153249891786e-07	6.10125122549783e-07	0.00010944433408168	7.96968808270621e-07	4.14694704799645e-07	0.00010864736527341	0.00010864736527341	6.10125122549783e-07	4.14694704799645e-07	0.000335121687366183	0.00010864736527341	0.00010864736527341	0.00010864736527341	5.73153249891786e-07	1.16063325399469e-07	9.80695215692442e-08	1.15236575865264e-07	9.77879623695261e-08	9.80695215692442e-08	9.80695215692442e-08	9.77879623695261e-08	2.24104862769777e-07	2.25265168368995e-07	7.0839613101341e-08	9.86070814552469e-08	5.40612775569571e-08	1.1565411478408e-07	1.74720786035447e-08	2.24790975380454e-07	2.07318896776909e-07	9.77879623695261e-08	1.15878017017595e-07	9.77879623695261e-08	2.06571281246448e-07	9.85373743246238e-08	9.80771520177285e-08	1.62337146930379e-07	9.77879623695261e-08	4.45467890720776e-08	3.05024307524963e-10	2.06571281246448e-07	4.42417647645526e-08	4.42417647645526e-08	4.42417647645526e-08	4.42417647645526e-08	4.42417647645526e-08	4.42417647645526e-08	4.42417647645526e-08	5.35461976049734e-08	5.35461976049734e-08	5.35461976049734e-08	5.35461976049734e-08	5.35461976049734e-08	3.05024307524963e-10	1.08501759677204e-07	0.000349631784534322	0.000111086548923686	1.09617452040275e-06	0.00010994541999941	0.00034905863128443	0.000108700911471015	2.90286293359751e-05	0.0335121687366183	5.57878165789435e-05	0.0335432791632993	0.033680683234757	9.76200196079653e-05	4.58522599913429e-05	3.09047971190203e-08	1.86872303077269e-06	1.62774904934391e-08	3.70006680676343e-09	1.45997823723024e-05	3.9418287960542e-08	1.8205707185691e-05	3.66029169029955e-08	1.08501759677204e-05	1.73513788921485e-08	1.25064175024e-08
"Miconia_ternatifolia"	0.00052236332465975	1.00052145646769	0.000359399381520734	0.000164333758182715	0.000521992296676497	0.000163797929193973	0.00052432896589971	5.35828988741845e-07	0.000164000197133468	0.000163593765167183	0.000523828540894	0.000162557511172731	0.00052236332465975	0.000162557511172731	0.000522385854933264	0.00052236332465975	0.000358898956515024	0.000521456467687756	0.000162557511172731	0.000162557511172731	0.000522385854933264	0.000164333758182715	0.000163093340161473	3.33561049247294e-07	5.35828988741845e-07	0.00016348689841824	9.29387245508248e-07	5.00425005709991e-07	0.000162557511172731	0.000162557511172731	5.35828988741845e-07	5.00425005709991e-07	9.06856971994333e-07	0.000162557511172731	0.000162557511172731	0.000162557511172731	3.33561049247294e-07	1.73150410320219e-07	1.46512728668445e-07	1.71984601214503e-07	1.46092169001327e-07	1.46512728668445e-07	1.46512728668445e-07	1.46092169001327e-07	3.3474028205865e-07	3.36335346355461e-07	1.05619700189532e-07	1.47246478080511e-07	8.06596508485446e-08	1.72608011481267e-07	2.58583828310205e-08	3.3562711552215e-07	3.0976873269113e-07	1.46092169001327e-07	1.72736220440182e-07	1.46092169001327e-07	3.08789772348652e-07	1.47211400636753e-07	1.46524228694977e-07	2.42737033007027e-07	1.46092169001327e-07	6.64507496531202e-08	3.86510284962916e-10	3.08789772348652e-07	6.60642393681573e-08	6.60642393681573e-08	6.60642393681573e-08	6.60642393681573e-08	6.60642393681573e-08	6.60642393681573e-08	6.60642393681573e-08	8.002792963317e-08	8.002792963317e-08	8.002792963317e-08	8.002792963317e-08	8.002792963317e-08	3.86510284962916e-10	1.62277043680207e-07	0.000522634226938426	0.000164922777701307	1.14250541585674e-06	0.000163598198639993	0.000522300665889179	0.000162637539102365	3.50297503996994e-05	9.06856971994333e-05	6.50571071855774e-05	0.0502458539121034	0.0503928284635467	8.57326381986952e-05	2.66848839397835e-05	3.79032729224734e-08	2.77257862985392e-06	2.4306738897233e-08	5.52342279322359e-09	2.18011989914919e-05	5.88783533964623e-08	2.72094960752778e-05	4.63812341955499e-08	1.62277043680207e-05	2.59235816189908e-08	1.86628592260871e-08
"Miconia_splendens"	0.000360014318806835	0.000359399381520734	1.00107686346631	2.02162602596679e-06	0.000360004212827172	1.4167947195292e-06	0.00107954515819708	6.04831306437595e-07	1.80442991485287e-06	0.000719238238740332	0.000361496412085496	5.84661322314621e-07	0.000360014318806835	5.84661322314621e-07	0.000360276643492958	0.000360014318806835	0.00035881472019842	0.000359399381520734	5.84661322314621e-07	5.84661322314621e-07	0.000360276643492958	2.02162602596679e-06	1.18949262875222e-06	2.17196111113919e-07	6.04831306437595e-07	1.46192329453832e-06	8.77261972223696e-07	0.000718048746111579	5.84661322314621e-07	5.84661322314621e-07	6.04831306437595e-07	0.000718048746111579	6.14937286100658e-07	5.84661322314621e-07	5.84661322314621e-07	5.84661322314621e-07	2.17196111113919e-07	3.52079038730869e-07	1.40155265468013e-07	2.50416383790405e-07	1.39602084078812e-07	1.40155265468013e-07	1.40155265468013e-07	1.39602084078812e-07	4.63121086152219e-07	6.65160874722145e-07	2.79101966141078e-07	2.41307838456171e-07	2.69270307532528e-07	2.51475752090388e-07	2.10836294399921e-07	6.64168821380486e-07	4.53332526980564e-07	1.39602084078812e-07	5.50959625769442e-07	1.39602084078812e-07	2.52268779223496e-07	1.4118363236525e-07	1.40112166031117e-07	1.81407552393877e-07	1.39602084078812e-07	1.71393303470252e-07	1.00575176077529e-07	2.52268779223496e-07	7.08181273927232e-08	7.08181273927232e-08	7.08181273927232e-08	7.08181273927232e-08	7.08181273927232e-08	7.08181273927232e-08	7.08181273927232e-08	6.87839566860887e-08	6.87839566860887e-08	6.87839566860887e-08	6.87839566860887e-08	6.87839566860887e-08	1.00575176077529e-07	1.12113513755483e-07	0.00036047312453612	0.000720403514951062	0.000719133165735005	1.65603365732241e-06	0.000360255928425006	6.53445279000709e-07	0.0502634122278106	6.14937286100658e-05	6.14083380556587e-05	0.0502340608277788	0.000181245009917532	9.67730090300153e-05	1.73756888891136e-05	1.20291810507864e-05	1.20717116715207e-05	4.04177837440336e-08	9.63942778707700e-09	2.33699820395987e-05	7.74453944881532e-08	2.33865452732701e-05	1.20690211293035e-05	1.12113513755483e-05	3.06049171383295e-08	3.62799461452177e-08
"Miconia_dolichorrhyncha"	0.000333714248259026	8.21668790913574e-05	1.0108130129834e-06	1.00080488700604	0.000239559207641044	0.000647494677492237	0.00049203695503178	0.000157392328549686	0.000490498388393373	0.00023935364382335	0.000491634330434135	8.1558690676019e-05	0.000333714248259026	8.1558690676019e-05	8.26946327167809e-05	0.000333714248259026	6.08188415338468e-07	8.21668790913574e-05	8.1558690676019e-05	8.1558690676019e-05	8.26946327167809e-05	0.000804887006041923	0.000238951019225705	0.00031438861764855	0.000157392328549686	8.20864443014425e-05	5.27753625423497e-07	4.02624597644929e-07	8.1558690676019e-05	8.1558690676019e-05	0.000157392328549686	4.02624597644929e-07	0.000251547369167668	8.1558690676019e-05	8.1558690676019e-05	8.1558690676019e-05	0.00031438861764855	3.07761085962188e-07	1.75707756385331e-07	2.84404047426947e-07	1.75175599915095e-07	1.75707756385331e-07	1.75707756385331e-07	1.75175599915095e-07	4.26486576633982e-07	4.72240575927491e-07	2.13130436174312e-07	1.98558479296764e-07	1.26860929358421e-07	2.85296587909467e-07	1.31072911554847e-07	4.71315822219366e-07	3.40242910664519e-07	1.75175599915095e-07	3.50697131348167e-07	1.75175599915095e-07	2.95408874192844e-07	1.76657542674622e-07	1.75681915538903e-07	2.02708428716269e-07	1.75175599915095e-07	1.15051225143378e-07	2.23766205132313e-08	2.95408874192844e-07	9.26746046301467e-08	9.26746046301467e-08	9.26746046301467e-08	9.26746046301467e-08	9.26746046301467e-08	9.26746046301467e-08	9.26746046301467e-08	8.25009952849485e-08	8.25009952849485e-08	8.25009952849485e-08	8.25009952849485e-08	8.25009952849485e-08	2.23766205132313e-08	1.19701117807513e-07	0.000554242702007316	0.000554362689701954	0.000158052443517579	0.000553623065294546	0.000239854084358766	8.16411916713039e-05	2.8183721835145e-05	0.0251547369167668	3.69427537796448e-05	8.51463781473855e-05	0.0252831941095659	0.0251827725679498	0.025151089411884	2.66159604440835e-06	1.19078102413745e-05	3.31871678741533e-08	8.36876168635919e-09	3.05826195279484e-05	7.45019058330106e-08	2.80503383968825e-05	2.68519446158775e-06	1.19701117807513e-05	3.0378937428473e-08	3.10429465838502e-08
"Miconia_wittii"	0.000348852341562383	0.000347994864450998	0.000240002808551448	0.000319412276854725	1.00055749380887	0.000109913332436615	0.000559716272611623	0.00020949894441811	0.000318932860210272	0.000318659765880114	0.000559131889830396	0.000108576438680777	0.000348852341562383	0.000108576438680777	0.000348775468300902	0.000348852341562383	0.000239418425770221	0.000347994864450998	0.000108576438680777	0.000108576438680777	0.000348775468300902	0.000319412276854725	0.000318075383098887	4.79416644453043e-07	0.00020949894441811	0.000109357042530681	7.80603849903743e-07	5.8438278122689e-07	0.000108576438680777	0.000108576438680777	0.00020949894441811	5.8438278122689e-07	8.57477111384776e-07	0.000108576438680777	0.000108576438680777	0.000108576438680777	4.79416644453043e-07	2.90867391239043e-07	1.79115503888724e-07	2.60144418279719e-07	1.78550263771143e-07	1.79115503888724e-07	1.79115503888724e-07	1.78550263771143e-07	4.63281809274312e-07	5.23649863375004e-07	2.03581637696214e-07	2.09280190276632e-07	1.52274968135277e-07	2.61077548771734e-07	1.10684976915469e-07	5.22667070175009e-07	4.11982093259541e-07	1.78550263771143e-07	3.48309418331396e-07	1.78550263771143e-07	3.52529846955237e-07	1.80108475373803e-07	1.79108550342558e-07	2.67303975332338e-07	1.78550263771143e-07	1.14874980601207e-07	2.9656062524473e-08	3.52529846955237e-07	8.52189180767339e-08	8.52189180767339e-08	8.52189180767339e-08	8.52189180767339e-08	8.52189180767339e-08	8.52189180767339e-08	8.52189180767339e-08	9.33313456944088e-08	9.33313456944088e-08	9.33313456944088e-08	9.33313456944088e-08	9.33313456944088e-08	2.9656062524473e-08	1.73414343066513e-07	0.000558325190120399	0.000320005005292547	0.000210345852459474	0.000318813944236589	0.000557845773475946	0.000108669770026472	4.09067946858823e-05	8.57477111384776e-05	5.4642269493262e-05	0.0335185796078309	0.033658695991041	0.0335198311068976	3.83533315562434e-05	3.53661734645209e-06	8.8653652425065e-06	3.56036704404848e-08	8.49013257157675e-09	2.81222429653222e-05	7.91336164613178e-08	3.1732657536099e-05	3.55872750293675e-06	1.73414343066513e-05	3.34971942849314e-08	3.04279439564843e-08
"Miconia_phanerostila"	0.000444342205889484	0.000109198619462649	9.44529813019465e-07	0.000863326236656316	0.000109913332436615	1.00086261152368	0.000445885644697224	7.14712973966463e-07	0.000444398455736538	0.000109540935995808	0.000445599578011117	0.000108540156335736	0.000444342205889484	0.000108540156335736	0.000109741278610315	0.000444342205889484	6.58463126913123e-07	0.000109198619462649	0.000108540156335736	0.000108540156335736	0.000109741278610315	0.000863326236656316	0.000109254869309702	0.000418927780919778	7.14712973966463e-07	0.000109082815483402	5.42659147666419e-07	2.86066686106343e-07	0.000108540156335736	0.000108540156335736	7.14712973966463e-07	2.86066686106343e-07	0.000335143586426836	0.000108540156335736	0.000108540156335736	0.000108540156335736	0.000418927780919778	2.34914330257353e-07	1.52836657070681e-07	2.33717379099211e-07	1.52411982116536e-07	1.52836657070681e-07	1.52836657070681e-07	1.52411982116536e-07	3.28527147610097e-07	3.30227802098626e-07	1.51005410662557e-07	1.53628767506061e-07	7.06460382416474e-08	2.343899094284e-07	8.13178270450075e-08	3.29505436465578e-07	2.48187609420571e-07	1.52411982116536e-07	2.34444237092947e-07	1.52411982116536e-07	2.4720850020099e-07	1.53575848616862e-07	1.52816822839297e-07	1.64798618294039e-07	1.52411982116536e-07	8.28271526920439e-08	4.3710501647736e-10	2.4720850020099e-07	8.23900476755666e-08	8.23900476755666e-08	8.23900476755666e-08	8.23900476755666e-08	8.23900476755666e-08	8.23900476755666e-08	8.23900476755666e-08	7.00219344409692e-08	7.00219344409692e-08	7.00219344409692e-08	7.00219344409692e-08	7.00219344409692e-08	4.3710501647736e-10	9.43718431303085e-08	0.00052908789718164	0.000529093766110928	1.15240917453604e-06	0.000528415608582802	0.000110160116261862	0.000108610178270177	2.0024668027444e-05	0.0335143586426836	3.79861403366493e-05	9.21848377678372e-05	0.033647448464078	0.000114354075834634	0.0335142224735823	3.74462280406952e-08	8.86010083256216e-06	2.48503793232083e-08	6.3504982057179e-09	2.71887157329369e-05	5.94544935803379e-08	2.38074577099295e-05	5.24526019772832e-08	9.43718431303085e-06	2.42904433656932e-08	2.34045576393741e-08
"Miconia_duckei"	0.000342592846220818	0.00017477632196657	0.000359848386065692	0.000328024636687854	0.000279858136305812	0.000222942822348612	1.00092696876437	0.000105081814339242	0.000327508671096911	0.000399374543445205	0.000687286367764377	5.46103325034209e-05	0.000342592846220818	5.46103325034209e-05	0.000414388029170887	0.000342592846220818	0.000120165989463149	0.00017477632196657	5.46103325034209e-05	5.46103325034209e-05	0.000414388029170887	0.000328024636687854	0.000159692146842663	5.15965590942802e-07	0.000105081814339242	0.000294222039707738	0.000239611707204317	0.000239682396602543	5.46103325034209e-05	5.46103325034209e-05	0.000105081814339242	0.000239682396602543	0.000167816524254248	5.46103325034209e-05	5.46103325034209e-05	5.46103325034209e-05	5.15965590942802e-07	2.52820143750307e-07	1.2635112741769e-07	2.03665489006511e-07	1.25927598067172e-07	1.2635112741769e-07	1.2635112741769e-07	1.25927598067172e-07	3.39222981892757e-07	4.36662797238352e-07	1.84072964274329e-07	1.75112324310981e-07	1.55075096763112e-07	2.04415882851424e-07	1.25669659071747e-07	4.35924844953299e-07	3.10255185881553e-07	1.25927598067172e-07	3.47958341411e-07	1.25927598067172e-07	2.13544613230141e-07	1.27111703587677e-07	1.26321055917677e-07	1.4635736718502e-07	1.25927598067172e-07	1.15512472028033e-07	4.83552974829254e-08	2.13544613230141e-07	6.71571745451071e-08	6.71571745451071e-08	6.71571745451071e-08	6.71571745451071e-08	6.71571745451071e-08	6.71571745451071e-08	6.71571745451071e-08	5.87704235220652e-08	5.87704235220652e-08	5.87704235220652e-08	5.87704235220652e-08	5.87704235220652e-08	4.83552974829254e-08	8.71934858124506e-08	0.000280587222980634	0.00063956937341501	0.0003450445885793	0.000160410987274942	0.000280071257389691	5.46691029269429e-05	0.016777767762178	0.0167816524254248	0.0167728195043022	0.0168232385248409	0.0169292030760605	0.0168130902942787	4.12772472754242e-05	5.77828039446281e-06	8.46419675962721e-06	2.84129587255824e-08	6.88988869095341e-09	2.21618675998853e-05	5.92941090724575e-08	1.99819439975022e-05	5.80263569795105e-06	8.71934858124506e-06	2.36074710302662e-08	2.56982823638109e-08
"Melastomataceae_unknown"	1.83037536764935e-06	1.07165797748369e-06	1.20966261287519e-06	0.000629569314198745	0.000628496833254329	2.14413892189939e-06	0.00063049088603545	1.00062742517528	0.00062879818636388	0.000628791767305975	0.00062973858770319	6.14293696869188e-07	1.83037536764935e-06	6.14293696869188e-07	1.55469503617842e-06	1.83037536764935e-06	4.57364280614502e-07	1.07165797748369e-06	6.14293696869188e-07	6.14293696869188e-07	1.55469503617842e-06	0.000629569314198745	0.000628039468973715	7.71127834864541e-07	0.000627425175276845	1.09733075556392e-06	4.83037058694733e-07	7.52298332260688e-07	6.14293696869188e-07	6.14293696869188e-07	0.000627425175276845	7.52298332260688e-07	7.5871739016566e-07	6.14293696869188e-07	6.14293696869188e-07	6.14293696869188e-07	7.71127834864541e-07	5.26301353076693e-07	2.44321054329281e-07	4.36464052410153e-07	2.43466453310773e-07	2.44321054329281e-07	2.44321054329281e-07	2.43466453310773e-07	7.20364863705637e-07	8.98278897414089e-07	3.99505512709577e-07	3.33347614668874e-07	2.95505602708741e-07	4.38016623352667e-07	2.80338165084366e-07	8.96746979480728e-07	6.16408814396362e-07	2.43466453310773e-07	6.99455814113826e-07	2.43466453310773e-07	4.40009996168407e-07	2.45902624847903e-07	2.4427719363772e-07	3.1643785998296e-07	2.43466453310773e-07	2.1172344249738e-07	8.81951670034931e-08	4.40009996168407e-07	1.23528275493887e-07	1.23528275493887e-07	1.23528275493887e-07	1.23528275493887e-07	1.23528275493887e-07	1.23528275493887e-07	1.23528275493887e-07	1.19938177816886e-07	1.19938177816886e-07	1.19938177816886e-07	1.19938177816886e-07	1.19938177816886e-07	8.81951670034931e-08	1.95688941839126e-07	0.000629707116484344	0.000630169460475029	0.000628752546546708	0.000629245435429779	0.000628935988649479	7.34231874686074e-07	5.26608832582482e-05	7.5871739016566e-05	3.38125941086313e-05	6.40309992860303e-05	0.000190431046029448	0.100388028044295	6.16902267891633e-05	1.05340454935113e-05	2.10509384678117e-05	5.81975335269885e-08	1.44235521282831e-08	4.07643309129827e-05	1.19644142591029e-07	4.07789804577414e-05	1.05834200404192e-05	1.95688941839126e-05	4.86444196168125e-08	5.39581134172787e-08
"Tococa_discolor"	0.000444379177762142	0.000109333464755645	1.20295327656858e-06	0.000653997851191165	0.000318932860210272	0.000444398455736538	0.000655017342193821	0.000209599395454627	1.00065321166571	0.000318601998483126	0.00065458129641911	0.000108566557253788	0.000444379177762142	0.000108566557253788	0.000109936187957986	0.000444379177762142	7.6690750185721e-07	0.000109333464755645	0.000108566557253788	0.000108566557253788	0.000109936187957986	0.000653997851191165	0.000318165952708415	7.86185476252553e-07	0.000209599395454627	0.000109169280456129	6.02723202340891e-07	4.36045774711373e-07	0.000108566557253788	0.000108566557253788	0.000209599395454627	4.36045774711373e-07	0.000335045713006498	0.000108566557253788	0.000108566557253788	0.000108566557253788	7.86185476252553e-07	2.4592239354665e-07	1.34618077459577e-07	2.15542904429604e-07	1.34191343905541e-07	1.34618077459577e-07	1.34618077459577e-07	1.34191343905541e-07	3.4449315636845e-07	4.0443610016149e-07	1.81624395921734e-07	1.64587990349264e-07	1.3029934059313e-07	2.16273009345597e-07	1.10502950255665e-07	4.03688208622188e-07	2.93185258366524e-07	1.34191343905541e-07	3.03583843947362e-07	1.34191343905541e-07	2.33973113182883e-07	1.35385193034405e-07	1.34600920132899e-07	1.71243596964205e-07	1.34191343905541e-07	9.22904821776385e-08	2.95781232856376e-08	2.33973113182883e-07	6.27123588920009e-08	6.27123588920009e-08	6.27123588920009e-08	6.27123588920009e-08	6.27123588920009e-08	6.27123588920009e-08	6.27123588920009e-08	7.14789850135397e-08	7.14789850135397e-08	7.14789850135397e-08	7.14789850135397e-08	7.14789850135397e-08	2.95781232856376e-08	9.93550357233065e-08	0.000319952592066153	0.000320053619520612	0.00021027588598084	0.000319166896816195	0.000319166406589901	0.000108638036238801	3.05232042297961e-05	0.0335045713006498	4.21906241638624e-05	0.000107367050260009	0.0336556327486742	0.0335359032727403	6.28948381002042e-05	3.52922133477544e-06	8.86240163848125e-06	2.74252722834766e-08	6.76630623887273e-09	2.06950784343603e-05	5.97426975650511e-08	2.43028549046035e-05	3.54937479427652e-06	9.93550357233065e-06	2.45745736415048e-08	2.50277543229214e-08
"Clidemia_hirta"	0.000109672185100759	0.000109062510111455	0.000479492159160221	0.000319138191764467	0.000318659765880114	0.000109540935995808	0.000798749086890411	0.000209597255768658	0.000318601998483126	1.00079681704027	0.000319924370116481	0.000108395067725164	0.000109672185100759	0.000108395067725164	0.000109717439358519	0.000109672185100759	6.6744238629159e-07	0.000109062510111455	0.000108395067725164	0.000108395067725164	0.000109717439358519	0.000319138191764467	0.000317992323493822	5.36193281340828e-07	0.000209597255768658	0.000109049996972227	6.54929247063591e-07	0.000478824716773929	0.000108395067725164	0.000108395067725164	0.000209597255768658	0.000478824716773929	6.09674989303639e-07	0.000108395067725164	0.000108395067725164	0.000108395067725164	5.36193281340828e-07	4.34437317969522e-07	1.82768756428543e-07	3.36725296328567e-07	1.82114114021864e-07	1.82768756428543e-07	1.82768756428543e-07	1.82114114021864e-07	5.32562544769378e-07	7.26579711832033e-07	3.44882172291335e-07	2.79882157256198e-07	2.87260897423481e-07	3.37954757053249e-07	2.50412139763413e-07	7.25409431258317e-07	4.74997291494904e-07	1.82114114021864e-07	6.24723613294673e-07	1.82114114021864e-07	2.821726995315e-07	1.83991451138264e-07	1.82712734835164e-07	1.950966703406e-07	1.82114114021864e-07	1.8347560746091e-07	9.6455599863389e-08	2.821726995315e-07	8.70200075975212e-08	8.70200075975212e-08	8.70200075975212e-08	8.70200075975212e-08	8.70200075975212e-08	8.70200075975212e-08	8.70200075975212e-08	9.50941064243428e-08	9.50941064243428e-08	9.50941064243428e-08	9.50941064243428e-08	9.50941064243428e-08	9.6455599863389e-08	9.94039431029571e-08	0.00031947747721858	0.000798095182803754	0.000688959021505878	0.000318863963355189	0.000318941283937239	0.000108490161831588	0.0335177301741751	6.09674989303639e-05	4.58450472944514e-05	9.34419340808226e-05	0.0336024709948008	0.0335355609229853	4.28954625072663e-05	1.15300074599483e-05	1.68665712603963e-05	4.604606749859e-08	1.14331952083246e-08	2.8716602507182e-05	9.16499369350856e-08	3.23319961842766e-05	1.15746719836067e-05	9.94039431029571e-06	3.59172487979886e-08	4.36851727494865e-08
