"Saurauia_ferox"	"Fissistigma_sp."	"Goniothalamus_sp."	"Popowia_pisocarpa"	"Poikilospermum_sp."	"Combretaceae"	"Costus_sp."	"Tetracera_indica"	"Dryobalanops_lanceolata"	"Diospyros_sp."	"Glochidion_sp."	"Mallotus_floribundus"	"Mallotus_miquelianus"	"Mallotus_sp."	"Mallotus_wrayi"	"Bauhinia_sp."	"Spatholobus_sp."	"Fordia_sp."	"Ryparosa_hullettii"	"Lauraceae"	"Leea_indica"	"Magnolia_candollii"	"Aglaia_sp."	"Chisocheton_sp."	"Ardisia_sp."	"Chionanthus_pluriflorus"	"Passifloraceae"	"Uncaria_sp."	"Urophyllum_sp."	"Rubiaceae"	"Paranephelium_xestophyllum"	"Selaginella_sp."	"Pterospermum_sp."	"Brownlowia_peltata"	"Callicarpa_longifolia"	"Tetrastigma_sp."	"Globba_pendula"	"Zingiber_flagelliforme"	"Haaniella_echinata"	"Necrosciinae"	"Centrophasma_longipennis"	"Asceles_margaritatus"	"Lonchodes_hosei_herberti"	"Lonchodes_imitator"	"Dinophasma_ruficornis"	"Unidentified_juveniles"	"Acacus_sarawacus"	"Marmessoidea_rubescens"	"Lonchodes_thami"	"Lonchodes_malleti"
"Saurauia_ferox"	1.0019028278307	0.000229811169668324	3.86629600508309e-07	0.00023081787150346	0	0.000229811169668324	0.000229811169668324	5.78869445008372e-07	0.000229811169668324	2.26443944085647e-06	0.000229811169668324	0.000231971779368782	1.64436720622808e-06	1.64436720622808e-06	0.0019050922701448	0.000229811169668324	0.000229811169668324	0.000229811169668324	0.000229811169668324	0	0.000230390039113332	5.16242494230236e-07	0.00190924531118814	0.000229811169668324	6.2007223462839e-07	6.2007223462839e-07	6.2007223462839e-07	6.2007223462839e-07	0.00023109773795574	6.2007223462839e-07	6.2007223462839e-07	0.000229811169668324	0.000229811169668324	0.000231455536874552	0	0.000229811169668324	0.000229811169668324	0	0.0505584573270312	0.0501904998310685	7.73259201016618e-06	0.000115105704435965	5.58065011165551e-05	0	1.15773889001674e-05	1.54872748269071e-05	4.77311327797035e-05	0	7.70325793185799e-06	0
"Fissistigma_sp."	0.000459622339336647	1.00045808758635	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Goniothalamus_sp."	7.73259201016618e-07	7.69107895955022e-07	1.00503356149108	0.00503621017655205	0	7.69107895955022e-07	7.69107895955022e-07	1.9372994860328e-09	7.69107895955022e-07	1.88308003592686e-06	7.69107895955022e-07	7.74335829507714e-07	3.50246283452426e-09	3.50246283452426e-09	2.65633923694348e-06	7.69107895955022e-07	7.69107895955022e-07	7.69107895955022e-07	7.69107895955022e-07	0	7.71045195441054e-07	1.72547071816782e-09	7.78708434938488e-07	7.69107895955022e-07	1.87957757309234e-06	1.87957757309234e-06	1.87957757309234e-06	1.87957757309234e-06	7.73411404688819e-07	1.87957757309234e-06	1.87957757309234e-06	7.69107895955022e-07	7.69107895955022e-07	7.72610358789546e-07	0	7.69107895955022e-07	7.69107895955022e-07	0	0.000169203737110105	1.2453915184788e-07	0.10067122982166	2.45172398416698e-07	0.00016916198157831	0	3.8745989720656e-08	5.17641215450345e-08	1.94677108734622e-08	0	2.5780380156294e-08	0
"Popowia_pisocarpa"	0.000153878581002307	0.000153052471295049	0.00167873672551735	1.00220582513386	0	0.000153052471295049	0.000153052471295049	3.85522597720527e-07	0.000153052471295049	0.000374732927149445	0.000153052471295049	0.000154092830072035	6.96990104070327e-07	6.96990104070327e-07	0.000528611508151752	0.000153052471295049	0.000153052471295049	0.000153052471295049	0.000153052471295049	0	0.00015343799389277	3.43368672915396e-07	0.000154962978552759	0.000153052471295049	0.000374035937045375	0.000374035937045375	0.000374035937045375	0.000374035937045375	0.000153908869533075	0.000374035937045375	0.000374035937045375	0.000153052471295049	0.000153052471295049	0.00015374946139912	0	0.000153052471295049	0.000153052471295049	0	0.0336715436849108	2.47832912177281e-05	0.033574734510347	4.87893072849229e-05	0.0336632343340837	0	7.71045195441054e-06	1.03010601874619e-05	3.87407446381898e-06	0	5.1302956511025e-06	0
"Poikilospermum_sp."	0	0	0	0	1.0050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00505050505050505	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Combretaceae"	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	1.00045808758635	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Costus_sp."	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	1.00045808758635	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Tetracera_indica"	1.15773889001674e-06	1.15387301347103e-06	1.9372994860328e-09	1.15656779316158e-06	0	1.15387301347103e-06	1.15387301347103e-06	1.0050377862818	1.15387301347103e-06	2.9733101540806e-09	1.15387301347103e-06	1.15867412790148e-06	2.21582994956128e-09	2.21582994956128e-09	1.16071220017082e-06	1.15387301347103e-06	1.15387301347103e-06	1.15387301347103e-06	1.15387301347103e-06	0	0.00503894015480947	2.58528448088992e-09	1.16286187465294e-06	1.15387301347103e-06	7.57480204519322e-10	7.57480204519322e-10	7.57480204519322e-10	7.57480204519322e-10	1.16032605145678e-06	7.57480204519322e-10	7.57480204519322e-10	1.15387301347103e-06	1.15387301347103e-06	1.15608884342059e-06	0	1.15387301347103e-06	1.15387301347103e-06	0	0.000253852062963626	1.15976296371431e-07	3.8745989720656e-08	1.55108096469289e-07	6.8173218406739e-08	0	0.10075572563592	7.75585344266975e-08	2.90715468663234e-08	0	3.86775350485592e-08	0
"Dryobalanops_lanceolata"	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	1.00045808758635	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Diospyros_sp."	2.26443944085647e-06	5.90202065584998e-07	9.41540017963431e-07	0.000562099390724168	0	5.90202065584998e-07	5.90202065584998e-07	1.4866550770403e-09	5.90202065584998e-07	1.00127939374837	5.90202065584998e-07	0.00072022078354926	0.000718826099731321	0.000718826099731321	0.0012816581878128	5.90202065584998e-07	5.90202065584998e-07	5.90202065584998e-07	5.90202065584998e-07	0	5.91688720662038e-07	8.04481752354039e-07	0.000722897783631255	5.90202065584998e-07	0.000560567648640619	0.000560567648640619	0.000560567648640619	0.000560567648640619	1.39934831231342e-06	0.000560567648640619	0.000560567648640619	5.90202065584998e-07	5.90202065584998e-07	0.000719416301796906	0	5.90202065584998e-07	5.90202065584998e-07	0	0.0001298444544287	5.02271212581441e-05	1.88308003592686e-05	0.0503178269811924	0.0504510883776557	0	2.9733101540806e-08	2.41344525706212e-05	1.80724445907814e-05	0	4.66449437437805e-08	0
