"Cornus_canadensis"	"Maianthemum_canadense"	"Oxalis_montana"	"Chimaphila_umbellata"	"Aralia_nudicaulis"	"Linnaea_borealis"	"Clintonia_borealis"	"Cypripedium_acaule"	"Pyrola_secunda"	"Trillium_undulatum"	"Trientalis_borealis"	"Medeola_virginiana"	"Eusphalerum_sp1_M_PL_004"	"Paramyia_nitens"	"Parasyrphus_relictus"	"Dialictus_sp1_M_PL_004"	"Bombus_vagans"	"Eusphalerum_phothos"	"Bombus_terricola"	"Evylaeus_quebecensis"	"Blera_confusa"	"Xylota_bigelowi"	"Pidonia_ruficolis"	"Andrena_w.scripta"	"Dialictus_cressoni"	"Eusphalerum_convexum"	"Bombylius_major"	"Bombus_perplexus"	"Carposcalis_confusus"	"Hylaeus_ellipticus"	"Sphaerophoria_bifurcata"	"Anthaxia_expansa"	"Eclimus_harrisi"	"Tropidia_quadrata"	"Andrena_melanochroa"	"Andrena_miranda"	"Bombus_ternarius"	"Orthoneura_pulchella"	"Osmia_proxima"	"Phaonia_serva"	"Sphaerophoria_sp1_M_PL_004"	"Temnostoma_balyras"	"Tychius_stephensi"	"Xylota_hinei"	"Agiotes_stabilis"	"Ancistrocerus_sp1_M_PL_004"	"Andrena_nivalis"	"Andrena_rufosignata"	"Celastrina_argiolus"	"Chalcosyrphus_nigra"	"Cheilosia_pallipes"	"Cheilosia_sialia"	"Crabro_sp1_M_PL_004"	"Dialictus_imitatus"	"Evylaeus_divergens"	"Fannia_ungulata"	"Halictus_rubicundus"	"Mallota_posticata"	"Melagyna_lasiophthalma"	"Melanostoma_sp1_M_PL_004"	"Sarcophaga_nearctica"	"Sphecodes_sp1_M_PL_004"	"Temnostoma_barberi"	"Zeraea_americana"	"Acmaeopsoides_rufula"	"Andrena_sigmundi"	"Andrena_thaspii"	"Andrena_wheeleri"	"Andrena_wilkella"	"Anthonomus_sp1_M_PL_004"	"Blera_badia"	"Blera_nigripes"	"Bombylius_pigmaeus"	"Cantharis_sp1_M_PL_004"	"Carposcalis_obscura"	"Cateres_pennatus"	"Chalcosyrphus_curvarius"	"Chalcosyrphus_inarmatus"	"Chalcosyrphus_memorum"	"Cheilosia_slossonae"	"Cheilosia_tristis"	"Dalopius_sp1_M_PL_004"	"Ephemerella_sp1_M_PL_004"	"Eremomyioides_setosa"	"Eudasyphora_cyanicolor"	"Eupyses_vestris"	"Evodinus_monticola"	"Halictus_confusus"	"Hoplitis_producta"	"Hylaeus_basalis"	"Hylaeus_stevensi"	"Judolia_montivagans"	"Lygus_refidorsus"	"Nomada_cuneata"	"Nomada_sayi"	"Orsodacne_atra"	"Osmia_lignaria"	"Osmia_pumila"	"Passaloecus_sp1_M_PL_004"	"Pegohylemyia_fugax"	"Phalaenophana_pyramusalis"	"Pieris_napi"	"Poanes_hobomok"	"Psithyrus_sp1_M_PL_004"	"Pyrophaena_rosarum"	"Rhopalum_sp1_M_PL_004"	"Sphaerophoria_longipilosa"	"Syritta_pipiens"	"Syritta_rectus"	"Temnostoma_alternans"	"Thamnotettix_confinis"	"Trachysida_aspera"	"Vespula_arenaria"	"Xylota_sp1_M_PL_004"
"Cornus_canadensis"	1.00769603432853	0.00070831867497886	7.19782095599431e-05	0.000136317774000091	0.000403853464322884	0.000500315295148957	0.000364853060448554	1.97775787759603e-05	3.93511245338071e-05	0.000128675803410389	3.15347872996617e-05	0	9.67088076095724e-06	0.00155484551707466	0.00155545824760706	0.00156561662003175	0.0015667328928593	0.00155387683671432	0.00155965347942465	0.00155778395627083	0.00155030159127466	0.00155030159127466	0.00155273394501099	0.00155267719988832	9.91471873248386e-06	3.57524543966309e-06	0.00155302589387074	0.00155267719988833	1.1807164780735e-05	2.3824537864236e-06	0.00155967640231907	0.00155351848635992	0.00155268404506108	0.00155302589387074	0.00155030159127466	0.00155302589387074	0.00155273394501098	0.00155302589387074	0.00155268404506109	0.00155268404506109	7.53911011881984e-06	0.00155030159127466	0.00155030159127466	0.00155302589387073	2.72430259607254e-06	0.00155030159127466	0.00155302589387074	0.00155030159127466	0.00155030159127466	0.00155030159127466	1.19963682599905e-06	0.00155030159127466	0.00155268404506109	4.80796234998772e-06	0.00155302589387074	2.3824537864236e-06	5.09991120973657e-06	0.00155267719988832	5.10675638249612e-06	1.19963682599905e-06	0.00155273394501099	0.00155030159127466	0.00155030159127466	0.00155268404506109	0.00155030159127466	0.00155030159127466	0.00155030159127466	2.37560861366403e-06	2.4323537363237e-06	0.00155030159127466	0.00155030159127466	0.00155030159127466	2.72430259607253e-06	0.00155030159127466	1.05115957665539e-06	2.37560861366403e-06	0.00155030159127466	0.00155030159127466	0.00155030159127466	2.72430259607254e-06	2.37560861366402e-06	0.00155030159127466	0	2.72430259607253e-06	0.00155030159127466	2.3824537864236e-06	0.00155030159127466	0.00155030159127466	9.83778113345178e-07	0.00155030159127466	2.3824537864236e-06	0.00155030159127466	0.00155030159127466	2.72430259607253e-06	0.00155030159127466	0.00155030159127466	2.4323537363237e-06	2.3824537864236e-06	2.3824537864236e-06	2.72430259607253e-06	2.72430259607254e-06	0.00155030159127466	2.4323537363237e-06	0.00155030159127466	2.3824537864236e-06	2.4323537363237e-06	0.00155030159127466	0.00155030159127466	0.00155030159127466	0.00155030159127466	2.72430259607253e-06	2.37560861366402e-06	9.8377811334518e-07	0.00155030159127466
"Maianthemum_canadense"	0.00177079668744715	1.00561862491768	0.00012727971873444	4.91471004306641e-05	0.000565836884547603	0.000851586972169082	0.00053327107144111	0.00012631951766322	9.77754946527125e-05	0.000204441265868277	0.000155930470377705	0	0.0038835848748398	4.36253927709467e-06	0.00387404338506343	0.00389110376104202	0.00389182561331392	8.17408350369125e-06	1.12461320154135e-05	0.00387787187290714	2.72430259607254e-06	2.72430259607253e-06	6.27944307234661e-06	6.05275485811725e-06	0.00387870271078733	5.44978090761873e-06	0.00387048824458714	6.05275485811726e-06	0.00388568297251792	4.05517605794802e-06	0.00388485213463772	7.83533424277946e-06	6.77947865402053e-06	0.00387048824458715	2.72430259607254e-06	0.00387048824458715	6.27944307234659e-06	0.00387048824458715	6.77947865402055e-06	6.77947865402054e-06	0.0038753742585253	2.72430259607254e-06	2.72430259607253e-06	0.00387048824458713	0.00386776394199107	2.72430259607254e-06	0.00387048824458715	2.72430259607253e-06	2.72430259607253e-06	2.72430259607253e-06	2.12132864557399e-06	2.72430259607254e-06	6.77947865402054e-06	6.88359273831879e-06	0.00387048824458714	4.05517605794801e-06	0.00387109239425312	6.05275485811724e-06	0.00387181911804901	2.12132864557399e-06	6.27944307234659e-06	2.72430259607253e-06	2.72430259607253e-06	6.77947865402054e-06	2.72430259607254e-06	2.72430259607254e-06	2.72430259607254e-06	3.32845226204473e-06	3.55514047627408e-06	2.72430259607254e-06	2.72430259607253e-06	2.72430259607253e-06	0.00386776394199107	2.72430259607253e-06	5.1976823459235e-06	3.32845226204473e-06	2.72430259607253e-06	2.72430259607253e-06	2.72430259607253e-06	0.00386776394199107	3.32845226204472e-06	2.72430259607253e-06	0	0.00386776394199107	2.72430259607253e-06	4.05517605794801e-06	2.72430259607253e-06	2.72430259607254e-06	2.44438736631781e-06	2.72430259607254e-06	4.05517605794801e-06	2.72430259607254e-06	2.72430259607254e-06	0.00386776394199107	2.72430259607253e-06	2.72430259607254e-06	3.55514047627408e-06	4.05517605794801e-06	4.05517605794801e-06	0.00386776394199107	0.00386776394199107	2.72430259607253e-06	3.55514047627407e-06	2.72430259607253e-06	4.05517605794801e-06	3.55514047627407e-06	2.72430259607254e-06	2.72430259607254e-06	2.72430259607253e-06	2.72430259607253e-06	0.00386776394199107	3.32845226204473e-06	2.44438736631782e-06	2.72430259607253e-06
"Oxalis_montana"	0.000779763936899387	0.00055154544784924	1.00529378009896	9.27185069124438e-07	0.00195236547080955	0.000550638547370124	0.000213310525818363	0.000336270986101434	0.000211372778757558	0.000210580249562659	4.54873812639437e-07	0	0.0167879378040236	1.23054299496987e-06	4.74303564369547e-06	0.0167842947874247	4.0978401676955e-05	0.0167675804745781	1.41371159365602e-05	1.74275565618511e-05	1.19963682599905e-06	1.19963682599905e-06	2.62170699812149e-06	1.26841395954669e-05	1.76499899079745e-05	0.0167663808377522	3.32096547157305e-06	1.2684139595467e-05	1.14451558379943e-05	2.62208832081012e-06	1.12227224918709e-05	6.46414306506552e-06	3.82172514680915e-06	3.32096547157306e-06	1.19963682599905e-06	3.32096547157306e-06	2.62170699812147e-06	3.32096547157306e-06	3.82172514680917e-06	3.82172514680916e-06	6.16548713850654e-06	1.19963682599905e-06	1.19963682599905e-06	3.32096547157304e-06	2.121328645574e-06	1.19963682599905e-06	3.32096547157305e-06	1.19963682599905e-06	1.19963682599905e-06	1.19963682599905e-06	0.0167548963349826	1.19963682599905e-06	3.82172514680916e-06	1.29065729415904e-05	3.32096547157305e-06	2.62208832081011e-06	1.3605831415042e-05	1.2684139595467e-05	4.74341696638409e-06	0.0167548963349826	2.62170699812147e-06	1.19963682599905e-06	1.19963682599905e-06	3.82172514680916e-06	1.19963682599905e-06	1.19963682599905e-06	1.19963682599906e-06	1.1484502769468e-05	1.42207017212243e-06	1.19963682599905e-06	1.19963682599905e-06	1.19963682599905e-06	2.121328645574e-06	1.19963682599905e-06	1.51624604213145e-08	1.14845027694679e-05	1.19963682599905e-06	1.19963682599905e-06	1.19963682599905e-06	2.121328645574e-06	1.14845027694679e-05	1.19963682599905e-06	0	2.121328645574e-06	1.19963682599905e-06	2.62208832081011e-06	1.19963682599905e-06	1.19963682599905e-06	5.28431946893895e-06	1.19963682599905e-06	2.62208832081011e-06	1.19963682599905e-06	1.19963682599905e-06	2.12132864557399e-06	1.19963682599905e-06	1.19963682599905e-06	1.42207017212243e-06	2.62208832081011e-06	2.62208832081011e-06	2.12132864557399e-06	2.121328645574e-06	1.19963682599905e-06	1.42207017212243e-06	1.19963682599905e-06	2.62208832081011e-06	1.42207017212243e-06	1.19963682599905e-06	1.19963682599905e-06	1.19963682599905e-06	1.19963682599905e-06	2.121328645574e-06	1.14845027694679e-05	5.28431946893896e-06	1.19963682599905e-06
"Chimaphila_umbellata"	0.00295355177000196	0.000425941537065755	1.85437013824887e-06	1.00292663413235	0.0012636054282135	0.000424583603846478	0.00126302055626383	0.000419222125808204	0.000421119053891807	1.06886369723465e-06	4.08659733931031e-07	0	3.20850489325247e-05	0.0334354317302115	1.4602299522784e-05	3.46427034236024e-05	0.0334864339863643	1.20078050761121e-05	0.0334512848403605	1.56369622731467e-05	4.54392580000303e-06	4.54392580000302e-06	1.29640628417619e-05	1.19768989071412e-05	1.95131735149024e-05	7.46387927610907e-06	6.18216248102516e-06	1.19768989071413e-05	1.21205439913261e-05	2.02182668498324e-06	8.24433274957029e-06	4.57064739243389e-06	6.56575248498624e-06	6.18216248102517e-06	4.54392580000303e-06	6.18216248102517e-06	1.29640628417618e-05	6.18216248102517e-06	6.56575248498626e-06	6.56575248498625e-06	1.20802004077642e-05	4.54392580000303e-06	4.54392580000301e-06	6.18216248102515e-06	1.63823668102213e-06	4.54392580000303e-06	6.18216248102517e-06	4.54392580000303e-06	4.54392580000302e-06	4.54392580000301e-06	3.09061689708145e-08	4.54392580000303e-06	6.56575248498625e-06	1.58531101488971e-05	6.18216248102517e-06	2.02182668498323e-06	9.0712097881604e-06	1.19768989071412e-05	3.66006336600536e-06	3.09061689708145e-08	1.29640628417618e-05	4.54392580000302e-06	4.54392580000303e-06	6.56575248498625e-06	4.54392580000303e-06	4.54392580000304e-06	4.54392580000304e-06	7.43297310713826e-06	8.42013704175883e-06	4.54392580000303e-06	4.54392580000303e-06	4.54392580000302e-06	1.63823668102213e-06	4.54392580000303e-06	1.36219911310344e-08	7.43297310713825e-06	4.54392580000301e-06	4.54392580000302e-06	4.54392580000302e-06	1.63823668102213e-06	7.43297310713824e-06	4.54392580000302e-06	0	1.63823668102213e-06	4.54392580000303e-06	2.02182668498323e-06	4.54392580000302e-06	4.54392580000303e-06	1.05279763472952e-05	4.54392580000303e-06	2.02182668498323e-06	4.54392580000303e-06	4.54392580000303e-06	1.63823668102213e-06	4.54392580000303e-06	4.54392580000303e-06	8.42013704175883e-06	2.02182668498323e-06	2.02182668498323e-06	1.63823668102213e-06	1.63823668102213e-06	4.54392580000302e-06	8.42013704175882e-06	4.54392580000302e-06	2.02182668498323e-06	8.42013704175882e-06	4.54392580000303e-06	4.54392580000303e-06	4.54392580000303e-06	4.54392580000303e-06	1.63823668102213e-06	7.43297310713824e-06	1.05279763472952e-05	4.54392580000303e-06
"Aralia_nudicaulis"	0.00154414559888162	0.000865397588131629	0.000689070166168077	0.000222989193214148	1.00504896509362	0.000567776117962063	0.000744774519643873	0.000193112602438321	0.000149356359003957	7.49576318797834e-05	4.65230069571477e-07	0	0.00593922501679806	9.80858172080227e-06	1.06692243400012e-05	0.0059425180085262	0.00594624816818879	0.00592591284722793	0.00592682648102989	0.00592046049252035	2.37560861366403e-06	2.37560861366402e-06	7.34077207795652e-06	0.00591442834445844	0.00592305004737096	0.00592353723861428	5.70406087570875e-06	0.00591442834445847	1.28867599921368e-05	2.70369579981936e-06	1.02972051415084e-05	4.2495494106586e-06	5.07930441348336e-06	5.70406087570876e-06	2.37560861366403e-06	5.70406087570876e-06	7.34077207795649e-06	5.70406087570876e-06	5.07930441348338e-06	5.07930441348337e-06	1.09973115261566e-05	2.37560861366403e-06	2.37560861366402e-06	5.70406087570874e-06	3.32845226204473e-06	2.37560861366403e-06	5.70406087570876e-06	2.37560861366403e-06	2.37560861366402e-06	2.37560861366402e-06	1.14845027694679e-05	2.37560861366403e-06	5.07930441348337e-06	0.0059170178993091	5.70406087570875e-06	2.70369579981935e-06	0.00591538118810687	0.00591442834445845	6.03214806186405e-06	1.14845027694679e-05	7.34077207795649e-06	2.37560861366402e-06	2.37560861366402e-06	5.07930441348337e-06	2.37560861366403e-06	2.37560861366403e-06	2.37560861366403e-06	0.00591205273584482	4.96516346429249e-06	2.37560861366403e-06	2.37560861366402e-06	2.37560861366402e-06	3.32845226204472e-06	2.37560861366402e-06	1.55076689857159e-08	0.00591205273584481	2.37560861366402e-06	2.37560861366402e-06	2.37560861366402e-06	3.32845226204473e-06	0.0059120527358448	2.37560861366402e-06	0	3.32845226204472e-06	2.37560861366403e-06	2.70369579981935e-06	2.37560861366402e-06	2.37560861366403e-06	3.73390897509892e-06	2.37560861366403e-06	2.70369579981935e-06	2.37560861366403e-06	2.37560861366403e-06	3.32845226204472e-06	2.37560861366403e-06	2.37560861366403e-06	4.96516346429248e-06	2.70369579981935e-06	2.70369579981935e-06	3.32845226204472e-06	3.32845226204473e-06	2.37560861366402e-06	4.96516346429248e-06	2.37560861366402e-06	2.70369579981935e-06	4.96516346429248e-06	2.37560861366403e-06	2.37560861366403e-06	2.37560861366403e-06	2.37560861366403e-06	3.32845226204472e-06	0.0059120527358448	3.73390897509893e-06	2.37560861366403e-06
"Linnaea_borealis"	0.00154859496117534	0.00105434577506648	0.000157325299248607	6.06548005494971e-05	0.000459628285969289	1.00559791398458	0.00049941804478137	0.000156288788673888	0.000120940868339351	0.000252926922975454	0.000192972369645258	0	0.00480575689477697	4.40428047140683e-06	9.76708347624741e-06	0.00481300105754445	0.00481389206226793	7.70823790705306e-06	1.0437429903102e-05	0.00479770282080889	2.3824537864236e-06	2.3824537864236e-06	5.71190741829941e-06	5.08614958624294e-06	0.00479864982065433	5.32578412062947e-06	6.43762984437161e-06	5.08614958624295e-06	0.00480870171025041	0.00478856149516471	0.00480775471040496	8.70562686080994e-06	0.0047909439489511	6.43762984437162e-06	2.3824537864236e-06	6.43762984437162e-06	5.71190741829939e-06	6.43762984437162e-06	0.00479094394895112	0.00479094394895111	0.00479594612485453	2.3824537864236e-06	2.38245378642359e-06	6.4376298443716e-06	4.05517605794802e-06	2.3824537864236e-06	6.43762984437162e-06	2.3824537864236e-06	2.3824537864236e-06	2.38245378642359e-06	2.62208832081011e-06	2.3824537864236e-06	0.00479094394895111	6.03314943169515e-06	6.43762984437161e-06	0.0047885614951647	6.75887185776737e-06	5.08614958624293e-06	0.00479261667122263	2.62208832081011e-06	5.7119074182994e-06	2.3824537864236e-06	2.3824537864236e-06	0.00479094394895111	2.3824537864236e-06	2.3824537864236e-06	2.38245378642361e-06	2.70369579981935e-06	3.32945363187581e-06	2.3824537864236e-06	2.3824537864236e-06	2.3824537864236e-06	4.05517605794801e-06	2.3824537864236e-06	6.4324123215086e-06	2.70369579981935e-06	2.38245378642359e-06	2.3824537864236e-06	2.3824537864236e-06	4.05517605794802e-06	2.70369579981934e-06	2.3824537864236e-06	0	4.05517605794801e-06	2.3824537864236e-06	0.00478856149516469	2.3824537864236e-06	2.3824537864236e-06	3.02352170848378e-06	2.3824537864236e-06	0.00478856149516469	2.3824537864236e-06	2.3824537864236e-06	4.05517605794801e-06	2.3824537864236e-06	2.3824537864236e-06	3.32945363187581e-06	0.00478856149516469	0.00478856149516469	4.05517605794801e-06	4.05517605794801e-06	2.3824537864236e-06	3.32945363187581e-06	2.3824537864236e-06	0.00478856149516469	3.32945363187581e-06	2.3824537864236e-06	2.3824537864236e-06	2.3824537864236e-06	2.3824537864236e-06	4.05517605794801e-06	2.70369579981935e-06	3.02352170848379e-06	2.3824537864236e-06
"Clintonia_borealis"	0.0015810299286104	0.000924336523831259	8.53242103273454e-05	0.000252604111252765	0.000844077788929721	0.000699185262693919	1.00510648572971	8.44982325235973e-05	0.000169070162124733	0.000219209833416392	0.000135188317585162	0	1.74967393707447e-05	1.08524907780825e-05	0.00670669739907739	0.00672612108623419	0.0067318638188946	8.8195873727386e-06	0.00671652755910713	1.42821113087661e-05	2.43235373632369e-06	2.43235373632369e-06	0.00670314225860112	7.39751720061616e-06	0.0067125596624372	6.38723363641491e-06	5.98749421259777e-06	7.39751720061617e-06	0.00671758102206116	3.32945363187581e-06	1.93034709327221e-05	7.91259957173348e-06	5.76180736819948e-06	5.98749421259777e-06	2.4323537363237e-06	5.98749421259777e-06	0.00670314225860106	5.98749421259778e-06	5.7618073681995e-06	5.76180736819949e-06	0.00670759449897293	2.4323537363237e-06	2.43235373632369e-06	5.98749421259775e-06	3.55514047627408e-06	2.43235373632369e-06	5.98749421259777e-06	2.43235373632369e-06	2.43235373632369e-06	2.43235373632369e-06	1.42207017212242e-06	2.4323537363237e-06	5.76180736819949e-06	0.00670567506832906	5.98749421259776e-06	3.32945363187581e-06	8.52030394056657e-06	7.39751720061615e-06	6.88459410814986e-06	1.42207017212242e-06	0.00670314225860108	2.43235373632369e-06	2.43235373632369e-06	5.76180736819949e-06	2.43235373632369e-06	2.4323537363237e-06	2.4323537363237e-06	4.96516346429249e-06	0.00670070990486477	2.4323537363237e-06	2.43235373632369e-06	2.43235373632369e-06	3.55514047627407e-06	2.43235373632369e-06	4.50627725283871e-06	4.96516346429248e-06	2.43235373632368e-06	2.43235373632369e-06	2.43235373632369e-06	3.55514047627407e-06	4.96516346429248e-06	2.43235373632369e-06	0	3.55514047627407e-06	2.43235373632369e-06	3.3294536318758e-06	2.43235373632369e-06	2.43235373632369e-06	4.22675405311833e-06	2.43235373632369e-06	3.32945363187581e-06	2.43235373632369e-06	2.43235373632369e-06	3.55514047627407e-06	2.43235373632369e-06	2.43235373632369e-06	0.00670070990486477	3.32945363187581e-06	3.3294536318758e-06	3.55514047627406e-06	3.55514047627407e-06	2.43235373632369e-06	0.00670070990486477	2.43235373632369e-06	3.3294536318758e-06	0.00670070990486477	2.43235373632369e-06	2.43235373632369e-06	2.43235373632369e-06	2.43235373632369e-06	3.55514047627407e-06	4.96516346429248e-06	4.22675405311834e-06	2.43235373632369e-06
"Cypripedium_acaule"	0.00064277131021871	0.00164215372962186	0.0010088129583043	0.000628833188712307	0.00164145712072573	0.00164103228107583	0.000633736743926978	1.00162928119937	0.000630763994011969	1.49344322609043e-06	6.74131815673005e-07	0	0.0501220636547124	2.19499852292082e-05	1.15297664481389e-05	6.16198212397726e-05	0.0501471941021131	2.74580583657857e-05	3.58305269773041e-05	2.47749243775695e-05	9.88878938798017e-07	9.88878938798013e-07	5.2137905649779e-06	1.0644509060714e-05	2.80109570649513e-05	2.64691794269878e-05	7.304854821959e-06	1.06445090607141e-05	1.84151340842099e-05	7.81443943369444e-06	1.51791013968281e-05	1.02621501945028e-06	8.80331837249241e-06	7.30485482195902e-06	9.88878938798017e-07	7.30485482195902e-06	5.21379056497786e-06	7.30485482195902e-06	8.80331837249244e-06	8.80331837249243e-06	1.83553269430353e-05	9.88878938798016e-07	9.88878938798011e-07	7.30485482195899e-06	6.315975883161e-06	9.88878938798015e-07	7.30485482195902e-06	9.88878938798015e-07	9.88878938798014e-07	9.88878938798012e-07	1.68135493050717e-05	9.88878938798016e-07	8.80331837249243e-06	1.38805417480959e-05	7.30485482195901e-06	7.81443943369442e-06	1.59716060050771e-05	1.0644509060714e-05	1.41304153168554e-05	1.68135493050717e-05	5.21379056497787e-06	9.88878938798014e-07	9.88878938798014e-07	8.80331837249242e-06	9.88878938798015e-07	9.88878938798016e-07	9.88878938798017e-07	9.65563012191606e-06	4.22491162617987e-06	9.88878938798016e-07	9.88878938798014e-07	9.88878938798012e-07	6.31597588316099e-06	9.88878938798014e-07	2.24710605224335e-08	9.65563012191604e-06	9.88878938798011e-07	9.88878938798013e-07	9.88878938798013e-07	6.315975883161e-06	9.65563012191603e-06	9.88878938798012e-07	0	6.31597588316099e-06	9.88878938798014e-07	7.81443943369441e-06	9.88878938798014e-07	9.88878938798015e-07	1.57690998502992e-05	9.88878938798016e-07	7.81443943369442e-06	9.88878938798015e-07	9.88878938798016e-07	6.31597588316099e-06	9.88878938798015e-07	9.88878938798015e-07	4.22491162617987e-06	7.81443943369442e-06	7.81443943369441e-06	6.31597588316099e-06	6.315975883161e-06	9.88878938798013e-07	4.22491162617987e-06	9.88878938798014e-07	7.81443943369441e-06	4.22491162617987e-06	9.88878938798015e-07	9.88878938798015e-07	9.88878938798015e-07	9.88878938798015e-07	6.31597588316099e-06	9.65563012191603e-06	1.57690998502992e-05	9.88878938798015e-07
"Pyrola_secunda"	0.000639455773674366	0.000635540715242633	0.000317059168136337	0.000315839290418856	0.000634764525766816	0.000634939558781593	0.000634013107967749	0.000315381997005985	1.00565767817097	0.000315696175651452	6.41617396489737e-07	0	3.02552373691388e-05	1.15117544606404e-05	7.65491953278132e-06	0.0251690310283508	0.0251821513806882	1.0002006557383e-05	1.94724174888576e-05	1.01855961632457e-05	9.83778113345179e-07	9.83778113345175e-07	5.21053216646353e-06	4.71768708844408e-06	1.34285721030188e-05	9.01822844403788e-06	3.42816547966299e-06	4.7176870884441e-06	1.76084547657559e-05	3.02352170848379e-06	1.43654788259827e-05	8.87618250463145e-06	4.00729982182895e-06	3.428165479663e-06	9.83778113345179e-07	3.428165479663e-06	5.21053216646349e-06	3.428165479663e-06	4.00729982182896e-06	4.00729982182896e-06	9.69466312791994e-06	9.83778113345178e-07	9.83778113345173e-07	3.42816547966298e-06	2.44438736631782e-06	9.83778113345177e-07	3.42816547966299e-06	9.83778113345176e-07	9.83778113345176e-07	9.83778113345173e-07	5.28431946893894e-06	9.83778113345178e-07	4.00729982182895e-06	7.96066302821725e-06	3.42816547966299e-06	3.02352170848378e-06	6.17829634141675e-06	4.71768708844408e-06	5.46790907480158e-06	5.28431946893894e-06	5.2105321664635e-06	9.83778113345176e-07	9.83778113345176e-07	4.00729982182895e-06	9.83778113345177e-07	9.83778113345179e-07	9.83778113345179e-07	3.73390897509893e-06	4.22675405311834e-06	9.83778113345178e-07	9.83778113345176e-07	9.83778113345175e-07	2.44438736631781e-06	9.83778113345176e-07	2.13872465496579e-08	3.73390897509892e-06	9.83778113345173e-07	9.83778113345176e-07	9.83778113345176e-07	2.44438736631782e-06	3.73390897509891e-06	9.83778113345175e-07	0	2.44438736631781e-06	9.83778113345176e-07	3.02352170848378e-06	9.83778113345176e-07	9.83778113345177e-07	0.0251414419542742	9.83778113345178e-07	3.02352170848378e-06	9.83778113345177e-07	9.83778113345178e-07	2.44438736631781e-06	9.83778113345177e-07	9.83778113345177e-07	4.22675405311834e-06	3.02352170848378e-06	3.02352170848378e-06	2.44438736631781e-06	2.44438736631782e-06	9.83778113345176e-07	4.22675405311834e-06	9.83778113345176e-07	3.02352170848378e-06	4.22675405311834e-06	9.83778113345177e-07	9.83778113345177e-07	9.83778113345177e-07	9.83778113345177e-07	2.44438736631781e-06	3.73390897509891e-06	0.0251414419542742	9.83778113345177e-07
"Trillium_undulatum"	0.00209098180541883	0.0013288682281438	0.000315870374343988	8.01647772925989e-07	0.000318569935489078	0.00132786634562113	0.00082203687531147	7.46721613045216e-07	0.000315696175651451	1.00257166545133	0.00100790654031338	0	1.86099878378066e-05	3.2436166776906e-06	1.38081725673764e-05	0.0250994538333524	2.99617485031268e-05	1.03553421213208e-05	1.0597803310095e-05	1.65250406033476e-05	3.21689508525973e-06	3.21689508525973e-06	8.69714092066954e-06	5.0908358822543e-06	1.87883913534976e-05	7.13844703606106e-06	8.32792673196665e-06	5.09083588225431e-06	0.0251148029715169	6.32317307438635e-06	0.0251125396207667	0.0250675085313685	9.54006815964604e-06	8.32792673196667e-06	3.21689508525973e-06	8.32792673196667e-06	8.69714092066949e-06	8.32792673196667e-06	9.54006815964608e-06	9.54006815964606e-06	1.69144505565031e-05	3.21689508525973e-06	3.21689508525972e-06	8.32792673196663e-06	5.11103164670693e-06	3.21689508525973e-06	8.32792673196666e-06	3.21689508525973e-06	3.21689508525973e-06	3.21689508525972e-06	5.26450623906646e-06	3.21689508525973e-06	9.54006815964606e-06	7.35418663240437e-06	8.32792673196666e-06	6.32317307438634e-06	6.98497244370152e-06	5.09083588225429e-06	1.14342047210932e-05	5.26450623906646e-06	8.69714092066951e-06	3.21689508525973e-06	3.21689508525973e-06	9.54006815964606e-06	3.21689508525973e-06	3.21689508525973e-06	3.21689508525974e-06	1.87394079699458e-06	5.4802458354098e-06	3.21689508525973e-06	3.21689508525973e-06	3.21689508525972e-06	5.11103164670692e-06	3.21689508525973e-06	3.35968846771128e-05	1.87394079699458e-06	3.21689508525972e-06	3.21689508525973e-06	3.21689508525973e-06	5.11103164670693e-06	1.87394079699458e-06	3.21689508525972e-06	0	5.11103164670692e-06	3.21689508525973e-06	6.32317307438633e-06	3.21689508525973e-06	3.21689508525973e-06	7.89240439128629e-06	3.21689508525973e-06	6.32317307438633e-06	3.21689508525973e-06	3.21689508525973e-06	5.11103164670692e-06	3.21689508525973e-06	3.21689508525973e-06	5.4802458354098e-06	6.32317307438633e-06	6.32317307438633e-06	5.11103164670692e-06	5.11103164670693e-06	3.21689508525973e-06	5.4802458354098e-06	3.21689508525973e-06	6.32317307438633e-06	5.4802458354098e-06	3.21689508525973e-06	3.21689508525973e-06	3.21689508525973e-06	3.21689508525973e-06	5.11103164670692e-06	1.87394079699458e-06	7.89240439128631e-06	3.21689508525973e-06
