"Centaurea_nigra"	"Leucanthemum_vulgare"	"Cirsium_palustre"	"Ranunculus_acris"	"Cirsium_arvense"	"Filipendula_ulmaria"	"Galium_verum"	"Hypochoeris_radicata"	"Primula_veris"	"Lotus_corniculatus"	"Lathyrus_pratensis"	"Orchis_morio"	"Taraxacum_officinale"	"Trifolium_repens"	"Cerastium_fontanum"	"Trifolium_dubium"	"Bombus_lapidarius"	"Maniola_jurtina"	"Bombus_pascuorum"	"Calocoris_bipunctatus"	"Empis_livida"	"Psithyrus_vest"	"Episyrphus_balteatus"	"Bombus_pratorum"	"Apis_mellifera"	"Bombus_terrestris.lucorum"	"Eristalis_tenax"	"Helophilus_sp1_M_PL_007"	"Syrphus_sp1_M_PL_007"	"Scathophaga_stercoraria"	"Sphaerophoria_sp1_M_PL_007"	"Anthophora_plumipes"	"Cheilosia_bergenstammi"	"Lucillia_sp1_M_PL_007"	"Melanostoma_sp1_M_PL_007"	"Platycheirus_sp1_M_PL_007"	"Eriothrix_rufomaculatus"	"Eristalis_nemorum"	"Meliscaeva_sp1_M_PL_007"	"Andrena_chrysosceles"	"Pollenia_sp1_M_PL_007"	"Andrena_pubescens"	"Bombus_hortorum"	"Cephus_pygmaeus"	"Eristalis_intricarius"	"Lasioglossum_calceatum"	"Lasioglossum_villosulum"	"Lycaena_phlaeas"	"Panameria_tenebrata"	"Sarcophagus_sp1_M_PL_007"	"Tropidia_scitta"	"Volucella_bombylans"
"Centaurea_nigra"	1.0038753758003	0.00197989054581743	0.000612032637618571	0.000559980315576974	0.000796834159191862	0.000819611866938986	0.000135272895919177	0.000371376845188941	0.000292922071536714	0.000164217212852305	9.64015385846728e-05	0.00023167443450385	1.20256412660629e-06	9.64015385846728e-05	0	6.78156742676323e-05	0.00678156742676322	0.00672295796887897	0.0067481077009271	0.00670843918851918	0.00671786723873736	0.00671723137149398	0.00672798179336742	0.00671723137149399	0.00669250250533535	0.00670925360734194	0.00671363929650979	0.00670702128569513	0.00672292371763952	1.4558865830674e-05	3.56630025914235e-05	7.32305178841785e-06	5.09073014160886e-06	9.42805021817823e-06	2.62275213160583e-05	0.0067136392965098	1.59366831838372e-05	9.42805021817823e-06	1.45187803597871e-05	9.42805021817823e-06	9.42805021817823e-06	5.09073014160886e-06	0.00669250250533534	5.09073014160886e-06	7.32305178841785e-06	5.09073014160886e-06	9.28442112972353e-06	0	4.00854708868763e-08	9.42805021817823e-06	9.42805021817823e-06	9.42805021817823e-06
"Leucanthemum_vulgare"	0.00141420753272673	1.00541825524963	0.000369375190855478	0.000892822715873315	0.000330369064071632	0.000746472064897358	9.69494879736404e-05	0.000169859812315798	0.000209612599011114	4.8950630364227e-05	4.65239100590551e-07	9.7414727074231e-05	0.000257305156749494	4.65239100590551e-07	0	4.84853912636364e-05	0.00484853912636364	0.00481185797902311	3.25667370413385e-05	1.60354314996109e-05	0.00480374140887881	0.00480636840736876	3.24330641352871e-05	0.00480636840736877	9.42805021817823e-06	0.00480237434257266	0.00480779791423877	0.00480525059774168	0.00481204440954667	0.00480439938608183	0.00481504133454673	5.24031497527785e-06	8.11657014430286e-06	0.0047877059773792	0.0048064864341649	0.00480779791423877	6.60738128143264e-06	0.0047877059773792	0.0047958225475235	0.0047877059773792	0.0047877059773792	8.11657014430286e-06	9.42805021817823e-06	8.11657014430286e-06	5.24031497527785e-06	8.11657014430286e-06	4.24649530789496e-06	0	8.57683855831646e-06	0.00478770597737921	0.00478770597737921	0.0047877059773792
"Cirsium_palustre"	0.00229512239106964	0.00193921975199126	1.00228364709828	0.000617525871964478	0.000255043680497165	0.000256253437847615	1.24876814131235e-06	0.000253890886990707	0.000253943568499103	0.000611538673398527	0.000359894282239398	0.00036114305038071	9.99966315213759e-07	0.000359894282239398	0	0.000251644391159129	0.0251644391159129	3.5249940885108e-05	0.0251925997567579	2.04016895504076e-05	2.96360693217945e-05	0.0250816263731688	3.74093915994776e-05	0.0250816263731688	1.53008159404643e-05	3.08837849243288e-05	2.81959591096743e-05	3.01490672751646e-05	3.4543231284442e-05	1.48815835452075e-05	2.50290154661398e-05	6.34858921247756e-06	5.61387156331344e-06	9.23437977138695e-06	1.85090147325235e-05	2.81959591096743e-05	5.1008736099433e-06	9.23437977138695e-06	1.48482513347004e-05	9.23437977138695e-06	9.23437977138695e-06	5.61387156331344e-06	1.53008159404643e-05	5.61387156331344e-06	6.34858921247756e-06	5.61387156331344e-06	6.34727217476767e-06	0	3.33322105071253e-08	9.23437977138695e-06	9.23437977138695e-06	9.23437977138695e-06
"Ranunculus_acris"	0.000763609521241328	0.0017044797303036	0.000224554862532538	1.00548163703694	0.000322856199805402	0.000399834187625527	9.21945025399698e-07	9.30830003473988e-05	9.2949900506239e-05	0.000223300117742589	0.000131332668332167	0.000132254613357567	0.000306896199505575	0.000131332668332167	0	9.19674494104223e-05	0.00919674494104221	0.00916040657916331	0.0091932867832517	1.15478541377169e-05	1.96644242820198e-05	1.88211718492252e-05	1.75843064795617e-05	1.88211718492252e-05	5.09073014160886e-06	1.55310477985677e-05	1.89192172519907e-05	0.0091539494551672	2.12462922606757e-05	0.00915908859834246	2.85129447904232e-05	2.32374751265597e-06	0.0091407421548813	8.11657014430286e-06	0.00915457064199168	1.89192172519907e-05	6.45712399610805e-06	8.11657014430286e-06	0.0091488587250256	8.11657014430286e-06	8.11657014430286e-06	0.0091407421548813	5.09073014160886e-06	0.00914074215488129	2.32374751265597e-06	0.0091407421548813	2.32707500868497e-06	0	1.02298733168525e-05	8.11657014430286e-06	8.11657014430286e-06	8.11657014430286e-06
"Cirsium_arvense"	0.00239050247757558	0.00138755006910085	0.000204034944397732	0.000710283639571885	1.00438887962398	0.000205321718441909	6.73294956895819e-07	0.0002034057816674	0.000203591713337089	0.000202191948526051	5.39322332270726e-07	1.21261728916654e-06	6.3100130728205e-07	5.39322332270726e-07	0	0.00020165262619378	0.020165262619378	0.020116778780941	3.77525632589508e-05	0.0201037142756634	0.0201103216569449	2.76449380752132e-05	2.40290804559855e-05	2.76449380752132e-05	1.59366831838372e-05	2.76338572986971e-05	2.54772318715828e-05	2.90011884613779e-05	3.05623764132679e-05	1.30855386544501e-05	9.63566738880536e-06	5.08979283342723e-06	6.45712399610805e-06	6.60738128143264e-06	1.59976726838537e-05	2.54772318715829e-05	0.0200877775924796	6.60738128143264e-06	1.30645052775407e-05	6.60738128143264e-06	6.60738128143264e-06	6.45712399610805e-06	1.59366831838372e-05	6.45712399610805e-06	5.08979283342722e-06	6.45712399610805e-06	5.085144541685e-06	0	2.10333769094017e-08	6.60738128143264e-06	6.60738128143264e-06	6.60738128143264e-06
"Filipendula_ulmaria"	0.00175631114344068	0.00223941619469207	0.000146430535912923	0.000628310866268686	0.000146658370315649	1.00251313044801	0.000575822059045622	0.000793115406856515	0.000145609129700681	0.000144694976513224	6.80987655719377e-07	0.000576503046701342	0.000289631959387493	6.80987655719377e-07	0	0.000144013988857505	0.0144013988857504	3.1017711970054e-05	4.76691359003564e-05	1.46419083625842e-05	2.5305795003975e-05	2.60333909954851e-05	0.0144011606465606	2.60333909954851e-05	1.17087409562712e-05	2.60128558401791e-05	0.0143439887768549	2.8084544563741e-05	0.0143638166620263	2.60302022537196e-05	0.0143899423057205	3.64022824251701e-06	5.71191696607896e-06	1.06638866413908e-05	0.0143379919528647	0.0143439887768549	2.93316740631298e-06	1.06638866413908e-05	1.63758036074698e-05	1.06638866413908e-05	1.06638866413908e-05	5.71191696607897e-06	1.17087409562712e-05	5.71191696607896e-06	3.64022824251701e-06	5.71191696607896e-06	1.98278851714129e-05	0	9.65439864624977e-06	1.06638866413908e-05	1.06638866413908e-05	1.06638866413908e-05
"Galium_verum"	0.00101454671939383	0.00101796962372323	2.4975362826247e-06	5.07069763969834e-06	1.68323739223955e-06	0.00201537720665968	1.00200926040493	0.00100938923425346	1.05275230728533e-06	1.7192991091776e-06	1.05972516350613e-06	0.00201032013008923	0.00100934423496125	1.05972516350613e-06	0	6.59573945671471e-07	6.59573945671471e-05	1.16908811937556e-05	7.41807614454289e-05	6.79730954380365e-06	1.16447839424857e-05	1.16735576017065e-05	0.0502282631698538	1.16735576017065e-05	6.76364479595886e-06	1.1637438002323e-05	4.0402222146922e-05	1.16572164459109e-05	6.56369530032586e-05	3.85383794819936e-05	0.0502347570764323	2.63188076821333e-08	4.60972512699849e-08	4.84747439868202e-06	3.36846746022331e-05	4.0402222146922e-05	3.36647478447909e-08	4.84747439868202e-06	4.89357164995201e-06	4.84747439868202e-06	4.84747439868202e-06	4.60972512699849e-08	6.76364479595886e-06	4.60972512699849e-08	2.63188076821333e-08	4.60972512699849e-08	2.52347308563366e-05	0	3.36448078320417e-05	4.84747439868202e-06	4.84747439868202e-06	4.84747439868202e-06
"Hypochoeris_radicata"	0.00139266316945853	0.000891764014657941	0.000253890886990707	0.000255978250955346	0.00025425722708425	0.0013879519619989	0.000504694617126732	1.00389325700412	0.000253817754697826	0.000252565674416548	6.79553835712775e-07	0.000505374170962445	1.55014029050309e-06	6.79553835712775e-07	0	0.000251886120580835	0.0251886120580835	2.09431359879885e-05	4.75687684998943e-05	1.43695656714085e-05	1.86160609793035e-05	1.98781886123861e-05	0.0251685242679592	1.98781886123862e-05	9.28442112972353e-06	1.98763603050641e-05	3.33588016090314e-05	1.58579914463034e-05	0.025130690226712	6.6252416595967e-06	6.62065883774093e-05	6.34544386744565e-06	2.32707500868497e-06	4.24649530789496e-06	2.64014554879928e-05	3.33588016090314e-05	5.08514454168501e-06	4.24649530789496e-06	6.57357031657993e-06	4.24649530789496e-06	4.24649530789496e-06	2.32707500868497e-06	9.28442112972353e-06	2.32707500868497e-06	6.34544386744565e-06	2.32707500868497e-06	0.0250973314251029	0	5.16713430167696e-08	4.24649530789496e-06	4.24649530789496e-06	4.24649530789496e-06
"Primula_veris"	0.00109845776826268	0.00110046614480835	0.000253943568499102	0.000255612226392157	0.000254489641671361	0.000254815976976191	5.26376153642666e-07	0.000253817754697826	1.00612173438832	0.000252682771434024	4.10612608079895e-07	9.36988761722561e-07	4.33110994364121e-07	4.10612608079895e-07	0	0.000252272158825944	0.0252272158825944	1.99769071097789e-05	2.87428825655927e-05	1.24128446218451e-05	1.76531595971229e-05	1.89119559761732e-05	1.73662756647867e-05	1.89119559761733e-05	7.32305178841785e-06	0.0251656067264716	1.62035950062127e-05	1.48871142763517e-05	2.25490388736584e-05	7.5784995210793e-06	8.95253201734655e-06	0.0251530433597079	2.32374751265598e-06	5.24031497527785e-06	1.12042907304508e-05	1.62035950062127e-05	5.08979283342723e-06	5.24031497527785e-06	7.56406248793382e-06	5.24031497527785e-06	5.24031497527785e-06	2.32374751265598e-06	7.32305178841785e-06	2.32374751265597e-06	0.0251530433597079	2.32374751265598e-06	6.34544386744565e-06	0	1.44370331454707e-08	5.24031497527785e-06	5.24031497527785e-06	5.24031497527785e-06
"Lotus_corniculatus"	0.00123162909639229	0.000513981618824383	0.00122307734679705	0.00122815064758424	0.000505479871315127	0.000506432417796284	1.7192991091776e-06	0.000505131348833095	0.000505365542868049	1.00122032832507	0.00071826602761238	0.000719985326721558	1.13490700645647e-06	0.00071826602761238	0	0.000502062297462624	0.0502062297462624	3.19329954742586e-05	0.0502786219328666	1.83204580689178e-05	2.07679895871292e-05	4.12353258307529e-05	5.21593690352813e-05	4.1235325830753e-05	8.21086064261526e-06	2.32925307325278e-05	1.78931409864878e-05	2.1823398047956e-05	3.05214247073152e-05	1.36503676388894e-05	3.38055864235986e-05	1.26341385717012e-05	1.11650058871295e-05	2.44753151821135e-06	2.0847286231002e-05	1.78931409864878e-05	1.01095974263026e-05	2.44753151821135e-06	1.36125374053408e-05	2.44753151821135e-06	2.44753151821135e-06	1.11650058871295e-05	8.21086064261525e-06	1.11650058871295e-05	1.26341385717012e-05	1.11650058871295e-05	1.26282837208274e-05	0	3.78302335485491e-08	2.44753151821135e-06	2.44753151821135e-06	2.44753151821135e-06
