"Dryas_integrifolia"	"Salix_arctica"	"Saxifraga_oppositifolia"	"Potentilla_nivea"	"Papaver_radicatum"	"Pedicularis_arctica"	"Lesquerella_arctica"	"Polygonum_viviparum"	"Arnica_alpina"	"Taraxacum_arctogenum"	"Stellaria_longipes"	"Erysimum_pallasii"	"Saxifraga_hirculus"	"Cassiope_tetragona"	"Cerastium_alpinum"	"Draba_sp1_M_PL_020"	"Erigeron_compositus"	"Erigeron_eriocephalus"	"Pedicularis_capitata"	"Ranumculus_sulphureus"	"Bombus_sp1_M_PL_020"	"Carposcalis_carinata"	"Limnophyes_sp1_M_PL_020"	"Rhamphomyia_filicauda"	"Sciari_sp1_M_PL_020"	"Smittia_sp1_M_PL_020"	"Boreellus_atriceps"	"Peleteria_aenea"	"Smittia_velutina"	"Dictyna_borealis"	"Eupogonomyia_groenlandica"	"Xysticus_deichmanni"	"Anarta_richardsoni"	"Boloria_chariclea"	"Boloria_polaris"	"Bryobia_praetiosa"	"Colias_hecla"	"Crymodes_exulis"	"Lasiestra_leucocycla"	"Metasyrphus_chillcotti"	"Paraphaenocladius_despectus"	"Periscepsia_sp1_M_PL_020"	"Rhamphomyia_sp1_M_PL_020"	"Scatophaga_apicaulis"	"Stenomacrus_sp1_M_PL_020"	"Tachinidae_sp1_M_PL_020"	"Aedes_sp1_M_PL_020"	"Calliphoridae_sp1_M_PL_020"	"Ceratopogon_sp1_M_PL_020"	"Fucellia_pictipennis"	"Lycaena_feildeni"	"Nematus_sp1_M_PL_020"	"Olethreutes_inquietana"	"Phalacrodira_nigropilosa"	"Plebius_aquilo"	"Pogonomyoides_segnis"	"Rhamphomyia_hoeli"	"Rhamphomyia_sp2_M_PL_020"	"Spilogona_dorsata"	"Spilogona_sanctipauli"	"Unidentified_sp1_M_PL_020"	"Unidentified_sp2_M_PL_020"	"Unidentified_sp3_M_PL_020"	"Acarina_sp1_M_PL_020"	"Aedes_impiger"	"Aedes_nigripes"	"Allopiophila_fulviceps"	"Apanteles_sp1_M_PL_020"	"Arctoseius_cetratus"	"Atractodes_sp1_M_PL_020"	"Cecidophyes_sp1_M_PL_020"	"Ceratopogon_sp2_M_PL_020"	"Chalcidae_sp1_M_PL_020"	"Corynoneura_scutellata"	"Cricotopus_sp1_M_PL_020"	"Cryptus_arcticus"	"Culicoides_sp1_M_PL_020"	"Dolichopus_dasyops"	"Entomobrya_comparata"	"Erigone_pyschrophila"	"Forcipomyia_sp1_M_PL_020"	"Helophilus_borealis"	"Ichneumonidae_sp1_M_PL_020"	"Lasiopiophila_pilosa"	"Microspectra_sp1_M_PL_020"	"Microspectra_sp2_M_PL_020"	"Oresbius_sp1_M_PL_020"	"Orthocladiinae_sp1_M_PL_020"	"Pardosa_glacialis"	"Pectinarctica_stylata"	"Pegomyia_sp1_M_PL_020"	"Phormia_terraenovae"	"Phytomyza_erigerontophaga"	"Procladius_sp1_M_PL_020"	"Psectrocladius_sp1_M_PL_020"	"Rhamphomyia_ursinella"	"Saotis_sp1_M_PL_020"	"Scatophaga_multisetosa"	"Scatophaga_sp1_M_PL_020"	"Spilogona_denudata"	"Spilogona_extensa"	"Spilogona_melanosoma"	"Spilogona_obsoleta"	"Spilogona_tornensis"	"Spilogona_tundrae"	"Sympistris_labradoris"	"Tarentula_exasperans"	"Tipula_arctica"	"Tridymus_sp1_M_PL_020"	"Unidentified_sp4_M_PL_020"	"Unidentified_sp5_M_PL_020"
"Dryas_integrifolia"	1.00627350042883	0.000535725367590185	0.000507388285880242	0.000447980578821247	0.000330217375426941	0.000391371173936475	0.000283455934366536	0.00042748898438275	0.000236709689374365	0.000202867737068567	0.00011843080457393	6.63194392007742e-05	5.63786332492974e-05	2.41958118886848e-05	8.42775125987294e-05	4.21358593132997e-05	0	2.41853363106056e-05	2.41958118886848e-05	2.41853363106056e-05	0.00169370683220794	0.00169442141657297	0.00169297354174239	0.0016951386033223	0.00169264217779918	0.00169128598486212	0.00168798348254287	0.00169136422580622	0.0016888676698302	1.23783667209241e-05	0.00168543437253199	0.0016845367585607	0.00168385654634708	0.00168525350727011	0.00168122078660066	0.00168400518258674	0.0016835056058061	0.00168525394531003	0.00168525394531003	0.00168122078660066	8.01199762531088e-06	0.00168122078660066	0.00168560554980914	0.00168122078660066	0.00168290220249152	0.00168423680115603	0.00168103621245408	4.09828588594613e-06	0.00168103621245408	4.09828588594614e-06	6.38310509138773e-06	4.09828588594614e-06	7.11430044131987e-06	4.09828588594614e-06	6.73514763042199e-06	0.00168085567220489	0.00168103621245408	0.00168027201109656	0.00168555025197458	0.00168187237831897	0.00168012447685496	0.00168085567220489	0.00168012447685496	1.9841680281118e-06	0.00167712250071471	0.00167712250071472	0.00167712250071471	0.00167712250071471	2.11411785783434e-06	2.96077011434824e-06	2.11411785783434e-06	0.00167712250071471	2.81893166246487e-06	3.91371173936475e-06	0.00167712250071472	1.98416802811179e-06	0.00167712250071471	4.74987760425278e-06	3.1495103818504e-06	0.00167712250071471	0.00167712250071471	0.00167712250071471	0.00167712250071471	0.00167712250071471	1.98416802811179e-06	0.00167712250071471	1.9841680281118e-06	0.00167712250071471	1.9841680281118e-06	1.9841680281118e-06	0.00167712250071471	1.9841680281118e-06	0	0.00167712250071471	0.00167712250071472	0.00167712250071471	0.00167712250071471	1.9841680281118e-06	2.11411785783434e-06	0.00167712250071471	0.00167712250071471	0.00167712250071471	0.00167712250071471	0.00167712250071471	0.00167712250071471	3.00197614024492e-06	2.11411785783434e-06	1.9841680281118e-06	3.00197614024492e-06	2.11411785783434e-06	0.00167712250071471
"Salix_arctica"	0.00119050081686708	1.0054038744303	0.00193288663163994	0.000183428094272119	0.000170678561258373	0.00037026093595372	0.000117131411869246	0.000125423128173524	7.58503649837536e-05	7.54750841983053e-05	4.52186708055331e-07	0.000147034681255921	6.69621710004423e-08	5.35671503235527e-05	9.97069360860201e-08	9.35778425005557e-05	0	5.35674806363308e-05	5.35671503235527e-05	5.35674806363308e-05	0.00374970052264869	0.00374548930070329	0.00374972364454315	8.8429858520912e-06	1.61368131283557e-05	0.00374031160854777	0.00373609741048478	5.77409978335789e-06	0.00373898709258398	1.1967298525273e-05	0.00374311370002222	0.00374110764983498	0.00372709581178671	4.6356764111227e-06	0.00373375591577217	4.81419561225996e-06	4.79370938225058e-06	4.461334983776e-06	4.46133498377601e-06	0.00373375591577218	0.0037354743571036	0.00373375591577217	4.9063257934186e-06	0.00373375591577217	1.9988208043632e-06	4.7706535503512e-06	5.686777387649e-06	0.00373177174774406	5.68677738764899e-06	0.00373177174774407	2.80954135413879e-06	0.00373177174774407	2.78648552223942e-06	0.00373177174774407	3.08019073643469e-06	3.51273548037945e-06	5.68677738764899e-06	3.2856281599923e-06	1.99413872172039e-06	3.37775834115095e-06	3.53579131227882e-06	3.51273548037944e-06	3.53579131227882e-06	0.00372371805344557	1.98416802811179e-06	1.9841680281118e-06	1.9841680281118e-06	1.98416802811179e-06	8.05369429849976e-06	1.13046677013833e-08	8.05369429849976e-06	1.9841680281118e-06	3.34810855002212e-09	3.7026093595372e-06	1.9841680281118e-06	0.00372371805344556	1.98416802811179e-06	1.39359031303916e-06	1.30146013188051e-06	1.98416802811179e-06	1.9841680281118e-06	1.98416802811179e-06	1.98416802811179e-06	1.9841680281118e-06	0.00372371805344556	1.9841680281118e-06	0.00372371805344557	1.9841680281118e-06	0.00372371805344557	0.00372371805344557	1.9841680281118e-06	0.00372371805344557	0	1.98416802811179e-06	1.9841680281118e-06	1.9841680281118e-06	1.98416802811179e-06	0.00372371805344557	8.05369429849976e-06	1.9841680281118e-06	1.9841680281118e-06	1.9841680281118e-06	1.9841680281118e-06	1.9841680281118e-06	1.9841680281118e-06	1.55162328416703e-06	8.05369429849976e-06	0.00372371805344557	1.55162328416703e-06	8.05369429849976e-06	1.9841680281118e-06
"Saxifraga_oppositifolia"	0.0012684707147006	0.00217449746059494	1.00443436912387	0.000311045762708456	0.000191961700249435	0.000486038927141134	0.000306471734916141	1.55953546906955e-06	0.000259732688929672	8.48650203416147e-05	7.05426605371381e-05	0.000165250995773056	1.30123636619557e-07	6.0211510804199e-05	1.06237078283133e-07	0.000105145639519777	0	6.01993769695764e-05	6.0211510804199e-05	6.01993769695764e-05	0.00421480575629394	0.00421131596251531	0.00421395638787035	1.35843089019651e-05	0.00420099698680924	0.0042053217539755	0.00420043590082952	1.10107210269192e-05	0.00420276345413309	0.00419485096118912	0.00420582558079108	0.00420357356662777	1.01851403282127e-05	3.54586303540647e-06	0.0041953110168391	8.11140737947303e-06	5.27364122943186e-06	5.84191301442249e-06	5.8419130144225e-06	0.00419531101683911	0.00419805728825269	0.0041953110168391	4.72349405228336e-06	0.00419531101683911	3.88419055309377e-06	6.12058288609838e-06	6.97450712924568e-06	0.00419319689898127	6.97450712924567e-06	0.00419319689898128	3.15952337159754e-06	0.00419319689898128	4.00646502826406e-06	0.00419319689898128	4.33715438847443e-06	4.7061658804048e-06	6.97450712924567e-06	5.51935935690256e-06	2.12474156566265e-06	2.13144602971289e-06	3.85922422373829e-06	4.70616588040479e-06	3.85922422373829e-06	8.05369429849977e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	0.00418514320468277	1.76356651342845e-06	0.00418514320468278	2.11411785783434e-06	6.50618183097785e-09	4.86038927141134e-06	2.11411785783434e-06	8.05369429849975e-06	2.11411785783434e-06	1.73281718785506e-08	3.40524149906823e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783433e-06	2.11411785783434e-06	2.11411785783434e-06	8.05369429849975e-06	2.11411785783434e-06	8.05369429849978e-06	2.11411785783434e-06	8.05369429849977e-06	8.05369429849977e-06	2.11411785783434e-06	8.05369429849976e-06	0	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	8.05369429849976e-06	0.00418514320468278	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	2.11411785783434e-06	1.74510636590395e-06	0.00418514320468278	8.05369429849976e-06	1.74510636590395e-06	0.00418514320468278	2.11411785783434e-06
"Potentilla_nivea"	0.00223990289410624	0.000412713212112267	0.000622091525416912	1.00326705538085	0.00068250354837651	0.000289919294886936	0.000750824924723585	0.000421999118309449	0.000351422160921798	0.00070058619227417	9.4079867995935e-07	0.000120188996756061	1.26063471717317e-07	0.000119932833449202	1.8759655729533e-07	1.96836766040481e-07	0	2.42944951667597e-07	0.000119932833449202	2.42944951667597e-07	0.00839529834144414	0.00838896910851934	1.70061466167318e-05	0.0083885482388836	2.26107481768084e-05	2.53000567899937e-05	2.45505400875151e-05	2.18083862976957e-05	0.00837131177475429	0.00837651365861115	7.87347064161922e-06	1.38632368028182e-05	9.95061803477191e-06	2.00984871204071e-05	7.85378696501517e-06	0.00837263446549417	2.16141857405936e-05	1.34423671671014e-05	1.34423671671014e-05	7.85378696501518e-06	7.01980842370749e-06	7.85378696501517e-06	0.00836898084542291	7.85378696501517e-06	3.7629946307619e-06	0.00837596840286849	6.63236443904643e-06	4.12061547483811e-06	6.63236443904642e-06	4.12061547483813e-06	1.78810142504166e-05	4.12061547483812e-06	0.00837223523137834	4.12061547483812e-06	0.00836676337255294	0.00836429196633059	6.63236443904642e-06	1.20756706537724e-05	3.75193114590659e-06	8.42205058250427e-06	9.93774920269078e-06	0.00836429196633057	9.93774920269077e-06	1.52856745226766e-06	3.73317149017705e-06	3.73317149017707e-06	3.73317149017706e-06	3.73317149017705e-06	2.59204802257046e-06	2.35199669989837e-08	2.59204802257047e-06	3.73317149017706e-06	6.30317358586585e-09	2.89919294886937e-06	3.73317149017707e-06	1.52856745226765e-06	3.73317149017705e-06	4.68887909232721e-06	8.3424991635954e-06	3.73317149017706e-06	3.73317149017706e-06	3.73317149017705e-06	3.73317149017705e-06	3.73317149017706e-06	1.52856745226765e-06	3.73317149017706e-06	1.52856745226766e-06	3.73317149017706e-06	1.52856745226766e-06	1.52856745226766e-06	3.73317149017706e-06	1.52856745226766e-06	0	3.73317149017706e-06	3.73317149017706e-06	3.73317149017706e-06	3.73317149017706e-06	1.52856745226765e-06	2.59204802257047e-06	3.73317149017706e-06	3.73317149017706e-06	3.73317149017706e-06	3.73317149017706e-06	3.73317149017706e-06	3.73317149017706e-06	6.20457771251373e-06	2.59204802257047e-06	1.52856745226765e-06	6.20457771251373e-06	2.59204802257047e-06	3.73317149017706e-06
"Papaver_radicatum"	0.00180118568414695	0.000418938286725099	0.000418825527816949	0.000744549325501648	1.00452569304362	0.000285538565849223	0.000437940445386096	0.000154762221404704	0.000154243821104645	0.000764853384197532	5.83066107547388e-07	0.000131121041739512	1.01226603789718e-07	2.20038240133551e-07	1.50853072374117e-07	1.57862300509171e-07	0	0.000130962834475513	2.20038240133551e-07	0.000130962834475513	1.54026768093486e-05	0.00915597709548057	0.00916739841328595	0.00915004737713996	1.4686532924702e-05	0.00914607185133957	2.12497453522459e-05	1.18056211381358e-05	1.53586691613219e-05	1.50191721857898e-05	6.31449202036682e-06	1.28547578772915e-05	6.27317966224198e-06	1.74691127813672e-05	6.2987057903159e-06	1.40725588014931e-05	0.00914780128748554	6.92503953671274e-06	6.92503953671275e-06	6.29870579031591e-06	6.15211530856321e-06	6.2987057903159e-06	1.09261340905887e-05	6.2987057903159e-06	3.02161412312309e-06	2.19541102560509e-05	5.85736179873715e-06	3.29672965007098e-06	5.85736179873715e-06	3.29672965007099e-06	0.00914479931134534	3.29672965007099e-06	1.8952134115806e-05	3.29672965007098e-06	0.00913825633265455	9.20655385275865e-06	5.85736179873715e-06	7.86798108897931e-06	3.01706144748233e-06	4.72155637807496e-06	0.00913505373108226	9.20655385275863e-06	0.00913505373108225	1.55162328416703e-06	3.00197614024492e-06	3.00197614024493e-06	3.00197614024492e-06	3.00197614024492e-06	1.74510636590395e-06	1.45766526886847e-08	1.74510636590395e-06	3.00197614024492e-06	5.06133018948592e-09	2.85538565849224e-06	3.00197614024493e-06	1.55162328416703e-06	3.00197614024492e-06	1.71958023783004e-06	4.86600494873441e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	1.55162328416703e-06	3.00197614024492e-06	1.55162328416703e-06	3.00197614024492e-06	1.55162328416703e-06	1.55162328416703e-06	3.00197614024492e-06	1.55162328416703e-06	0	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	1.55162328416703e-06	1.74510636590395e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	3.00197614024492e-06	0.00913205175494202	1.74510636590395e-06	1.55162328416703e-06	0.00913205175494202	1.74510636590395e-06	3.00197614024492e-06
"Pedicularis_arctica"	0.00234822704361885	0.000999704527075044	0.00116649342513872	0.000347903153864324	0.000314092422434145	1.00366885995302	0.000337517132312003	1.78670293223612e-06	0.00016921783531725	1.17376710611985e-06	0.0001685765565322	6.27170835351517e-07	2.72755894384891e-07	0.000144012385427642	1.9666893162637e-07	3.12699508027902e-07	0	0.000144011757816032	0.000144012385427642	0.000144011757816032	0.0100808669799349	2.20128378784647e-05	0.0100808230471223	1.58557306079405e-05	0.0100558447024608	0.0100557708859181	1.49136708028046e-05	1.43155659138839e-05	0.0100520645028494	1.39271702266922e-05	1.25079803211161e-05	1.25080689120809e-05	7.63617335370456e-06	3.95312677926937e-06	1.24767103703133e-05	1.05630950472564e-05	6.78866018295897e-06	6.35096164155664e-06	6.35096164155665e-06	1.24767103703133e-05	0.0100452515981612	1.24767103703133e-05	6.83275694303673e-06	1.24767103703133e-05	8.14176344738898e-06	6.83246747333611e-06	0.0100406023112696	8.56299863094851e-06	0.0100406023112696	8.56299863094854e-06	2.87494844359424e-06	8.56299863094853e-06	2.91875573397137e-06	8.56299863094853e-06	5.7545786073616e-06	6.81290468823411e-06	0.0100406023112696	7.66390209838699e-06	3.93337863252738e-06	3.93356399416737e-06	6.76909739785697e-06	6.81290468823409e-06	6.76909739785696e-06	3.7026093595372e-06	3.91371173936474e-06	3.91371173936475e-06	3.91371173936475e-06	3.91371173936474e-06	4.86038927141133e-06	4.21441391330499e-06	4.86038927141134e-06	3.91371173936475e-06	1.36377947192445e-08	0.0100366885995302	3.91371173936475e-06	3.70260935953719e-06	3.91371173936474e-06	1.98522548026235e-08	3.75019035902226e-06	3.91371173936474e-06	3.91371173936475e-06	3.91371173936474e-06	3.91371173936474e-06	3.91371173936475e-06	3.70260935953719e-06	3.91371173936475e-06	3.7026093595372e-06	3.91371173936475e-06	3.7026093595372e-06	3.7026093595372e-06	3.91371173936475e-06	3.7026093595372e-06	0	3.91371173936475e-06	3.91371173936475e-06	3.91371173936475e-06	3.91371173936475e-06	3.7026093595372e-06	4.86038927141134e-06	3.91371173936475e-06	3.91371173936475e-06	3.91371173936475e-06	3.91371173936475e-06	3.91371173936475e-06	3.91371173936475e-06	2.85538565849223e-06	4.86038927141134e-06	3.7026093595372e-06	2.85538565849223e-06	4.86038927141134e-06	3.91371173936475e-06
"Lesquerella_arctica"	0.00188970622911024	0.000351394235607738	0.000817257959776376	0.00100109989963145	0.000535260544360785	0.000375019035902225	1.00326549852234	0.000413201330711746	0.000877300818905072	1.98375262080137e-06	0.000411377987447475	0.000160060225660025	4.50804029128768e-07	2.85800881596229e-07	1.58266853359317e-07	1.96897544180429e-07	0	2.35994374219997e-07	2.85800881596229e-07	2.35994374219997e-07	2.0006061711736e-05	0.0111764621554341	1.65196061953998e-05	0.0111808764372584	0.0111805166887936	0.0111638668353465	2.04221433979802e-05	0.0111779523828323	1.99489015354168e-05	0.0111716750375301	7.87590176721716e-06	1.58592232958004e-05	9.04209641052807e-06	7.77369882232759e-06	7.85621201279912e-06	0.0111588864375714	8.04857787426481e-06	2.02735051201486e-05	2.02735051201486e-05	7.85621201279913e-06	8.456891989971e-06	7.85621201279912e-06	1.6083135442243e-05	7.85621201279913e-06	1.34565002694937e-05	1.15250720891258e-05	6.89970074087266e-06	4.70670163094872e-06	6.89970074087265e-06	4.70670163094874e-06	4.89906749241444e-06	4.70670163094874e-06	8.37556170727544e-06	4.70670163094874e-06	1.32085041123298e-05	1.14920095454458e-05	6.89970074087265e-06	0.0111505439384078	3.16533706718632e-06	7.74063627864757e-06	8.01551533058479e-06	1.14920095454458e-05	8.01551533058478e-06	1.30146013188051e-06	3.14951038185039e-06	3.1495103818504e-06	3.14951038185039e-06	3.14951038185039e-06	3.40524149906823e-06	1.02844496861868e-05	3.40524149906823e-06	3.1495103818504e-06	2.25402014564384e-08	3.75019035902226e-06	3.1495103818504e-06	1.30146013188051e-06	3.14951038185039e-06	4.59112589679718e-06	0.011147394428026	3.14951038185039e-06	3.1495103818504e-06	3.14951038185039e-06	3.14951038185039e-06	3.14951038185039e-06	1.30146013188051e-06	3.14951038185039e-06	1.30146013188051e-06	3.1495103818504e-06	1.30146013188051e-06	1.30146013188051e-06	3.1495103818504e-06	1.30146013188051e-06	0	3.14951038185039e-06	3.1495103818504e-06	3.1495103818504e-06	3.14951038185039e-06	1.30146013188051e-06	3.40524149906823e-06	3.1495103818504e-06	3.1495103818504e-06	3.14951038185039e-06	3.1495103818504e-06	3.1495103818504e-06	3.14951038185039e-06	4.8660049487344e-06	3.40524149906823e-06	1.30146013188051e-06	4.8660049487344e-06	3.40524149906823e-06	3.14951038185039e-06
"Polygonum_viviparum"	0.00284992656255166	0.000376269384520571	4.15876125085213e-06	0.000562665491079264	0.000189153826161304	1.98522548026235e-06	0.000413201330711746	1.00394512409541	0.00115701419442152	0.000374668128022669	0.000225163951181008	3.99953830340644e-07	3.48287798113355e-07	1.55723888772211e-07	2.38687316796622e-07	1.54405917021816e-07	0	1.13183790570246e-07	1.55723888772211e-07	1.13183790570246e-07	1.09006722140548e-05	1.71803790076419e-05	7.92286533991719e-06	0.0111872240603195	3.1536056913278e-05	1.24913544786003e-05	2.893403909557e-05	0.0111864446997689	1.08695274363003e-05	2.58261073670246e-05	6.17623668087266e-06	6.18079378068751e-06	0.0111610892911996	0.0111659401696869	6.16079608917047e-06	1.40298825933771e-05	1.27139266424606e-05	0.0111762244750926	0.0111762244750926	6.16079608917047e-06	1.43077073972033e-06	6.16079608917047e-06	0.0111643845799789	6.16079608917047e-06	1.03963907736836e-05	1.56832254969578e-05	4.7697298590554e-06	1.4109184849177e-06	4.76972985905539e-06	1.41091848491771e-06	7.96404903820788e-06	1.4109184849177e-06	1.09333478927051e-05	1.4109184849177e-06	6.40845933015726e-06	9.43875669657998e-06	4.76972985905539e-06	9.34100350104993e-06	4.77374633593243e-06	0.0111596957008866	6.4694578420828e-06	9.43875669657996e-06	6.46945784208279e-06	1.39359031303916e-06	4.74987760425276e-06	4.74987760425278e-06	4.74987760425277e-06	4.74987760425276e-06	1.73281718785505e-08	5.62909877952519e-06	1.73281718785506e-08	4.74987760425277e-06	1.74143899056678e-08	1.98522548026235e-08	4.74987760425278e-06	1.39359031303915e-06	4.74987760425277e-06	0.0111549458232823	4.59112589679718e-06	4.74987760425277e-06	4.74987760425277e-06	4.74987760425276e-06	4.74987760425277e-06	4.74987760425277e-06	1.39359031303915e-06	4.74987760425277e-06	1.39359031303916e-06	4.74987760425277e-06	1.39359031303915e-06	1.39359031303915e-06	4.74987760425277e-06	1.39359031303915e-06	0	4.74987760425277e-06	4.74987760425278e-06	4.74987760425277e-06	4.74987760425277e-06	1.39359031303915e-06	1.73281718785506e-08	4.74987760425277e-06	4.74987760425277e-06	4.74987760425277e-06	4.74987760425277e-06	4.74987760425277e-06	4.74987760425277e-06	1.71958023783004e-06	1.73281718785506e-08	1.39359031303915e-06	1.71958023783004e-06	1.73281718785506e-08	4.74987760425277e-06
"Arnica_alpina"	0.00202894019463741	0.000292565693508764	0.000890512076330303	0.000602437990151653	0.000242383147450156	0.000241739764738927	0.00112795819573509	0.00148758967854195	1.00236700279123	0.000289105236122126	0.000528425071719191	6.04610453180571e-07	5.56785026310139e-07	2.23686602441023e-07	1.69927989500621e-07	2.04902521764336e-07	0	1.83330822699485e-07	2.23686602441023e-07	1.83330822699485e-07	1.56580621708716e-05	2.79625097257919e-05	1.2833157588964e-05	0.0143591956210851	0.014354781538561	2.53293602659251e-05	0.0143325226425238	0.0143651824481349	1.56133248503834e-05	0.0143407922637141	8.19610087057341e-06	8.20584114105604e-06	2.09939178397091e-05	2.47287617991195e-05	8.17561061839698e-06	2.09347524171605e-05	1.04034707517355e-05	0.0143394389525004	0.0143394389525004	8.175610618397e-06	7.21144127472392e-06	8.17561061839699e-06	2.49306577816811e-05	8.17561061839699e-06	1.66200330353576e-05	1.32203041776949e-05	5.79896463845163e-06	4.79404362733463e-06	5.79896463845162e-06	4.79404362733465e-06	7.02190376067322e-06	4.79404362733465e-06	9.83873718663257e-06	4.79404362733465e-06	7.2237997432349e-06	8.40188357565946e-06	5.79896463845162e-06	1.59144358325633e-05	3.39855979001241e-06	1.9910341197084e-05	5.58505014970013e-06	8.40188357565944e-06	5.58505014970012e-06	1.08357664262505e-06	3.38156699106235e-06	3.38156699106236e-06	3.38156699106235e-06	3.38156699106235e-06	3.71046698470959e-06	1.32106267929797e-05	3.71046698470959e-06	3.38156699106235e-06	2.78392513155069e-08	2.41739764738928e-06	3.38156699106236e-06	1.08357664262505e-06	3.38156699106235e-06	1.65287742060217e-05	1.2532868841501e-05	3.38156699106235e-06	3.38156699106236e-06	3.38156699106235e-06	3.38156699106235e-06	3.38156699106235e-06	1.08357664262505e-06	3.38156699106235e-06	1.08357664262506e-06	3.38156699106236e-06	1.08357664262506e-06	1.08357664262506e-06	3.38156699106235e-06	1.08357664262505e-06	0	3.38156699106235e-06	3.38156699106236e-06	3.38156699106236e-06	3.38156699106235e-06	1.08357664262505e-06	3.7104669847096e-06	3.38156699106235e-06	3.38156699106236e-06	3.38156699106235e-06	3.38156699106235e-06	3.38156699106235e-06	3.38156699106235e-06	2.20348315863778e-06	3.7104669847096e-06	1.08357664262506e-06	2.20348315863778e-06	3.7104669847096e-06	3.38156699106235e-06
"Taraxacum_arctogenum"	0.00202867737068568	0.000339637878892374	0.000339460081366459	0.00140117238454834	0.00140223120436214	1.95627851019976e-06	2.97562893120206e-06	0.000562002192034005	0.00033728944214248	1.00368296992201	5.65950965202717e-07	5.88356866109821e-07	1.13935494136673e-07	2.54290305871245e-07	1.69905977444362e-07	1.51715890396193e-07	0	2.69635862681982e-07	2.54290305871245e-07	2.69635862681982e-07	1.78003214109872e-05	3.05399373549887e-05	1.88745103877387e-05	3.89010738384311e-05	9.68074066178388e-06	1.88536457588824e-05	0.016738921383329	1.44912296713661e-05	1.7749463349813e-05	1.79423366893119e-05	6.06863561584773e-06	6.08288187011362e-06	1.08835158214924e-05	0.0167376750964516	6.05346402680811e-06	1.50906280327256e-05	0.0167441781840545	1.4444018353556e-05	1.44440183535561e-05	6.05346402680812e-06	2.69189786076733e-06	6.05346402680811e-06	2.13020342894234e-05	6.05346402680812e-06	3.40097449997969e-06	0.0167431070641891	3.40069173624479e-06	2.67233507566532e-06	3.40069173624479e-06	2.67233507566533e-06	0.0167407970551035	2.67233507566533e-06	0.0167397259352381	2.67233507566533e-06	2.44239929411951e-05	1.50575654890456e-05	3.40069173624479e-06	3.41419149482281e-06	3.39811954888722e-06	9.62559775152061e-06	1.6128685354435e-05	1.50575654890456e-05	1.6128685354435e-05	1.25791806997176e-06	3.38112895114278e-06	3.3811289511428e-06	3.38112895114279e-06	3.38112895114278e-06	1.41441700569358e-06	1.41487741300679e-08	1.41441700569358e-06	3.38112895114279e-06	5.69677470683366e-09	1.95627851019976e-08	3.38112895114279e-06	1.25791806997175e-06	3.38112895114279e-06	6.24446880037783e-06	3.30625436800229e-08	3.38112895114279e-06	3.38112895114279e-06	3.38112895114278e-06	3.38112895114278e-06	3.38112895114279e-06	1.25791806997175e-06	3.38112895114279e-06	1.25791806997176e-06	3.38112895114279e-06	1.25791806997176e-06	1.25791806997176e-06	3.38112895114279e-06	1.25791806997176e-06	0	3.38112895114279e-06	3.38112895114279e-06	3.38112895114279e-06	3.38112895114279e-06	1.25791806997176e-06	1.41441700569358e-06	3.38112895114279e-06	3.38112895114279e-06	3.38112895114279e-06	3.38112895114279e-06	3.38112895114279e-06	3.38112895114279e-06	1.27475564032922e-05	1.41441700569358e-06	1.25791806997176e-06	1.27475564032922e-05	1.41441700569358e-06	3.38112895114279e-06
