"Potentilla_vahliana"	"Dryas_integrifolia"	"Astragalus_alpinus"	"Taraxacum_sp1_M_PL_024"	"Caltha_palustris"	"Cerastium_alpinum"	"Arnica_alpina"	"Papaver_radicatum"	"Geum_rossii"	"Oxytropis_arctica"	"Petasites_frigidus"	"Spilogona_sanctipauli"	"Bombus_polaris"	"Spilogona_almquistii"	"Colias_hecla"	"Eupogonomyia_probilofensis"	"Boloria_improba"	"Pogonomyiodes_segnis"	"Spilogona_latilamina"	"Boreellus_atriceps"	"Spilogona_dorsata"	"Spilogona_projecta"	"Spilogona_aesturium"	"Spilogona_melanosoma"	"Anarta_richardsoni"	"Colias_nastes"	"Protocalliphora_sp1_M_PL_024"	"Rhamphomyia_sp1_M_PL_024"	"Spilogona_hurdiana"
"Potentilla_vahliana"	1.00500878843713	0.00109978768186895	0	0.000912095989220608	0.0014717607681455	0.000189161458089834	0.000722836915960475	0.000535153621824953	0.000161425228766379	0	0	0.0112663238825831	0	0.0112997660136465	0	0.0112091886745313	1.83297946978158e-05	0.0112118517917572	0.0111667643159681	0.0111850062357526	0.0111961995313311	2.77878676023075e-05	1.82419197844122e-05	0.0111961995313311	0	0	0.0111667643159682	1.82419197844122e-05	2.94352153629099e-05
"Dryas_integrifolia"	0.00164968152280342	1.00415487706376	0	0.000525746765053078	0.00052613907727179	0.00112072054510382	0.00108187844239871	0.000800888155979201	0.00024107852863833	0	0	0.0168673807712755	0	0.0168754970046831	0	0.0167903070271738	0.0167359146177294	0.0167942888202261	1.83297946978158e-05	2.88447299988773e-05	2.88525762432516e-05	0.0167919506449846	1.05149353010615e-05	2.88525762432516e-05	0	0	1.83297946978158e-05	1.05149353010616e-05	1.05227815454358e-05
"Astragalus_alpinus"	0	0	1.0084118779771	0	0	0	0	0	0	0	0.00168913212391473	0	0.0337826424782947	0	0.0336137292659032	0	0	0	0	0	0	0	0	0	0	0.0336137292659032	0	0	0
"Taraxacum_sp1_M_PL_024"	0.0016417727805971	0.000630896118063693	0	1.00565456138293	0.000629719550210178	0.000337907831735424	0.000627031743804639	0.000290281529024419	0.000288839164639863	0	0	0.020192238923462	0	0.0202187415247904	0	4.9657913212295e-05	1.05149353010616e-05	4.32709315366947e-05	1.82419197844122e-05	0.0201313331474431	3.08363107886157e-05	2.74103268878328e-05	0.0201130912276587	3.08363107886157e-05	0	0	1.82419197844122e-05	0.0201130912276587	1.25943910042036e-05
"Caltha_palustris"	0.00264916938266189	0.000631366892726148	0	0.000629719550210178	1.00464662923015	0.000337758487986784	0.000627127933736522	0.000290527384539279	0.000288711239001436	0	0	0.0201832771613727	0	0.0202097867301005	0	6.08622613662298e-05	1.05227815454358e-05	5.44843661353097e-05	2.94352153629099e-05	4.20296063671135e-05	0.0201223677999659	2.7410705944775e-05	1.25943910042036e-05	0.0201223677999659	0	0	2.94352153629099e-05	1.25943910042036e-05	0.020092932584603
"Cerastium_alpinum"	0.000851226561404254	0.00336216163531146	0	0.000844769579338561	0.000844396219966961	1.00334942294191	0.000843192845407975	4.01507306672001e-06	1.82524460628605e-06	0	0	0.0502948549914214	0	0.000127767122440024	0	9.36005283399485e-05	5.6036027255191e-05	6.56948538130187e-05	9.45807290449171e-06	2.63534644912629e-05	2.63459973038309e-05	0.0502235071743506	1.68953915867712e-05	2.63459973038309e-05	0	0	9.45807290449171e-06	1.68953915867712e-05	1.68879243993392e-05
"Arnica_alpina"	0.00216851074788142	0.00216375688479743	0	0.00104505290634106	0.0010452132228942	0.000562128563605317	1.00215413274484	0.000482512228491672	0.00047970280215712	0	0	0.0335352066875383	0	0.0335791961509984	0	0.0334652949367734	3.60626147466238e-05	8.42827900365566e-05	2.40945638653492e-05	4.49956219921705e-05	4.49988283232332e-05	6.41690429268897e-05	2.09010581268213e-05	4.49988283232333e-05	0	0	2.40945638653492e-05	2.09010581268213e-05	2.09042644578841e-05
"Papaver_radicatum"	0.00240819129821229	0.0024026644679376	0	0.000725703822561048	0.000726318461348199	4.01507306672001e-06	0.000723768342737507	1.00239161403075	0.000718734604399576	0	0	0.000120168899646312	0	0.0503114223079703	0	9.09277003147913e-05	4.00444077989601e-05	0.0501863827904276	2.67576810912476e-05	4.12717575424686e-05	4.12840503182116e-05	4.02451614522961e-05	1.4514076451221e-05	4.12840503182116e-05	0	0	2.67576810912476e-05	1.4514076451221e-05	1.4526369226964e-05
"Geum_rossii"	0.00145282705889741	0.00144647117182998	0	0.00144419582319931	0.00144355619500718	3.6504892125721e-06	0.00143910840647136	0.00143746920879915	1.00143373174759	0	0	0.000146158220780941	0	0.10036122233152	0	8.82206559561828e-05	2.4107852863833e-05	0.000112123836180428	1.61425228766379e-05	4.50264393406242e-05	4.50136467767815e-05	2.42903773244616e-05	2.88839164639863e-05	4.50136467767815e-05	0	0	1.61425228766379e-05	2.88839164639863e-05	2.88711239001436e-05
"Oxytropis_arctica"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0
