"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Sideroxylon_puberulum"	1.0033500259021	0.000845931763221439	0.000840036321757646	0.0025220928055115	2.57293618863987e-06	0.000845146676453882	4.08986271088436e-06	0.00084381120874803	1.68631266611278e-06	7.78735445986495e-07	0.00083912874453752	7.78735445986495e-07	7.78735445986495e-07	7.78735445986495e-07	7.78735445986495e-07	9.07577220126288e-07	7.78735445986495e-07	9.07577220126288e-07	0.0503477246722512	9.34482535183794e-05	5.44546332075773e-05	7.17680297061348e-05	7.1570523021577e-05	0.0502179431512151	1.21869860423641e-05	1.2084739474592e-05	3.3213406385939e-05	5.044185611023e-05	1.2084739474592e-05	2.10952802187007e-05	1.2084739474592e-05
"Psiadia_terebinthina"	0.00024169478949184	1.00623479647002	0.000482476550035498	3.13342495275669e-06	1.31316290757593e-06	0.000962793097312103	0.000962644740110782	0.000243008102256374	0.000241945552657326	5.56421714985609e-07	0.000241087419093157	5.56421714985609e-07	5.56421714985609e-07	5.56421714985609e-07	5.56421714985609e-07	0.00024138913094234	5.56421714985609e-07	0.00024138913094234	0.0144652451455894	6.67706057982731e-05	0.0144833478565404	3.02696477036128e-05	2.41324959318577e-05	1.21474079736471e-05	0.0143988489252173	0.0143747828067145	0.0143988526341473	6.26684990551337e-08	0.0143747828067145	6.07520255640935e-06	0.0143747828067145
"Psidium_cattleianum"	0.000840036321757646	0.00168866792512424	1.00167691175434	5.11395143173835e-06	1.94074196770123e-06	0.000842130283132834	0.000843181547610586	0.000841976800971952	0.000839863172429944	8.82535096661653e-07	0.000837931117001821	8.82535096661653e-07	8.82535096661653e-07	8.82535096661653e-07	8.82535096661653e-07	0.000838980637333282	8.82535096661653e-07	0.000838980637333282	0.0502758670201092	0.000105904211599398	0.050338838239997	4.23282748415833e-05	2.11555361069556e-05	4.21040951165171e-05	4.52033661920395e-05	2.41238275017749e-05	4.51770845800958e-05	1.02279028634767e-07	2.41238275017749e-05	2.10494200242988e-05	2.41238275017749e-05
"Helichrysum_proteoides"	0.0010088371222046	4.38679493385936e-06	2.04558057269534e-06	1.00469598629356	0.000673207208589651	0.00117843758977749	0.000674479979456088	0.00067651754555908	0.000169599870446165	0.000169173332979001	1.61904310553145e-06	0.000169173332979001	0.000169173332979001	0.000169173332979001	0.000169173332979001	4.26537467163885e-07	0.000169173332979001	4.26537467163885e-07	9.71425863318872e-05	0.0203007999574801	2.55922480298331e-05	0.020161355024426	0.0201233806656156	0.0201443615819814	1.69246679854573e-05	6.26684990551337e-08	2.95236082434923e-05	0.0200939197258711	6.26684990551337e-08	1.6912938638977e-05	6.26684990551337e-08
"Stillingia_lineata"	2.57293618863987e-06	4.59607017651576e-06	1.94074196770123e-06	0.00168301802147413	1.00167574908742	0.00042434369873053	0.00167890826179987	0.00168083465990079	0.000421770308869273	0.000420713052728266	8.83485826694139e-07	0.000420713052728266	0.000420713052728266	0.000420713052728266	0.000420713052728266	1.0572561410071e-06	0.000420713052728266	1.0572561410071e-06	5.30091496016483e-05	0.0504855663273919	6.34353684604257e-05	0.0502014413878432	4.42689528977458e-05	3.37890072389145e-05	4.20383646903756e-05	6.56581453787965e-08	1.0674250613642e-05	3.36603604294826e-05	6.56581453787965e-08	4.20208664975198e-05	6.56581453787965e-08
"Grangeria_borbonica"	0.000422573338226941	0.00168488792029618	0.000421065141566417	0.00147304698722186	0.000212171849365265	1.00314121324971	0.000214664955603675	0.000633800207778864	0.000211661104005099	0.000210639820332833	0.000420043857894152	0.000210639820332833	0.000210639820332833	0.000210639820332833	0.000210639820332833	1.02128367226539e-06	0.000210639820332833	1.02128367226539e-06	0.0252026314736491	0.02527677843994	6.12770203359233e-05	6.12811612972638e-05	0.0251079912709872	5.05896066557842e-05	2.94364513228945e-05	2.40698274328026e-05	0.0251026001586756	2.94609397444371e-05	2.40698274328026e-05	1.58450051944716e-05	2.40698274328026e-05
"Antidesma_madagascariense"	2.04493135544218e-06	0.00168462829519387	0.000421590773805293	0.00084309997432011	0.000839454130899936	0.000214664955603675	1.00251419423437	0.000842757744313453	0.000631279223015033	0.000210885168262474	1.19671905273346e-06	0.000210885168262474	0.000210885168262474	0.000210885168262474	0.000210885168262474	0.000420394054752559	0.000210885168262474	0.000420394054752559	7.18031431640078e-05	0.0253062201914968	0.0252236432851536	0.0251427585054985	2.22286233764941e-05	1.69642460541743e-05	0.025086920974362	2.40661185027696e-05	2.94327423928614e-05	1.68619994864022e-05	2.40661185027695e-05	2.10689436078363e-05	2.40661185027696e-05
"Labourdonnaisia_callophylloides"	0.000421905604374015	0.000425264178948655	0.000420988400485976	0.00084564693194885	0.000840417329950396	0.000633800207778864	0.000842757744313453	1.00376984714123	0.000212044313823361	0.000211061106768516	0.000420005193431131	0.000211061106768516	0.000211061106768516	0.000211061106768516	0.000211061106768516	9.83207054844691e-07	0.000211061106768516	9.83207054844691e-07	0.0252003116058679	0.0253273328122219	5.89924232906815e-05	0.0251742489272752	3.27579438334486e-05	3.80082188576778e-05	2.71441461642457e-05	6.07520255640935e-06	2.1920207750881e-05	1.6912938638977e-05	6.07520255640935e-06	0.0250942461785309	6.07520255640935e-06
"Olea_lancea"	1.68631266611278e-06	0.000846809434300641	0.000839863172429944	0.000423999676115413	0.000421770308869273	0.000423322208010197	0.00126255844603007	0.000424088627646722	1.00125858201695	0.000419976941724081	1.25809720833209e-06	0.000419976941724081	0.000419976941724081	0.000419976941724081	0.000419976941724081	0.000838605075221612	0.000419976941724081	0.000838605075221612	7.54858324999253e-05	0.0503972330068897	0.0503163045132967	7.17346858076916e-05	1.90630487225632e-05	8.56430915561389e-06	4.3661238783618e-05	1.20972776328663e-05	2.26803328331212e-05	8.47999352230826e-06	1.20972776328663e-05	1.0602215691168e-05	1.20972776328663e-05
"Euodia_obtusifolia"	1.55747089197299e-06	3.89495200489926e-06	1.76507019332331e-06	0.000845866664895006	0.000841426105456532	0.000842559281331333	0.000843540673049894	0.000844244427074065	0.000839953883448162	1.0008388965238	7.07710549848052e-07	0.000838896523804686	0.000838896523804686	0.000838896523804686	0.000838896523804686	1.05735964347525e-06	0.000838896523804686	1.05735964347525e-06	4.24626329908831e-05	0.100667582856562	6.34415786085152e-05	0.000101183266073826	3.79813153311834e-05	1.69952068424988e-05	2.11441589977459e-05	5.56421714985609e-08	2.11196242047819e-05	1.69173332979001e-05	5.56421714985609e-08	2.11061106768516e-05	5.56421714985609e-08
