"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Nephrosperma_vanhoutteanum"	"Excoecaria_benthiamiana"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Memecylon_eleagni"	"Aphloia_theiformis"	"Soulamea_terminaloides"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_105"	"Unidentified_sp2_M_PL_105"	"Unidentified_sp4_M_PL_105"	"Ornidia_obesa"	"Eristalinus_vicarians"	"Forcipomyia_sp1_M_PL_105"	"Cratopus_aurostriatus"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Unidentified_sp3_M_PL_105"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_105"	"Rhiparida_seychellensis"	"Simosyrphus_aegyptius"	"Unidentified_sp1_M_PL_105"	"Xylocopa_caffra"
"Dillenia_ferruginea"	1.00663504660572	0.000762606476588922	0.000761331214922386	0	0.000337616660380858	0	0.000761331214922386	0.000843077928480498	0	0	0.0168808330190429	0.0168470713530048	0	0	0	0.01686155856961	2.53777071640795e-05	0	0.0167772507767619	1.90651619147231e-05	0	0	0	2.53777071640795e-05	0.0167772507767619	0	1.90651619147231e-05	0.0167772507767619
"Erythroxylum_sechellarum"	0.00114390971488338	1.00616807248037	0.00114103556987111	0	0.000505998717673657	0	0.00114103556987111	9.58048337423269e-07	0	0	0.0252999358836828	0.0252493360119155	0	0	0	1.91609667484654e-05	3.80345189957038e-05	0	1.90651619147231e-05	0.0251542018120093	0	0	0	3.80345189957038e-05	1.90651619147231e-05	0	0.0251542018120093	1.90651619147231e-05
"Nephrosperma_vanhoutteanum"	0.00152266242984477	0.00152138075982815	1.0048633182502	0	0.000673536754629149	0	0.00151883664484516	1.27526166653666e-06	0	0	0.0336768377314574	0.0336094840559945	0	0	0	2.55052333307332e-05	5.06278881615054e-05	0	2.53777071640795e-05	3.80345189957038e-05	0	0	0	0.0334954439416732	2.53777071640795e-05	0	3.80345189957038e-05	2.53777071640795e-05
"Excoecaria_benthiamiana"	0	0	0	1.00756465203059	0	0.00127057333169053	0	0	0.00126578473873189	0	0	0	0.0253156947746379	3.17643332922632e-05	0.0251891163007647	0	0	0.025220880634057	0	0	3.17643332922632e-05	3.17643332922632e-05	0	0	0	0.0251891163007647	0	0
"Psychotria_pervillei"	0.00202569996228515	0.00202399487069463	0.00202061026388745	0	1.00200839817412	0	0.00202061026388745	1.69656613256712e-06	0	0	0.100419908706144	0.000219068888731281	0	0	0	3.39313226513425e-05	6.73536754629149e-05	0	3.37616660380858e-05	5.05998717673657e-05	0	0	0	6.73536754629148e-05	3.37616660380858e-05	0	5.05998717673657e-05	3.37616660380858e-05
"Roscheria_melanochaetes"	0	0	0	0.00127057333169053	0	1.00882884057167	0	0	1.59619765287755e-06	0	0	0	3.19239530575509e-05	0.0252207210142917	3.17643332922632e-05	0	0	0.0252524853475839	0	0	0.0252207210142917	0.0252207210142917	0	0	0	3.17643332922632e-05	0	0
"Memecylon_eleagni"	0.00152266242984477	0.00152138075982815	0.00151883664484516	0	0.000673536754629149	0	1.0048633182502	1.27526166653666e-06	0	0	0.0336768377314574	0.0336094840559945	0	0	0	2.55052333307332e-05	0.0334954439416732	0	2.53777071640795e-05	3.80345189957038e-05	0	0	0	5.06278881615054e-05	2.53777071640795e-05	0	3.80345189957038e-05	2.53777071640795e-05
"Aphloia_theiformis"	0.00505846757088299	3.83219334969308e-06	3.82578499960998e-06	0	1.69656613256712e-06	0	3.82578499960998e-06	1.00502936220065	0	0	8.48283066283562e-05	8.46586500150995e-05	0	0	0	0.100587244012913	1.27526166653666e-07	0	8.43077928480498e-05	9.58048337423269e-08	0	0	0	1.27526166653666e-07	8.43077928480498e-05	0	9.58048337423269e-08	8.43077928480498e-05
"Soulamea_terminaloides"	0	0	0	0.00506313895492758	0	6.38479061151019e-06	0	0	1.00503148635547	0	0	0	0.10062972710942	1.59619765287755e-07	0.000126578473873189	0	0	0.000126738093638477	0	0	1.59619765287755e-07	1.59619765287755e-07	0	0	0	0.000126578473873189	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"Apis_mellifera"	0.0202569996228515	0.0202399487069463	0.0202061026388744	0	0.0200839817412287	0	0.0202061026388744	1.69656613256712e-05	0	0	1.00419908706144	0.00219068888731281	0	0	0	0.000339313226513425	0.000673536754629149	0	0.000337616660380858	0.000505998717673657	0	0	0	0.000673536754629148	0.000337616660380858	0	0.000505998717673657	0.000337616660380858
"Lasioglossum_mahense"	0.0252706070295072	0.0252493360119155	0.0252071130419959	0	5.47672221828203e-05	0	0.0252071130419959	2.11646625037749e-05	0	0	0.00273836110914102	1.00273288438692	0	0	0	0.000423293250075498	0.000840237101399863	0	0.00042117678382512	0.000631233400297887	0	0	0	0.000840237101399863	0.00042117678382512	0	0.000631233400297887	0.00042117678382512
"Lygistorrhina_sp1_M_PL_105"	0	0	0	0.0506313895492758	0	6.38479061151019e-05	0	0	0.0503148635547102	0	0	0	1.0062972710942	1.59619765287755e-06	0.00126578473873189	0	0	0.00126738093638477	0	0	1.59619765287755e-06	1.59619765287755e-06	0	0	0	0.00126578473873189	0	0
"Unidentified_sp2_M_PL_105"	0	0	0	0.000127057333169053	0	0.100882884057167	0	0	1.59619765287755e-07	0	0	0	3.19239530575509e-06	1.00252207210143	3.17643332922632e-06	0	0	0.00252524853475839	0	0	0.00252207210142917	0.00252207210142917	0	0	0	3.17643332922632e-06	0	0
"Unidentified_sp4_M_PL_105"	0	0	0	0.100756465203059	0	0.000127057333169053	0	0	0.000126578473873189	0	0	0	0.00253156947746379	3.17643332922632e-06	1.00251891163008	0	0	0.0025220880634057	0	0	3.17643332922632e-06	3.17643332922632e-06	0	0	0	0.00251891163007647	0	0
"Ornidia_obesa"	0.0505846757088299	3.83219334969308e-05	3.82578499960998e-05	0	1.69656613256712e-05	0	3.82578499960998e-05	0.0502936220064563	0	0	0.000848283066283562	0.000846586500150995	0	0	0	1.00587244012913	1.27526166653666e-06	0	0.000843077928480498	9.58048337423269e-07	0	0	0	1.27526166653666e-06	0.000843077928480498	0	9.58048337423269e-07	0.000843077928480498
"Eristalinus_vicarians"	0.000152266242984477	0.000152138075982815	0.000151883664484516	0	6.73536754629149e-05	0	0.10048633182502	1.27526166653666e-07	0	0	0.00336768377314574	0.00336094840559945	0	0	0	2.55052333307332e-06	1.00334954439417	0	2.53777071640795e-06	3.80345189957038e-06	0	0	0	5.06278881615054e-06	2.53777071640795e-06	0	3.80345189957038e-06	2.53777071640795e-06
"Forcipomyia_sp1_M_PL_105"	0	0	0	0.0504417612681139	0	0.0505049706951679	0	0	6.33690468192386e-05	0	0	0	0.00126738093638477	0.0012626242673792	0.00126104403170285	0	0	1.00252366829908	0	0	0.0012626242673792	0.0012626242673792	0	0	0	0.00126104403170285	0	0
"Cratopus_aurostriatus"	0.100663504660572	7.62606476588923e-05	7.61331214922385e-05	0	3.37616660380858e-05	0	7.61331214922385e-05	8.43077928480498e-05	0	0	0.00168808330190429	0.00168470713530048	0	0	0	0.001686155856961	2.53777071640795e-06	0	1.00167772507768	1.90651619147231e-06	0	0	0	2.53777071640795e-06	0.00167772507767619	0	1.90651619147231e-06	0.00167772507767619
"Hemipyrellia_germana"	0.000114390971488338	0.100616807248037	0.000114103556987111	0	5.05998717673657e-05	0	0.000114103556987111	9.58048337423269e-08	0	0	0.00252999358836828	0.00252493360119155	0	0	0	1.91609667484654e-06	3.80345189957038e-06	0	1.90651619147231e-06	1.0025154201812	0	0	0	3.80345189957038e-06	1.90651619147231e-06	0	0.00251542018120093	1.90651619147231e-06
"Neophyllomyza_approximatonervis"	0	0	0	0.000127057333169053	0	0.100882884057167	0	0	1.59619765287755e-07	0	0	0	3.19239530575509e-06	0.00252207210142917	3.17643332922632e-06	0	0	0.00252524853475839	0	0	1.00252207210143	0.00252207210142917	0	0	0	3.17643332922632e-06	0	0
"Unidentified_sp3_M_PL_105"	0	0	0	0.000127057333169053	0	0.100882884057167	0	0	1.59619765287755e-07	0	0	0	3.19239530575509e-06	0.00252207210142917	3.17643332922632e-06	0	0	0.00252524853475839	0	0	0.00252207210142917	1.00252207210143	0	0	0	3.17643332922632e-06	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0
"Phelsuma_sp1_M_PL_105"	0.000152266242984477	0.000152138075982815	0.10048633182502	0	6.73536754629148e-05	0	0.000151883664484516	1.27526166653666e-07	0	0	0.00336768377314574	0.00336094840559945	0	0	0	2.55052333307332e-06	5.06278881615054e-06	0	2.53777071640795e-06	3.80345189957038e-06	0	0	0	1.00334954439417	2.53777071640795e-06	0	3.80345189957038e-06	2.53777071640795e-06
"Rhiparida_seychellensis"	0.100663504660571	7.62606476588922e-05	7.61331214922386e-05	0	3.37616660380858e-05	0	7.61331214922386e-05	8.43077928480498e-05	0	0	0.00168808330190429	0.00168470713530048	0	0	0	0.001686155856961	2.53777071640795e-06	0	0.00167772507767619	1.90651619147231e-06	0	0	0	2.53777071640795e-06	1.00167772507768	0	1.90651619147231e-06	0.00167772507767619
"Simosyrphus_aegyptius"	0	0	0	0.100756465203059	0	0.000127057333169053	0	0	0.000126578473873189	0	0	0	0.00253156947746379	3.17643332922632e-06	0.00251891163007647	0	0	0.0025220880634057	0	0	3.17643332922632e-06	3.17643332922632e-06	0	0	0	1.00251891163008	0	0
"Unidentified_sp1_M_PL_105"	0.000114390971488338	0.100616807248037	0.000114103556987111	0	5.05998717673657e-05	0	0.000114103556987111	9.58048337423269e-08	0	0	0.00252999358836828	0.00252493360119155	0	0	0	1.91609667484654e-06	3.80345189957038e-06	0	1.90651619147231e-06	0.00251542018120093	0	0	0	3.80345189957038e-06	1.90651619147231e-06	0	1.0025154201812	1.90651619147231e-06
"Xylocopa_caffra"	0.100663504660572	7.62606476588922e-05	7.61331214922386e-05	0	3.37616660380858e-05	0	7.61331214922386e-05	8.43077928480498e-05	0	0	0.00168808330190429	0.00168470713530048	0	0	0	0.001686155856961	2.53777071640795e-06	0	0.00167772507767619	1.90651619147231e-06	0	0	0	2.53777071640795e-06	0.00167772507767619	0	1.90651619147231e-06	1.00167772507768
