"Cinnamomum_verum"	"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Chrysobalanus_icaco"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Nepenthes_pervillei"	"Mimusops_sechellarum"	"Timonius_sechellensis"	"Apis_mellifera"	"Neophyllomyza_approximatonervis"	"Lygistorrhina_sp1_M_PL_118"	"Unidentified_sp2_M_PL_118"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_118"	"Hemipyrellia_sp1_M_PL_118"	"Leptotes_pirithous"	"Ornidia_obesa"	"Lampides_boeticus"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_118"
"Cinnamomum_verum"	1.00645259435398	0.00040834564488595	0.000405283052549305	0.000408003073036214	0	0.00101151014507937	0.00141527383148199	0	0	0.0202641526274653	1.02086411221488e-05	1.02086411221488e-05	0	0.0202302029015875	1.36001024345404e-05	1.02086411221488e-05	0.0201998155786536	1.36001024345404e-05	0.0201290518870796	0	0.0201290518870796	0
"Nephrosperma_vanhoutteanum"	0.000510432056107438	1.00806659668056	0.000506097205458482	0.000509493830998472	0	5.12997041314007e-07	0.000507877330841694	0	0	0.0253048602729241	0.0252016649170141	0.0252016649170141	0	1.02599408262802e-05	1.69831276999491e-05	0.0252016649170141	3.56025076642334e-05	1.69831276999491e-05	1.02086411221488e-05	0	1.02086411221488e-05	0
"Memecylon_eleagni"	0.00202641526274653	0.00202438882183393	1.00200920590567	0.00202269050906393	0	2.03659825401661e-06	0.00201627300344152	0	0	0.100460295283509	5.06097205458482e-05	5.06097205458482e-05	0	4.07319650803322e-05	6.74230169687978e-05	5.06097205458482e-05	0.000141341955427007	6.74230169687978e-05	4.05283052549305e-05	0	4.05283052549305e-05	0
"Chrysobalanus_icaco"	0.000680005121727023	0.000679325107997963	0.000674230169687977	1.00739016460036	0	6.8342223289148e-07	0.000676601679007223	0	0	0.0337115084843989	1.69831276999491e-05	1.69831276999491e-05	0	1.36684446578296e-05	0.0335796721533452	1.69831276999491e-05	4.74301863849016e-05	0.0335796721533452	1.36001024345405e-05	0	1.36001024345405e-05	0
"Roscheria_melanochaetes"	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0.00505755072539687	2.05198816525603e-06	2.03659825401661e-06	2.05026669867444e-06	0	1.00503020859369	7.11192880141702e-06	0	0	0.00010182991270083	5.12997041314008e-08	5.12997041314008e-08	0	0.100604171873877	6.8342223289148e-08	5.12997041314008e-08	0.000101506610948008	6.8342223289148e-08	0.000101151014507937	0	0.000101151014507937	0
"Nepenthes_pervillei"	0.00353818457870497	0.00101575466168339	0.00100813650172076	0.00101490251851083	0	3.55596440070851e-06	1.00352047587599	0	0	0.0504068250860381	2.53938665420847e-05	2.53938665420847e-05	0	7.11192880141703e-05	3.38300839503611e-05	2.53938665420847e-05	0.0502467874853736	3.38300839503611e-05	7.07636915740994e-05	0	7.07636915740994e-05	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101
"Timonius_sechellensis"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Apis_mellifera"	0.0202641526274653	0.0202438882183393	0.0200920590567017	0.0202269050906393	0	2.03659825401661e-05	0.0201627300344152	0	0	1.00460295283509	0.000506097205458482	0.000506097205458482	0	0.000407319650803322	0.000674230169687978	0.000506097205458482	0.00141341955427007	0.000674230169687977	0.000405283052549305	0	0.000405283052549305	0
