"Miconia_sp1_M_SD_010"	"Cecropia_peltata"	"Trema_micrantha"	"Ficus_clusiifolia"	"Didymopanax_morototoni"	"Alchornea_glandulosa"	"Protium_heptaphyllum"	"Unidentified_sp2_M_SD_010"	"Aechmaea_nudicaulis"	"Gravisia_aquilega"	"Clidemia_sp1_M_SD_010"	"Rhipsalis_sp1_M_SD_010"	"Hieronyma_caribaea"	"Cordia_curassavica"	"Sapium_aucuparium"	"Cordia_bicolor"	"Anthurium_scandens"	"Laetia_procera"	"Sloanea_stipilata"	"Ficus_citrifolia"	"Ilex_sp1_M_SD_010"	"Chiococca_alba"	"Clusia_sp1_M_SD_010"	"Piper_sp1_M_SD_010"	"Coussarea_paniculata"	"Lacistema_aggregatum"	"Ficus_tobagensis"	"Doliocarpus_dentatus"	"Myrcia_leptoclada"	"Byrsonima_spicata"	"Anthurium_gracile"	"Calycolpus_glaber"	"Cupania_sp1_M_SD_010"	"Wulffia_baccata"	"Davilla_aspera"	"Eugenia_baileyi"	"Psidium_guajava"	"Castilla_elastica"	"Myrcia_sp1_M_SD_010"	"Henriettea_sp1_M_SD_010"	"Isertia_parviflora"	"Solanum_sp1_M_SD_010"	"Unidentified_sp1_M_SD_010"	"Aechmaea_mertensii"	"Rourea_surinamensis"	"Aechmaea_dichlamydea"	"Aegiphilia_integrifolia"	"Norantea_guianensis"	"Phytolacca_rivinoides"	"Psychotria_sp1_M_SD_010"	"Tangara_gyrola"	"Ramphocelus_carbo"	"Tangara_mexicana"	"Euphonia_violacea"	"Chlorophanes_spiza"	"Thraupis_palmarum"	"Tachyphonus_rufus"	"Dacnis_cayana"	"Thraupis_episcopus"	"Cyanerpes_caeruleus"	"Tangara_guttata"	"Cyanerpes_cyaneus"	"Coereba_flaveola"	"Tachyphonus_luctuosus"
"Miconia_sp1_M_SD_010"	1.00078705362777	0.000400998777504853	0.00060785703388338	0.000581045396308115	0.000300096182828209	0.000336204080806323	0.000505252776112619	0.000339046849381309	7.40430320652541e-05	5.57763925688891e-05	0.000128730892314102	0.000166135547130458	0.000365906411992699	0.000176836977075102	0.000393919352595492	0.00021800702197965	0.000253239625949484	0.000205023841401716	0.000589095225904039	0.00013478803232636	8.75566378363709e-05	0.000153901118414197	0.000246022257573815	8.51870513252453e-05	0.000181068903700365	0.000252013150163135	0.000180712755989462	0.000206225144429243	7.29544997452126e-05	6.40406598590402e-05	0.000100854669640519	0.000224142119073166	0.000137929505849014	0.000162785803557262	9.58818523751196e-05	0.000113083011647369	5.96804151627883e-05	6.69204118288803e-05	0.0001767401233935	8.36526152424718e-05	5.57763925688891e-05	5.46878602488477e-05	5.57763925688891e-05	5.57763925688891e-05	0.000132325310931992	5.57763925688891e-05	6.07450002611059e-05	6.40406598590402e-05	9.58818523751196e-05	9.98140623566028e-05	0.00724781789513149	0.00723914214532156	0.00723113106925511	0.00721252433146079	0.00721167616221914	0.00721898276512148	0.00724118874840603	0.00723288743709151	0.00721957936565075	0.00719335061229564	0.00719378396830201	0.00718771785471521	0.00721245489976109	0.0071678637553692
"Cecropia_peltata"	0.000561398288506795	1.00055989312028	0.000561053676221604	0.00052359869836467	0.000419001682720928	0.000369427369446453	0.00039293440581839	0.000310663264621948	4.07258352450409e-05	7.78495889514897e-05	0.00011707197879078	0.000169393987718694	0.000410828866930916	0.000246908294633734	0.000324931903515399	0.000304364460820358	4.10704475302314e-05	0.000286246489125995	0.00044761446567125	0.00012552206171453	0.000122251204326423	0.000152248365187889	0.000118406186934372	5.63471446192767e-05	0.000190216711925521	0.000351863958288159	0.000189703343044824	0.000162894547853543	3.922238983929e-05	8.93471062590795e-05	7.81808131019755e-05	0.000312989602464209	6.75404328924913e-05	0.000127228707452474	0.000133869567306244	0.00015794095960423	8.33600386376192e-05	9.34708983257255e-05	0.000146828510576598	0.000116740754640294	7.78495889514897e-05	7.63461435457388e-05	7.78495889514897e-05	7.78495889514897e-05	0.000184714579570959	7.78495889514897e-05	8.47962264694887e-05	8.93471062590795e-05	0.000133869567306244	0.000139387992148258	0.0101117030790891	0.0101128440213724	0.0100991133717506	5.29958640777342e-05	0.0100681371851872	0.0100835961038558	0.0100986527736388	0.0100911881140551	0.0100828656843823	4.26623336459556e-05	0.0100496826459454	3.22166767777869e-05	0.0100706586649153	1.37844914076193e-05
"Trema_micrantha"	0.000654615267259024	0.000431579750939695	1.00065423349705	0.000625379071341463	0.000322995611538235	0.00036189093991052	0.000351248564055441	0.000364898738875116	7.96306264712056e-05	6.00003262033143e-05	0.000138485225697512	0.000178787219050303	0.000393852251805372	0.000190306388424389	0.000424040655970006	0.000234613307088447	8.00123966844383e-05	0.000220628034702342	0.000441541966170879	0.000145012678057626	9.42364772907488e-05	0.000165620637204309	0.000264842799378322	9.16494659616195e-05	0.000194810963011343	0.000271236167371003	0.000194475062908637	0.000221962013162648	7.84848994941973e-05	6.89200931207539e-05	0.000108485052175534	0.000241241578370588	0.000148475626895295	0.000175227356230896	0.000103161497049723	0.000121707788900251	6.42363037687711e-05	7.20191656937282e-05	0.000190272954372731	9.0000499725292e-05	6.00003262033143e-05	5.8854599226306e-05	6.00003262033143e-05	6.00003262033143e-05	0.000142433223411677	6.00003262033143e-05	6.53820515864204e-05	6.89200931207539e-05	0.000103161497049723	0.000107438412424453	0.00780004511571419	0.00779069494016867	0.0077840131741774	0.00775755615555515	0.00776307894685035	0.00776901075235361	0.00778647512474648	0.00778398391975524	0.00776965319809196	0.00774528374058135	0.00774382389024751	0.00773729461824504	0.00776391662508476	1.52708085293089e-05
"Ficus_clusiifolia"	0.0006778862956928	0.000436332248637225	0.000677493993953252	1.00067718909917	0.000318773869679751	0.000391889535145744	0.000349289979593528	0.000395089908234111	8.61789646177926e-05	3.39828577514362e-05	0.000118953046510236	0.000193580266351903	0.000426469322573792	0.000175065424637887	0.00045925801142323	0.000253954429644934	8.65712663573412e-05	0.000207877880722368	0.000447141593819923	0.000156947547297961	7.10734774650821e-05	0.00017931919270425	0.000286853251881184	9.9229016521517e-05	0.000179936586957384	0.000262718713236186	0.000179624087489163	0.000240361674786892	8.49701887587999e-05	7.46120869511452e-05	8.64838594027058e-05	0.000230255074199409	0.000160821203832164	0.000158811678012217	8.07075704358667e-05	0.000131752123127317	3.86042903575518e-05	4.70329096551607e-05	0.000206074507839748	6.64520448589666e-05	3.39828577514362e-05	3.27740818924435e-05	3.39828577514362e-05	3.39828577514362e-05	0.000154247664659991	3.39828577514362e-05	7.07685826801689e-05	7.46120869511452e-05	8.07075704358667e-05	0.000116349603098481	0.00844198864795789	8.23215919265655e-05	0.00842586702598049	0.00840016026420313	0.00840744125592171	0.00841044828319748	0.00841949074163076	0.00842857996872298	0.00841104267664454	0.00838946962761585	0.00838804159909508	0.00838128379108794	0.00840827346653467	1.56920695819468e-05
"Didymopanax_morototoni"	0.000525168319949366	0.000523752103401159	0.000524867868749631	0.000478160804519626	1.0005230390068	0.000335970493956855	0.000440164460071081	0.000337491074222099	6.52874762147936e-07	4.7037676732334e-05	9.58740242572814e-05	0.000211388202432579	0.000337551296059466	0.000258111534331336	0.000280326000468844	0.000329854499748539	9.53325961882751e-07	0.000307212146960438	0.000383342357126641	0.000106469083125511	0.000152523272593368	0.000189953985009142	0.000147601558414084	7.02661240681395e-05	0.000187239745182552	0.000439211134109198	0.000236661049239147	0.000203279787139812	4.88363475249473e-05	0.000111506626204599	4.73599389921528e-05	0.000390709407150556	8.42353127023893e-05	0.000158599753513314	0.000116973621114413	0.000197181929288634	0.000104009187328239	0.000116650926038326	5.807067027413e-05	9.55517619974626e-05	4.7037676732334e-05	9.52211494951334e-05	4.7037676732334e-05	4.7037676732334e-05	0.000230635928017878	4.7037676732334e-05	0.000105816208363363	0.000111506626204599	0.000116973621114413	4.88965693623136e-05	0.0126136621689334	0.0126109073421013	0.0126064670816115	5.15619615710076e-05	0.0125723271578941	0.0125884699887742	8.26531255822847e-05	0.012598508187894	0.0125898951254977	3.86063078710724e-05	3.8248409718505e-05	3.25952007953656e-05	0.0125741809038671	1.20180479893926e-05
"Alchornea_glandulosa"	0.000672408161612647	0.000527753384923504	0.000672083174119538	0.000671810631678418	0.000383966278807834	1.00066992620416	0.000384393975639775	0.00036810997407353	5.36394342450103e-07	5.22824011979464e-07	5.6223158923358e-05	8.09439487809672e-05	0.000511360685846751	8.11931893257233e-05	0.000511217188162441	0.000216155237887793	8.61381835559319e-07	0.000232576676934982	0.000432393180002858	5.63543986245966e-05	5.60905467232661e-05	0.000151896093354042	0.000311832456474225	8.01190109393581e-05	0.000160462203814738	0.000383532593804216	0.000152168635795162	0.000232160636809553	5.57003349113785e-05	0.000127411025889264	8.08936783569756e-07	0.00023276008036774	9.44251032526242e-07	0.000271216678725918	8.03431928753803e-05	0.000160057049173527	6.76324583477934e-07	8.01054406088874e-05	0.000287473717082703	5.59370461517676e-05	5.22824011979464e-07	5.56867645809078e-05	5.22824011979464e-07	5.22824011979464e-07	0.000168222465053399	5.22824011979464e-07	5.58180042821465e-05	0.000127411025889264	8.03431928753803e-05	0.000198951046684599	0.0144076977563449	7.35864591023063e-05	8.88320713188218e-05	4.57780434544467e-05	0.0143687964450458	0.0143676663954122	6.25703927149526e-05	0.0143993607498951	0.0143699216701982	0.0143533110395535	0.014353682454481	4.08452823126783e-05	6.50527505426645e-05	1.29994997243686e-05
"Protium_heptaphyllum"	0.000707353886557667	0.00039293440581839	0.000456623133272073	0.000419147975512233	0.000352131568056865	0.000269075782947843	1.00070598972445	0.000306447129564718	0.000103491357744451	7.7938447760868e-05	0.000179849323894167	0.000165286055957282	0.000243758609581792	0.000180202929547297	0.000157745437950368	0.000237621232846787	0.000354222111030045	0.000286263089269303	0.000531030271713342	0.000188257547040259	0.000122241347055648	0.000214879262799476	0.000118159127161525	0.000119045213985449	0.000252994314415773	0.000351767613418394	0.000252354420559316	0.000162774759878038	0.000101910876133299	8.92962700808957e-05	0.000140966515504291	0.000246163753906745	6.97453914006157e-07	0.00012709858827546	0.000133949100430323	0.000157911179817414	8.33585386657733e-05	9.34923040018662e-05	4.65500891011547e-05	0.000116821256150743	7.7938447760868e-05	7.63579661497154e-05	7.7938447760868e-05	7.7938447760868e-05	0.000117862422089735	7.7938447760868e-05	8.4766189295808e-05	8.92962700808957e-05	0.000133949100430323	3.92223561503727e-05	0.0101095301813675	0.0101182925951569	0.0100943437993052	0.0100844908389477	0.0100627508640366	0.010081917480502	0.0101158225002569	0.0100826923382041	0.0100830863235647	3.27160434724086e-05	3.3954776049761e-05	2.66799420428725e-05	5.45931957705376e-05	0.0100292301314237
"Unidentified_sp2_M_SD_010"	0.00059333198641729	0.000388329080777435	0.000592960450672064	0.000592634862351166	0.000337491074222099	0.000322096227314339	0.000383058911955898	1.00059106744741	0.000129013567275471	5.0708904482019e-05	0.00017788861925926	0.000220065014523026	0.000512891886688318	0.000192137663183544	0.00040566699336008	0.000240704346826525	0.000129385103020697	0.000171640452563616	0.000247991830485729	0.000234837720759149	0.000106149741804576	0.000268321613467843	0.000272845574016075	7.89670547081889e-05	0.000130018767491197	0.000253673808935201	0.000268647201788741	6.40899709144793e-05	0.000127179714777241	0.000111526710028873	0.000129339155596369	0.000205074401689394	8.42503779405685e-05	0.00023742030447638	5.10517127830081e-05	5.79543017156148e-05	5.76002781416854e-05	6.62391914736619e-07	0.000183297386341611	9.92583681449099e-05	5.0708904482019e-05	4.88750519837891e-05	5.0708904482019e-05	5.0708904482019e-05	0.000230661720522696	5.0708904482019e-05	0.000105824153483678	0.000111526710028873	5.10517127830081e-05	4.90041540571058e-05	0.0126228605523516	8.79088466425112e-05	0.0126004317605732	0.0125808401782961	0.0125800813304722	6.1705494178043e-05	0.0125958290402802	0.0125954492731964	6.06246468909173e-05	0.0125568006126609	4.54690394214823e-05	3.46490122935681e-05	0.0125725897930348	1.48614298090392e-05
"Aechmaea_nudicaulis"	0.000518301224456778	0.000203629176225204	0.000517599072062836	0.000517073787706755	2.61149904859175e-06	1.87738019857536e-06	0.000517456788722256	0.000516054269101885	1.00051441293984	0.000201355920958184	0.000515308613874777	0.000314521427619877	0.000202659006436275	0.000202286570743596	1.66779752878588e-06	0.000202463879176824	0.000515115092236165	0.000202518506363874	0.000203887319265913	0.000515120448223118	1.23279273697614e-06	0.000314573248668862	8.40564715302024e-07	0.00031390603175861	0.000515594155829629	2.3416964860912e-06	0.000315098533024943	1.00201310030355e-06	0.000313952692916593	5.39924746416517e-07	0.000514938224198303	1.95767232427144e-06	4.46348961535807e-07	1.27625530097435e-06	0.000201688124071019	9.93050335747064e-07	8.62403060502617e-07	8.49012874571173e-07	7.35205477408545e-07	0.000201726310634657	0.000201355920958184	8.95674032554369e-07	0.000201355920958184	0.000201355920958184	7.22774680290311e-07	0.000201355920958184	7.07508380895299e-07	5.39924746416517e-07	0.000201688124071019	5.57430250983311e-07	9.63013158831167e-05	0.000141826776141828	7.41661149727901e-05	0.0501731685184192	4.25155571770169e-05	5.97965603102931e-05	0.0502076591505257	3.39070139885983e-05	5.82711333282593e-05	2.11046198476986e-05	1.87040574509785e-05	1.41237119228213e-05	4.04703843750811e-05	2.80860957576832e-05
"Gravisia_aquilega"	0.000390434747982224	0.000389247944757448	0.000390002120321543	0.000203897146508617	0.000188150706929336	1.82988404192812e-06	0.00038969223880434	0.000202835617928076	0.000201355920958184	1.00038702320477	0.000387785896631209	1.39956094648183e-06	0.000202576934798004	0.000387936506830069	1.48106688931161e-06	0.000202550408225225	0.000201788548618865	0.000388301929495193	0.000389307945679254	0.000202001903674882	0.000186750956529624	1.27866250506445e-06	7.30041417380476e-07	7.82994454584619e-07	0.000388200072575633	0.000187903690185476	0.00018738363631799	1.10108777357429e-06	7.62691858141973e-07	5.4356792110328e-07	0.000387460894771109	0.000187630715278912	3.90360651907661e-07	0.000186821683392035	0.000387417078121049	1.06015866112226e-06	0.000186425954669524	0.000186450278269468	6.73129382574369e-07	0.000387348206633168	0.000387023204773067	0.000186429975673026	0.000387023204773067	0.000387023204773067	6.60572595188105e-07	0.000387023204773067	6.45982716698284e-07	5.4356792110328e-07	0.000387417078121049	5.04008728070506e-07	8.45004836260507e-05	0.0502483429294899	7.06157884515795e-05	7.00303996866844e-05	2.92484685486586e-05	7.08972026366394e-05	0.0502295577400355	4.3713212200617e-05	6.21548021777114e-05	1.73141658005969e-05	1.79006867970311e-05	1.14675126437625e-05	3.70525115790945e-05	1.73051064272426e-05
