"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"
"R1"	1.00315415189396	0.00147275684333884	0.00147275684333884	0.000840871680740522	0.00316047283963559	6.32094567927117e-05	0.0252157010963086	0.0252893389384755	0.0252261504222157	0.0252157010963086
"R2"	0.00294551368667768	1.00293454599034	0.00126509690853723	4.43699573783559e-06	0.00295141651971711	5.90283303943423e-05	0.0502793934720783	0.0503426483175052	0.000133109872135068	0.000195921017988146
"R3"	0.00294551368667768	0.00126509690853723	1.00293454599034	4.43699573783559e-06	0.00295141651971711	5.90283303943423e-05	0.000195921017988146	0.0503426483175052	0.000133109872135068	0.0502793934720783
"R4"	0.00336348672296209	8.87399147567119e-06	8.87399147567119e-06	1.00334954821778	0.00337022717731672	6.74045435463345e-05	0.00015193541119417	0.000152379110767954	0.100486446533398	0.00015193541119417
"R5"	0.00252837827170847	0.00118056660788685	0.00118056660788685	0.000674045435463345	1.00453745317806	0.0200907490635613	0.0202129868507484	0.0202720151811427	0.0202213630639003	0.0202129868507483
"C1"	0.000252837827170847	0.000118056660788685	0.000118056660788685	6.74045435463345e-05	0.100453745317806	1.00200907490636	0.00202129868507484	0.00202720151811427	0.00202213630639003	0.00202129868507483
"C2"	0.0336209347950781	0.0335195956480522	0.000130614011992097	5.06451370647234e-05	0.0336883114179139	0.000673766228358278	1.00319026938064	0.00319680008123745	0.0015193541119417	0.00152082029883484
"C3"	0.0252893389384755	0.0251713241587526	0.0251713241587526	3.80947776919884e-05	0.0253400189764284	0.000506800379528567	0.00239760006092808	1.00365616626887	0.00114284333075965	0.00239760006092808
"C4"	0.0336348672296209	8.87399147567119e-05	8.87399147567119e-05	0.0334954821777995	0.0337022717731672	0.000674045435463345	0.0015193541119417	0.00152379110767954	1.00486446533398	0.0015193541119417
"C5"	0.0336209347950781	0.000130614011992097	0.0335195956480522	5.06451370647234e-05	0.0336883114179139	0.000673766228358278	0.00152082029883484	0.00319680008123744	0.0015193541119417	1.00319026938064
