"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	1.00081095053131	5.47580602982006e-07	0.000552799054623006	0.000145631378933558	0.000144054530406394	0.000145326594311181	0.000513944218701069	0.00043428639692194	0.000144054530406394	0.000299165455150672	0.000562615464069317	0.000299889938452477	0.000656691971791824	0.000406457499752061	0.000126042042682825	5.47580602982006e-07	0.000550512030158455	0.000134396458469463	0.000144054530406394	0.000513909505290217	0.000416273909198371	7.24483301805028e-07	0.000261325579788499	0.00066778307954056	0.000260438501152288	0.000417126274423729	0.000416273909198371	0.000261162984454093	0.000261162984454093	0.000126042042682825	7.24483301805028e-07	0.000126929121319036	0.000299165455150672	0.020166726829252	5.32247181726473e-05	0.0201594687704195	5.11419135215165e-05	3.83306422087405e-05	0.0201644202167561	0.0201676342568952	0.0201077260006226	0.000101427662252704
"R2"	2.73790301491003e-06	1.00143463877608	0.00143872113590812	2.5667753014252e-06	6.4659035335289e-07	0.00143610284430009	0.00143832244153455	2.23575380640533e-06	6.4659035335289e-07	9.74210555522267e-07	0.00143949641211258	1.7916884209229e-06	3.51298989541234e-06	1.23056726233401e-06	4.16680013740706e-07	0.00143463877608133	1.8771576156869e-06	4.4406538548243e-07	6.4659035335289e-07	0.00143832265348879	2.00584346679314e-06	8.1747786540063e-07	1.96324052765562e-06	3.19380778998962e-06	8.60745399223136e-07	3.10855054946482e-06	2.00584346679314e-06	1.67822326462377e-06	1.67822326462377e-06	4.16680013740706e-07	8.1747786540063e-07	1.51917514217319e-06	9.74210555522267e-07	6.6668802198513e-05	6.61497077059488e-05	6.66098078223645e-05	6.61624249603009e-05	0.100424714325693	4.2590626282019e-05	9.05226494694047e-05	7.22357648131703e-05	0.000114446901156088
"R3"	0.000460665878852505	0.000239786855984687	1.001257342539	0.000400046798963299	0.000120274919607047	0.000360722428247056	0.00073068304101561	0.00025091495255003	0.000120274919607047	0.00024957457157822	0.00104964317966143	0.000250235224233542	0.000610477453582262	0.000339025311604507	6.85919324462762e-07	0.000239786855984687	0.000459300231211554	6.79728316488399e-07	0.000120274919607047	0.000730650042615224	0.000131325952267446	6.60652655321796e-07	0.000280509872742267	0.000619535184346774	1.36564764095116e-06	0.000410437178968375	0.000131325952267446	2.02630029627296e-06	2.02630029627296e-06	6.85919324462762e-07	6.60652655321796e-07	0.000279830144425779	0.00024957457157822	0.000109747091914042	0.016748653506079	0.00010195924747326	0.0167466736020558	0.0167850799189281	0.0168089547562524	0.0168384887449866	0.0167780527706667	9.24913717450514e-05
"R4"	0.000242718964889263	8.55591767141734e-07	0.000800093597926598	1.00103659286878	0.000239736621185257	0.000480123166511227	0.000242958770316698	0.000480904809266706	0.000239736621185257	0.00024065628482496	0.00104019346680028	0.000480187238383788	0.000799124595282908	1.66654601442611e-06	5.98226806661178e-07	8.55591767141734e-07	0.000241403167199683	7.17570882918409e-07	0.000239736621185257	0.00079977451942362	0.00024176641488811	0.000239530953558828	1.82534261600495e-06	3.49188863043106e-06	1.31579768957959e-06	0.000799091708921457	0.00024176641488811	0.000240846751248408	0.000240846751248408	5.98226806661178e-07	0.000239530953558828	1.10777173308654e-06	0.00024065628482496	9.57162890657884e-05	3.05726955855216e-05	0.000107635632437761	0.0334395176420009	5.98914236999214e-05	0.000119556273161343	0.033563126965936	5.9750589977878e-05	0.0335343334982359
"R5"	0.000720272652031971	6.4659035335289e-07	0.000721649517642284	0.000719209863555772	1.00071750644588	0.000718863739052427	3.1412602556853e-06	0.000719929260222939	0.000717506445882767	0.000718842540384079	0.000722162698886441	0.000719553243200386	0.000719929272387357	2.14991111133329e-06	2.40278015317745e-07	6.4659035335289e-07	0.0007196563569941	3.76017022552879e-07	0.000717506445882767	3.78011967424985e-06	2.6630923554897e-06	7.10702816307123e-07	9.70150476003949e-07	3.12006158733724e-06	6.16295037870625e-07	3.65580721218758e-06	2.6630923554897e-06	1.32699785417775e-06	1.32699785417775e-06	2.40278015317745e-07	7.10702816307123e-07	5.94133453451069e-07	0.000718842540384079	3.84444824508393e-05	2.12313262879994e-05	5.64025533829319e-05	5.95628914018727e-05	4.52613247347023e-05	0.000173692285170554	0.100450902423587	6.5105328801707e-05	9.94983942829972e-05
"R6"	0.000242210990518635	0.000478700948100028	0.000721444856494113	0.000480123166511227	0.000239621246350809	1.00095779481274	0.000720551441493724	0.000480515761535973	0.000239621246350809	0.000240436875680487	0.000961343648470029	0.000479909493969477	0.000242424663060386	1.48959990528886e-06	4.93876696041658e-07	0.000478700948100028	0.000241110846256098	6.06267566495838e-07	0.000239621246350809	0.000720976983098594	0.000241388391881205	0.000239472618288989	1.70390452909516e-06	3.19350443438403e-06	1.1001442625375e-06	0.000242417693752634	0.000241388391881205	0.000240572762551527	0.000240572762551527	4.93876696041658e-07	0.000239472618288989	1.09763696259933e-06	0.000240436875680487	7.90202713666652e-05	3.62256159934601e-05	9.09401349743757e-05	6.17581122857218e-05	0.033509066367002	0.000106031812858182	0.0335469744891133	5.3917646048843e-05	0.0335261665604585
"R7"	0.000428286848917558	0.000239720406922425	0.00073068304101561	0.000121479385158349	5.2354337594755e-07	0.000360275720746862	1.00106605837429	0.000233502244905521	5.2354337594755e-07	1.26865083578387e-06	0.000858769183374674	0.000121300421284273	0.000428465812791634	0.000210227020545436	0.000105334461374926	0.000239720406922425	0.000210750563921383	0.000112201823621248	5.2354337594755e-07	0.000787694446786601	0.000338313162904499	0.000120031770448489	0.000496824283834063	0.000707051304379499	0.000217536284996174	0.000339237234238412	0.000338313162904499	0.000337568055444663	0.000337568055444663	0.000105334461374926	0.000120031770448489	0.000384622460212814	1.26865083578387e-06	0.0168535138199881	0.0167572799302733	0.0168302735431873	5.54442800347662e-05	0.0167804284845698	9.68639697787214e-05	7.3296072632657e-05	0.016758553046848	0.0168044478627884
"R8"	0.000542857996152425	5.58938451601332e-07	0.000376372428825045	0.00036067860695003	0.000179982315055735	0.000360386821151979	0.000350253367358282	1.00072112940236	0.000179982315055735	0.000373577941900365	0.000723866016294847	0.000553423509545008	0.000350113093557446	0.000194411644058081	7.58144218888874e-07	5.58938451601332e-07	0.000374393959113816	0.000167705892819721	0.000179982315055735	0.000350535284597956	0.000541905231527883	0.000179845567644643	0.000169032844048586	0.000363444488106667	0.000168464037038609	0.000542755955777535	0.000541905231527883	0.000348309604683253	0.000348309604683253	7.58144218888874e-07	0.000179845567644643	1.32695122886561e-06	0.000373577941900365	0.00012130307502222	3.41284205986039e-05	0.0251558839229581	5.10434549791029e-05	3.91256916120932e-05	0.0251674314898019	0.0251975241078029	6.528137707605e-05	0.0251783794702501
"R9"	0.000720272652031971	6.4659035335289e-07	0.000721649517642284	0.000719209863555772	0.000717506445882767	0.000718863739052427	3.1412602556853e-06	0.000719929260222939	1.00071750644588	0.000718842540384079	0.000722162698886441	0.000719553243200386	0.000719929272387357	2.14991111133329e-06	2.40278015317745e-07	6.4659035335289e-07	0.0007196563569941	3.76017022552879e-07	0.000717506445882767	3.78011967424985e-06	2.6630923554897e-06	7.10702816307123e-07	9.70150476003949e-07	3.12006158733724e-06	6.16295037870625e-07	3.65580721218758e-06	2.6630923554897e-06	1.32699785417775e-06	1.32699785417775e-06	2.40278015317745e-07	7.10702816307123e-07	5.94133453451069e-07	0.000718842540384079	3.84444824508393e-05	2.12313262879994e-05	5.64025533829319e-05	5.95628914018727e-05	4.52613247347023e-05	0.000173692285170554	0.100450902423587	6.5105328801707e-05	9.94983942829972e-05
"R10"	0.00074791363787668	4.87105277761134e-07	0.00074872371473466	0.00036098442723744	0.000359421270192039	0.000360655313520731	3.8059525073516e-06	0.00074715588380073	0.000359421270192039	1.00074583813562	0.000749374459199651	0.000746585073670356	0.000362312991443763	0.000387502713348983	4.1884420528357e-07	4.87105277761134e-07	0.000746923983541022	5.7081013037357e-07	0.000359421270192039	4.12576458041525e-06	0.000388153457813974	7.46938050930384e-07	1.48606125706359e-06	0.000388988774606046	9.8965433565714e-07	0.000388969676808444	0.000388153457813974	1.73659238658752e-06	1.73659238658752e-06	4.1884420528357e-07	7.46938050930384e-07	9.15251126690015e-07	0.000745838135619426	6.70150728453712e-05	2.97844152843867e-05	8.56215195560355e-05	4.89731396682057e-05	3.40973694432794e-05	0.0502341925055602	0.0503189778268855	8.68678337277201e-05	0.000104571327130254
