"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"
"R1"	1.00502693523189	2.16285859906081e-09	1.20850969457471e-06	4.49491094594295e-09	4.06341844116287e-07	2.01207455587538e-06	2.93445738908412e-06	6.07892129461225e-07	9.25810069121507e-07	1.01094328515381e-06	1.8277975543484e-06	2.1472186950076e-06	4.10959529963022e-07	9.4565846036917e-09	1.84843939228703e-06	1.1308506955192e-06	1.13257722118951e-06	1.25037407809747e-06	1.61295654734671e-06	4.38539148043864e-06	1.86081347054808e-06	2.65903225380068e-06	3.13026071728385e-06	0.00504155605415964	2.1628585990608e-07	3.62997720440174e-05	3.63711100572866e-05	2.72256898856324e-07	1.55287932472762e-07	3.62458067839818e-05	1.6324366428175e-07	3.61758273482086e-05	3.61569318697864e-05	3.62443724029787e-05	1.32081111103306e-07	3.61856889743991e-05	3.61417926859756e-05	1.09730984896943e-07	3.60746764106887e-05	3.61386093091601e-05	3.60737631222894e-05	3.61089299188717e-05	5.64849730562513e-08	0.100538704637862	3.13026071728385e-08	3.13026071728385e-08	3.60111146725689e-05
"R2"	2.16285859906081e-09	1.00100308474569	1.51679130744422e-07	0.00100483886811494	1.32831506145038e-06	1.34512906456537e-06	5.50944528683996e-07	2.44775159548868e-06	9.48160085985218e-07	7.86603879652273e-07	3.43786012338726e-06	0.00100527134610041	0.00100679524818251	0.00100690444622745	2.47943742424812e-06	0.00100603804483179	3.10179619488074e-06	4.5680407447658e-06	0.00100829815122523	4.07841304341138e-06	0.00100907730455624	0.00100922840984661	0.00101022151844703	6.0257240569834e-06	0.100308474568505	9.774122700799e-05	2.3034001368461e-05	1.03947933697734e-05	7.50667199038347e-05	3.80610782515e-05	0.000122788570092089	2.29304089784518e-05	3.97451900203545e-05	1.45970447479167e-05	6.81447753515155e-05	3.79398035200869e-05	3.53629862261866e-05	3.97278559841023e-05	3.03112190950961e-05	9.54624781440434e-08	1.01303929598615e-07	6.14057037441099e-08	2.5231867140169e-05	4.32571719812161e-08	1.01022151844703e-05	1.01022151844703e-05	4.304088612131e-08
"R3"	6.04254847287357e-07	7.58395653722108e-08	1.00239030430702	2.85246255438024e-07	1.7347517569157e-06	0.00167535507086781	2.42627052916348e-06	1.34790183126317e-06	0.000719485553358449	0.000719485508057923	2.78784377616269e-06	2.02038744261357e-06	1.58715864074455e-06	9.09878816998518e-07	1.90117045615753e-06	2.31992891230181e-06	0.000719635561168107	0.000719496560797585	2.43562921133211e-06	0.000721836158942402	3.2402095789097e-06	5.3464334845999e-06	0.000722934471154121	0.00168345400454258	7.58395653722107e-06	9.64321835467771e-05	0.000123369027033812	0.0502174030274825	2.54789352911344e-05	5.06320199160159e-05	1.46584683046069e-05	4.33961561821606e-05	4.04317925490474e-05	2.25113102427465e-05	2.17744978962957e-05	3.68438879093415e-05	1.9374221953029e-05	1.04259108674858e-05	1.93027287567863e-05	0.0501873850558408	2.2336616588767e-05	1.21055471453238e-05	8.72082274225522e-08	1.20850969457471e-05	7.22934471154121e-06	7.22934471154121e-06	1.20246714610184e-05
"R4"	2.24745547297147e-09	0.000502419434057468	2.85246255438024e-07	1.00121929248404	1.37133548258162e-06	1.35173864944026e-06	7.86095884996321e-07	2.48935258707598e-06	1.57483050823021e-06	1.05453634583412e-06	0.000719059461150223	0.00050502530322581	0.000505410566882727	0.00122143838806194	2.19493800763845e-06	0.00050488585600476	2.74820004834114e-06	0.000720305003622328	0.00122263527454348	4.21730854916169e-06	0.00122331602403364	0.00122413437864111	0.000508750686022529	6.26141094769853e-06	0.0502419434057468	8.27064735816414e-05	3.86378709729859e-05	1.97244670734425e-05	6.59418063572802e-05	6.04619910792387e-05	0.0501811134989292	2.06069140384392e-05	3.02717662307083e-05	1.76619914757383e-05	7.18832563286236e-05	4.24383840150058e-05	3.57343503335382e-05	4.81551285865864e-05	2.95849367150071e-05	1.04044631665376e-07	1.04971628900156e-07	7.09275600786763e-08	1.26901376222592e-05	4.49491094594295e-08	5.0875068602253e-06	5.0875068602253e-06	4.47243639121323e-08
"R5"	2.03170922058144e-07	6.64157530725189e-07	1.7347517569157e-06	1.37133548258162e-06	1.00127415205392	0.000559118027302549	0.000559309794918143	0.000719057110767967	0.000559115390198291	0.000559598020594966	0.000559619290096052	2.28868231052913e-06	1.91606381178586e-06	0.000719319059592849	2.40421439484152e-06	0.000719157673087079	0.000719469363762817	2.93514869776444e-06	3.18179950837542e-06	5.23231341786663e-06	0.000721835978085481	0.000562091968431822	0.00128120054356177	0.000566034188853988	6.64157530725189e-05	7.61704219164353e-05	0.0501761507157723	6.8309374452472e-05	0.0501647487734459	4.3872938271622e-05	4.95024566299505e-05	6.65631994619413e-05	5.03954671488237e-05	3.31335564180521e-05	2.00083956004329e-05	1.12599183206143e-05	3.09028060947392e-05	5.23382367273727e-05	1.69187427747422e-05	2.27671065135545e-05	4.11784868349801e-06	2.26867611795618e-05	1.08006955165684e-07	4.06341844116287e-06	1.28120054356177e-05	1.28120054356177e-05	4.04310134895705e-06
"R6"	6.70691518625128e-07	4.48376354855122e-07	0.00111690338057854	9.0115909962684e-07	0.000372745351535033	1.00185938849083	0.000374102994299863	1.58751521357757e-06	0.000374138183780727	0.000374150560852671	0.000373834369983009	2.3141903253207e-06	0.000373343649896877	1.837750152091e-06	2.4916645305042e-06	0.000373795250809805	0.000374766759035363	3.67542993929743e-06	0.000374146996746753	0.000376604870760757	0.00037525142432034	0.000747259840703415	0.000378104628856759	0.0018685465708896	4.48376354855122e-05	0.0334642718445676	0.033487177690003	9.93919206289077e-05	4.65919596721844e-05	4.46982962418804e-05	3.16947921340202e-05	3.90554496668045e-05	4.28016156822135e-05	3.66199568593423e-05	3.00118340785032e-05	2.81989421686482e-05	2.65315215169159e-05	1.08396651430324e-05	2.46107474441427e-05	0.0334645048799438	1.87268308029366e-05	2.58168610306355e-05	9.39588286068454e-06	1.34138303725025e-05	3.78104628856759e-06	3.78104628856759e-06	1.334676122064e-05
"R7"	9.7815246302804e-07	1.83648176227999e-07	1.61751368610898e-06	5.24063923330881e-07	0.000372873196612095	0.000374102994299863	1.00271416256713	1.89845114370549e-06	0.000373861850965707	0.00037391760234817	0.000374468514682494	2.57734179472903e-06	1.82161679022688e-06	1.46795510613052e-06	0.000672282297231598	2.04343677407608e-06	2.41009530033843e-06	2.64014848592105e-06	2.09533421678161e-06	0.000674152492991808	0.000672453581576379	0.000376263837236809	0.00037708064607803	0.00272513276199612	1.83648176227999e-05	5.60746468323536e-05	0.0335171462116296	3.85214691743248e-05	3.22322649124943e-05	6.29166004910139e-05	2.38291022972017e-05	5.72735976543509e-05	3.88138019528067e-05	0.0334793149399861	8.61435450005013e-06	3.39165183941877e-05	3.26621868869689e-05	1.93372102191318e-05	2.32779471593739e-05	3.20162095085589e-05	2.9095983914141e-05	0.0334432706529186	1.68525978505456e-05	1.95630492605608e-05	3.7708064607803e-06	3.7708064607803e-06	1.9465234014258e-05
"R8"	2.02630709820408e-07	8.15917198496226e-07	8.98601220842114e-07	1.65956839138399e-06	0.000479371407178644	1.58751521357757e-06	1.89845114370549e-06	1.00187264303795	1.83641485014566e-06	0.000558972915809283	2.28305889661586e-06	2.00440852010473e-06	2.60641562177432e-06	0.00131680514552515	0.000559540246455443	0.000481387578991835	0.000481332589735505	2.78164987150739e-06	3.23119245351986e-06	0.000841409784276722	0.00131969906964203	0.000561783941880041	0.00104172940191323	0.000564529157559657	8.15917198496226e-05	6.61783396579216e-05	6.4307434483297e-05	5.32649559516883e-05	0.0335059816090181	2.52671900714991e-05	5.90555835021433e-05	0.0334498476490381	5.89733389710204e-05	4.89571226190132e-05	1.76250105296778e-05	2.31805333847411e-05	1.45568318299765e-05	0.0334595478801972	1.45142689936289e-05	4.13019836025415e-06	1.60524909008079e-05	4.0956328302163e-06	1.40536665519304e-05	4.05261419640817e-06	1.04172940191323e-05	1.04172940191323e-05	4.03235112542612e-06
"R9"	3.08603356373836e-07	3.16053361995073e-07	0.000479657035572299	1.04988700548681e-06	0.000372743593465527	0.000374138183780727	0.000373861850965707	1.83641485014566e-06	1.00132840277867	0.000851515319186198	0.000852100031299844	0.000480599605828668	2.22782150864549e-06	1.78885379154991e-06	0.000480436693868894	1.91905402691832e-06	0.000479840191858451	0.000958824745152993	2.85045535355686e-06	0.000481953686895216	3.57994853211845e-06	0.000854719394787498	0.000856570947033662	0.000859768950857505	3.16053361995073e-05	4.83893526031146e-05	0.0334962611935729	0.033476603383547	3.94039475857616e-05	0.0334589435283604	5.13683550444213e-05	6.58468838449535e-05	2.51213827307926e-05	3.75503806292377e-05	3.85389014530275e-05	5.49017369453912e-05	4.80244071903887e-05	7.04212996494601e-06	1.47639253692471e-05	4.25953313631452e-05	1.3026259461771e-05	1.86032684906962e-05	1.20666128844385e-05	6.17206712747671e-06	8.56570947033662e-06	8.56570947033662e-06	6.14120679183932e-06
"R10"	3.36981095051271e-07	2.62201293217424e-07	0.000479657005371949	7.0302423055608e-07	0.000373065347063311	0.000374150560852671	0.00037391760234817	0.000558972915809283	0.000851515319186198	1.00140779852825	0.000374494803089017	2.8585508577788e-06	2.23100516782538e-06	2.25249001552093e-06	0.000560068921220966	2.24017826879526e-06	0.000480196300366797	0.000481209316461599	2.66558159888838e-06	0.000482109721530085	4.12423008246814e-06	0.000933388523259857	0.00141396166278122	0.000938829330812842	2.62201293217424e-05	4.99611637298382e-05	0.0334941079347449	0.0334752826373854	6.36014562968384e-05	7.98168675135678e-05	3.08576056137059e-05	0.0334454070014591	2.57130350661609e-05	4.01177662090675e-05	3.55402462589658e-05	3.4956212169089e-05	3.02793742680024e-05	2.56349420861149e-05	2.08988520513103e-05	4.31604594218734e-05	1.35932055276644e-05	1.91698438697926e-05	1.40574981597198e-05	6.73962190102543e-06	1.41396166278122e-05	1.41396166278122e-05	6.7059237915203e-06
