"Arvicola_terrestris"	"Apodemus_sylvaticus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Chionomys_gud"	"Spermophilus_pygmaeus"	"Cricetulus_migratorius"	"Microtus_socialis"	"Cricetus_cricetus"	"Microtus_majori"	"Mesocricetus_raddei"	"Amphipsylla_rossica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_wagneri"	"Leptopsylla_taschenbergi"	"Nosopsyllus_mokrzeckyi"	"Ctenophthalmus_proximus"	"Ctenophthalmus_orientalis"	"Citellophilus_tesquorum"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Ctenophthalmus_secundus"	"Paradoxopsyllus_hesperius"	"Ctenophthalmus_chionomydis"	"Rhadinopsylla_ucrainica"	"Amphipsylla_kuznetzovi"	"Callopsylla_caspia"	"Ctenophthalmus_acuminatus"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"
"Arvicola_terrestris"	1.07894141751889	0.0597707314484389	0.030546632658179	0.0445581610115223	0.0499558781294728	0.0047015721258572	0.01525640940673	0.013438988939596	0.00429956834011347	0.0271624016286811	0.0047015721258572	0.0649054660746065	0.0687930934418155	0.0700386094753439	0.0639046426207963	0.00783363899182769	0.0584278474951498	0.0689940953346873	0.00347426731794272	0.05942867094896	0.0594238660015908	0.00743201768721582	0.0033528623726222	0.00208149492206137	0.058327440084484	0.00208149492206137	0.00208149492206137	0.00347426731794272	0.00548160007301573	0.0571297966624816
"Apodemus_sylvaticus"	0.0459774857295684	1.08980680942667	0.0354246549174949	0.035697097833025	0.0384768294360309	0.0148735444116282	0.0235079011639823	0.0166163314163552	0.00354412131719776	0.014535013269757	0.0148735444116282	0.0501843913904685	0.0567059410751641	0.0567507570752849	0.0501649311822163	0.0480081720006835	0.0467448532969954	0.0623706526223793	0.0456340326193172	0.0467643135052476	0.00571895217169934	0.0484820122012266	0.00356219299016648	0.00160320122650129	0.0458177220293899	0.00160320122650129	0.00160320122650129	0.0456340326193173	0.0444654392187691	0.00484866698883735
"Apodemus_agrarius"	0.0436380466545414	0.0657886448467762	1.05963099942227	0.0207428624431412	0.042617502085103	0.0062122359431464	0.0390688905324168	0.0274048066051655	0.00582831402229302	0.0161887948353366	0.0062122359431464	0.00999319646644983	0.0932530243566883	0.0923624666999588	0.0841994919649588	0.083249731155516	0.0804001633569957	0.0934449853171149	0.00408339147989337	0.00619386785848679	0.00598123094069011	0.0848996027276157	0.00503147013124736	0.00177572925354596	0.0064879640803798	0.00177572925354596	0.00177572925354596	0.00408339147989337	0.00401196552575972	0.00366353536438002
"Microtus_arvalis"	0.0636545157307461	0.0662946102613321	0.0207428624431412	1.07901901203747	0.0322080268257969	0.006162141282427	0.0192144523718244	0.0176068220993003	0.00576974169929851	0.0164990072995701	0.006162141282427	0.086209682093189	0.0923158671887762	0.0914933722515732	0.010618528550737	0.0069746312160721	0.00721415152054917	0.0925120669803404	0.00409032802296567	0.0828053050630012	0.00658710281672511	0.0078334828607431	0.00294320548206023	0.00134200111774154	0.00707451960663777	0.00134200111774154	0.00134200111774154	0.00409032802296567	0.0796225792764639	0.0802555123606423
"Chionomys_gud"	0.0416298984412273	0.0416832318890335	0.0248602095496434	0.0187880156483815	1.12858165240027	0.00397444287747843	0.0308055629852711	0.0117864345132211	0.00373336107093248	0.0235160810803911	0.00397444287747843	0.0549904429180312	0.0597337771349198	0.0608066067345024	0.0554241710538356	0.052970296245498	0.00546042540210861	0.0598543180381927	0.00259681194587089	0.00502669726630419	0.0520452405737884	0.00741936504297247	0.0495913657654507	0.0470242355166781	0.0507089316652408	0.0470242355166781	0.0470242355166781	0.00259681194587089	0.00294520234424282	0.0034234960398029
"Spermophilus_pygmaeus"	0.023507860629286	0.096678038675583	0.0217428258010124	0.0215674944884945	0.0238466572648706	1.08477083087769	0.0205659760390494	0.0188917546319788	0.000842340956498007	0.00281538975785206	0.0181041642110209	0.0077798488940792	0.0134774553039681	0.0134082085454506	0.00779237255925905	0.0079788871446507	0.00644683812015794	0.288775033597896	0.274911093822329	0.00643431445497809	0.00252092747056542	0.00934674575427844	0.00270744205595706	0.000993610719369607	0.00588738985374095	0.000993610719369607	0.000993610719369608	0.00824442715566226	0.00525892142351379	0.00271592835207105
"Cricetulus_migratorius"	0.0254273490112166	0.0509337858552949	0.0455803722878196	0.0224168611004618	0.0616111259705421	0.00685532534634981	1.06633556463482	0.0313980628165175	0.00667357997483773	0.00924598098912723	0.00685532534634981	0.00855444145095821	0.106777279597404	0.104596237233626	0.0102089779643409	0.0966431599430405	0.00648610009192742	0.10686815228316	0.00367282310025264	0.00483156357854472	0.00499424532297433	0.0980007875463326	0.091428427301674	0.00256713024877259	0.00579748946299861	0.00256713024877259	0.00256713024877259	0.00367282310025264	0.00356019612798389	0.00287257181487953
"Microtus_socialis"	0.0335974723489899	0.0540030771031545	0.0479584115590396	0.0308119386737755	0.0353593035396635	0.00944587731598941	0.0470970942247763	1.04438499063086	0.00937610029855657	0.0118531903225401	0.00944587731598941	0.00891272091137659	0.150017604776905	0.146811203417944	0.0101374689746097	0.0109007044189074	0.00718251587013958	0.150052493285621	0.00443851075604175	0.00595776780690644	0.00463482672191965	0.139975523933612	0.00539806216621734	0.00147330431415264	0.00523021935864654	0.00147330431415264	0.00147330431415264	0.00443851075604175	0.00427789418945694	0.00388072637986203
"Cricetus_cricetus"	0.0429956834011347	0.0460735771235708	0.0407981981560511	0.0403881918950896	0.0448003328511898	0.00168468191299601	0.0400414798490264	0.0375044011942263	1.03352338021688	0.0038387248201743	0.00168468191299601	0.0091532368162929	0.536374083470054	0.0200922339641366	0.00918252297779015	0.00988968819263049	0.00683600183980212	0.0204547343181128	0.00219323113684788	0.00680671567830487	0.00449630530804477	0.0127110578064425	0.00520347052288511	0.00186668053546624	0.00578852536412185	0.00186668053546624	0.00186668053546624	0.00219323113684788	0.00465693150824813	0.00503465501970599
"Microtus_majori"	0.0679060040717026	0.0472387931267103	0.0283303909618391	0.0288732627742477	0.0705482432411734	0.00140769487892603	0.0138689714836909	0.0118531903225401	0.000959681205043575	1.06093940638853	0.00140769487892603	0.142831488708367	0.0153548992806972	0.147492484476742	0.142792712150337	0.0079357337718265	0.00723577621672184	0.0155789061176384	0.00216880037845113	0.00727455277475102	0.138952236137201	0.00647787242709512	0.0040952577586898	0.00293951013504889	0.00815168699735365	0.00293951013504889	0.00293951013504889	0.00216880037845113	0.00387925257116589	0.0054576761160314
