"Microtus_arvalis"	"Dryomys_nitedula"	"Arvicola_terrestris"	"Neomys_schelkovnikovi"	"Ctenophthalmus_wladimiri"	"Ceratophyllus_sciurorum"	"Amphipsylla_rossica"	"Frontopsylla_elata"	"Megabothris_walkeri"	"Ctenophthalmus_bogatschevi"	"Neopsylla_pleskei"	"Nosopsyllus_consimilis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Leptopsylla_taschenbergi"	"Peromyscopsylla_bidentata"	"Rhadinopsylla_integella"	"Stenoponia_ivanovi"
"Microtus_arvalis"	1.26455416359617	0	0.0510930975190371	0.0176860722181282	0.0638663718987963	0	0.0574797347089168	0.0638663718987964	0.00638663718987964	0.0619012527634488	0.0574797347089167	0.0638663718987964	0.0574797347089167	0.00442151805453206	0.0574797347089167	0	0.0574797347089167	0.0574797347089167	0.0574797347089167
"Dryomys_nitedula"	0	1.33333333333333	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0
"Arvicola_terrestris"	0.140506018177352	0	1.19086219602063	0.00196511913534758	0.155244411692459	0	0.00638663718987964	0.155244411692459	0.148857774502579	0.00687791697371653	0.00638663718987964	0.155244411692459	0.00638663718987964	0.000491279783836895	0.00638663718987964	0	0.00638663718987964	0.00638663718987964	0.00638663718987964
"Neomys_schelkovnikovi"	0.0972733971997052	0	0.00393023827069516	1.23212969786293	0.00491279783836895	0	0.00442151805453206	0.00491279783836895	0.000491279783836895	0.312453942520265	0.00442151805453205	0.00491279783836895	0.00442151805453206	0.308032424465733	0.00442151805453206	0	0.00442151805453206	0.00442151805453206	0.00442151805453206
"Ctenophthalmus_wladimiri"	0.35126504544338	0	0.310488823384918	0.00491279783836895	1.05477769589781	0	0.0159665929746991	0.0547776958978138	0.0388111029231147	0.0171947924342913	0.0159665929746991	0.0547776958978138	0.0159665929746991	0.00122819945959224	0.0159665929746991	0	0.0159665929746991	0.0159665929746991	0.0159665929746991
"Ceratophyllus_sciurorum"	0	0.666666666666667	0	0	0	1.16666666666667	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0
"Amphipsylla_rossica"	0.632277081798084	0	0.0255465487595186	0.00884303610906411	0.0319331859493982	0	1.02873986735446	0.0319331859493982	0.00319331859493982	0.0309506263817244	0.0287398673544584	0.0319331859493982	0.0287398673544584	0.00221075902726603	0.0287398673544584	0	0.0287398673544584	0.0287398673544584	0.0287398673544584
"Frontopsylla_elata"	0.35126504544338	0	0.310488823384918	0.00491279783836895	0.0547776958978138	0	0.0159665929746991	1.05477769589781	0.0388111029231147	0.0171947924342913	0.0159665929746991	0.0547776958978138	0.0159665929746991	0.00122819945959224	0.0159665929746991	0	0.0159665929746991	0.0159665929746991	0.0159665929746991
"Megabothris_walkeri"	0.070253009088676	0	0.595431098010317	0.00098255956767379	0.0776222058462295	0	0.00319331859493982	0.0776222058462295	1.07442888725129	0.00343895848685826	0.00319331859493982	0.0776222058462294	0.00319331859493982	0.000245639891918448	0.00319331859493982	0	0.00319331859493982	0.00319331859493982	0.00319331859493982
"Ctenophthalmus_bogatschevi"	0.340456890198968	0	0.0137558339474331	0.312453942520265	0.0171947924342913	0	0.0154753131908622	0.0171947924342913	0.00171947924342913	1.09358879882093	0.0154753131908622	0.0171947924342913	0.0154753131908622	0.0781134856300663	0.0154753131908622	0	0.0154753131908622	0.0154753131908622	0.0154753131908622
