"Microtus_agrestis"	"Apodemus_sylvaticus"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Neomys_fodiens"	"Sorex_minutus"	"Ctenophthalmus_nobilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Ctenophthalmus_bisoctodentatus"	"Doratopsylla_dasycnema"	"Hystrichopsylla_talpae"
"Microtus_agrestis"	1.15795807193241	0.0471045023837656	0.0605207610880303	0.0373269595561851	0.0152115191864699	0.0152115191864699	0.152115191864699	0.127571932789183	0.132692642218291	0.115795807193241	0.123360902329245	0.00756509513600378	0.00756509513600378
"Apodemus_sylvaticus"	0.117761255959414	1.10503102170955	0.00781962451645066	0.0366763282404866	0.0330225514537167	0.0330225514537167	0.330225514537167	0.288033881023329	0.0219226607206194	0.0117761255959414	0.0127535786604977	0.000977453064556332	0.000977453064556332
"Sorex_araneus"	0.0756509513600378	0.00390981225822533	1.22052410461007	0.0297001146888303	0.0017741752080853	0.0017741752080853	0.017741752080853	0.00854254820056012	0.16755563688447	0.00756509513600378	0.160130608212262	0.152565513076259	0.152565513076259
"Clethrionomys_glareolus"	0.0933173988904628	0.0366763282404866	0.0594002293776606	1.07983713131833	0.0320511227531946	0.0320511227531946	0.320511227531946	0.0185008219491679	0.286716051390837	0.00933173988904628	0.0167567685612539	0.00742502867220758	0.00742502867220758
"Neomys_fodiens"	0.0760575959323494	0.0660451029074334	0.0070967008323412	0.0641022455063892	1.06001584407741	0.0600158440774101	0.600158440774101	0.0241170353200933	0.0245184085738749	0.00760575959323494	0.00849284719727759	0.00088708760404265	0.00088708760404265
"Sorex_minutus"	0.0760575959323494	0.0660451029074334	0.0070967008323412	0.0641022455063892	0.0600158440774101	1.06001584407741	0.600158440774101	0.0241170353200933	0.0245184085738749	0.00760575959323494	0.00849284719727759	0.00088708760404265	0.00088708760404265
"Ctenophthalmus_nobilis"	0.152115191864699	0.132090205814867	0.0141934016646824	0.128204491012778	0.12003168815482	0.12003168815482	1.2003168815482	0.0482340706401866	0.0490368171477498	0.0152115191864699	0.0169856943945552	0.0017741752080853	0.0017741752080853
"Megabothris_walkeri"	0.318929831972957	0.288033881023329	0.0170850964011202	0.0185008219491679	0.0120585176600466	0.0120585176600466	0.120585176600466	1.10390145345313	0.0386538257347277	0.0318929831972957	0.0340286202474357	0.00213563705014003	0.00213563705014003
"Palaeopsylla_soricis"	0.221154403697152	0.0146151071470796	0.22340751584596	0.191144034260558	0.0081728028579583	0.0081728028579583	0.081728028579583	0.0257692171564851	1.0978273884156	0.0221154403697152	0.0500413798504602	0.027925939480745	0.027925939480745
"Amalaraeus_penicilliger"	0.578979035966206	0.0235522511918828	0.0302603805440151	0.0186634797780926	0.00760575959323494	0.00760575959323494	0.0760575959323494	0.0637859663945913	0.0663463211091457	1.05789790359662	0.0616804511646225	0.00378254756800189	0.00378254756800189
"Ctenophthalmus_bisoctodentatus"	0.308402255823113	0.0127535786604977	0.320261216424525	0.0167567685612539	0.0042464235986388	0.0042464235986388	0.042464235986388	0.0340286202474357	0.0750620697756903	0.0308402255823113	1.07087287763538	0.0400326520530656	0.0400326520530656
"Doratopsylla_dasycnema"	0.0378254756800189	0.00195490612911266	0.610262052305035	0.0148500573444152	0.00088708760404265	0.00088708760404265	0.0088708760404265	0.00427127410028006	0.083777818442235	0.00378254756800189	0.0800653041061312	1.07628275653813	0.0762827565381294
"Hystrichopsylla_talpae"	0.0378254756800189	0.00195490612911266	0.610262052305035	0.0148500573444152	0.00088708760404265	0.00088708760404265	0.0088708760404265	0.00427127410028006	0.083777818442235	0.00378254756800189	0.0800653041061312	0.0762827565381294	1.07628275653813
