"Myospalax_myospalax"	"Spermophilus_erythrogenys"	"Cricetulus_migratorius"	"Apodemus_uralensis"	"Microtus_arvalis"	"Marmota_baibacina"	"Alticola_strelzowi"	"Ellobius_talpinus"	"Sicista_tianshanica"	"Arvicola_terrestris"	"Microtus_oeconomus"	"Dryomys_nitedula"	"Allactaga_major"	"Clethrionomys_rufocanus"	"Apodemus_agrarius"	"Allactaga_elater"	"Microtus_gregalis"	"Allocricetulus_eversmanni"	"Alticola_argentatus"	"Cricetus_cricetus"	"Sicista_subtilis"	"Ctenophthalmus_dilatatus"	"Citellophilus_ullus"	"Oropsylla_silantiewi"	"Frontopsylla_elata"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_assimilis"	"Pectinoctenus_nemorosa"	"Megabothris_rectangulatus"	"Amphipsylla_dumalis"	"Amphipsylla_primaris"	"Neopsylla_democratica"	"Neopsylla_mana"	"Amphipsylla_anceps"	"Leptopsylla_sicistae"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_arvalis"	"Frontopsylla_ornata"	"Neopsylla_setosa"	"Amalaraeus_penicilliger"	"Hystrichopsylla_talpae"	"Mesopsylla_hebes"	"Leptopsylla_nana"	"Rhadinopsylla_ioffi"	"Amphipsylla_rossica"	"Callopsylla_caspia"	"Frontopsylla_elatoides"	"Mesopsylla_lenis"	"Pectinoctenus_lauta"	"Mesopsylla_eucta"	"Nosopsyllus_consimilis"	"Oropsylla_ilovaiskii"	"Paraneopsylla_ioffi"
"Myospalax_myospalax"	1.18717506004316	0.0289867338271484	0.0460057320827075	0.01662390418067	0.00186012498734485	0	0.0158614869515983	0.000273514610639672	0.0013618315168556	0.000922301971533024	0.0150798417820207	0	0.00102017435945439	0.00139594445129942	0.000636268083227307	0	0.00154254624837452	0.000367224509696349	0.000505557495414368	0.013347861722495	0.000367224509696349	0.148396882505395	0.00293779607757079	0	0.00555719918484632	0.00176945123395029	0.00478650568619425	0.000755632008212271	0.00377898663190032	6.83786526599179e-05	0.00309124181325015	0.152581894891607	0.16017434066994	0.00252508324216256	0.000891815159897831	0	0.00454785972716854	0.00103140960502777	0.00293341890883032	0.00368061134564951	0.00330188231260085	0.000170029059909065	0.00202222998165747	0.148396882505395	0.00105023686895428	0.00132179057929986	0.00418501238621266	0	0.00176945123395029	0	0.00176945123395029	0.00241556115226237	0.000755632008212271
"Spermophilus_erythrogenys"	0.019324489218099	1.12735461182937	0.0606654099498551	0.00337061375966251	0.0283946670715445	0	0.00226481642782478	0.000528959382309774	0.00122835604255953	0.00114101667158348	0.00235611879347235	0	0.0284765782397865	0.00174217623950618	0.000864855633653464	0	0.0269764204783096	0.0137589199869157	0.000666652856591814	0.000459750765373053	0.0137589199869157	0.00241556115226237	0.110071359895325	0	0.00562822643785377	0.00233328499807135	0.00925678919042104	0.000153209716348296	0.00321751495693829	0.000132239845577443	0.00252201970039008	0.0986950638027812	0.00551700918447664	0.00248649471441965	0.000276045320604249	0	0.104397651583605	0.000450262944554867	0.104430588841496	0.00410050965650901	0.00282668145906728	0.00474609637329776	0.00266661142636726	0.00241556115226237	0.00269364959626095	0.000188734702318731	0.0962795026505189	0	0.00233328499807135	0	0.00233328499807135	0.0939462176524475	0.000153209716348296
"Cricetulus_migratorius"	0.0141556098716023	0.0279994199768562	1.14379261211343	0.0262107311462296	0.00868619973175861	0	0.0216681412865375	0.00309200813408654	0.0104252938006508	0.00392401964247864	0.0180078161232936	0	0.00741700743145014	0.0135625521786303	0.00643250582075125	0	0.0101464340141501	0.0004367335679597	0.0125691495836641	0.00437036534184437	0.0004367335679597	0.00176945123395029	0.0034938685436776	0	0.0521779818479574	0.0439920235428242	0.0541101423465145	0.00119139687028316	0.00691810928589382	0.000773002033521636	0.045797701983369	0.0480947597748459	0.0524443841021324	0.0451834204131074	0.00223392625034825	0	0.048829780697906	0.00359018146821128	0.00556160713272836	0.00642003417995095	0.0478914594843602	0.00123616790524169	0.0502765983346562	0.00176945123395029	0.00327150206579274	0.00180567844054479	0.0463253085408956	0	0.0439920235428242	0	0.0439920235428242	0.00233328499807135	0.00119139687028316
"Apodemus_uralensis"	0.00604505606569817	0.00183851659617955	0.0309763186273623	1.12019032392659	0.0231355998289984	0	0.0221646763607647	0.0039338361691588	0.0328685314664225	0.014502646354951	0.0250931053889826	0	0.000849173908054588	0.0278636882990666	0.00792371752004438	0	0.0100737376039433	0.000297310909823546	0.00034039910579519	0.00493938429167861	0.000297310909823546	0.000755632008212271	0.00237848727858837	0	0.0627425522084261	0.00119139687028316	0.068842132960279	0.050917741996663	0.0624878180006925	0.0009834590422897	0.00303845323368022	0.00210023859484373	0.0592726115001433	0.0521091388669462	0.0542045951433052	0	0.00274535277180014	0.0569909639732119	0.00348192255393351	0.0585322154021267	0.00935571096258063	0.000141528984675765	0.00136159642318076	0.000755632008212271	0.0556320774789862	0.00184705636339706	0.00134460658663146	0	0.00119139687028317	0	0.00119139687028317	0.000153209716348296	0.050917741996663
"Microtus_arvalis"	0.00124008332489657	0.0283946670715445	0.0188200994188103	0.0424152663531636	1.06118550683043	0	0.0182346596169509	0.00612430163116912	0.016418397015576	0.0145367325897263	0.0231865763841328	0	0.0141021798878244	0.0301234810515834	0.0125506003602184	0	0.0193073566239914	0.0129711925464521	0.000206814279327586	0.000544225801081055	0.0129711925464521	0.000155010415612071	0.103769540371617	0	0.100685710061236	0.00072384997764655	0.10717527854546	0.00192796665241653	0.0978764903548881	0.00153107540779228	0.00224340494572579	0.00324508264922066	0.00653070961297266	0.00265181663006308	0.00356980635397413	0	0.00785385512624492	0.00658215445913247	0.0955621307178011	0.0102159446621268	0.00731025248304023	0.00235036331463741	0.000827257117310343	0.000155010415612071	0.0933724403267775	0.00151955496807924	0.00309007223360859	0	0.000723849977646551	0	0.000723849977646551	0.00236622225596204	0.00192796665241653
"Marmota_baibacina"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alticola_strelzowi"	0.0105743246343989	0.00226481642782478	0.0469476394541645	0.0406352399947352	0.0182346596169509	0	1.1042950210562	0.00100171051537972	0.0117726433795079	0.0196184594730669	0.0365876883388037	0	0.000954658679022046	0.0105631525559583	0.00825986312416503	0	0.0119196317595713	0.000244041381485425	0.000515908125869939	0.00869983343473847	0.000244041381485425	0.00132179057929986	0.0019523310518834	0	0.103367129924909	0.00180567844054479	0.0175299340191451	0.00184705636339706	0.102887178031189	0.00025042762884493	0.0938302635285618	0.00331620372216338	0.104398001216862	0.00365273480394184	0.00302432070134784	0	0.00364347689264694	0.00408063595694367	0.0033573534201814	0.101680312695105	0.00708823206232505	0.000159109779837008	0.00206363250347976	0.00132179057929986	0.00442292658707212	0.092024585088017	0.00199441314286352	0	0.00180567844054479	0	0.00180567844054479	0.000188734702318731	0.00184705636339706
"Ellobius_talpinus"	0.000547029221279343	0.00158687814692932	0.0200980528715625	0.0216360989303734	0.0183729048935074	0	0.00300513154613916	1.16043590416302	0.0183636683853719	0.0169044762539992	0.0187572979512296	0	0.000975884946515157	0.0184209490500366	0.0161660358674258	0	0.0170505499725492	0.000237616464767103	0.000220857723863324	0.000316380479992926	0.000237616464767103	6.83786526599179e-05	0.00190093171813683	0	0.0109846761469111	0.000773002033521636	0.307628322852928	0.0009834590422897	0.00898184978906642	0.290108976040756	0.00102342966236657	0.000973620531758997	0.00379656575991511	0.00175646107581134	0.00281982588082689	0	0.00319920811675358	0.00466192078583055	0.00395728149102423	0.0077457262893056	0.00601457193966494	0.00016264749108586	0.000883430895453297	6.83786526599179e-05	0.00435662935508564	0.00025042762884493	0.00090524187909908	0	0.000773002033521636	0	0.000773002033521636	0.000132239845577443	0.0009834590422897
"Sicista_tianshanica"	0.00108946521348448	0.00147402725107143	0.0271057638816922	0.0723107692261296	0.0197020764186912	0	0.0141271720554094	0.00734546735414874	1.07788507841372	0.0175207634865591	0.033903357203975	0	0.000711542226839657	0.0428353750888282	0.0075810384676668	0	0.00820302119097207	0.000252096472259079	0.000297865537161452	0.000736357372464487	0.000252096472259079	0.00013618315168556	0.00201677177807263	0	0.0161525634590132	0.00104252938006508	0.128545678697603	0.00328685314664225	0.11963987204228	0.00183636683853719	0.00221979371801587	0.0013015481360066	0.00883628846957384	0.00432938252670734	0.111075360988014	0	0.00230933300433249	0.115358898496897	0.002908643325825	0.0112349021482223	0.115939854497318	0.000118590371139943	0.00119146214864581	0.00013618315168556	0.00921223035708266	0.00117726433795079	0.00116536498432104	0	0.00104252938006508	0	0.00104252938006508	0.000122835604255953	0.00328685314664225
"Arvicola_terrestris"	0.00122973596204403	0.00228203334316695	0.0170040851174074	0.0531763699681536	0.0290734651794527	0	0.0392369189461337	0.0112696508359994	0.0292012724775985	1.04436270024825	0.0476042991046432	0	0.00156688444809585	0.0143679598974587	0.0110705953939028	0	0.0300442408297693	0.000373279744316901	0.000186858078213268	0.000909704014410885	0.000373279744316901	0.000153716995255504	0.00298623795453521	0	0.0169351127736456	0.00065400327374644	0.19721888962999	0.00241710772582517	0.189057241950812	0.00281741270899986	0.00392374651925758	0.000997889714265857	0.0109164481729306	0.00307111099957161	0.00533723497358501	0	0.00486085023074749	0.00677403096333089	0.00662963572195544	0.187469856041819	0.00897795143663909	0.000261147408015976	0.000747432312853073	0.000153716995255504	0.00627669248052542	0.00326974324551114	0.000844172719010353	0	0.00065400327374644	0	0.00065400327374644	0.000190169445263913	0.00241710772582517
