"Alyxia_oliviformis"	"Ilex_anomala"	"Cheirodendron_platyphyllum"	"Cheirodendron_trigynum"	"Dubautia_paleata"	"Dubautia_raillardioides"	"Dubautia_laxa"	"Clermontia_faurieri"	"Carex"	"Machaerina_angustifolia"	"Elaphoglossum"	"Elaeocarpus_bifidus"	"Styphelia_tameiameiae"	"Vaccinium_calycinum"	"Vaccinium_dentatum"	"Scaevola_glabra"	"Broussaisia_arguta"	"Myrsine_helleri"	"Myrsine_wawraea"	"Myrsine_punctata"	"Metrosideros_polymorpha"	"Syzygium_sandwicensis"	"Peperomia_hesperomannii"	"Coprosma_kauensis"	"Psychotria"	"Coprosoma_elliptica"	"Melicope_clusiifolia"	"Melicope_sp."	"Smilax_melastomifolia"	"Wilkstroemia_oahuensis"	"Athyrium_microphyllum"	"Hedychium_gardinerianum"	"Amorbia_emigratella"	"Scotorythra_apicalis"	"Spheterista_pleonectes"	"Udea_ommatias"	"Fletcherana_sp._1"	"Carposina_sp._3"	"Omiodes_antidoxa"	"Hyposmocoma_trivitella"	"Scotorythra_hecataea"	"Eupithecia_orichloris"	"Udea_pyranthes"	"Udea_constricta"	"Udea_swezeyi"	"Thyrocopa_sp._3"	"Pararrhaptica_complex"	"Carposina_graminis"	"Carposina_sp._1"	"Eccoptocera_sp._1"	"Eudonia_sp._1"	"Eupithecia_monticolans"	"Scotorythra_complex"	"Scotorythra_sp._1"	"Thyrocopa_complex"	"Fletcherana_leucoxyla"	"Scotorythra_ortharcha"	"Agrotis_hephaestaea"	"Haliophyle_euclidias"
"Alyxia_oliviformis"	1.07002004066398	0.000841104536455745	0.000874775513318568	0.00134616918939809	0.000825032475249584	0.000900035427545001	0.000735966469398777	0.00211999267077499	0.000841104536455745	0.000735966469398777	0	0.000735966469398777	0.0020549983212379	0.0749053345374322	0.00278250648835689	0.0808640081524366	0	5.66128053383674e-05	0.000792579274737144	0.000895427239613749	0.00489050396600835	0.000735966469398777	0.000111671706360829	0.00215764871630766	0	0.0755177050707682	0.00334001569047729	0.000895427239613749	0.000841104536455745	0	0.00177970222801366	0.000735966469398777	0	0.000210276134113936	0.000555236175679164	0.000356264023403229	0.000150005904590833	0.000353332111795832	0.000210276134113936	0	0.000670030238164974	0.560160325311866	0.00818616007583245	0.0101080010190546	0.0101080010190546	0	0.00022645122135347	0.000271694664778242	0.000271694664778242	0.000271694664778242	0.00838013445360128	0.0169030420366962	0.0309105917147486	0.000271694664778242	0.00895427239613749	0.00863059486523066	0.000210276134113936	0	0.000296617038002277
"Ilex_anomala"	0.000420552268227872	1.151899145159	0.00851434469748988	0.00112713823632489	0.00886922518781055	0.00967551838670242	0.00791175201412646	0.00920323370955047	0.00904200230185881	0.00791175201412646	0	0.00791175201412646	0.00881323060964607	0.00999586476426005	0.00870575854211516	0.00952263346554781	0	0.000608596308778958	0.00852034832290542	0.000345008400955557	0.0108766793843182	0.00791175201412646	0.000376933042558146	0.000275493243454161	0	0.00964226352089562	0.00894621800921359	0.000345008400955557	0.00904200230185881	0	0.00900737499827129	0.00791175201412646	0	0.28797478628975	0.00241037073345369	0.00382989269473637	0.00161258639778374	0.00153387228492508	0.0022605005754647	0	0.00226159825534887	0.00336441814582298	0.00317602611195479	0.00119032918319348	0.00119032918319348	0	0.00243438523511583	0.000604259965795455	0.000604259965795455	0.000604259965795455	0.00305952265275395	0.0073436377414606	0.332293584593311	0.000604259965795455	0.00345008400955557	0.00110197297381664	0.0022605005754647	0	0.00150122916637855
"Cheirodendron_platyphyllum"	0.000437387756659284	0.00851434469748988	1.07954485648057	0.073972021443638	0.00835165021282447	0.00911089114126306	0.00745005161030364	0.0101752016549224	0.00851434469748988	0.00745005161030364	0	0.00745005161030364	0.00974366060340138	0.0109049484903945	0.00823752034406774	0.0090142164193862	0	0.00057308089310028	0.00802313250340393	0.000352823816292292	0.0119918677423272	0.00745005161030364	0.000416392419722539	0.000303753220994829	0	0.010631362734819	0.00989022175716491	0.000352823816292292	0.00851434469748988	0	0.00851222773810466	0.00745005161030364	0	0.00212858617437247	0.288379219481051	0.00360639441008329	0.00151848185687718	0.00169586694248706	0.00212858617437247	0	0.00249835451833523	0.00349910205327427	0.00314987493505639	0.00112677705242328	0.00112677705242328	0	0.00229232357240112	0.000666214874573734	0.000666214874573734	0.000666214874573734	0.00337772144091646	0.0262810320272527	0.312902167632753	0.000666214874573734	0.00352823816292292	0.00121501288397932	0.00212858617437247	0	0.00141870462301744
"Cheirodendron_trigynum"	0.000673084594699045	0.00112713823632489	0.073972021443638	1.09380038634602	0.00110560056301932	0.00120610970511199	0.000986245956784283	0.023782752890129	0.00112713823632489	0.000986245956784283	0	0.000986245956784283	0.0227696805159756	0.0236321206562769	0.00168218557140395	0.0018963777731238	0	7.5865073598791e-05	0.00106211103038307	0.000462239631006588	0.0276045047544534	0.000986245956784283	0.000968823700024042	0.000699392906564192	0	0.0244787517297467	0.0231062742284835	0.000462239631006588	0.00112713823632489	0	0.00158016609577186	0.000986245956784283	0	0.000281784559081224	0.291943101947415	0.000477418424940162	0.000201018284185332	0.00396379214835483	0.000281784559081224	0	0.00581294220014426	0.00538467675759236	0.00278375845847867	0.000237047221640475	0.000237047221640475	0	0.000303460294395164	0.00153358359746963	0.00153358359746963	0.00153358359746963	0.00783250447519155	0.291404552028342	0.0414223301849399	0.00153358359746963	0.00462239631006588	0.00279757162625677	0.000281784559081224	0	0.000263361015961977
"Dubautia_paleata"	0.000412516237624792	0.00886922518781055	0.00835165021282447	0.00110560056301932	1.0787634438148	0.0859237568888673	0.00776057203933423	0.00902737574057817	0.00886922518781055	0.00776057203933423	0	0.00776057203933423	0.00864482492920698	0.00980486097895572	0.008539406468062	0.0093406723165246	0	0.000596967079948787	0.00835753911928302	0.000338415883739845	0.0106688447464013	0.00776057203933423	0.000369730500343659	0.000270229041349941	0	0.00945801644724793	0.0087752711682732	0.000338415883739845	0.00886922518781055	0	0.00883525955244445	0.00776057203933423	0	0.00221730629695264	0.00236431269396095	0.284011487101843	0.0143206261481446	0.00150456262342969	0.00221730629695264	0	0.00221838300206195	0.00330012990099834	0.00311533771491107	0.00116758403956557	0.00116758403956557	0	0.00238786831979515	0.000592713597022294	0.000592713597022294	0.000592713597022294	0.00300106043645929	0.00720331345340721	0.325944025652038	0.000592713597022294	0.00338415883739845	0.00108091616539976	0.00221730629695264	0	0.00147254325874074
"Dubautia_raillardioides"	0.000300011809181667	0.00645034559113495	0.0060739274275087	0.000804073136741326	0.0572825045925782	1.15339909591918	0.00564405239224308	0.00656536417496594	0.00645034559113495	0.00564405239224308	0	0.00564405239224308	0.00628714540305962	0.00713080798469507	0.00621047743131782	0.00679321623019971	0	0.00043415787632639	0.00607821026856947	0.000246120642719888	0.00775915981556458	0.00564405239224308	0.000268894909340843	0.000196530211890866	0	0.00687855741618031	0.00638201539510778	0.000246120642719888	0.00645034559113495	0	0.00642564331086869	0.00564405239224308	0	0.00161258639778374	0.00171950014106251	0.206553808801341	0.192233182653196	0.00109422736249432	0.00161258639778374	0	0.00161336945604506	0.00240009447345334	0.00226570015629896	0.000849152028774963	0.000849152028774963	0	0.00173663150530556	0.000431064434198032	0.000431064434198032	0.000431064434198032	0.00218258940833403	0.00523877342065979	0.237050200474209	0.000431064434198032	0.00246120642719887	0.000786120847563465	0.00161258639778374	0	0.00107094055181145
"Dubautia_laxa"	0.000735966469398777	0.0158235040282529	0.0149001032206073	0.00197249191356857	0.0155211440786685	0.0169321571767292	1.01384556602472	0.0161056589917133	0.0158235040282529	0.0138455660247213	0	0.0138455660247213	0.0154231535668806	0.0174927633374551	0.0152350774487015	0.0166646085647087	0	0.00106504354036318	0.0149106095650845	0.000603764701672224	0.0190341889225569	0.0138455660247213	0.000659632824476755	0.000482113176044781	0	0.0168739611615673	0.0156558815161238	0.000603764701672224	0.0158235040282529	0	0.0157629062469748	0.0138455660247213	0	0.00395587600706323	0.00421814878354396	0.00670231221578865	0.00282202619612154	0.00268427649861889	0.00395587600706323	0	0.00395779694686053	0.00588773175519021	0.00555804569592089	0.00208307607058858	0.00208307607058858	0	0.00426017416145271	0.00105745494014205	0.00105745494014205	0.00105745494014205	0.00535416464231941	0.012851366047556	0.581513773038295	0.00105745494014205	0.00603764701672224	0.00192845270417912	0.00395587600706323	0	0.00262715104116246
"Clermontia_faurieri"	0.000706664223591663	0.00613548913970031	0.00678346776994824	0.0158551685934193	0.00601825049371878	0.00656536417496594	0.00536855299723777	1.11251869834685	0.00613548913970031	0.00536855299723777	0	0.00536855299723777	0.0206903079850581	0.0219781349115181	0.00631254012802744	0.00694310539523364	0	0.000412965615172136	0.00578151861240991	0.000518676739190197	0.0251976915888604	0.00536855299723777	0.000881501167111461	0.000638365717537559	0	0.0223428001138146	0.0209977701726853	0.000518676739190197	0.00613548913970031	0	0.0064224324397396	0.00536855299723777	0	0.00153387228492508	0.00565965909084189	0.00259878998592402	0.00109422736249432	0.185419783057808	0.00153387228492508	0	0.00528900700266877	0.00565331378873331	0.00377594852315867	0.000867888174404205	0.000867888174404205	0	0.00165186246068855	0.00139987175493669	0.00139987175493669	0.00139987175493669	0.00713378012843237	0.202163553489924	0.225479225883986	0.00139987175493669	0.00518676739190197	0.00255346287015024	0.00153387228492508	0	0.00107040540662327
"Carex"	0.000420552268227872	0.00904200230185881	0.00851434469748988	0.00112713823632489	0.00886922518781055	0.00967551838670242	0.00791175201412646	0.00920323370955047	1.151899145159	0.00791175201412646	0	0.00791175201412646	0.00881323060964607	0.00999586476426005	0.00870575854211516	0.00952263346554781	0	0.000608596308778958	0.00852034832290542	0.000345008400955557	0.0108766793843182	0.00791175201412646	0.000376933042558146	0.000275493243454161	0	0.00964226352089562	0.00894621800921359	0.000345008400955557	0.00904200230185881	0	0.00900737499827129	0.00791175201412646	0	0.0022605005754647	0.00241037073345369	0.00382989269473637	0.00161258639778374	0.00153387228492508	0.28797478628975	0	0.00226159825534887	0.00336441814582298	0.00317602611195479	0.00119032918319348	0.00119032918319348	0	0.00243438523511583	0.000604259965795455	0.000604259965795455	0.000604259965795455	0.00305952265275395	0.0073436377414606	0.332293584593311	0.000604259965795455	0.00345008400955557	0.00110197297381664	0.0022605005754647	0	0.00150122916637855
"Machaerina_angustifolia"	0.000735966469398777	0.0158235040282529	0.0149001032206073	0.00197249191356857	0.0155211440786685	0.0169321571767292	0.0138455660247213	0.0161056589917133	0.0158235040282529	1.01384556602472	0	0.0138455660247213	0.0154231535668806	0.0174927633374551	0.0152350774487015	0.0166646085647087	0	0.00106504354036318	0.0149106095650845	0.000603764701672224	0.0190341889225569	0.0138455660247213	0.000659632824476755	0.000482113176044781	0	0.0168739611615673	0.0156558815161238	0.000603764701672224	0.0158235040282529	0	0.0157629062469748	0.0138455660247213	0	0.00395587600706323	0.00421814878354396	0.00670231221578865	0.00282202619612154	0.00268427649861889	0.00395587600706323	0	0.00395779694686053	0.00588773175519021	0.00555804569592089	0.00208307607058858	0.00208307607058858	0	0.00426017416145271	0.00105745494014205	0.00105745494014205	0.00105745494014205	0.00535416464231941	0.012851366047556	0.581513773038295	0.00105745494014205	0.00603764701672224	0.00192845270417912	0.00395587600706323	0	0.00262715104116246
