"Cyrtocymura_scorpioides"	"Vernonanthura_aff._lucida"	"Vernonanthura_aff._laxa"	"Vernonanthura_glanduloso-dentata"	"Vernonanthura_membranacea"	"Vernonanthura_mucronulata"	"Vernonanthura_phosphorica"	"Vernonanthura_subverticillata"	"Vernonanthura_westiniana"	"Vernonanthura_mariana"	"Lessingianthus_buddleiifolius"	"Proteopsis_sp._1"	"Lessingianthus_coriaceus"	"Lessingianthus_roseus"	"Lessingianthus_linearis"	"Lessingianthus_vepretorum"	"Lessingianthus_rosmarinifolius"	"Lessingianthus_linearifolius"	"Lessingianthus_carduoides"	"Lessingianthus_brevipetiolatus"	"Lessingianthus_pumillus"	"Lessingianthus_glabratus"	"Lessingianthus_simplex"	"Lessingianthus_aff._simplex"	"Eremanthus_sp._03"	"Chresta_sp._01"	"Lessingianthus_tomentellus"	"Chresta_sphaerocephala"	"Lessingianthus_sp._01"	"Eremanthus_erythropappus"	"Lessingianthus_psilophyllus"	"Lessingianthus_warmingianus"	"Lepidaploa_spixiana"	"Echinocoryne_schwenkiaefolia"	"Lessingianthus_rubricaulis"	"Lepidaploa_lilacina"	"Lepidaploa_aff._rufogrisea"	"Lessingianthus_virgulatus"	"Echinocoryne_holosericea"	"Stilpnopappus_bicolor"	"Lessingianthus_hovaefolius"	"Lepidaploa_rufogrisea"	"Chrysolaena_herbacea"	"Centratherum_punctatum"	"Vernonanthura_ferruginea"	"Lepidaploa_sp._01"	"Lepidaploa_salzmannii"	"Lepidaploa_aurea"	"Minasia_sp._06"	"Proteopsis_argenica"	"Minasia_sp._02"	"Minasia_sp._04"	"Eremanthus_polycephalus"	"Minasia_sp._01"	"Piptolepis_sp._02"	"Piptolepis_sp._01"	"Piptolepis_sp._03"	"Minasia_sp._05"	"Minasia_scapigera"	"Minasia_alpestris"	"Lychnophora_tomentosa"	"Lychnophora_cipoensis"	"Eremanthus_crotonoides"	"Lychnophora_markgravii"	"Lychnophora_pseudovillosissima"	"Anteremanthus_hatschbachii"	"Lychnophora_candelabrum"	"Lychnophora_villosissima"	"Eremanthus_bicolor"	"Lychnophora_passerina"	"Eremanthus_aff._glomerulatus"	"Eremanthus_elaegnus"	"Lychnophora_aff._pohlii"	"Lychnophora_salicifolia"	"Lychnophora_pohlii"	"Lychnophora_diamantiana"	"Lychnophora_pinaster"	"Eremanthus_glomerulatus"	"Lychnophora_rosmarinifolia"	"Lychnophora_granmogolense"	"Eremanthus_incanus"	"Tomoplagia_argentiniensis"	"Tomoplagia_pseudopenicillata"	"Tomoplagia_fiebrigi"	"Tomoplagia_reimoseri"	"Tomoplagia_minuta"	"Tomoplagia_grandis"	"Tomoplagia_achromoptera"	"Tomoplagia_brasiliensis"	"Dictyotripeta_atacta"	"Tomoplagia_cipoensis"	"Tomoplagia_tripuntacta"	"Tomoplagia_incompleta"	"Xanthaciura_biocellata"	"Dictyotrypeta_sp._1"	"Dictyotrypeta_sp._2"	"Tomoplagia_sp._1"	"Tomoplagia_dimorphica"	"Tomoplagia_variabilis"	"Tetreuaresta_sp._1"	"Tomoplagia_formosa"	"Tomoplagia_punctata"	"Tetreuaresta_sp._2"	"Dictyotrypeta_sp._3"	"Tomoplagia_bicolor"	"Tetreuaresta_sp._3"	"Trupanea_sp._1"	"Acrotaeniini_n._gen.1_sp._1"	"Tomoplagia_interrupta"	"Tomoplagia_aczeli"	"Xanthaciura_chrysura"	"Tomoplagia_voluta"	"Acrotaeniini_n._gen.2_sp._1"	"Tomoplagia_rupestris"	"Tomoplagia_sp._2"	"Tetreuaresta_sp._4"
"Cyrtocymura_scorpioides"	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vernonanthura_aff._lucida"	0	1.16844751046423	0.0223915716561982	0.0223915716561982	0.0223915716561982	0.0223915716561982	0.0223915716561982	0.0242414516094017	0.00184987995320346	0.0246838610416116	2.1644657632448e-07	3.31059077827391e-07	3.87126819773628e-06	3.96107671138994e-06	2.31476837197127e-07	9.33585618792547e-06	4.83466693953521e-06	8.0820375378939e-06	8.0820375378939e-06	8.0820375378939e-06	3.24737059835869e-06	3.24737059835869e-06	3.24737059835869e-06	3.24737059835869e-06	3.24737059835869e-06	3.24737059835869e-06	5.37477947653553e-06	1.00543695884958e-05	5.40112537000316e-07	5.40112537000316e-07	0.000456678341164085	9.97435455163883e-06	9.97435455163883e-06	9.97435455163883e-06	9.43424201463852e-06	9.43424201463852e-06	9.43424201463852e-06	0.000448596303626191	6.72698395328015e-06	3.59084628160566e-07	0.000509322060352308	9.90595411537044e-06	1.02919003796057e-05	6.17271470857505e-07	6.18687141627983e-06	6.18687141627983e-06	6.18687141627983e-06	4.71712100731926e-07	8.0115548269708e-07	6.58799752980141e-06	2.00802265920587e-08	3.50841354405545e-06	2.98334795082015e-07	2.81123172288822e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	2.61042945696763e-07	4.01126113521581e-07	0.000463310134406511	1.40083167824818e-07	1.07682306831821e-05	2.1971503896842e-05	4.64101806157893e-07	1.6575064505639e-08	4.46977511312428e-07	8.56185889677127e-07	1.22622955839144e-05	1.1699628629905e-05	1.08430063339569e-05	7.65538720517711e-07	2.69646217544907e-07	4.1529728668314e-07	4.49491874842131e-07	1.45651069138232e-07	9.22441772293622e-07	0	0	0.292111877616057	0.358265146499171	0.0110992797192207	5.411164408112e-08	5.66673294173883e-07	1.75703112930123e-06	1.8939075428392e-06	1.38886102318276e-06	6.76853371534929e-05	0.000155873788721217	0.00442409432209911	1.1882475814007e-05	1.43633851264226e-06	0.000197979885320955	6.36652575440385e-05	6.36652575440385e-05	1.8868484029277e-06	1.71531672993428e-06	1.54317867714376e-07	7.45836987705038e-08	8.03209063682348e-08	1.09638037192641e-05	1.40083167824818e-06	6.63002580225561e-08	8.40575018998824e-05	8.31481156729182e-05	1.85602512522688e-07	7.44962518854046e-08	2.97179607031037e-06	3.7750470456287e-06	6.29288624778983e-06	1.45651069138232e-06	1.15305221536703e-07
"Vernonanthura_aff._laxa"	0	0.0447831433123964	1.03918525039835	0.0391852503983468	0.0391852503983468	0.0391852503983468	0.0391852503983468	0.0424225403164529	0.00323728991810605	0.0431967568228202	3.7878150856784e-07	5.79353386197934e-07	6.7747193460385e-06	6.93188424493239e-06	4.05084465094972e-07	1.63377483288696e-05	8.46066714418662e-06	1.41435656913143e-05	1.41435656913143e-05	1.41435656913143e-05	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	9.40586408393717e-06	1.75951467798677e-05	9.45196939750554e-07	9.45196939750554e-07	0.000799187097037148	1.7455120465368e-05	1.7455120465368e-05	1.7455120465368e-05	1.65099235256174e-05	1.65099235256174e-05	1.65099235256174e-05	0.000785043531345834	1.17722219182403e-05	6.2839809928099e-07	0.000891313605616539	1.73354197018983e-05	1.80108256643099e-05	1.08022507400063e-06	1.08270249784897e-05	1.08270249784897e-05	1.08270249784897e-05	8.2549617628087e-07	1.40202209471989e-06	1.15289956771525e-05	3.51403965361027e-08	6.13972370209704e-06	5.22085891393527e-07	4.91965551505439e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	7.01970698662767e-07	0.000810792735211394	2.45145543693432e-07	1.88444036955686e-05	3.84501318194736e-05	8.12178160776312e-07	2.90063628848683e-08	7.82210644796748e-07	1.49832530693497e-06	2.14590172718502e-05	2.04743501023338e-05	1.89752610844246e-05	1.33969276090599e-06	4.71880880703588e-07	7.26770251695494e-07	7.86610780973729e-07	2.54889370991907e-07	1.61427310151384e-06	0	0	0.0111957858280991	0.626964006373549	0.0194237395086363	9.469537714196e-08	9.91678264804295e-07	3.07480447627716e-06	3.3143381999686e-06	2.43050679056983e-06	0.000118449340018613	0.00027277913026213	0.00774216506367344	2.07943326745122e-05	2.51359239712396e-06	0.000346464799311671	0.000111414200702067	0.000111414200702067	3.30198470512348e-06	3.00180427738498e-06	2.70056268500158e-07	1.30521472848382e-07	1.40561586144411e-07	1.91866565087121e-05	2.45145543693432e-06	1.16025451539473e-07	0.000147100628324794	0.000145509202427607	3.24804396914704e-07	1.30368440799458e-07	5.20064312304314e-06	6.60633232985023e-06	1.10125509336322e-05	2.54889370991907e-06	2.0178413768923e-07
"Vernonanthura_glanduloso-dentata"	0	0.0447831433123964	0.0391852503983468	1.03918525039835	0.0391852503983468	0.0391852503983468	0.0391852503983468	0.0424225403164529	0.00323728991810605	0.0431967568228202	3.7878150856784e-07	5.79353386197934e-07	6.7747193460385e-06	6.93188424493239e-06	4.05084465094972e-07	1.63377483288696e-05	8.46066714418662e-06	1.41435656913143e-05	1.41435656913143e-05	1.41435656913143e-05	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	9.40586408393717e-06	1.75951467798677e-05	9.45196939750554e-07	9.45196939750554e-07	0.000799187097037148	1.7455120465368e-05	1.7455120465368e-05	1.7455120465368e-05	1.65099235256174e-05	1.65099235256174e-05	1.65099235256174e-05	0.000785043531345834	1.17722219182403e-05	6.2839809928099e-07	0.000891313605616539	1.73354197018983e-05	1.80108256643099e-05	1.08022507400063e-06	1.08270249784897e-05	1.08270249784897e-05	1.08270249784897e-05	8.2549617628087e-07	1.40202209471989e-06	1.15289956771525e-05	3.51403965361027e-08	6.13972370209704e-06	5.22085891393527e-07	4.91965551505439e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	7.01970698662767e-07	0.000810792735211394	2.45145543693432e-07	1.88444036955686e-05	3.84501318194736e-05	8.12178160776312e-07	2.90063628848683e-08	7.82210644796748e-07	1.49832530693497e-06	2.14590172718502e-05	2.04743501023338e-05	1.89752610844246e-05	1.33969276090599e-06	4.71880880703588e-07	7.26770251695494e-07	7.86610780973729e-07	2.54889370991907e-07	1.61427310151384e-06	0	0	0.0111957858280991	0.626964006373549	0.0194237395086363	9.469537714196e-08	9.91678264804295e-07	3.07480447627716e-06	3.3143381999686e-06	2.43050679056983e-06	0.000118449340018613	0.00027277913026213	0.00774216506367344	2.07943326745122e-05	2.51359239712396e-06	0.000346464799311671	0.000111414200702067	0.000111414200702067	3.30198470512348e-06	3.00180427738498e-06	2.70056268500158e-07	1.30521472848382e-07	1.40561586144411e-07	1.91866565087121e-05	2.45145543693432e-06	1.16025451539473e-07	0.000147100628324794	0.000145509202427607	3.24804396914704e-07	1.30368440799458e-07	5.20064312304314e-06	6.60633232985023e-06	1.10125509336322e-05	2.54889370991907e-06	2.0178413768923e-07
"Vernonanthura_membranacea"	0	0.0447831433123964	0.0391852503983468	0.0391852503983468	1.03918525039835	0.0391852503983468	0.0391852503983468	0.0424225403164529	0.00323728991810605	0.0431967568228202	3.7878150856784e-07	5.79353386197934e-07	6.7747193460385e-06	6.93188424493239e-06	4.05084465094972e-07	1.63377483288696e-05	8.46066714418662e-06	1.41435656913143e-05	1.41435656913143e-05	1.41435656913143e-05	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	9.40586408393717e-06	1.75951467798677e-05	9.45196939750554e-07	9.45196939750554e-07	0.000799187097037148	1.7455120465368e-05	1.7455120465368e-05	1.7455120465368e-05	1.65099235256174e-05	1.65099235256174e-05	1.65099235256174e-05	0.000785043531345834	1.17722219182403e-05	6.2839809928099e-07	0.000891313605616539	1.73354197018983e-05	1.80108256643099e-05	1.08022507400063e-06	1.08270249784897e-05	1.08270249784897e-05	1.08270249784897e-05	8.2549617628087e-07	1.40202209471989e-06	1.15289956771525e-05	3.51403965361027e-08	6.13972370209704e-06	5.22085891393527e-07	4.91965551505439e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	7.01970698662767e-07	0.000810792735211394	2.45145543693432e-07	1.88444036955686e-05	3.84501318194736e-05	8.12178160776312e-07	2.90063628848683e-08	7.82210644796748e-07	1.49832530693497e-06	2.14590172718502e-05	2.04743501023338e-05	1.89752610844246e-05	1.33969276090599e-06	4.71880880703588e-07	7.26770251695494e-07	7.86610780973729e-07	2.54889370991907e-07	1.61427310151384e-06	0	0	0.0111957858280991	0.626964006373549	0.0194237395086363	9.469537714196e-08	9.91678264804295e-07	3.07480447627716e-06	3.3143381999686e-06	2.43050679056983e-06	0.000118449340018613	0.00027277913026213	0.00774216506367344	2.07943326745122e-05	2.51359239712396e-06	0.000346464799311671	0.000111414200702067	0.000111414200702067	3.30198470512348e-06	3.00180427738498e-06	2.70056268500158e-07	1.30521472848382e-07	1.40561586144411e-07	1.91866565087121e-05	2.45145543693432e-06	1.16025451539473e-07	0.000147100628324794	0.000145509202427607	3.24804396914704e-07	1.30368440799458e-07	5.20064312304314e-06	6.60633232985023e-06	1.10125509336322e-05	2.54889370991907e-06	2.0178413768923e-07
"Vernonanthura_mucronulata"	0	0.0447831433123964	0.0391852503983468	0.0391852503983468	0.0391852503983468	1.03918525039835	0.0391852503983468	0.0424225403164529	0.00323728991810605	0.0431967568228202	3.7878150856784e-07	5.79353386197934e-07	6.7747193460385e-06	6.93188424493239e-06	4.05084465094972e-07	1.63377483288696e-05	8.46066714418662e-06	1.41435656913143e-05	1.41435656913143e-05	1.41435656913143e-05	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	9.40586408393717e-06	1.75951467798677e-05	9.45196939750554e-07	9.45196939750554e-07	0.000799187097037148	1.7455120465368e-05	1.7455120465368e-05	1.7455120465368e-05	1.65099235256174e-05	1.65099235256174e-05	1.65099235256174e-05	0.000785043531345834	1.17722219182403e-05	6.2839809928099e-07	0.000891313605616539	1.73354197018983e-05	1.80108256643099e-05	1.08022507400063e-06	1.08270249784897e-05	1.08270249784897e-05	1.08270249784897e-05	8.2549617628087e-07	1.40202209471989e-06	1.15289956771525e-05	3.51403965361027e-08	6.13972370209704e-06	5.22085891393527e-07	4.91965551505439e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	7.01970698662767e-07	0.000810792735211394	2.45145543693432e-07	1.88444036955686e-05	3.84501318194736e-05	8.12178160776312e-07	2.90063628848683e-08	7.82210644796748e-07	1.49832530693497e-06	2.14590172718502e-05	2.04743501023338e-05	1.89752610844246e-05	1.33969276090599e-06	4.71880880703588e-07	7.26770251695494e-07	7.86610780973729e-07	2.54889370991907e-07	1.61427310151384e-06	0	0	0.0111957858280991	0.626964006373549	0.0194237395086363	9.469537714196e-08	9.91678264804295e-07	3.07480447627716e-06	3.3143381999686e-06	2.43050679056983e-06	0.000118449340018613	0.00027277913026213	0.00774216506367344	2.07943326745122e-05	2.51359239712396e-06	0.000346464799311671	0.000111414200702067	0.000111414200702067	3.30198470512348e-06	3.00180427738498e-06	2.70056268500158e-07	1.30521472848382e-07	1.40561586144411e-07	1.91866565087121e-05	2.45145543693432e-06	1.16025451539473e-07	0.000147100628324794	0.000145509202427607	3.24804396914704e-07	1.30368440799458e-07	5.20064312304314e-06	6.60633232985023e-06	1.10125509336322e-05	2.54889370991907e-06	2.0178413768923e-07
"Vernonanthura_phosphorica"	0	0.0447831433123964	0.0391852503983468	0.0391852503983468	0.0391852503983468	0.0391852503983468	1.03918525039835	0.0424225403164529	0.00323728991810605	0.0431967568228202	3.7878150856784e-07	5.79353386197934e-07	6.7747193460385e-06	6.93188424493239e-06	4.05084465094972e-07	1.63377483288696e-05	8.46066714418662e-06	1.41435656913143e-05	1.41435656913143e-05	1.41435656913143e-05	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	5.6828985471277e-06	9.40586408393717e-06	1.75951467798677e-05	9.45196939750554e-07	9.45196939750554e-07	0.000799187097037148	1.7455120465368e-05	1.7455120465368e-05	1.7455120465368e-05	1.65099235256174e-05	1.65099235256174e-05	1.65099235256174e-05	0.000785043531345834	1.17722219182403e-05	6.2839809928099e-07	0.000891313605616539	1.73354197018983e-05	1.80108256643099e-05	1.08022507400063e-06	1.08270249784897e-05	1.08270249784897e-05	1.08270249784897e-05	8.2549617628087e-07	1.40202209471989e-06	1.15289956771525e-05	3.51403965361027e-08	6.13972370209704e-06	5.22085891393527e-07	4.91965551505439e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	4.56825154969336e-07	7.01970698662767e-07	0.000810792735211394	2.45145543693432e-07	1.88444036955686e-05	3.84501318194736e-05	8.12178160776312e-07	2.90063628848683e-08	7.82210644796748e-07	1.49832530693497e-06	2.14590172718502e-05	2.04743501023338e-05	1.89752610844246e-05	1.33969276090599e-06	4.71880880703588e-07	7.26770251695494e-07	7.86610780973729e-07	2.54889370991907e-07	1.61427310151384e-06	0	0	0.0111957858280991	0.626964006373549	0.0194237395086363	9.469537714196e-08	9.91678264804295e-07	3.07480447627716e-06	3.3143381999686e-06	2.43050679056983e-06	0.000118449340018613	0.00027277913026213	0.00774216506367344	2.07943326745122e-05	2.51359239712396e-06	0.000346464799311671	0.000111414200702067	0.000111414200702067	3.30198470512348e-06	3.00180427738498e-06	2.70056268500158e-07	1.30521472848382e-07	1.40561586144411e-07	1.91866565087121e-05	2.45145543693432e-06	1.16025451539473e-07	0.000147100628324794	0.000145509202427607	3.24804396914704e-07	1.30368440799458e-07	5.20064312304314e-06	6.60633232985023e-06	1.10125509336322e-05	2.54889370991907e-06	2.0178413768923e-07
"Vernonanthura_subverticillata"	0	0.0242414516094017	0.0212112701582264	0.0212112701582264	0.0212112701582264	0.0212112701582264	0.0212112701582264	1.07217341274617	0.0509621425879467	0.0734905862829799	6.44420488602429e-07	9.85653163531551e-07	1.15258212250785e-05	1.17932056634564e-05	6.89169674382355e-07	2.77953900140508e-05	1.43941220245253e-05	2.40624299423659e-05	2.40624299423659e-05	2.40624299423659e-05	9.66830791784064e-06	9.66830791784064e-06	9.66830791784064e-06	9.66830791784064e-06	9.66830791784064e-06	9.66830791784064e-06	1.60021843505944e-05	2.9934600365749e-05	1.60806232606912e-06	1.60806232606912e-06	0.00135965597028398	2.96963737787429e-05	2.96963737787429e-05	2.96963737787429e-05	2.80883114526738e-05	2.80883114526738e-05	2.80883114526738e-05	0.00133559354034161	2.00280658609023e-05	1.06909287020532e-06	0.00151639067968528	2.94927270253075e-05	3.06417943120078e-05	1.83778551550757e-06	1.84200035348331e-05	1.84200035348331e-05	1.84200035348331e-05	1.40441557263369e-06	2.38525836893903e-06	1.96142653728178e-05	5.9784310989993e-08	1.04455039607105e-05	8.88224048994182e-07	8.36980353859902e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	7.77196042869909e-07	1.19426183798471e-06	0.00137940062743757	4.17065795114799e-07	3.20599595340193e-05	6.54151593292343e-05	1.38175765015191e-06	4.93484875054253e-08	1.33077395413473e-06	2.54909889881145e-06	3.65081982157451e-05	3.48329852390354e-05	3.22825870397353e-05	2.27921755426864e-06	8.02810329508701e-07	1.23645328535207e-06	1.33825990009816e-06	4.33642955843374e-07	2.74636073114692e-06	0	0	0.00606036290235041	0.339380322531623	0.30577285552768	1.61105122150607e-07	1.6871409440177e-06	5.23116086223776e-06	5.63867927527126e-06	4.13501804629413e-06	0.000201517708343354	0.000464078780056351	0.0131717353680678	3.53773711735207e-05	4.27637148082129e-06	0.000589440113114661	0.00018954883496066	0.00018954883496066	5.61766229053475e-06	5.10696571866796e-06	4.59446378876893e-07	2.22056012248545e-07	2.39137243959972e-07	3.26422338005362e-05	4.170657951148e-06	1.97393950021701e-07	0.000250262107929195	0.000247554617117097	5.52589298647095e-07	2.21795659022455e-07	8.84784739115133e-06	1.12393446131218e-05	1.87356386013743e-05	4.33642955843374e-06	3.43295091393365e-07
"Vernonanthura_westiniana"	0	0.00369975990640691	0.00323728991810605	0.00323728991810605	0.00323728991810605	0.00323728991810605	0.00323728991810605	0.101924285175893	1.09868699525779	0.10378441574314	9.10059468637019e-07	1.39195294086517e-06	1.62769231041185e-05	1.66545270819804e-05	9.73254883669739e-07	3.92530316992321e-05	2.0327576904864e-05	3.39812941934175e-05	3.39812941934175e-05	3.39812941934175e-05	1.36537172885536e-05	1.36537172885536e-05	1.36537172885536e-05	1.36537172885536e-05	1.36537172885536e-05	1.36537172885536e-05	2.25985046172516e-05	4.22740539516303e-05	2.27092771238769e-06	2.27092771238769e-06	0.00192012484353081	4.19376270921178e-05	4.19376270921178e-05	4.19376270921178e-05	3.96666993797301e-05	3.96666993797301e-05	3.96666993797301e-05	0.00188614354933739	2.82839098035643e-05	1.50978764112965e-06	0.00214146775375402	4.16500343487166e-05	4.32727629597056e-05	2.59534595701451e-06	2.60129820911766e-05	2.60129820911766e-05	2.60129820911766e-05	1.98333496898651e-06	3.36849464315818e-06	2.76995350684832e-05	8.44282254438832e-08	1.47512842193241e-05	1.25436220659484e-06	1.18199515621437e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.09756693077048e-06	1.68655297730665e-06	0.00194800851966374	5.88986046536167e-07	4.527551537247e-05	9.2380186838995e-05	1.9513371395275e-06	6.96906121259823e-08	1.87933726347271e-06	3.59987249068792e-06	5.155737915964e-05	4.9191620375737e-05	4.5589912995046e-05	3.21874234763128e-06	1.13373977831381e-06	1.74613631900866e-06	1.8899090192226e-06	6.12396540694841e-07	3.87844836078e-06	0	0	0.000924939976601728	0.0517966386896968	0.592121971546724	2.27514867159255e-07	2.3826036232311e-06	7.38751724819837e-06	7.96302035057392e-06	5.83952930201843e-06	0.000284586076668095	0.000655378429850572	0.0186013056724622	4.99604096725293e-05	6.03915056451861e-06	0.000832415426917651	0.000267683469219253	0.000267683469219253	7.93333987594602e-06	7.21212715995094e-06	6.48836489253627e-07	3.13590551648709e-07	3.37712901775533e-07	4.60978110923603e-05	5.88986046536167e-06	2.78762448503929e-07	0.000353423587533596	0.000349600031806588	7.80374200379485e-07	3.13222877245451e-07	1.24950516592595e-05	1.58723568963934e-05	2.64587262691163e-05	6.12396540694841e-06	4.848060450975e-07
"Vernonanthura_mariana"	0	0.0164559073610744	0.0143989189409401	0.0143989189409401	0.0143989189409401	0.0143989189409401	0.0143989189409401	0.0489937241886532	0.0345948052477132	1.06813798689156	9.36623366640477e-06	1.43258291859853e-05	0.000167520332920225	0.000171406592238328	1.00166340459848e-05	0.000403987958677502	0.000209209223928978	0.000349731806185227	0.000349731806185227	0.000349731806185227	0.000140522582256249	0.000140522582256249	0.000140522582256249	0.000140522582256249	0.000140522582256249	0.000140522582256249	0.000232581366439174	0.000435079993102184	2.33721425101955e-05	2.33721425101955e-05	0.0197617173085549	0.000431617524234553	0.000431617524234553	0.000431617524234553	0.000408245381724358	0.000408245381724358	0.000408245381724358	0.0194119855023697	0.000291094941978305	1.55385711822209e-05	0.022039754611609	0.000428657650810576	0.000445358598244754	2.6711020011652e-05	0.000267722799468109	0.000267722799468109	0.000267722799468109	2.04122690862179e-05	3.46681827058009e-05	0.000285080620380498	8.68926168892722e-07	0.000151818622451854	1.2909760223549e-05	1.21649663644981e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.12960401956054e-05	1.73578209123884e-05	0.0200486930888636	6.06178071678304e-06	0.000465970709563151	0.00095076689589971	2.00829508846506e-05	7.1724824588038e-07	1.9341935944065e-05	3.70494984987557e-05	0.000530622972540295	0.000506274838894072	0.000469206455905771	3.31269482696755e-05	1.16683272319433e-05	1.79710462237431e-05	1.94507393113504e-05	6.30271899179988e-06	3.99165712374331e-05	0	0	0.00411397684026859	0.230382703055041	0.207568831486279	2.34155841660119e-06	2.45214989115244e-05	7.60315288679443e-05	8.19545445810418e-05	6.00998042759086e-05	0.00292892913500569	0.00674508394829994	0.191442627029016	0.000514187135224301	6.21542847288834e-05	0.00856712958297949	0.00275496932645112	0.00275496932645112	8.16490763448715e-05	7.42264330407923e-05	6.677755002913e-06	3.22744005588726e-06	3.47570467557089e-06	0.000474433688215427	6.06178071678304e-05	2.86899298352152e-06	0.00363739735494036	0.00359804573275537	8.03152690552724e-06	3.22365599067751e-06	0.000128597720860703	0.000163356581247206	0.000272310350358906	6.30271899179988e-05	4.98957140467914e-06
