"Oxalis_compacta"	"Phacelia_secunda"	"Azorella_madreporica"	"Tropaeolum_polyphyllum"	"Draba_tenuis"	"Laretia_acaulis"	"Nassauvia_lagascae"	"Nototriche_compacta"	"Caiophora_coronata"	"Draba_gilliesii"	"Junellia_uniflora"	"Oreopolus_glacialis"	"Adesmia_capitellata"	"Adesmia_glomerula"	"Chaetanthera_lycopodioides"	"Loasa_caespitosa"	"Nassauvia_pungens"	"Viola_atropurpurea"	"Acaena_pinnatifida"	"Calandrinia_affinis"	"Calandrinia_caespitosa"	"Calandrinia_occulta"	"Calandrinia_picta"	"Calandrinia_sericea"	"Cardamine_nivalis"	"Chaetanthera_flabellata"	"Erigeron_andicola"	"Leuceria_salina"	"Nassauvia_pinnigera"	"Oxalis_sp1_M_PL_003"	"Pozoa_coriacea"	"Ranunculus_peduncularis"	"Senecio_francisci"	"Valeriana_radicalis"	"Viola_montagnei"	"Viola_philippii"	"Unidentified_sp1_M_PL_003"	"Scaeva_melanostoma"	"Yramea_modesta"	"Phulia_nymphula"	"Unidentified_sp2_M_PL_003"	"Anthidium_sp1_M_PL_003"	"Bombus_dahlbomii"	"Megachile_sp1_M_PL_003"	"Anthidium_espinosai"	"Faunula_leucoglene"	"Habromyia_lipoflava"	"Megachile_semirufa"	"Unidentified_sp3_M_PL_003"	"Unidentified_sp4_M_PL_003"	"Andinus_venustus"	"Cynthia_terpsichore"	"Dasybasis_sp1_M_PL_003"	"Hypsochila_wagenknechti"	"Pseudolucia_chilensis"	"Tatochila_mercedis"	"Unidentified_sp5_M_PL_003"	"Unidentified_sp6_M_PL_003"	"Unidentified_sp7_M_PL_003"	"Vibrissomyia_sp1_M_PL_003"	"Villa_sp1_M_PL_003"
"Oxalis_compacta"	1.19103561866414	0.0102805526021705	0.000803882823602099	0.00812325061888613	0.000780564939852848	0.000293981798846565	0.00839227585849775	0.0137808510660513	0.00880221414511168	0.00732215151902745	0.0132984784752419	0.0142587582578784	0.00856674444464112	0.00861803024876503	0.00704364698278294	0.00844728803557759	0.000670507632099053	0.00648278156464569	0.000251176195619573	0.000251176195619573	0.000227950072186736	0.000227950072186736	0.000227950072186736	0.000255278412811677	0.000227950072186736	0.000227950072186736	0.000251176195619573	0.000255278412811677	0.000251176195619573	0.000227950072186736	0.000227950072186736	0.000227950072186736	0.000255278412811677	0.000227950072186736	0.00625483149245896	0.00625483149245896	0.00683850216560209	0.00452117152115231	0.100077303879343	0.0954197567483468	0.00357389777936348	0.09380573685167	0.00249137531572425	0.00378085978763055	0.00299839882800782	0.00320354204450348	0.00011713600721603	0.00166903777873616	0.00227936075274056	0.00182017700073802	0.0850739727617245	0.0850739727617245	8.03882823602099e-05	0.0850739727617245	0.00237645970964639	0.0850739727617245	0.00104903448231222	9.7570617481606e-05	9.7570617481606e-05	3.67477248558206e-05	3.67477248558206e-05
"Phacelia_secunda"	0.0119939780358656	1.09905884948924	0.00733051927645514	0.0504961783929495	9.60482860435147e-05	0.000267797933747868	0.00786140652360676	0.00122717493314657	0.0288563421456737	0.00697760181196492	0.000718627903829494	0.00073738514088121	0.0346684539598812	0.0105069708553516	0.000290623216050306	0.0268287917625928	0.0172968617018233	0.000470696212467574	0.00621978229219723	0.00621978229219723	4.26915246883852e-05	4.26915246883852e-05	4.26915246883852e-05	0.000509887828405771	4.26915246883852e-05	4.26915246883852e-05	0.00621978229219723	0.000509887828405771	0.00621978229219723	4.26915246883852e-05	4.26915246883852e-05	4.26915246883852e-05	0.000509887828405771	4.26915246883852e-05	0.000428004687779188	0.000428004687779188	0.00128074574065156	0.11195608125955	0.00684807500446701	0.00347104367906689	0.00713842959768079	0.115255394676353	0.100721843240505	0.10334505323738	0.100255350947407	0.00360941852928875	0.000766526669363998	0.0966378552967318	0.00985900819690724	0.000165402902398761	0.000856712716847544	0.000856712716847544	0.000733051927645514	0.000856712716847544	0.000122897523480202	0.000856712716847544	0.000982675815450845	1.20060357554393e-05	1.20060357554393e-05	3.34747417184835e-05	3.34747417184835e-05
"Azorella_madreporica"	0.00112543595304294	0.00879662313174617	1.10542618262804	0.00848663924141051	0.00595554909682495	0.0383102873737926	0.00864414499113508	0.010763012624305	0.000915230065529113	0.017187900580341	0.00555017982783843	0.000939850278438452	0.000305485811554115	0.000398143463886481	0.00524317894170942	0.000382694895706121	0.00994082768062732	0.00499565129206554	0.00725434389595036	0.00725434389595036	0.00468865040593652	0.00468865040593652	0.00468865040593652	0.00937902814861779	0.00468865040593652	0.00468865040593652	0.00725434389595036	0.00937902814861779	0.00725434389595036	0.00468865040593652	0.00468865040593652	0.00468865040593652	0.00937902814861779	0.00468865040593652	0.000307000886129017	0.000307000886129017	0.140659512178096	0.130578190127107	0.00491201417806427	0.00776339950082056	0.131306394080649	0.00123755959704726	0.0033707971920572	0.0016773895757131	0.000809423380534043	0.00118005398986351	0.115331404184528	0.00158171585178657	0.0010012022683959	0.00208982021514124	8.03882823602099e-05	8.03882823602099e-05	0.110542618262804	8.03882823602099e-05	0.000156641713073075	8.03882823602099e-05	0.00108051812389188	0.000744443637103118	0.000744443637103119	0.00478878592172407	0.00478878592172407
"Tropaeolum_polyphyllum"	0.0113725508664406	0.0605954140715394	0.00848663924141052	1.09222689423781	0.00053953791103384	0.0004623881453721	0.00882821349471485	0.00887235506599541	0.0319313105167504	0.00819199491697534	0.00844785417245997	0.00902168744273184	0.00292312004975955	0.00187082907577139	0.000712251281458388	0.021415727092875	0.0021254995570738	0.00791357690762402	0.00734936439751368	0.00734936439751368	0.000177974016622447	0.000177974016622447	0.000177974016622447	0.000308353254625719	0.000177974016622447	0.000177974016622447	0.00734936439751368	0.000308353254625719	0.00734936439751368	0.000177974016622447	0.000177974016622447	0.000177974016622447	0.000308353254625719	0.000177974016622447	0.00773560289100158	0.00773560289100158	0.0053392204986734	0.132288559155246	0.123769646256025	0.00747988170770318	0.00431694556476006	0.0177362470419101	0.0109028778146885	0.119626239036295	0.00578039785173484	0.00157123395578221	0.000906462442312564	0.114272307263076	0.114544574509906	0.00117648662212865	0.000812325061888613	0.000812325061888613	0.000848663924141052	0.000812325061888614	0.00150361457378864	0.000812325061888614	0.00110352668683936	6.744223887923e-05	6.74422388792301e-05	5.77985181715125e-05	5.77985181715125e-05
"Draba_tenuis"	0.00136598864474248	0.000144072429065272	0.00744443637103119	0.000674422388792301	1.19389999689261	0.00744602507321704	0.000749836260212315	0.0402127882204611	5.56148089221221e-05	0.00116466674304941	0.00725577710402059	0.00126469566302127	1.55141983452155e-05	3.73071308175088e-05	0.0067041968758858	2.58620150771039e-05	0.000512353241395543	0.00664805297438589	6.94832855066185e-05	6.94832855066185e-05	0.0060964727462511	0.0060964727462511	0.0060964727462511	0.000487459327908097	0.0060964727462511	0.0060964727462511	6.94832855066185e-05	0.000487459327908097	6.94832855066185e-05	0.0060964727462511	0.0060964727462511	0.0060964727462511	0.000487459327908097	0.0060964727462511	0.000551580228134795	0.000551580228134795	0.182894182387533	0.00125069913911913	0.00882528365015672	0.00850813781488578	0.00682443059071335	0.000138516624117356	0.000149363480924679	8.59137784039454e-05	1.58845853417432e-05	0.000103056315230917	0.00167519677125525	7.94482746346694e-05	7.67113736995838e-05	0.154264098139134	9.7570617481606e-05	9.7570617481606e-05	0.000744443637103119	9.7570617481606e-05	0.000210782610503544	9.7570617481606e-05	9.37295325265394e-05	0.149237499611576	0.149237499611576	0.00093075313415213	0.00093075313415213
"Laretia_acaulis"	0.000514468147981488	0.000401696900621802	0.0478878592172407	0.000577985181715125	0.00744602507321704	1.19400875742236	0.000609101332951182	0.00111651394695186	4.98976716583952e-05	0.000966171707663175	0.00668065027707796	0.000472317471701818	1.7475948059877e-05	2.88527280333208e-05	0.00647806079053351	2.42371052433181e-05	0.00044133087676482	0.00645028208122909	0.000319826591636052	0.000319826591636052	0.00624769259468463	0.00624769259468463	0.00624769259468463	0.00041597692017825	0.00624769259468463	0.00624769259468463	0.000319826591636052	0.00041597692017825	0.000319826591636052	0.00624769259468463	0.00624769259468463	0.00624769259468463	0.00041597692017825	0.00624769259468463	0.000202589486544459	0.000202589486544459	0.187430777840539	0.00575687864944893	0.00324143178471135	0.00322515474188424	0.0058236768824955	9.61801905181656e-05	0.000152123739519421	9.73325362008256e-05	3.78437287334528e-05	8.33508486272279e-05	0.154039880599519	9.12732598899961e-05	6.61147967812451e-05	0.00107031737752111	3.67477248558206e-05	3.67477248558206e-05	0.00478878592172407	3.67477248558206e-05	7.87195786169696e-05	3.67477248558206e-05	7.61376666188977e-05	0.00093075313415213	0.00093075313415213	0.149251094677795	0.149251094677795
"Nassauvia_lagascae"	0.0146864827523711	0.0117921097854101	0.0108051812389189	0.0110352668683936	0.000749836260212315	0.000609101332951181	1.12844158595002	0.0124439880271857	0.00164361435412461	0.0207308181666301	0.0117733381782085	0.0125776783194588	0.00139151390091249	0.0387441865484597	0.0112426593746941	0.00146773121247768	0.000742515981450788	0.000774478522218971	0.00922981595194	0.00922981595194	0.000243799718704588	0.000243799718704588	0.000243799718704588	0.000502142558700625	0.000243799718704588	0.000243799718704588	0.00922981595194	0.000502142558700625	0.00922981595194	0.000243799718704588	0.000243799718704588	0.000243799718704588	0.000502142558700625	0.000243799718704588	0.000530678803514382	0.000530678803514382	0.00731399156113765	0.16613668713492	0.00849086085623012	0.153984035183853	0.00702999582180875	0.012706503938913	0.00144224053650098	0.00245313530540962	0.00133055429067897	0.150741244880868	0.00115665579051078	0.0020862025022902	0.00137746241252679	0.00164922803592475	0.00104903448231222	0.00104903448231222	0.00108051812389189	0.00104903448231222	0.0020962797199098	0.00104903448231222	0.141055198243753	9.37295325265394e-05	9.37295325265394e-05	7.61376666188977e-05	7.61376666188977e-05
"Nototriche_compacta"	0.0241164893655898	0.00184076239971986	0.0134537657803813	0.0110904438324942	0.0402127882204611	0.00111651394695186	0.0124439880271857	1.06636241800905	0.00106959277164974	0.0225472665357695	0.0210786041552893	0.0223340614440635	0.000252518569258255	0.000626412339059559	0.0113488532462212	0.000426567461218338	0.0118584315256569	0.0103354654072992	0.000495074630455666	0.000495074630455666	0.000605714498231101	0.000605714498231101	0.000605714498231101	0.0113090531573237	0.000605714498231101	0.000605714498231101	0.000495074630455666	0.0113090531573237	0.000495074630455666	0.000605714498231101	0.000605714498231101	0.000605714498231101	0.0113090531573237	0.000605714498231101	0.00972975090906809	0.00972975090906809	0.018171434946933	0.008911343348202	0.155676014545089	0.150403942471862	0.158326744202531	0.0023806433042254	0.00329627020999916	0.00136908311519733	0.000216526508957885	0.0017121015881631	0.00148494082140711	0.00126244124989275	0.00128730984519105	0.138321900778689	0.00172260638325642	0.00172260638325642	0.00134537657803813	0.00172260638325642	0.00372234357401059	0.00172260638325642	0.00155549850339821	0.00502659852755763	0.00502659852755763	0.000139564243368983	0.000139564243368983
"Caiophora_coronata"	0.0205384996719272	0.0577126842913474	0.00152538344254852	0.0532188508612507	7.41530785628294e-05	6.65302288778603e-05	0.00219148580549948	0.00142612369553298	1.09661618706492	0.00156686074173607	0.000682520831406232	0.000724931494750091	0.0193517390322903	0.018142284463777	0.000193960716135089	0.0194383864285134	0.033368186421802	0.000506560409823125	0.000676180810664729	0.000676180810664729	1.80002945519816e-05	1.80002945519816e-05	1.80002945519816e-05	0.000714719509488239	1.80002945519816e-05	1.80002945519816e-05	0.000676180810664729	0.000714719509488239	0.000676180810664729	1.80002945519816e-05	1.80002945519816e-05	1.80002945519816e-05	0.000714719509488239	1.80002945519816e-05	0.000488560115271143	0.000488560115271143	0.000540008836559448	0.0121712545919651	0.00781696184433828	0.00246344590216351	0.0100060731328353	0.203278893040429	0.195920801473883	0.0149908720508657	0.00964732511568486	0.00480950684163169	0.000160854622864585	0.0101312754437374	0.188091249596945	0.000187534596761977	0.00146703569085195	0.00146703569085195	0.000152538344254852	0.00146703569085195	0.000120821915791682	0.00146703569085195	0.000273935725687435	9.26913482035367e-06	9.26913482035368e-06	8.31627860973253e-06	8.31627860973253e-06
"Draba_gilliesii"	0.0170850202110641	0.0139552036239298	0.0286465009672351	0.0136533248616256	0.00155288899073255	0.0012882289435509	0.0276410908888402	0.0300630220476926	0.00156686074173608	1.039677928755	0.0147418115921544	0.01567748830387	0.000601605868450753	0.0012128599286581	0.0139617338086718	0.000724851944092922	0.0155909635456434	0.00115085843042276	0.0113829817107386	0.0113829817107386	0.000370780646940195	0.000370780646940195	0.000370780646940195	0.0147039938825276	0.000370780646940195	0.000370780646940195	0.0113829817107386	0.0147039938825276	0.0113829817107386	0.000370780646940195	0.000370780646940195	0.000370780646940195	0.0147039938825276	0.000370780646940195	0.000780077783482565	0.000780077783482565	0.0111234194082059	0.204893670793296	0.012481244535721	0.190273344264243	0.205855914355387	0.00327926511408852	0.00532181797869434	0.00270947910751327	0.00131333510244017	0.00375835134326955	0.00302567871466737	0.00252826612149004	0.00162647594311857	0.00395198887980315	0.00122035858650457	0.00122035858650457	0.00286465009672351	0.00122035858650457	0.00261291471731167	0.00122035858650457	0.00345513636110502	0.000194111123841569	0.000194111123841569	0.000161028617943862	0.000161028617943862
