"Cirsium_arvense"	"Eupatorium_cannabinum"	"Stachys_palustris"	"Sonchus_palustris"	"Juncus_effusus"	"Lychnis_flos-cuculi"	"Sonchus_arvensis"	"Allium_scorodoprasum"	"Calystegia_sepium"	"Silene_dioica"	"Meligethes_sp1_M_PL_037"	"Bombus_lapidarius"	"Bombus_pascuorum"	"Unidentified_sp1_M_PL_037"	"Unidentified_sp2_M_PL_037"	"Apocrita_sp1_M_PL_037"	"Episyrphus_balteatus"	"Unidentified_sp3_M_PL_037"	"Unidentified_sp4_M_PL_037"	"Bombus_terrestris"	"Eumerus_tuberculatus"	"Olibrus_aeneus"	"Thymelicus_sylvestris"	"Unidentified_sp5_M_PL_037"	"Unidentified_sp6_M_PL_037"	"Bombus_lucorum"	"Ceuthorrhynchus_assimilis"	"Chrysomela_fastuosa"	"Eoseristalis_horticola"	"Epuraea_depressa_Illiger"	"Leptura_rubra"	"Melanostoma_scalare"	"Mesapamea_secalis"	"Nemophora_degeerella"	"Pieris_napi"	"Psithyrus_bohemicus"	"Scaeva_pyrastri"	"Strangalia_maculata"	"Syrphus_ribesii"	"Syrphus_vitripennis"	"Unidentified_sp10_M_PL_037"	"Unidentified_sp11_M_PL_037"	"Unidentified_sp12_M_PL_037"	"Unidentified_sp13_M_PL_037"	"Unidentified_sp14_M_PL_037"	"Unidentified_sp15_M_PL_037"	"Unidentified_sp7_M_PL_037"	"Unidentified_sp8_M_PL_037"	"Unidentified_sp9_M_PL_037"	"Zygaena_filipendulae"
"Cirsium_arvense"	1.16716704173197	0.0316579456711384	0.015326397763142	0.0169699368803865	0.0240635147416965	0.00606048855992931	0.0252947280985067	0.0228482065692862	0.0141369469161735	0.00980812640110895	0.0435261863557776	0.0385615329100305	0.0383523783974031	0.0376902425547469	0.0407264499641602	0.0383720378203176	0.00401998160562982	0.0374969574671144	0.0063980075602789	0.036087217163389	0.00135650725572422	0.0363337352990227	0.03661326306081	0.0392325056044358	0.0364363364120902	0.00175877475950769	0.00175877475950769	0.000851466542396776	0.00175877475950769	0.0343284424038813	0.00141369469161735	0.00141369469161735	0.000851466542396776	0.000505040713327442	0.0343284424038813	0.00175877475950769	0.00106062105502415	0.0343284424038813	0.00106062105502415	0.00106062105502415	0.000505040713327442	0.000851466542396776	0.0343284424038813	0.0343284424038813	0.000505040713327442	0.000851466542396776	0.00228482065692863	0.00200529289514138	0.00106062105502415	0.000505040713327442
"Eupatorium_cannabinum"	0.0597983418232614	1.18276160566694	0.0171464406492011	0.0173245192570159	0.00758204425170201	0.000817924969664889	0.0078775015087023	0.0139676802182117	0.0255547679144886	0.000502507074145054	0.0733468876132283	0.0711060120971278	0.0709758096796311	0.00341135223068833	0.00444383826136255	0.0688645208739366	0.00269182094868875	0.00349801567212971	0.00268506350185486	0.0674677528521155	0.00102074045020547	0.00239061178048285	0.00315554278132886	0.00201002829658022	0.00241523321856621	0.0657089780926078	0.0657089780926078	0.000952580036066726	0.0657089780926078	0.00175877475950769	0.00255547679144886	0.00255547679144886	0.000952580036066726	6.81604141387407e-05	0.00175877475950769	0.0657089780926078	0.0010827824535635	0.00175877475950769	0.0010827824535635	0.0010827824535635	6.81604141387407e-05	0.000952580036066726	0.00175877475950769	0.00175877475950769	6.81604141387407e-05	0.000952580036066726	0.00139676802182117	0.000631837020975167	0.00108278245356349	6.81604141387407e-05
"Stachys_palustris"	0.0289498624414904	0.0171464406492011	1.18258271744926	0.0204170120813137	0.0162907217452394	0.0310606981188639	0.0188961633610164	0.00167796531630683	0.0160684760156697	0.000243276154970507	0.0733182377189262	0.00468695743511258	0.0691099340383228	0.070496458056031	0.00395150349954877	0.00197184311009418	0.0685497833934591	0.00370221007756358	0.003100036957152	0.0018040465784635	0.0682874313681976	0.00220902668783339	0.00101926307402746	0.00097310461988203	0.00242614682248147	0.000952580036066727	0.000952580036066727	0.0656990398582923	0.000952580036066726	0.000851466542396776	0.00160684760156697	0.00160684760156697	0.0656990398582923	0.00258839150990533	0.000851466542396777	0.000952580036066726	0.00127606325508211	0.000851466542396776	0.00127606325508211	0.00127606325508211	0.00258839150990533	0.0656990398582923	0.000851466542396776	0.000851466542396776	0.00258839150990533	0.0656990398582923	0.000167796531630684	0.00135756014543662	0.00127606325508211	0.00258839150990533
"Sonchus_palustris"	0.0360611158708212	0.0194900841641429	0.0229691385914779	1.19073314980302	0.00834764099251101	0.000870303517347489	0.0343016362955759	0.00203781746987134	0.0182194120414147	0.000303034587149758	0.083216336271174	0.0783861665754179	0.00524140796781122	0.00310484635259447	0.0048185092426852	0.00234718525557478	0.0785553548090689	0.078339912609011	0.00375788818766104	0.00214340350858765	0.0013485885481944	0.00175625780440007	0.00126440280201129	0.00121213834859903	0.00391909074632215	0.0010827824535635	0.0010827824535635	0.00127606325508211	0.00108278245356349	0.00106062105502415	0.00182194120414147	0.00182194120414147	0.00127606325508211	7.25252931122908e-05	0.00106062105502415	0.00108278245356349	0.0744208218626888	0.00106062105502415	0.0744208218626888	0.0744208218626888	7.25252931122908e-05	0.00127606325508211	0.00106062105502415	0.00106062105502415	7.25252931122908e-05	0.00127606325508211	0.000203781746987134	0.000695636749375917	0.0744208218626888	7.25252931122908e-05
"Juncus_effusus"	0.0681799584348068	0.011373066377553	0.0244360826178592	0.0111301879900147	1.1194137707182	0.0154850578012417	0.0399421787327811	0.0334069728072895	0.00939311702640662	0.000572940827183251	0.102242634301151	0.00427207836813313	0.00493400176419383	0.0979377554171979	0.101958985963452	0.0059778271968455	0.00538171178921096	0.00602944453891571	0.0999536930683105	0.00263712991611655	0.00264798162887343	0.0952897737883244	0.00534599017587033	0.002291763308733	0.0053338077895398	0.000631837020975168	0.000631837020975168	0.00135756014543662	0.000631837020975167	0.00200529289514138	0.000939311702640662	0.000939311702640662	0.00135756014543662	0.00129042148343681	0.00200529289514138	0.000631837020975167	0.000695636749375917	0.00200529289514138	0.000695636749375917	0.000695636749375917	0.00129042148343681	0.00135756014543662	0.00200529289514138	0.00200529289514138	0.00129042148343681	0.00135756014543662	0.00334069728072896	0.0932844808931831	0.000695636749375917	0.00129042148343681
"Lychnis_flos-cuculi"	0.017171384253133	0.00122688745449733	0.0465910471782959	0.00116040468979665	0.0154850578012417	1.24824321611322	0.00158344671317321	0.000795962017214237	0.000931629766098561	0.000144297346664983	0.0047496562832949	0.000738889397188329	0.00325475561398137	0.108404121716104	0.00200701229125011	0.000652797329187606	0.00279287069578205	0.000709519899204167	0.00150197157792267	0.000573201127466183	0.10660865951934	0.00179546219676425	0.000584636915048866	0.000577189386659934	0.000636994606091876	6.81604141387408e-05	6.81604141387407e-05	0.00258839150990533	6.81604141387407e-05	0.000505040713327442	9.31629766098561e-05	9.31629766098561e-05	0.00258839150990533	0.104020268009435	0.000505040713327442	6.81604141387407e-05	7.25252931122907e-05	0.000505040713327442	7.25252931122907e-05	7.25252931122907e-05	0.104020268009435	0.00258839150990533	0.000505040713327442	0.000505040713327442	0.104020268009435	0.00258839150990533	7.95962017214238e-05	0.00129042148343681	7.25252931122907e-05	0.104020268009435
"Sonchus_arvensis"	0.0716683962791024	0.0118162522630534	0.0283442450415246	0.0457355150607679	0.039942178732781	0.00158344671317321	1.09116209986619	0.0326938049822599	0.00978513896355998	0.000602255430916827	0.102434706218254	0.00660133605492141	0.00531754664370811	0.00714304307545645	0.0996359643896827	0.00603373296549341	0.0953633249602322	0.0958965386883564	0.0975280703814739	0.00276435246726742	0.00170663417284913	0.00543640890260731	0.00537727450643489	0.00240902172366731	0.0930380689970584	0.000656458459058526	0.000656458459058525	0.0015746802800847	0.000656458459058525	0.0021078940082089	0.000978513896355998	0.000978513896355997	0.0015746802800847	0.000131953892764434	0.0021078940082089	0.000656458459058524	0.00285846969129799	0.0021078940082089	0.00285846969129799	0.00285846969129799	0.000131953892764434	0.0015746802800847	0.0021078940082089	0.0021078940082089	0.000131953892764434	0.0015746802800847	0.003269380498226	0.00332851489439842	0.00285846969129799	0.000131953892764434
"Allium_scorodoprasum"	0.0776839023355732	0.0251418243927811	0.0030203375693523	0.00326050795179415	0.0400883673687474	0.000955154420657085	0.039232565978712	1.14130617464834	0.00199169276539325	0.000652805901979607	0.0108624140128619	0.00408453970227625	0.0040485544869198	0.00587291067100969	0.123025515900718	0.117812206143584	0.00364095877684381	0.00575798290214175	0.120740695243789	0.0036815886787498	0.000247392733352107	0.00562551793765757	0.116415438121763	0.00261122360791843	0.00555420115515462	0.00139676802182117	0.00139676802182117	0.000167796531630684	0.00139676802182117	0.00228482065692863	0.000199169276539325	0.000199169276539325	0.000167796531630684	7.95962017214238e-05	0.00228482065692863	0.00139676802182117	0.000203781746987134	0.00228482065692863	0.000203781746987134	0.000203781746987134	7.95962017214238e-05	0.000167796531630683	0.00228482065692863	0.00228482065692863	7.95962017214238e-05	0.000167796531630683	0.114130617464834	0.00334069728072895	0.000203781746987134	7.95962017214238e-05
"Calystegia_sepium"	0.04806561951499	0.0459985822460795	0.0289232568282054	0.0291510592662635	0.0112717404316879	0.00111795571931827	0.011742166756272	0.00199169276539325	1.15466734703609	0.00040391276903353	0.12478252059138	0.121257847390817	0.121042753788242	0.00405301697243484	0.00353068956715334	0.00416834075960554	0.00440730270206443	0.00421414979211482	0.00211699487553599	0.00396917148306621	0.00170001057817682	0.00235300639425801	0.00161286396815668	0.00161565107613412	0.00239220858797335	0.00255547679144886	0.00255547679144886	0.00160684760156697	0.00255547679144886	0.00141369469161735	0.115466734703609	0.115466734703609	0.00160684760156697	9.31629766098561e-05	0.00141369469161735	0.00255547679144886	0.00182194120414147	0.00141369469161735	0.00182194120414147	0.00182194120414147	9.31629766098561e-05	0.00160684760156697	0.00141369469161735	0.00141369469161735	9.31629766098561e-05	0.00160684760156697	0.000199169276539325	0.000939311702640662	0.00182194120414147	9.31629766098561e-05
"Silene_dioica"	0.166738148818852	0.00452256366730549	0.00218948539473457	0.00242427669719806	0.00343764496309951	0.000865784079989901	0.00361353258550096	0.00326402950989804	0.00201956384516765	1.14425830377159	0.00621802662225394	0.00550879041571864	0.00547891119962902	0.00538432036496385	0.00581806428059432	0.00548171968861681	0.000574283086518546	0.00535670820958777	0.000914001080039843	0.005155316737627	0.000193786750817745	0.00519053361414611	0.00523046615154428	0.577033215086348	0.00520519091601289	0.000251253537072527	0.000251253537072527	0.000121638077485254	0.000251253537072527	0.00490406320055448	0.000201956384516765	0.000201956384516765	0.000121638077485254	7.21486733324917e-05	0.00490406320055448	0.000251253537072527	0.000151517293574879	0.00490406320055447	0.000151517293574879	0.000151517293574879	7.21486733324917e-05	0.000121638077485254	0.00490406320055448	0.00490406320055447	7.21486733324917e-05	0.000121638077485254	0.000326402950989803	0.000286470413591625	0.000151517293574879	7.21486733324917e-05
