"Aristotelia_chilensis"	"Alstroemeria_aurea"	"Schinus_patagonicus"	"Berberis_darwinii"	"Vicia_nigricans"	"Rosa_eglanteria"	"Digitalis_purpurea"	"Cynanchum_diemii"	"Ribes_magellanicum"	"Berberis_buxifolia"	"Mutisia_decurrens"	"Calceolaria_crenatiflora"	"Tristerix_corymbosus"	"Gavilea_odoratissima"	"Policana_albopilosa"	"Bombus_dahlbomii"	"Ruizantheda_mutabilis"	"Trichophthalma_amoena"	"Bombus_ruderatus"	"Colletes_seminitidus"	"Syrphus_octomaculatus"	"Manuelia_gayi"	"Allograpta_hortensis"	"Trichophthalma_jaffueli"	"Anthaxia_sp1_M_PL_051"	"Caenohalictus_sp1_M_PL_051"	"Phthiria_sp1_M_PL_051"	"Platycheirus_sp1_M_PL_051"	"Manuelia_postica"	"Heterosarus_sp1_M_PL_051"	"Sapromyza_fulvicornis"	"Camponotus_sp1_M_PL_051"	"Unidentified_sp1_M_PL_051"	"Unidentified_sp2_M_PL_051"	"Unidentified_sp3_M_PL_051"	"Megachile_sp1_M_PL_051"	"Unidentified_sp4_M_PL_051"	"Unidentified_sp5_M_PL_051"	"Unidentified_sp6_M_PL_051"	"Chalepogenus_caeruleus"	"Vespula_germanica"	"Unidentified_sp7_M_PL_051"	"Ocyptamus_melanorrhinus"	"Phthiria_sp2_M_PL_051"	"Unidentified_sp8_M_PL_051"	"Unidentified_sp9_M_PL_051"	"Ruizantheda_nigrocaerulea"	"Svastrides_melanura"	"Chilicola_sp1_M_PL_051"	"Evylaeus_sp1_M_PL_051"	"Unidentified_sp10_M_PL_051"	"Corynura_prothysteres"	"Megachile_sp2_M_PL_051"	"Unidentified_sp11_M_PL_051"	"Sephanoides_galeritus"	"Unidentified_sp12_M_PL_051"	"Ruizantheda_proxima"	"Unidentified_sp13_M_PL_051"	"Unidentified_sp14_M_PL_051"	"Platycherius_fenestratus"	"Scaeva_melanostoma"	"Unidentified_sp15_M_PL_051"	"Unidentified_sp16_M_PL_051"	"Unidentified_sp17_M_PL_051"	"Unidentified_sp18_M_PL_051"	"Unidentified_sp19_M_PL_051"	"Unidentified_sp20_M_PL_051"	"Unidentified_sp21_M_PL_051"	"Chilicola_sp2_M_PL_051"	"Unidentified_sp22_M_PL_051"	"Unidentified_sp23_M_PL_051"	"Unidentified_sp24_M_PL_051"	"Unidentified_sp25_M_PL_051"	"Unidentified_sp26_M_PL_051"	"Unidentified_sp27_M_PL_051"	"Unidentified_sp28_M_PL_051"	"Unidentified_sp29_M_PL_051"	"Allograpta_exotica"	"Caenohalictus_sp2_M_PL_051"	"Chilicola_sp3_M_PL_051"	"Corynura_sp1_M_PL_051"	"Unidentified_sp30_M_PL_051"	"Unidentified_sp31_M_PL_051"	"Unidentified_sp32_M_PL_051"	"Unidentified_sp33_M_PL_051"	"Unidentified_sp34_M_PL_051"	"Unidentified_sp35_M_PL_051"	"Unidentified_sp36_M_PL_051"	"Unidentified_sp37_M_PL_051"	"Unidentified_sp38_M_PL_051"	"Unidentified_sp39_M_PL_051"	"Unidentified_sp40_M_PL_051"	"Unidentified_sp41_M_PL_051"	"Unidentified_sp42_M_PL_051"	"Unidentified_sp43_M_PL_051"	"Unidentified_sp44_M_PL_051"	"Unidentified_sp45_M_PL_051"	"Unidentified_sp46_M_PL_051"	"Unidentified_sp47_M_PL_051"	"Unidentified_sp48_M_PL_051"	"Unidentified_sp49_M_PL_051"	"Unidentified_sp50_M_PL_051"	"Unidentified_sp51_M_PL_051"	"Unidentified_sp52_M_PL_051"
"Aristotelia_chilensis"	1.12899367928546	0.0459344403119633	0.0792797778160115	0.0211421509505653	0.000844682454934433	0.0234104819539164	0.0262709839646934	0.00112035370270485	0.00121424384833654	0.00106912774962926	0.00249106370776903	0.00063149542583496	0.000802184261477708	0.00012866790003351	0.0955509506407519	0.00621795593047302	0.0996836002240263	0.00266397885108421	0.00278036672299748	0.00125807668982686	0.00341154495318001	0.00151513883266366	0.00375162214688421	0.000982394058160842	0.000554131971274329	0.000961006861389331	0.00108618837931789	0.097494351560302	0.00301318592204941	0.000554131971274329	0.00108618837931788	0.00146814403362984	0.00016342885973387	0.00114582291789471	0.00245053809179068	0.000450337650117287	0.0955509506407518	0.000140780409155739	6.22418723724915e-05	0.00010524923763916	0.00327543704304234	6.22418723724916e-05	0.00108618837931789	0.000450337650117286	0.00153038590600233	0.00146814403362984	0.000982394058160841	0.000450337650117286	0.000450337650117286	0.000554131971274329	0.000514671600134041	0.0967223929209636	0.000450337650117286	0.00263958631384174	0.00068782934818728	0.000450337650117287	0.000450337650117288	0.00163157289336371	0.000450337650117286	0.000532056408043556	0.00146814403362984	0.000532056408043556	0.000450337650117287	0.000961006861389331	0.00146814403362984	0.00146814403362984	0.0940828066071221	0.00146814403362984	0.000450337650117287	0.000982394058160843	0.00157193835478688	0.000450337650117287	0.000532056408043555	0.000982394058160842	0.000450337650117286	0.00146814403362984	0.000450337650117286	0.000532056408043554	0.000103794321157043	0.000450337650117287	0.000532056408043555	0.000450337650117286	0.00146814403362984	6.22418723724915e-05	0.00146814403362984	0.00146814403362984	0.000450337650117286	0.000450337650117287	0.000450337650117286	0.00146814403362984	0.000450337650117286	0.00146814403362984	0.000532056408043555	0.000450337650117287	0.000450337650117287	0.000450337650117286	0.000450337650117287	0.00146814403362984	0.000532056408043555	6.22418723724915e-05	0.000450337650117287	0.00146814403362984	0.000450337650117287	0.000450337650117287
"Alstroemeria_aurea"	0.00540405180140744	1.2128300824244	0.0126606042040303	0.0108925400939318	0.00338792575412704	0.0340063036951231	0.0116039363176771	0.00232966313877251	0.00315769751879301	0.00219163610223792	0.0245783903693525	0.0020597433533966	0.00483347541603772	0.00339728314404593	0.000684793283525256	0.0173715055268121	0.0148102649781664	0.00126666706490221	0.013422139989655	0.00116163716142604	0.0133929326349093	0.0134097060616989	0.0142733191664879	0.0126633615426863	0.0129145906028838	0.00049511545881508	0.0136874611414093	0.0138432702850266	0.0134256413323901	0.0129145906028838	0.0136874611414093	0.000234455633407969	0.000392567189831224	0.0130559287325176	0.0128978171760943	0.0118904910041608	0.000684793283525256	0.000564654292354504	0.000129425729931806	0.000343290558899434	0.0146544558345491	0.000129425729931806	0.0136874611414093	0.0118904910041608	0.000363881363339775	0.000234455633407968	0.0126633615426863	0.0118904910041608	0.0118904910041608	0.0129145906028838	0.0135891325761837	0.0133078233474178	0.0118904910041608	0.0128574856973005	0.0137201698388901	0.0118904910041608	0.0118904910041608	0.000627022823239191	0.0118904910041608	0.000772870538525526	0.000234455633407969	0.000772870538525526	0.0118904910041608	0.000495115458815081	0.000234455633407969	0.000234455633407969	0.000450337650117287	0.000234455633407969	0.0118904910041608	0.0126633615426863	0.00125855523213099	0.0118904910041608	0.000772870538525525	0.0126633615426863	0.0118904910041608	0.000234455633407969	0.0118904910041608	0.000772870538525524	0.00102409959872302	0.0118904910041608	0.000772870538525526	0.0118904910041608	0.000234455633407969	0.000129425729931806	0.000234455633407969	0.000234455633407969	0.0118904910041608	0.0118904910041608	0.0118904910041608	0.000234455633407969	0.0118904910041608	0.000234455633407969	0.000772870538525526	0.0118904910041608	0.0118904910041608	0.0118904910041608	0.0118904910041608	0.000234455633407969	0.000772870538525526	0.000129425729931806	0.0118904910041608	0.000234455633407969	0.0118904910041608	0.0118904910041608
"Schinus_patagonicus"	0.0176177284035581	0.0239144746076128	1.20412376683192	0.0184269108201453	0.00162697385383763	0.0176324846078958	0.00428541869166399	0.0120931461390312	0.00996622404426389	0.00670421836369558	0.00878488044048834	0.00349787066456919	0.0045922485408175	6.69873238308481e-05	0.0237667323082951	0.0269520667647358	0.0255966313080126	0.0248047210959436	0.000862736166686239	0.00317797427344681	0.0237713690500774	0.00143807917388946	0.0260228934599896	0.000635193919951055	0.000600492318428316	0.000837586855461146	0.0010012306049714	0.0252395130837073	0.0241360055203373	0.000600492318428316	0.0010012306049714	0.0222985882746653	0.00150236012252372	0.00213755404247478	0.0229337821946163	0.000234455633407969	0.0237667323082951	0.000271162308972938	0.000671841452168397	0.000582978444094865	0.00135834882927673	0.000671841452168397	0.0010012306049714	0.000234455633407968	0.0229704297268336	0.0222985882746652	0.000635193919951054	0.000234455633407968	0.000234455633407969	0.000600492318428316	0.000267949295323392	0.00205971789134314	0.000234455633407968	0.000591573857713301	0.00136586707523123	0.000234455633407969	0.000234455633407969	0.0238009483971889	0.000234455633407969	0.000400738286543086	0.0222985882746653	0.000400738286543086	0.000234455633407969	0.000837586855461147	0.0222985882746653	0.0222985882746652	0.00146814403362984	0.0222985882746652	0.000234455633407969	0.000635193919951055	0.0226646249596856	0.000234455633407969	0.000400738286543085	0.000635193919951055	0.000234455633407968	0.0222985882746653	0.000234455633407969	0.000400738286543085	0.000366036685020347	0.000234455633407969	0.000400738286543086	0.000234455633407969	0.0222985882746653	0.000671841452168397	0.0222985882746652	0.0222985882746653	0.000234455633407969	0.000234455633407969	0.000234455633407969	0.0222985882746652	0.000234455633407969	0.0222985882746652	0.000400738286543086	0.000234455633407969	0.000234455633407969	0.000234455633407969	0.000234455633407969	0.0222985882746653	0.000400738286543086	0.000671841452168397	0.000234455633407969	0.0222985882746653	0.000234455633407969	0.000234455633407969
"Berberis_darwinii"	0.011532082336672	0.0505017767991383	0.045229690194902	1.10243678821855	0.00358267633798853	0.0287673069986825	0.00874774228784882	0.0097323594339668	0.019316448976183	0.020849026984662	0.0146701799256037	0.00774010244673611	0.0100856908327343	0.000141461559661452	0.00179859371685048	0.0596117105104546	0.0537872532322845	0.0551641824107357	0.00182120670580057	0.0548672821904949	0.0520972678469078	0.0512171360565585	0.0576031173757951	0.00114891789060332	0.00110637295571523	0.0501107631008432	0.00176017538750348	0.0530582747082972	0.053124413887242	0.00110637295571524	0.00176017538750347	0.000837586855461148	0.00215039071656897	0.00329930860717229	0.00198650474606447	0.000495115458815082	0.00179859371685048	0.000597112722998088	0.000540686635220377	0.00129001707445602	0.00248915391149087	0.00054068663522038	0.00176017538750348	0.00049511545881508	0.00137827349068153	0.000837586855461147	0.00114891789060332	0.00049511545881508	0.000495115458815081	0.00110637295571523	0.000565846238645806	0.00218510084419181	0.000495115458815081	0.00122409398280248	0.00278732142783761	0.000495115458815082	0.000495115458815082	0.00298797757203011	0.000495115458815081	0.00065380243178824	0.000837586855461149	0.00065380243178824	0.000495115458815082	0.0501107631008433	0.000837586855461149	0.000837586855461148	0.000961006861389332	0.000837586855461147	0.000495115458815082	0.00114891789060332	0.0014488443523613	0.000495115458815081	0.000653802431788239	0.00114891789060332	0.000495115458815081	0.000837586855461149	0.000495115458815081	0.000653802431788239	0.000611257496900154	0.000495115458815082	0.00065380243178824	0.000495115458815081	0.000837586855461149	0.000540686635220378	0.000837586855461147	0.000837586855461149	0.000495115458815081	0.000495115458815081	0.000495115458815081	0.000837586855461147	0.000495115458815081	0.000837586855461148	0.00065380243178824	0.000495115458815082	0.000495115458815081	0.000495115458815081	0.000495115458815081	0.000837586855461148	0.00065380243178824	0.000540686635220379	0.000495115458815081	0.000837586855461148	0.000495115458815081	0.000495115458815081
"Vicia_nigricans"	0.00168936490986887	0.0575947378201596	0.0146427646845387	0.013136479905958	1.13710416174484	0.0151208233611057	0.0453078726799413	0.00063997898272559	0.00115057781750222	0.0109565208233256	0.0135457823678072	0.0113482269911307	0.0109347114466111	0.000161329797815573	0.000411942718128678	0.200717396522714	0.00569302086653182	0.00233372161967858	0.193857670639823	0.00209811369863484	0.0017765844007143	0.00172617461401123	0.0051334021536103	0.000908309368743272	0.00112906189101314	0.000597112722998088	0.0014727169674019	0.00191736480987004	0.00325538123209405	0.00112906189101314	0.0014727169674019	0.000271162308972939	0.000131435872721051	0.00103974524146432	0.00117947167771621	0.000564654292354506	0.000411942718128678	0.189517360290807	3.55543879291994e-05	0.00189137116518845	0.00524837302406367	3.55543879291995e-05	0.0014727169674019	0.000564654292354504	0.000306716696902138	0.000271162308972938	0.000908309368743271	0.000564654292354504	0.000564654292354505	0.00112906189101314	0.000645319191262291	0.00448109075817202	0.000564654292354504	0.00434031034901628	0.00295151379878165	0.000564654292354506	0.000564654292354507	0.000402598181693989	0.000564654292354505	0.000343655076388765	0.000271162308972939	0.000343655076388765	0.000564654292354507	0.000597112722998089	0.000271162308972939	0.000271162308972939	0.000140780409155739	0.000271162308972939	0.000564654292354506	0.000908309368743272	0.00083556990763157	0.000564654292354506	0.000343655076388765	0.000908309368743271	0.000564654292354505	0.000271162308972939	0.000564654292354505	0.000343655076388765	0.000564407598658633	0.000564654292354506	0.000343655076388765	0.000564654292354505	0.000271162308972939	3.55543879291994e-05	0.000271162308972939	0.000271162308972939	0.000564654292354505	0.000564654292354506	0.000564654292354505	0.000271162308972939	0.000564654292354505	0.000271162308972939	0.000343655076388765	0.000564654292354506	0.000564654292354506	0.000564654292354506	0.000564654292354506	0.000271162308972939	0.000343655076388765	3.55543879291994e-05	0.000564654292354506	0.000271162308972939	0.000564654292354506	0.000564654292354506
"Rosa_eglanteria"	0.00638467689652266	0.0788327949296036	0.0216398674733266	0.0143836534993413	0.00206193045833259	1.15733622511946	0.00863808852239513	0.00484847216955017	0.00654272307776604	0.00423424506106593	0.0219526856892314	0.00405644218116437	0.00220070810171122	0.000220820153864435	0.000932794694586641	0.0316808373190512	0.0293824044005422	0.00212904827411173	0.00183636632511388	0.00199766955254366	0.028130507282299	0.00234136820736507	0.0298810885349402	0.0270759665639678	0.00168756577557683	0.000653802431788239	0.0279906618010191	0.0286625636903426	0.00219419594047539	0.00168756577557683	0.0279906618010191	0.000400738286543086	0.000814586488122178	0.02789055305209	0.0274767048505108	0.000772870538525526	0.000932794694586641	0.000343655076388765	0.000269359564975009	0.000676073696860728	0.0287105025112186	0.000269359564975009	0.0279906618010191	0.000772870538525524	0.000670097851518094	0.000400738286543085	0.0270759665639678	0.000772870538525524	0.000772870538525525	0.00168756577557683	0.000883280615457742	0.00202476765676867	0.000772870538525525	0.00149271124872512	0.00205435045919537	0.000772870538525526	0.000772870538525527	0.00121532477466526	0.000772870538525525	0.0263030960254423	0.000400738286543086	0.0263030960254423	0.000772870538525527	0.000653802431788239	0.000400738286543086	0.000400738286543086	0.000532056408043556	0.000400738286543085	0.000772870538525526	0.0270759665639678	0.00131543352359439	0.000772870538525526	0.0263030960254422	0.0270759665639678	0.000772870538525525	0.000400738286543086	0.000772870538525525	0.0263030960254422	0.000914695237051307	0.000772870538525526	0.0263030960254422	0.000772870538525525	0.000400738286543086	0.000269359564975009	0.000400738286543086	0.000400738286543086	0.000772870538525525	0.000772870538525525	0.000772870538525525	0.000400738286543086	0.000772870538525525	0.000400738286543086	0.0263030960254422	0.000772870538525527	0.000772870538525526	0.000772870538525525	0.000772870538525526	0.000400738286543086	0.0263030960254422	0.000269359564975009	0.000772870538525526	0.000400738286543086	0.000772870538525526	0.000772870538525526
"Digitalis_purpurea"	0.0262709839646934	0.0986334587002551	0.0192843841124879	0.0160375275277228	0.0226539363399707	0.0316729912487821	1.07843531903313	0.000718330051680748	0.00110160618560903	0.00575728856343853	0.0208407927789868	0.00580641856886458	0.00584401205966974	0.00027628419803993	0.00254636688802979	0.0999479640020314	0.0948317907347841	0.00189755833418997	0.0946122606692291	0.00158034733497801	0.00277293215163208	0.00256433958291827	0.00455213016567341	0.00168683540333935	0.00183536105893087	0.0007289785239874	0.00255520176913047	0.00496218081535654	0.00302709345137744	0.00183536105893087	0.00255520176913046	0.000357118224305333	0.000131707740560794	0.00181854314390014	0.00204395362764468	0.000966994693139756	0.00254636688802979	0.00377565605666177	3.99072250933749e-05	0.000967736428144097	0.0924248116885579	3.9907225093375e-05	0.00255520176913047	0.000966994693139754	0.000397025449398707	0.000357118224305332	0.00168683540333935	0.000966994693139754	0.000966994693139755	0.00183536105893087	0.00110513679215972	0.0930258532762918	0.000966994693139754	0.0908366046125674	0.00280936306887582	0.000966994693139756	0.000966994693139757	0.000488825964866125	0.000966994693139754	0.000719840710199594	0.000357118224305333	0.000719840710199594	0.000966994693139757	0.000728978523987402	0.000357118224305333	0.000357118224305333	0.00218924866372446	0.000357118224305332	0.000966994693139756	0.00168683540333935	0.00122548459009644	0.000966994693139755	0.000719840710199593	0.00168683540333935	0.000966994693139754	0.000357118224305333	0.000966994693139754	0.000719840710199592	0.000868366365791114	0.000966994693139756	0.000719840710199594	0.000966994693139755	0.000357118224305333	3.99072250933749e-05	0.000357118224305332	0.000357118224305333	0.000966994693139754	0.000966994693139755	0.000966994693139754	0.000357118224305332	0.000966994693139755	0.000357118224305332	0.000719840710199594	0.000966994693139756	0.000966994693139756	0.000966994693139755	0.000966994693139755	0.000357118224305333	0.000719840710199594	3.99072250933749e-05	0.000966994693139755	0.000357118224305333	0.000966994693139756	0.000966994693139756
"Cynanchum_diemii"	0.0007469024684699	0.0132014244530442	0.0362794384170934	0.0118951059748483	0.000213326327575196	0.0118518208589004	0.000478886701120499	1.1972751559014	0.0487806733817489	0.0105492340041648	0.000918416487779107	0.000730629564601321	0.000375340012605356	3.69787799805159e-05	0.000734083324540889	0.003228024862364	0.00171346247976146	0.00659623845305511	0.00020488734295438	0.0724396834398533	0.00161131338229559	0.000708379718809647	0.00711679534206215	0.000398785294906815	0.000167693083589269	0.000540686635220377	0.000437052648564278	0.00167355525466808	0.00140451048608814	0.000167693083589269	0.000437052648564278	0.000671841452168397	0.0705803425541125	0.0709791278490195	0.00107062674707521	0.000129425729931806	0.000734083324540889	3.55543879291994e-05	0.0665152864389666	0.00012177159410022	0.000476959873657652	0.0665152864389669	0.000437052648564278	0.000129425729931806	0.0671871278911351	0.000671841452168397	0.000398785294906815	0.000129425729931806	0.000129425729931806	0.000167693083589269	0.000147915119922064	0.000231574827397672	0.000129425729931806	0.000169332955025181	0.000230249752356828	0.000129425729931806	0.000129425729931806	0.0712521840062807	0.000129425729931806	0.000269359564975009	0.000671841452168399	0.000269359564975009	0.000129425729931806	0.000540686635220378	0.000671841452168398	0.000671841452168398	6.22418723724917e-05	0.000671841452168397	0.000129425729931806	0.000398785294906815	0.00071010880582586	0.000129425729931806	0.000269359564975009	0.000398785294906815	0.000129425729931806	0.000671841452168398	0.000129425729931806	0.000269359564975009	3.82673536574627e-05	0.000129425729931806	0.000269359564975009	0.000129425729931806	0.000671841452168398	0.0665152864389667	0.000671841452168397	0.000671841452168398	0.000129425729931806	0.000129425729931806	0.000129425729931806	0.000671841452168397	0.000129425729931806	0.000671841452168397	0.000269359564975009	0.000129425729931806	0.000129425729931806	0.000129425729931806	0.000129425729931806	0.000671841452168397	0.000269359564975009	0.0665152864389667	0.000129425729931806	0.000671841452168398	0.000129425729931806	0.000129425729931806
"Ribes_magellanicum"	0.00121424384833654	0.0268404289097406	0.0448480081991875	0.0354134897896689	0.000575288908751108	0.0239899846184754	0.00110160618560903	0.0731710100726233	1.08296681811253	0.0320937389404087	0.00195488630622222	0.00819777602107481	0.000890870146452598	7.51832742569763e-05	0.000931705657716702	0.00904421845990802	0.00344157863757929	0.0966991749619653	0.000450823460158687	0.0999337124067556	0.0032485911347505	0.00195429913734059	0.0988738393485245	0.000808368383046588	0.00034459505599201	0.00160970408134858	0.00088982197913918	0.00334977812211187	0.00285184256934543	0.00034459505599201	0.00088982197913918	0.000830518670355324	0.0943122909578563	0.0951206593409031	0.00163888705340191	0.000263141459899418	0.000931705657716702	9.58814847918511e-05	0.00406505611514574	0.00136629600351247	0.000981622494606596	0.00406505611514575	0.00088982197913918	0.000263141459899417	0.00489557478550107	0.000830518670355323	0.000808368383046587	0.000263141459899417	0.000263141459899417	0.00034459505599201	0.000300733097027905	0.000456128962728214	0.000263141459899417	0.000354941975366836	0.000493073413734109	0.000263141459899418	0.000263141459899418	0.0951428096282113	0.000263141459899417	0.00054522692314717	0.000830518670355325	0.00054522692314717	0.000263141459899418	0.00160970408134858	0.000830518670355324	0.000830518670355323	0.000101186987361378	0.000830518670355323	0.000263141459899418	0.000808368383046588	0.000911972266447914	0.000263141459899418	0.000545226923147169	0.000808368383046587	0.000263141459899417	0.000830518670355324	0.000263141459899417	0.000545226923147168	8.14535960925923e-05	0.000263141459899418	0.000545226923147169	0.000263141459899417	0.000830518670355324	0.00406505611514574	0.000830518670355323	0.000830518670355324	0.000263141459899417	0.000263141459899417	0.000263141459899417	0.000830518670355322	0.000263141459899417	0.000830518670355323	0.000545226923147169	0.000263141459899418	0.000263141459899418	0.000263141459899417	0.000263141459899418	0.000830518670355323	0.000545226923147169	0.00406505611514574	0.000263141459899418	0.000830518670355323	0.000263141459899418	0.000263141459899418
"Berberis_buxifolia"	0.00160369162444389	0.0279433603035334	0.0452534739549451	0.0573348242078204	0.00821739061749422	0.0232883478358626	0.00863593284515779	0.0237357765093707	0.0481406084106131	1.05215199279342	0.00991200510634499	0.018925305152966	0.00811235125342433	7.82727179370684e-05	0.000971668264165605	0.142774892366977	0.00510069285309114	0.138974872135273	0.00236318068612526	0.139455499090331	0.00424739081395767	0.00329308309862686	0.14293232480618	0.000803235145412983	0.000686954725544113	0.00260612837308274	0.00121623535817736	0.00438103178266133	0.00507016872356182	0.000686954725544115	0.00121623535817736	0.000838027295461947	0.00533037161807169	0.00613360676348469	0.00164126244087493	0.00027395451277974	0.000971668264165605	0.0013695651029157	0.00131865425052059	0.00315421752549434	0.00193589642860717	0.0013186542505206	0.00121623535817736	0.000273954512779739	0.00215668154598254	0.000838027295461945	0.000803235145412981	0.000273954512779739	0.00027395451277974	0.000686954725544114	0.000313090871748274	0.00112725655191321	0.00027395451277974	0.000993615583209557	0.0020390132677815	0.00027395451277974	0.000273954512779741	0.00616839891353362	0.00027395451277974	0.000529280632633242	0.000838027295461948	0.000529280632633242	0.000273954512779741	0.00260612837308274	0.000838027295461947	0.000838027295461946	0.000133640968703658	0.000838027295461945	0.00027395451277974	0.000803235145412982	0.00125102750822632	0.00027395451277974	0.000529280632633241	0.000803235145412982	0.00027395451277974	0.000838027295461947	0.00027395451277974	0.00052928063263324	0.000413000212764375	0.00027395451277974	0.000529280632633241	0.00027395451277974	0.000838027295461947	0.0013186542505206	0.000838027295461945	0.000838027295461947	0.00027395451277974	0.00027395451277974	0.00027395451277974	0.000838027295461945	0.00027395451277974	0.000838027295461945	0.000529280632633241	0.00027395451277974	0.00027395451277974	0.00027395451277974	0.00027395451277974	0.000838027295461946	0.000529280632633241	0.0013186542505206	0.00027395451277974	0.000838027295461946	0.00027395451277974	0.00027395451277974
