"Toddalia_asiatica"	"Aphloia_theiformis"	"Geniostoma_borbonicum"	"Sideroxylon_cinereum"	"Roussea_simplex"	"Psiadia_terebinthina"	"Croton_fothergillifolius"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Dodonaea_viscosa"	"Molinaea_alternifolia"	"Stomorhina_lunata"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Chrysomya_megacephala"	"Stomoxys_niger"	"Henotesia_narcissus"	"Stomoxys_calcitrans"	"Fannia_pusio"	"Brachymyrmex_sp1_M_PL_061"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_061"	"Phorinia_sp1_M_PL_061"	"Allograpta_nasuta"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Eristalinus_flaveolus"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Leptotes_pirithous"	"Allograpta_sp1_M_PL_061"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_061"	"Lygistorrhina_sp1_M_PL_061"	"Sarcophaga_arno"	"Acopsis_viridicans"	"Atherigona_sp1_M_PL_061"	"Dasytinae_sp1_M_PL_061"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_061"	"Homoneura_sp1_M_PL_061"	"Nacoleia_sp2_M_PL_061"	"Orthellia_albigena"	"Paragus_borbonicus"	"Pelecophora_intemipta"	"Sapromyza_sp1_M_PL_061"	"Sepsis_lateralis"	"Unidentified_sp1_M_PL_061"
"Toddalia_asiatica"	1.10440537303072	0.0548054099161345	0.0286384589476899	0.0205542335159766	0.017122409217956	0.0331744162519206	0.0187746978652922	0.01809523196848	0.0305243022961965	0.000391467213686675	0.00353638356503528	0.00331094954424871	0.0426235131038972	0.00666612113043773	0.0433206986716822	0.0463532936194819	0.0426235131038972	0.00581000865546234	0.04092866678305	0.00487571732790463	0.0449802866525173	0.00236405645827113	0.0437189068332727	0.0419081790600409	0.0381836476822606	0.00318087100705749	0.0422352755376503	0.00316053905043646	0.0396915756937115	0.0017904038025331	0.0368135124343572	0.0396915756937115	0.00137013524790336	0.0393572042923736	0.0015658688547467	0.000856120460897799	0.00188889863989163	0.00150792801145094	0.000934283341635301	0.00104303877029401	0.00104303877029401	0.00137013524790336	0.00137013524790336	0.000954615298256329	0.00095461529825633	0.00088409589125882	0.00137013524790336	0.00095461529825633	0.0368135124343572	0.00150792801145093
"Aphloia_theiformis"	0.0411040574371009	1.12235088064536	0.0344900778151028	0.026958915037039	0.0236132195980724	0.0296776049647263	0.0178289827806629	0.0132965376069402	0.0106424323910795	0.00801679200460973	0.00284105729449826	0.00251277575814027	0.0341434628407185	0.0339539885727188	0.0348029518576037	0.0351788606139638	0.0341434628407185	0.0325323903495423	0.0329846427334008	0.0315479223638588	0.0352204941431753	0.00228870578048197	0.00692681594145505	0.00435554845777517	0.0294289072640374	0.030389102256541	0.0314238214305391	0.030464838224994	0.0307778893078886	0.00240606620885994	0.00137013524790336	0.0307778893078886	0.028058772016134	0.00225700461382666	0.0320671680184389	0.00118066097990362	0.00237507448945975	0.0013489820438512	0.00122540522895632	0.000990499043370159	0.00099049904337016	0.028058772016134	0.028058772016134	0.00114966926050343	0.00114966926050343	0.000710264323624565	0.028058772016134	0.00114966926050343	0.00137013524790336	0.0013489820438512
"Geniostoma_borbonicum"	0.0286384589476899	0.045986770420137	1.10920214160112	0.0376674044883793	0.0270881675294811	0.0283193601581187	0.0258015214588973	0.012154907671217	0.0114142105962932	0.000328476931572408	0.00359643011477869	0.00313548341565237	0.0435105055306473	0.043910298608865	0.0440562689060389	0.0438967678191332	0.0435105055306472	0.0422815555614415	0.0421442524047428	0.0408437354829191	0.0443826802646515	0.00236731734907547	0.0429542741135039	0.00435212634604315	0.00210428455875975	0.0394774823570147	0.00406837774771894	0.00421623238644927	0.0033915282023106	0.00306656312594585	0.000954615298256329	0.0033915282023106	0.00114966926050343	0.0019057995146141	0.00131390772628963	0.00135440837647406	0.038685559469509	0.00128724364355085	0.00171215474947179	0.00143341785882763	0.00143341785882763	0.00114966926050343	0.00114966926050343	0.0369734047200372	0.0369734047200372	0.000899107528694672	0.00114966926050343	0.0369734047200372	0.00095461529825633	0.00128724364355085
"Sideroxylon_cinereum"	0.028028500249059	0.0490162091582528	0.0513646424841536	1.09283509766942	0.043743083348013	0.0219521798227517	0.0225381935048643	0.0118116863696321	0.00649344509436283	0.000350115779701806	0.00472646894218921	0.000473710910936489	0.0557961141583615	0.0570489849841269	0.0578992445418178	0.00663195275311085	0.0557961141583615	0.0548483116586159	0.0557333201088012	0.00518750819538908	0.0572722668889111	0.00317146136486999	0.00762466089999895	0.00371183282501623	0.00215968857059162	0.00512471414582875	0.0036851161925912	0.0530868820176941	0.00315751492617124	0.0518614767887377	0.000934283341635302	0.00315751492617124	0.00122540522895632	0.00147540376616554	0.00140046311880722	0.00218715416740065	0.0513864773708089	0.000997826355579622	0.0496743226213371	0.00125212186138135	0.00125212186138135	0.00122540522895632	0.00122540522895632	0.00171215474947179	0.00171215474947179	0.0011816172355473	0.00122540522895632	0.00171215474947179	0.000934283341635302	0.000997826355579622
"Roussea_simplex"	0.025683613826934	0.0472264391961447	0.0406322512942217	0.0481173916828143	1.10050095922943	0.0185948841216459	0.0138540096848734	0.0211229130580086	0.0115510704330107	0.000337331708543891	0.00519696955841515	0.000515499539288132	0.00719323319492067	0.0613621606954945	0.0636628770905856	0.00721699355003385	0.00719323319492067	0.00725213348332756	0.0606033919461478	0.00414995856662222	0.0624112031544281	0.0567852907163057	0.059813055211839	0.00434861962319793	0.00203678144080142	0.0575601173178493	0.00475961339838636	0.0583928631087759	0.00288200344633077	0.0572122021288723	0.000856120460897799	0.00288200344633078	0.00118066097990362	0.00181870966364869	0.00134932683417557	0.0550250479614717	0.00354156254387471	0.00084522200552936	0.00218715416740065	0.000769667204715187	0.000769667204715187	0.00118066097990362	0.00118066097990362	0.00135440837647406	0.00135440837647406	0.00129924238960379	0.00118066097990362	0.00135440837647406	0.000856120460897799	0.00084522200552936
"Psiadia_terebinthina"	0.0452378403435281	0.0539592817540478	0.0386173093065255	0.0219521798227517	0.0169044401105872	1.10159694345421	0.0284054473253693	0.00674862470602511	0.0148307829291234	0.000385423441100342	0.000545798954344227	0.00414926118572417	0.0567926488002252	0.0561299427943036	0.00668603719071678	0.0580896566001383	0.0567926488002252	0.00577451784211539	0.00598720205996196	0.0542868944331946	0.0572956889762165	0.00140760739769812	0.0565269609837506	0.00488429238801161	0.00285691005530213	0.0034814476929314	0.00465519402489784	0.00319203040496018	0.0529294983941297	0.00184304836110898	0.00150792801145093	0.0529294983941297	0.0013489820438512	0.00274382658887789	0.00154169376440137	0.000845222005529359	0.00228506999913047	0.0500725883388276	0.000997826355579622	0.00157808040696496	0.00157808040696496	0.0013489820438512	0.00134898204385119	0.00128724364355085	0.00128724364355085	0.000136449738586057	0.00134898204385119	0.00128724364355085	0.00150792801145094	0.0500725883388276
"Croton_fothergillifolius"	0.0312911631088203	0.0396199617348064	0.0430025357648289	0.0275466809503897	0.0153933440943037	0.0347177689532292	1.10708550372619	0.0170558375402243	0.016182815774158	0.000282999726677189	0.000575838711133919	0.000578883248567058	0.067801908147849	0.0675285365822701	0.00705402421139051	0.00810436547993882	0.0678019081478489	0.0666021087656087	0.00548874473858834	0.0655067475161735	0.00841539312673313	0.00219098699973388	0.0676775224289925	0.0653176767535033	0.00203353781366417	0.00319358410691297	0.0048034255898627	0.0030122881094667	0.00361161822062913	0.00202178906609654	0.00104303877029401	0.00361161822062913	0.00099049904337016	0.00239160675147385	0.00113199890670875	0.000769667204715187	0.00268553972020898	0.00157808040696496	0.00125212186138135	0.0615047502070108	0.0615047502070108	0.000990499043370159	0.000990499043370159	0.00143341785882763	0.00143341785882763	0.00014395967778348	0.000990499043370159	0.00143341785882763	0.00104303877029401	0.00157808040696496
"Erythroxylum_macrocarpum"	0.0452380799212	0.0443217920231341	0.0303872691780425	0.0216547583443254	0.035204855096681	0.0123724786277127	0.0255837563103365	1.06985863317785	0.0333142585716959	0.000316584228736673	0.00796069381841757	0.00712017403519883	0.00659690215520989	0.00684920891267061	0.0975184992756152	0.0996824364927836	0.0065969021552099	0.0936814668638222	0.00637343972285649	0.00410465896036722	0.00971201332933325	0.0909151288529884	0.00904098112630425	0.0948603301048543	0.00261598079795169	0.00388119652801382	0.0945470551104141	0.00385259475288174	0.00317836619012044	0.00274454995230339	0.00150793599737333	0.00317836619012044	0.00110804480057835	0.00428412421168133	0.00126633691494669	0.00176024275483405	0.00199721617007076	0.00056238539216876	0.000984307197469338	0.00142131979501869	0.00142131979501869	0.00110804480057835	0.00110804480057835	0.00101290897260142	0.00101290897260142	0.00199017345460439	0.00110804480057835	0.00101290897260142	0.00150793599737333	0.00056238539216876
"Claoxylon_linostachys"	0.0763107557404913	0.0354747746369317	0.0285355264907331	0.0119046493396652	0.0192517840550179	0.027189768703393	0.024274223661237	0.0333142585716959	1.06888259124273	0.000253391247406655	0.00072180360682388	0.00721980603720445	0.00750733242343446	0.00592622976816898	0.00884209418359253	0.101077284520862	0.00750733242343446	0.00650393020229913	0.00588545506757857	0.00442252014088785	0.0961949029152333	0.00373877741705889	0.0961154811059596	0.095741997323732	0.00343056122393967	0.00280064278503195	0.0952802987084755	0.00239057899320442	0.00466645980136662	0.00150370962728113	0.00254369185801638	0.00466645980136662	0.000886869365923293	0.0916172411282442	0.00101356498962662	0.000962589202750894	0.00149230464088801	0.00123589857742695	0.000541120424530236	0.00134856798117983	0.00134856798117983	0.000886869365923292	0.000886869365923292	0.00095118421635777	0.000951184216357771	0.00018045090170597	0.000886869365923292	0.000951184216357771	0.00254369185801638	0.00123589857742695
"Antirhea_borbonica"	0.00587200820530013	0.160335840092194	0.00492715397358611	0.00385127357671986	0.00337331708543891	0.00423965785210376	0.0025469975400947	0.00189950537242003	0.00152034748443993	1.1440023988578	0.000405865327785466	0.00035896796544861	0.00487763754867407	0.00485056979610268	0.00497185026537195	0.00502555151628054	0.00487763754867407	0.0046474843356489	0.00471209181905725	0.00450684605197983	0.00503149916331075	0.000326957968640282	0.000989545134493579	0.000622221208253596	0.0042041296091482	0.00434130032236301	0.00448911734721986	0.00435211974642771	0.00439684132969837	0.000343723744122848	0.000195733606843337	0.00439684132969837	0.00400839600230486	0.000322429230546665	0.576009595431206	0.000168665854271946	0.000339296355637107	0.000192711720550171	0.000175057889850903	0.000141499863338594	0.000141499863338594	0.00400839600230486	0.00400839600230486	0.000164238465786204	0.000164238465786204	0.000101466331946366	0.00400839600230486	0.000164238465786204	0.000195733606843337	0.000192711720550171
