"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Unidentified_sp7_M_PL_098"	"Ornidia_obesa"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_098"	"Forcipomyia_sp1_M_PL_098"	"Melanostoma_annulipes"	"Lygistorrhina_sp1_M_PL_098"	"Phelsuma_sp1_M_PL_098"	"Unidentified_sp2_M_PL_098"	"Unidentified_sp3_M_PL_098"	"Unidentified_sp6_M_PL_098"	"Hemipyrellia_sp1_M_PL_098"	"Unidentified_sp4_M_PL_098"	"Unidentified_sp5_M_PL_098"
"Canthium_bibracteatum"	1.16161915653053	0.0540197226032507	0.0477948893348634	0.02278267982329	0.0158893473929081	0.0312275376484955	0.130717099090696	0.126778213917241	0.13270326751481	0.00464193709733039	0.00647029404270979	0.116161915653053	0.00935059382956109	0.00337623266270317	0.00126570443462722	0.00337623266270317	0.00198616842411351	0.00337623266270317	0.00325187285874073	0.00126570443462722	0.00325187285874073	0.116161915653053	0.00126570443462722	0.00126570443462722
"Nephrosperma_vanhoutteanum"	0.0337623266270317	1.17996887406255	0.05039804657709	0.0368446957107216	0.0112665682506724	0.0210928221052649	0.0869395134646265	0.0854709706532335	0.0883478344959605	0.075794982168394	0.005562397890362	0.00337623266270317	0.0800478104510458	0.0737480546289096	0.00204692753948453	0.0737480546289095	0.00140832103133405	0.0737480546289095	0.00345524857081857	0.00204692753948453	0.00345524857081857	0.00337623266270317	0.00204692753948453	0.00204692753948453
"Dillenia_ferruginea"	0.0597436116685792	0.10079609315418	1.08938755040749	0.0276458441725536	0.0188155830450117	0.0369446508855194	0.154605002604184	0.149983441021739	0.15695695048481	0.00783563605394478	0.00769332204606176	0.00597436116685793	0.142473199623072	0.00629975582213625	0.00153588023180853	0.00629975582213625	0.00235194788062647	0.00629975582213625	0.003887828112435	0.00153588023180853	0.003887828112435	0.00597436116685793	0.00153588023180853	0.00153588023180853
"Roscheria_melanochaetes"	0.0126570443462722	0.0327508406317525	0.0122870418544682	1.21548064198942	0.0400957328479489	0.0200620316634763	0.00819218414983299	0.0723752145386656	0.0132041507558266	0.0695736298722298	0.070870374276658	0.00126570443462722	0.00358280777129306	0.00204692753948453	0.0675267023327453	0.00204692753948453	0.00501196660599362	0.00204692753948453	0.0725386689387389	0.0675267023327453	0.0725386689387389	0.00126570443462722	0.0675267023327453	0.0675267023327453
"Soulamea_terminaloides"	0.0198616842411351	0.0225331365013447	0.0188155830450117	0.0902153989078851	1.16335061901107	0.0185569116268816	0.00883925594055429	0.0107584039420676	0.154258083316939	0.00642028763732766	0.00810478521047388	0.00198616842411351	0.00376026891196051	0.00140832103133405	0.00501196660599361	0.00140832103133404	0.145418827376384	0.00140832103133404	0.150430793982378	0.00501196660599361	0.150430793982378	0.00198616842411351	0.00501196660599361	0.00501196660599361
"Excoecaria_benthiamiana"	0.0520458960808258	0.0562475256140396	0.0492595345140259	0.0601860949904288	0.0247425488358422	1.09085173329817	0.196686123989575	0.018221173717126	0.199778942594055	0.00685914229479019	0.185152294160274	0.00520458960808258	0.00967291216513071	0.00351547035087748	0.00334367194391271	0.00351547035087747	0.00309281860448027	0.00351547035087748	0.00643649054839298	0.00334367194391271	0.00643649054839298	0.00520458960808258	0.00334367194391271	0.00334367194391271
"Apis_mellifera"	0.16339637386337	0.173879026929253	0.154605002604184	0.0184324143371242	0.00883925594055429	0.147514592992181	1.07111846739364	0.0475567249136674	0.0722233743862045	0.0118914622018074	0.025609788517426	0.016339637386337	0.0301930645086012	0.0108674391830783	0.00102402301872912	0.0108674391830783	0.00110490699256929	0.0108674391830783	0.00212893001129841	0.00102402301872912	0.00212893001129841	0.016339637386337	0.00102402301872912	0.00102402301872912
"Lasioglossum_mahense"	0.158472767396551	0.170941941306467	0.149983441021739	0.162844232711997	0.0107584039420676	0.0136658802878445	0.0475567249136674	1.05432598001636	0.0489015254064259	0.0197307731489874	0.0113245485319739	0.0158472767396551	0.0294318014593715	0.0106838713316542	0.0090469018173332	0.0106838713316542	0.00134480049275846	0.0106838713316542	0.0103917023100916	0.0090469018173332	0.0103917023100916	0.0158472767396551	0.0090469018173332	0.0090469018173332
"Hemipyrellia_germana"	0.13270326751481	0.141356535193537	0.125565560387848	0.0237674713604879	0.123406466653551	0.119867365556433	0.0577786995089636	0.0391212203251407	1.07320450784066	0.0101551985251787	0.0212983093349882	0.013270326751481	0.024530478498077	0.00883478344959605	0.00132041507558266	0.00883478344959605	0.0154258083316939	0.00883478344959605	0.0167462234072765	0.00132041507558266	0.0167462234072765	0.013270326751481	0.00132041507558266	0.00132041507558266
"Neophyllomyza_approximatonervis"	0.011604842743326	0.303179928673576	0.0156712721078896	0.313081334425034	0.0128405752746553	0.0102887134421853	0.0237829244036149	0.0394615462979748	0.0253879963129468	1.03634215301016	0.019108193041755	0.0011604842743326	0.0209076545555847	0.0189487455420985	0.0173934074680575	0.0189487455420985	0.00160507190933192	0.0189487455420985	0.0189984793773894	0.0173934074680575	0.0189984793773894	0.0011604842743326	0.0173934074680575	0.0173934074680575
