"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Gastonia_crassa"	"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Campnosperma_seychellarum"	"Glionnetia_sericea"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp5_M_PL_106"	"Pachycerina_seychellensis"	"Ceratina_tabescens"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_106"	"Scaptodrosophila_sp1_M_PL_106"	"Agrius_convolvuli"	"Lygistorrhina_sp1_M_PL_106"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_106"	"Unidentified_sp6_M_PL_106"	"Forcipomyia_sp1_M_PL_106"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_106"	"Unidentified_sp4_M_PL_106"	"Hemipyrellia_sp1_M_PL_106"	"Megachile_seychellensis"	"Melanostoma_annulipes"	"Perissoma_aenescens"	"Simosyrphus_aegyptius"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	1.17802838516281	0.0181141919492205	0.0248055290986729	0.00769638609225509	0.0231157837194011	0.0345852116093673	0.0169050741347971	0.0235955032889815	0	0.00648726827783165	0.090821755889643	0.0833424468557233	0.00725470688654063	0.0784087247024274	0.00567694065349405	0.00124027645493364	0.0736267740726754	0.0755930660134238	0.074867050527609	0.00124027645493364	0.0736267740726754	0	0.00196629194074846	0.0023115783719401	0.00124027645493364	0.00124027645493364	0.0032065683956821	0.00478195062975205	0.00124027645493364	0.00124027645493364	0.00196629194074846	0.00247037225781195	0.0736267740726754	0.00124027645493364	0.00196629194074846	0.00247037225781195
"Psychotria_pervillei"	0.048304511864588	1.07295511854178	0.0017567411484706	0.0485347081814555	0.0555774083583602	0.0485497290476442	0.040202240046529	0.0016710464583013	0	0.0157818296862061	0.220945615606886	0.195363282882583	0.196517270971496	0.0120446106164902	0.00369492871806608	8.78370574235299e-05	0.00301903199153675	0.00315828586306186	0.00310686904896028	8.78370574235298e-05	0.00301903199153675	0	0.000139253871525108	0.00555774083583602	8.78370574235299e-05	8.78370574235298e-05	0.000227090928948638	0.00902557862495346	8.78370574235299e-05	8.78370574235298e-05	0.000139253871525108	0.00346783778911744	0.00301903199153675	8.78370574235299e-05	0.000139253871525108	0.00346783778911744
"Roscheria_melanochaetes"	0.0198444232789383	0.000527022344541179	1.26518424923374	0.000227677457631181	0.000911585443731343	0.0132260770186445	0.000487703183507103	0.0327362370759995	0	0.000188358296597105	0.00263701615235946	0.00239475909527998	0.000235914966204459	0.00227615478635281	0.0669319520050665	0.0632592124616872	0.00124027645493364	0.00396829621126694	0.0644994889166208	0.0632592124616872	0.00124027645493364	0	0.0027280197563333	9.11585443731342e-05	0.0632592124616872	0.0632592124616871	0.0659872322180204	0.00103587833141917	0.0632592124616872	0.0632592124616871	0.0027280197563333	0.000944719787046034	0.00124027645493364	0.0632592124616872	0.0027280197563333	0.000944719787046034
"Gastonia_crassa"	0.0307855443690203	0.0728020622721833	0.00113838728815591	1.06998008414982	0.0784483671381103	0.0321383970919863	0.0248898064727449	0.00108285620092879	0	0.0220678283503826	0.308949596905356	0.0225758249788986	0.28747353479663	0.0120645330291595	0.00244275717343659	5.69193644077953e-05	0.00192409652306377	0.00201433453980784	0.00198101588747157	5.69193644077953e-05	0.00192409652306377	0	9.02380167440657e-05	0.00784483671381103	5.69193644077953e-05	5.69193644077953e-05	0.000147157381151861	0.0101404365060958	5.69193644077953e-05	5.69193644077953e-05	9.02380167440657e-05	0.00229559979228473	0.00192409652306377	5.69193644077953e-05	9.02380167440657e-05	0.00229559979228473
"Chrysobalanus_icaco"	0.0369852539510417	0.0333464450150162	0.00182317088746268	0.0313793468552441	1.13810388020647	0.0676395306823829	0.0121442840866338	0.0017342357222206	0	0.0101771859268618	0.142480602976065	0.0157367852781762	0.127212965570294	0.120953361441329	0.00506707323663315	9.11585443731343e-05	0.0023115783719401	0.00245609801545849	0.00240273691631324	9.11585443731342e-05	0.00231157837194011	0	0.000144519643518384	0.113810388020647	9.11585443731342e-05	9.11585443731342e-05	0.000235678187891518	0.118641783069389	9.11585443731342e-05	9.11585443731342e-05	0.000144519643518384	0.00483139504874164	0.00231157837194011	9.11585443731342e-05	0.000144519643518384	0.00483139504874164
"Dillenia_ferruginea"	0.0395259561249912	0.0208070267347046	0.0188943957409207	0.00918239916913893	0.0483139504874164	1.15217907214913	0.0190412212963473	0.0179727178999002	0	0.00741659373078163	0.103832312230943	0.0929970205245257	0.0105948326301438	0.089600272460063	0.0847409514322138	0.000944719787046035	0.00247037225781195	0.00396809874947029	0.00341509204485798	0.000944719787046034	0.00247037225781195	0	0.00149772649165835	0.00483139504874163	0.000944719787046034	0.000944719787046033	0.00244244627870438	0.0871299002022511	0.000944719787046034	0.000944719787046033	0.00149772649165835	0.0822985051535094	0.00247037225781195	0.000944719787046034	0.00149772649165835	0.0822985051535094
"Memecylon_eleagni"	0.0676202965391883	0.0603033600697935	0.00243851591753551	0.0248898064727449	0.0303607102165845	0.0666442745372157	1.05708517962788	0.00231956392155817	0	0.0216716260308321	0.303402764431649	0.283308428776388	0.0193090826514769	0.0120226448794446	0.00507552811342679	0.000121925795876776	0.00422626853369927	0.00441956552716245	0.00434819432957604	0.000121925795876776	0.00422626853369927	0	0.000193296993463181	0.00303607102165845	0.000121925795876776	0.000121925795876776	0.000315222789339956	0.00779637634574529	0.000121925795876776	0.000121925795876776	0.000193296993463181	0.00476030532408684	0.00422626853369927	0.000121925795876776	0.000193296993463181	0.00476030532408684
"Campnosperma_seychellarum"	0.0314606710519754	0.00083552322915065	0.0545603951266659	0.000360952066976263	0.00144519643518384	0.0209681708832169	0.000773187973852723	1.22263061975463	0	0.000298616811678337	0.00418063536349671	0.0037965692973951	0.000374011531787558	0.00360853807592519	0.106111631227544	0.00272801975633329	0.00196629194074846	0.103852176920301	0.00469431169708175	0.00272801975633329	0.00196629194074846	0	0.101885884979553	0.000144519643518383	0.00272801975633329	0.00272801975633329	0.104613904735886	0.00164224613517673	0.00272801975633329	0.00272801975633329	0.101885884979553	0.00149772649165835	0.00196629194074846	0.00272801975633329	0.101885884979553	0.00149772649165835
"Glionnetia_sericea"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Excoecaria_benthiamiana"	0.0518981462226532	0.0473454890586184	0.00188358296597105	0.0441356567007652	0.050885929634309	0.0519161561154714	0.0433432520616642	0.00179170087007002	0	1.04013341970381	0.561867875853353	0.0256786588628257	0.0240134219817253	0.0120405239677375	0.00395178441952854	9.41791482985523e-05	0.00324363413891582	0.00339294254475499	0.00333781328721437	9.41791482985523e-05	0.00324363413891582	0	0.000149308405839168	0.00508859296343089	9.41791482985523e-05	9.41791482985523e-05	0.000243487554137721	0.00879688982882171	9.41791482985523e-05	9.41791482985523e-05	0.000149308405839168	0.00370829686539082	0.00324363413891582	9.41791482985523e-05	0.000149308405839168	0.00370829686539082
