"Psidium_cattleianum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Ochna_kirkii"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Apis_mellifera"	"Ornidia_obesa"	"Xylocopa_caffra"	"Lasioglossum_mahense"	"Neavella_albipectus"	"Megachile_seychellensis"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Chalcidoma_disjunctum"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_110"	"Cratopus_aurostriatus"	"Dichaetomyia_fasciculifera"
"Psidium_cattleianum"	1.14383828259055	0.0566576531277963	0.0616930057449709	0.0326810937883014	0.0364398104700088	0.00202348761170701	0.125872678167527	0.118790471526553	0.130724375153206	0.00809395044682804	0.013155508385976	0.00607330174500147	0.00440664326749792	0.00440664326749792	0.121466034900029	0.00440664326749792	0.120457130004056	0.00440664326749792	0.00440664326749792
"Memecylon_eleagni"	0.0708220664097453	1.14106532277041	0.0337555119892078	0.00202348761170701	0.0449146115961825	0.0407523329560859	0.152126479986504	0.00949331464020366	0.00809395044682804	0.163009331824344	0.150118933945664	0.00748576859936376	0.00241110799922913	0.00241110799922913	0.149715371987275	0.00241110799922913	0.0145679752403383	0.00241110799922913	0.00241110799922913
"Cinnamomum_verum"	0.0440664326749792	0.019288863993833	1.26598478235115	0.00125904093357083	0.00204532538001811	0.000688887999779751	0.0972452357203808	0.0948341277211516	0.00503616373428334	0.002755551999119	0.00275199556256548	0.000340887563336352	0.0904274844536537	0.0904274844536537	0.00681775126672705	0.0904274844536537	0.00474753083083427	0.0904274844536537	0.0904274844536537
"Ochna_kirkii"	0.163405468941507	0.00809395044682804	0.00881328653499584	1.14752587054119	0.00520568721000126	0.000289069658815287	0.0179818111667896	0.0169700673609361	0.590103482164744	0.00115627863526115	0.00187935834085371	0.00086761453500021	0.000629520466785417	0.000629520466785417	0.0173522907000042	0.000629520466785417	0.0172081614291509	0.000629520466785417	0.000629520466785417
"Premna_serratifolia"	0.0607330174500147	0.0598861487949101	0.00477242588670893	0.00173522907000042	1.20406772110331	0.00213879102838964	0.0138999579077016	0.00641418930833782	0.00694091628000168	0.00855516411355858	0.208163722116582	0.200677953517218	0.000340887563336352	0.000340887563336352	0.0135590703443652	0.000340887563336352	0.20675125526222	0.000340887563336352	0.000340887563336352
"Erythroxylum_sechellarum"	0.010117438058535	0.163009331824344	0.00482221599845825	0.000289069658815287	0.00641637308516894	1.14867890470801	0.0217323542837863	0.00135618780574338	0.00115627863526115	0.594715618832049	0.0214455619922378	0.00106939551419482	0.000344443999889875	0.000344443999889875	0.0213879102838965	0.000344443999889875	0.00208113932004833	0.000344443999889875	0.000344443999889875
"Apis_mellifera"	0.209787796945879	0.202835306648672	0.226905550014222	0.00599393705559654	0.0138999579077016	0.00724411809459544	1.0625407323124	0.037186318981318	0.0239757482223862	0.0289764723783818	0.0276710729823676	0.0023166596512836	0.0162075392867301	0.0162075392867301	0.046333193025672	0.0162075392867301	0.0232954393458715	0.0162075392867301	0.0162075392867301
"Ornidia_obesa"	0.296976178816382	0.0189866292804073	0.331919447024031	0.00848503368046806	0.00962128396250674	0.00067809390287169	0.055779478471977	1.05340614981193	0.0339401347218722	0.00271237561148676	0.00397687598713537	0.00160354732708446	0.0237085319302879	0.0237085319302879	0.0320709465416891	0.0237085319302879	0.0313011652087227	0.0237085319302879	0.0237085319302879
"Xylocopa_caffra"	0.326810937883014	0.0161879008936561	0.0176265730699917	0.295051741082372	0.0104113744200025	0.000578139317630574	0.0359636223335792	0.0339401347218722	1.18020696432949	0.0023125572705223	0.00375871668170743	0.00173522907000042	0.00125904093357083	0.00125904093357083	0.0347045814000084	0.00125904093357083	0.0344163228583018	0.00125904093357083	0.00125904093357083
"Lasioglossum_mahense"	0.0202348761170701	0.326018663648687	0.00964443199691651	0.000578139317630574	0.0128327461703379	0.297357809416025	0.0434647085675726	0.00271237561148676	0.0023125572705223	1.1894312376641	0.0428911239844755	0.00213879102838964	0.00068888799977975	0.00068888799977975	0.0427758205677929	0.00068888799977975	0.00416227864009665	0.00068888799977975	0.00068888799977975
"Neavella_albipectus"	0.03288877096494	0.300237867891329	0.00963198446897918	0.000939679170426857	0.312245583174873	0.0107227809961189	0.0415066094735515	0.00397687598713537	0.00375871668170743	0.0428911239844755	1.08957066401556	0.0520409305291455	0.00068799889064137	0.00068799889064137	0.0408186105829101	0.00068799889064137	0.0553298076256395	0.00068799889064137	0.00068799889064137
"Megachile_seychellensis"	0.0303665087250074	0.029943074397455	0.00238621294335447	0.00086761453500021	0.602033860551655	0.00106939551419482	0.00694997895385079	0.00320709465416891	0.00347045814000084	0.00427758205677929	0.104081861058291	1.10033897675861	0.000170443781668176	0.000170443781668176	0.00677953517218262	0.000170443781668176	0.10337562763111	0.000170443781668176	0.000170443781668176
"Parasarcophaga_hirticeps"	0.0220332163374896	0.0096444319969165	0.632992391175576	0.000629520466785417	0.00102266269000906	0.000344443999889875	0.0486226178601904	0.0474170638605758	0.00251808186714167	0.0013777759995595	0.00137599778128274	0.000170443781668176	1.04521374222683	0.0452137422268269	0.00340887563336352	0.0452137422268269	0.00237376541541714	0.0452137422268269	0.0452137422268269
"Polistes_olivaceus"	0.0220332163374896	0.00964443199691651	0.632992391175576	0.000629520466785417	0.00102266269000906	0.000344443999889875	0.0486226178601904	0.0474170638605758	0.00251808186714167	0.0013777759995595	0.00137599778128274	0.000170443781668176	0.0452137422268269	1.04521374222683	0.00340887563336352	0.0452137422268269	0.00237376541541714	0.0452137422268269	0.0452137422268269
"Chalcidoma_disjunctum"	0.303665087250074	0.29943074397455	0.0238621294335447	0.0086761453500021	0.0203386055165478	0.0106939551419482	0.0694997895385079	0.0320709465416891	0.0347045814000084	0.0427758205677929	0.0408186105829101	0.00338976758609131	0.00170443781668176	0.00170443781668176	1.06779535172183	0.00170443781668176	0.0337562763110987	0.00170443781668176	0.00170443781668176
"Eristalinus_vicarians"	0.0220332163374896	0.0096444319969165	0.632992391175576	0.000629520466785417	0.00102266269000906	0.000344443999889875	0.0486226178601904	0.0474170638605758	0.00251808186714167	0.0013777759995595	0.00137599778128274	0.000170443781668176	0.0452137422268269	0.0452137422268269	0.00340887563336352	1.04521374222683	0.00237376541541714	0.0452137422268269	0.0452137422268269
"Hemipyrellia_sp1_M_PL_110"	0.301142825010141	0.0291359504806766	0.01661635790792	0.00860408071457545	0.310126882893329	0.00104056966002416	0.0349431590188072	0.0313011652087227	0.0344163228583018	0.00416227864009665	0.0553298076256395	0.0516878138155549	0.00118688270770857	0.00118688270770857	0.0337562763110987	0.00118688270770857	1.08180209631657	0.00118688270770857	0.00118688270770857
"Cratopus_aurostriatus"	0.0220332163374896	0.0096444319969165	0.632992391175576	0.000629520466785417	0.00102266269000906	0.000344443999889875	0.0486226178601904	0.0474170638605758	0.00251808186714167	0.0013777759995595	0.00137599778128274	0.000170443781668176	0.0452137422268269	0.0452137422268269	0.00340887563336352	0.0452137422268269	0.00237376541541714	1.04521374222683	0.0452137422268269
"Dichaetomyia_fasciculifera"	0.0220332163374896	0.0096444319969165	0.632992391175576	0.000629520466785417	0.00102266269000906	0.000344443999889875	0.0486226178601904	0.0474170638605758	0.00251808186714167	0.0013777759995595	0.00137599778128274	0.000170443781668176	0.0452137422268269	0.0452137422268269	0.00340887563336352	0.0452137422268269	0.00237376541541714	0.0452137422268269	1.04521374222683
