"Nephrosperma_vanhoutteanum"	"Pittosporum_senacia"	"Chrysobalanus_icaco"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Paragenipa_wrightii"	"Northea_hornei"	"Phoenicophorium_borsigianum"	"Ixora_pudica"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp3_M_PL_123"	"Nectarinia_dussumieri"	"Ornidia_obesa"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_123"	"Neophyllomyza_approximatonervis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_123"	"Rhynchium_brunneum"	"Unidentified_sp5_M_PL_123"	"Polistes_olivaceus"	"Tricimba_seychellensis"	"Chalcidoma_disjunctum"	"Dichaetomyia_fasciculifera"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_123"	"Lampides_boeticus"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_123"	"Unidentified_sp1_M_PL_123"	"Unidentified_sp4_M_PL_123"
"Nephrosperma_vanhoutteanum"	1.17136690668079	0.0327223051515042	0.0114353093162402	0.00967010854556446	0.0165129340530199	0.0160471909509965	0.0254466421973139	0.0501319364379057	0	0.0617587587353564	0.0592140945156249	0.0488069544450329	0.00840394083305951	0.00385337774445356	0.00474674855888295	0.0555264779599289	0.0502943319519194	0.0569383701363464	0.0513516186647642	0.0523878070477403	0.002454388361443	0.000714706832265009	0.0523878070477404	0.000714706832265009	0.0488069544450329	0.000967010854556447	0.0488069544450329	0.000714706832265009	0.00148737750688655	0.0488069544450329	0.00148737750688655	0.00148737750688655	0	0.000967010854556447	0.00358085260270755
"Pittosporum_senacia"	0.0356970601652773	1.14656644544049	0.0375909233390478	0.0249926922334569	0.0318987602540415	0.0158944890550451	0.0216017237251811	0.0190912391207985	0	0.0671532555168567	0.0649930831443385	0.00148737750688655	0.0618029488494245	0.0576559653450258	0.0566262616921397	0.0581575700804217	0.0536040341178177	0.0069980209484852	0.00364754987940466	0.00285103744408645	0.0546159258342768	0.00234943270869049	0.00285103744408645	0.00234943270869049	0.00148737750688655	0.00249926922334569	0.00148737750688655	0.00234943270869049	0.0521166566109311	0.00148737750688655	0.0521166566109311	0.0521166566109311	0	0.00249926922334569	0.0013636599371999
"Chrysobalanus_icaco"	0.0171529639743602	0.0516875195911907	1.15369430224645	0.0136560033413694	0.033586258530307	0.020580147249552	0.0283858651231974	0.0145902732769061	0	0.0863475269139619	0.0835089404016421	0.00071470683226501	0.0832250573706381	0.0778139524521243	0.0772939131114134	0.00746492777090806	0.00306413954095549	0.00716797412770062	0.00355329334458475	0.00175686920918687	0.00371503304282743	0.0721058938904031	0.00175686920918687	0.0721058938904031	0.000714706832265009	0.00136560033413694	0.000714706832265009	0.0721058938904031	0.00234943270869049	0.00071470683226501	0.00234943270869049	0.00234943270869049	0	0.00136560033413694	0.00104216237692186
"Erythroxylum_sechellarum"	0.0232082605093547	0.0549839229136052	0.0218496053461911	1.16307929225271	0.0198389742719872	0.0187341527667447	0.0110118149233648	0.020627310349378	0	0.128040036963358	0.126938855471021	0.000967010854556447	0.00929171757286091	0.00584876698468135	0.00496605104981911	0.00692355681577071	0.00346628007790214	0.00588334075340587	0.00206819234689292	0.0024403901652263	0.118807198448616	0.00136560033413694	0.0024403901652263	0.00136560033413694	0.000967010854556446	0.116307929225271	0.000967010854556446	0.00136560033413694	0.00249926922334569	0.000967010854556447	0.00249926922334569	0.00249926922334569	0	0.116307929225271	0.00147337931066986
"Dillenia_ferruginea"	0.0396310417272478	0.0701772725588912	0.0537380136484912	0.0198389742719871	1.06140659956404	0.0297160993381333	0.0234423753706714	0.0353829568538704	0	0.124910456682664	0.122566219145597	0.00165129340530199	0.118747911789173	0.112689161834839	0.00889273941550199	0.113509183448101	0.00484116943070614	0.0102373974206265	0.00399553094236913	0.00417864746629273	0.00517377345260286	0.0033586258530307	0.00417864746629274	0.0033586258530307	0.00165129340530199	0.00198389742719872	0.00165129340530199	0.0033586258530307	0.00318987602540415	0.00165129340530199	0.00318987602540415	0.00318987602540415	0	0.00198389742719872	0.00252735406099074
"Paragenipa_wrightii"	0.0481415728529895	0.043709844901374	0.041160294499104	0.0234176909584308	0.0371451241726666	1.05204998601434	0.0446575930452568	0.043051226889172	0	0.151668605111318	0.147202845806792	0.00200589886887456	0.144245849511659	0.0082738419553413	0.00902508884260032	0.0107823100529627	0.0039927100007552	0.141052994060134	0.00647165817340024	0.00508098650381541	0.00432858022772372	0.002572518406194	0.00508098650381542	0.002572518406194	0.00200589886887456	0.00234176909584308	0.00200589886887456	0.002572518406194	0.00198681113188064	0.00200589886887456	0.00198681113188064	0.00198681113188064	0	0.00234176909584308	0.00307508763494086
"Northea_hornei"	0.0610719412735533	0.0475237921953984	0.0454173841971159	0.0110118149233648	0.0234423753706714	0.0357260744362054	1.08098905025205	0.0281509006849716	0	0.125564285084059	0.0174653800588536	0.00254466421973139	0.119907660751636	0.00734299642190499	0.113097663910043	0.00905985274967175	0.0047048365922495	0.117120107169818	0.110643569244936	0.0045554428400865	0.00326135386485459	0.00283858651231974	0.00455544284008651	0.00283858651231974	0.00254466421973139	0.00110118149233648	0.00254466421973139	0.00283858651231974	0.00216017237251811	0.00254466421973139	0.00216017237251811	0.00216017237251811	0	0.00110118149233648	0.00201077862035512
"Phoenicophorium_borsigianum"	0.0859404624649811	0.0300005186183977	0.0166745980307498	0.0147337931066986	0.0252735406099074	0.0246007010795268	0.0201077862035512	1.11600193321952	0	0.0947876983451802	0.092776919724825	0.00358085260270755	0.0100190426304085	0.0049331763751125	0.00441660093447687	0.0871862904022925	0.00494451253990744	0.0883811426593979	0.00559163122306266	0.0832952764041018	0.00283703924786975	0.00104216237692186	0.0832952764041019	0.00104216237692186	0.00358085260270755	0.00147337931066986	0.00358085260270755	0.00104216237692186	0.0013636599371999	0.00358085260270755	0.0013636599371999	0.0013636599371999	0	0.00147337931066986	0.0797144238013943
"Ixora_pudica"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Apis_mellifera"	0.0926381381030345	0.0923357263356779	0.0863475269139619	0.0800250231020987	0.0780690354266651	0.075834302555659	0.0784776781775368	0.0829392360520327	0	1.05251441395955	0.0446666461417934	0.00385992242095977	0.0347277580818037	0.0174007024445927	0.0174415667196798	0.0217881355800036	0.00805700089076331	0.0271112092047446	0.0117076902387134	0.00978415356753352	0.0121995807800134	0.00539672043212262	0.00978415356753354	0.00539672043212262	0.00385992242095977	0.00800250231020988	0.00385992242095977	0.00539672043212262	0.00419707846980354	0.00385992242095977	0.00419707846980354	0.00419707846980354	0	0.00800250231020988	0.00592423114657376
