"Geissomeria_schottiana"	"Justicia_scheidweileri"	"Ruellia_brevifolia"	"Passiflora_speciosa"	"Mendoncia_velloziana"	"Fridericia_speciosa"	"Corymborkis_flava"	"Heliconia_simulans"	"Mutisia_speciosa"	"Lantana_camara"	"Rubus_rosaefolius"	"Passiflora_kermesina"	"Hyptis_asperrima"	"Ruellia_subsessilis"	"Thalurania_glucopis"	"Phaethornis_squalidus"	"Phaethornis_ruber"	"Calliphlox_amethystina"	"Chlorostilbon_aureoventris"	"Phaethornis_pretrei"	"Amazilia_fimbriata"	"Amazilia_lactea"
"Geissomeria_schottiana"	1.11726861193574	0.0315738886051018	0.0455898584510361	0.00808288054400519	0.0256265542484691	0.00920327982733264	0.00874978487931915	0.0315738886051018	0.00767568517317749	0.0157585657171827	0.0157585657171827	0.00767568517317749	0.00112039928332745	0.00767568517317749	0.126522583103353	0.145491849792093	0.15351370346355	0.00181397979205397	0.00400142601188376	0.119325170935414	0.111726861193574	0.00427109237474484
"Justicia_scheidweileri"	0.0526231476751697	1.04760528137178	0.02570712546605	0.011956976125494	0.0388890602686755	0.0136143787567506	0.0129435253107657	0.0476052813717799	0.0113634404209247	0.0233204165464187	0.0233204165464187	0.0113634404209247	0.00165740263125659	0.0113634404209247	0.194278918602889	0.215225570258891	0.227268808418494	0.00268341378393924	0.00591929511163068	0.0095468356785253	0.00526231476751697	0.00648151004477925
"Ruellia_brevifolia"	0.0759830974183935	0.02570712546605	1.06985375150313	0.0120991531163366	0.0148450607451419	0.0137762634492942	0.0130974330764304	0.02570712546605	0.0112777813053743	0.0233769344217109	0.0233769344217109	0.0112777813053743	0.00167711033295755	0.0112777813053743	0.018641528354713	0.217784756094059	0.225555626107486	0.00271532149145508	0.00598967976056267	0.185907268325695	0.00759830974183935	0.00247417679085698
"Passiflora_speciosa"	0.0404144027200259	0.0358709283764819	0.0362974593490098	1.03162839622206	0.00462821689573237	0.0360125303518511	0.0342379998707454	0.0358709283764819	0.00214630891940651	0.0337747051414671	0.0337747051414671	0.00214630891940651	0.00438413412979057	0.00214630891940651	0.0167697858801186	0.56931113199709	0.0429261783881302	0.00709812192442283	0.0156576218921092	0.0100910168301709	0.00404144027200259	0.000771369482622061
"Mendoncia_velloziana"	0.0427109237474484	0.0388890602686755	0.0148450607451419	0.00154273896524412	1.13165053233102	0.00175658397032747	0.00167002765874611	0.0388890602686755	0.0116160044884973	0.0131587434537414	0.0131587434537414	0.0116160044884973	0.000213845005083344	0.0116160044884973	0.205842534519473	0.0277693013743942	0.232320089769946	0.000346225246325414	0.000763732161011942	0.00674526916560182	0.00427109237474484	0.188608422055169
"Fridericia_speciosa"	0.0153387997122211	0.0136143787567506	0.0137762634492942	0.0120041767839504	0.00175658397032747	1.09947670293882	0.0481981407650244	0.0136143787567506	0.000814605695484319	0.0128187824794347	0.0128187824794347	0.000814605695484319	0.087472526154871	0.000814605695484319	0.00636477021852687	0.216075182111107	0.0162921139096864	0.205114248695188	0.217163783886444	0.0038299238794378	0.00153387997122211	0.000292763995054578
"Corymborkis_flava"	0.0218744621982979	0.0194152879661486	0.0196461496146456	0.0171189999353727	0.00250504148811917	0.0722972111475366	1.06583618914896	0.0194152879661486	0.00116169855703851	0.0182806984924112	0.0182806984924112	0.00116169855703851	0.0551782112121639	0.00116169855703851	0.00907671578989919	0.308141998836709	0.0232339711407702	0.0258440879942971	0.292303135281538	0.00546180448893738	0.00218744621982979	0.000417506914686528
"Heliconia_simulans"	0.0526231476751697	0.0476052813717799	0.02570712546605	0.011956976125494	0.0388890602686755	0.0136143787567506	0.0129435253107657	1.04760528137178	0.0113634404209247	0.0233204165464187	0.0233204165464187	0.0113634404209247	0.00165740263125659	0.0113634404209247	0.194278918602889	0.215225570258891	0.227268808418494	0.00268341378393924	0.00591929511163068	0.0095468356785253	0.00526231476751697	0.00648151004477925
"Mutisia_speciosa"	0.0383784258658875	0.0340903212627741	0.0338333439161228	0.00214630891940651	0.034848013465492	0.00244381708645296	0.00232339711407701	0.0340903212627741	1.0293178516869	0.0314641606063039	0.0314641606063039	0.0293178516868974	0.000297508167046447	0.0293178516868974	0.0210092852517621	0.0386335605493172	0.586357033737947	0.000481679889503771	0.00106252916802303	0.00947673323927588	0.00383784258658875	0.00580800224424866
"Lantana_camara"	0.0393964142929567	0.034980624819628	0.0350654016325663	0.0168873525707335	0.0197381151806122	0.0192281737191521	0.0182806984924112	0.034980624819628	0.0157320803031519	1.03261943287389	0.0326194328738855	0.0157320803031519	0.00234082114841851	0.0157320803031519	0.0188895355659404	0.303972346273204	0.314641606063039	0.0037899009069633	0.00836007553006611	0.00978387503472339	0.00393964142929567	0.00328968586343536
