"Guarea_guidonia"	"Cecropia_schreberiana"	"Schefflera_morototoni"	"Miconia_prasina"	"Cupania_americana"	"Alchornea_latifolia"	"Myrcia_sp1_M_SD_003"	"Byrsonima_coriacea"	"Clusia_rosea"	"Henriettea_fascicularis"	"Casearia_arborea"	"Ocotea_leucoxylon"	"Miconia_affinis"	"Phoradendron_sp1_M_SD_003"	"Psychotria_berteroana"	"Inga_vera"	"Ficus_sp1_M_SD_003"	"Myrcine_coriacea"	"Anthurium_scandens"	"Dendropanax_arboreus"	"Inga_laurina"	"Miconia_serrulata"	"Tournefortia_hisutissima"	"Unidentified_sp2_M_SD_003"	"Unidentified_sp3_M_SD_003"	"Loxigilla_portoricensis"	"Spindalis_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Columba_squamosa"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Euphonia_musica"	"Margarops_fuscatus"	"Icterus_dominicensis"	"Zenaida_zenaida"	"Molothrus_bonariensis"	"Nesospingus_sp1_M_SD_003"	"Tiaris_bicolor"	"Todus_mexicanus"	"Unidentified_sp1_M_SD_003"
"Guarea_guidonia"	1.05437360625322	0.0383940625499547	0.0104018426111011	0.0255420214610782	0.0411582659571357	0.0149009363792357	0.0242290525471129	0.0153787830912735	0.00780548347755111	0.00823080526716462	0.0397030034945584	0.000940848760380446	0.00585370820341492	0.00646487233907497	0.00663245085334192	0.00663245085334192	0.000611164135660058	0.00858422612747811	0.00585370820341492	0.000778742649927002	0.000721586690580179	0.000778742649927002	0.000778742649927002	0.00780548347755111	0.000778742649927002	0.163903829695618	0.0202473088981021	0.156109669551022	0.0070141417859402	0.00940848760380445	0.00787781348379176	0.138706877270904	0.00366698481396035	0.140772813550168	0.00432952014348107	0.00248348939653928	0.00293987613979541	0.00174518466136158	0.00174518466136158	0.00174518466136158	0.00397030034945584
"Cecropia_schreberiana"	0.0139614772908926	1.1248144967133	0.0191386440310457	0.0218712176359423	0.0246309985026148	0.00648099073651994	0.0126010191510789	0.0146598537363993	0.00330473570371885	0.0131206633599872	0.013384817023678	0.00596749743074579	0.00263617247142443	0.0125003581450706	0.00538762060193469	0.00538762060193469	0.00986418567364621	0.00605618383422911	0.00263617247142443	0.00275144813051026	0.000618079991981721	0.00275144813051026	0.00275144813051026	0.00330473570371885	0.00275144813051026	0.073812829199884	0.0715376513932667	0.0660947140743771	0.0569197021285667	0.0596749743074578	0.0556211909091804	0.00484302339963044	0.0591851140418773	0.0577071883931541	0.00370847995189033	0.00108016512275332	0.00175935703590106	0.0511279316687865	0.0511279316687865	0.0511279316687865	0.0013384817023678
"Schefflera_morototoni"	0.0104018426111011	0.0526312710853758	1.04599045085028	0.00878308656257729	0.0299165447355449	0.00942567750079118	0.00784523449978699	0.0295403364462022	0.00778441409485096	0.0253536365351711	0.0255921373291214	0.0146729360683003	0.000855790280874296	0.00135222419975035	0.00708298628305094	0.00708298628305094	0.000496433918876055	0.0140116100970276	0.000855790280874296	0.00622719600217665	0.000964745567170057	0.00622719600217665	0.00622719600217665	0.00778441409485096	0.00622719600217665	0.0239621278644803	0.161907096056593	0.155688281897019	0.138447237479601	0.146729360683003	0.0056271123767418	0.0059963401118387	0.00297860351325633	0.00609798573388834	0.00578847340302034	0.00157094625013187	0.00213689605253893	0.00239233050388072	0.00239233050388072	0.00239233050388072	0.00255921373291214
"Miconia_prasina"	0.0255420214610782	0.0601458484988414	0.00878308656257728	1.0527848722175	0.0334545600389324	0.0072530867862805	0.0299979351069943	0.0136474202653012	0.000789017833012333	0.0139287308586669	0.00884472503828705	0.000676019795979611	0.00585964505441146	0.00665941904833444	0.0121823826363092	0.0121823826363092	0.000799773993922982	0.0071117554149101	0.00585964505441146	0.00632273758189776	0.000751036870670123	0.00632273758189776	0.00632273758189776	0.000789017833012333	0.00632273758189776	0.164070061523521	0.164391177129342	0.0157803566602467	0.00796249081350063	0.00676019795979611	0.136721622663033	0.00646683661781579	0.00479864396353789	0.142524419765481	0.00450622122402074	0.00120884779771342	0.00238961143135231	0.00273390220449279	0.00273390220449279	0.00273390220449279	0.000884472503828706
"Cupania_americana"	0.0235190091183633	0.0387058547898233	0.0170951684203114	0.0191168914508185	1.1014434688769	0.00928435543891029	0.00531297445774176	0.00996503612559244	0.00484918921088506	0.030096250477597	0.024549349026662	0.000799665000716341	0.00366146994144937	0.00417094127883288	0.00431618191399105	0.00431618191399105	0.000509471337383505	0.00550390118342673	0.00366146994144937	0.000654711972541673	0.0149884663274376	0.000654711972541673	0.000654711972541673	0.00484918921088506	0.000654711972541673	0.102521158360582	0.0170225112860835	0.0969837842177011	0.0863328178893466	0.00799665000716341	0.0828235019584604	0.0840693445336687	0.00305682802430103	0.00797434035000574	0.0899307979646254	0.00154739257315172	0.078674533491207	0.00175935703590106	0.00175935703590106	0.00175935703590106	0.0024549349026662
"Alchornea_latifolia"	0.0198679151723142	0.0237636327005731	0.0125675700010549	0.00967078238170733	0.021663496024124	1.11061455580926	0.00903138146610426	0.0194804375304085	0.0104785706601106	0.00941386511573511	0.0208825269226398	0.000755201974363182	0.00758477216504152	0.00815169752961556	0.00824666489593467	0.00824666489593467	0.000566925364574039	0.0111404633910038	0.00758477216504152	0.000661892730893147	0.000495295584112473	0.000661892730893147	0.000661892730893147	0.0104785706601106	0.000661892730893147	0.212373620621163	0.0172092110032218	0.209571413202212	0.00537523708550379	0.00755201974363181	0.00383640549361845	0.00611913466195497	0.00340155218744423	0.00627773256135673	0.00297177350467484	0.18510242596821	0.00154739257315171	0.00108016512275332	0.00108016512275332	0.00108016512275332	0.00208825269226398
"Myrcia_sp1_M_SD_003"	0.0323054033961505	0.0462037368872895	0.0104603126663826	0.0399972468093257	0.0123969404013974	0.00903138146610426	1.03866635990055	0.0171334406279768	0.000803608701027104	0.0169842621255489	0.0104935530763653	0.000694604666099433	0.0074751576429018	0.00823114988466154	0.0156352272608502	0.0156352272608502	0.000755992241759734	0.00896367831897552	0.0074751576429018	0.00816006961794842	0.000547005183391014	0.00816006961794842	0.00816006961794842	0.000803608701027104	0.00816006961794842	0.20930441400125	0.212161810066659	0.0160721740205421	0.00641623745046156	0.00694604666099433	0.00798532145263584	0.00597302647511231	0.00453595345055841	0.184249061117623	0.00328203110034608	0.00150523024435071	0.000885495742956961	0.00210016985851316	0.00210016985851316	0.00210016985851316	0.00104935530763653
"Byrsonima_coriacea"	0.0153787830912735	0.0403145977750981	0.0295403364462022	0.0136474202653012	0.0174388132197868	0.0146103281478063	0.0128500804709826	1.03414258120286	0.00773344382119377	0.0134899560473277	0.0304608842125857	0.0145093615625728	0.00565935698096205	0.00627789430711261	0.0118997758190927	0.0118997758190927	0.000618537326150558	0.0139738626593244	0.00565935698096205	0.00624041883813066	0.000533068003930004	0.00624041883813066	0.00624041883813066	0.00773344382119377	0.00624041883813066	0.158461995466937	0.162250889791397	0.154668876423875	0.00845689779444021	0.145093615625727	0.00478403876591162	0.00621406582336681	0.00371122395690335	0.00760243721511884	0.00319840802358002	0.00243505469130106	0.00124562951569906	0.00183248171704992	0.00183248171704992	0.00183248171704992	0.00304608842125857
"Clusia_rosea"	0.0312219339102044	0.0363520927409074	0.0311376563794038	0.00315607133204933	0.0339443244761954	0.0314357119803318	0.00241082610308131	0.0309337752847751	1.02797418431345	0.003175674137383	0.033442840819424	0.00134269272545518	0.000841885001858771	0.00119671149753956	0.00161689824587448	0.00161689824587448	0.000354826495680785	0.0287491975574611	0.000841885001858771	0.000775013244015704	0.000513009795020982	0.000775013244015704	0.000775013244015704	0.0279741843134454	0.000775013244015704	0.0235727800520456	0.0201503443444083	0.559483686268908	0.00836612877190031	0.0134269272545518	0.00447147137380812	0.00967162042616048	0.00212895897408471	0.0063514228576547	0.00307805877012589	0.00523928533005531	0.00242459460544253	0.00165236785185943	0.00165236785185943	0.00165236785185943	0.0033442840819424
"Henriettea_fascicularis"	0.00823080526716462	0.0360818242399649	0.0253536365351711	0.0139287308586669	0.0526684383357947	0.00706039883680134	0.0127381965941617	0.0134899560473277	0.000793918534345749	1.05410427974344	0.00861962756419465	0.000774473131497919	0.00567811373272214	0.00626089684761337	0.0119215643814841	0.0119215643814841	0.000582783114891227	0.00703736918310768	0.00567811373272214	0.00624345064876193	0.0246409211413871	0.00624345064876193	0.00624345064876193	0.000793918534345749	0.00624345064876193	0.15898718451622	0.16232971686781	0.015878370686915	0.140334353764524	0.00774473131497918	0.00714320558703139	0.00565284472451466	0.00349669868934736	0.00653305770142096	0.147845526848323	0.00117673313946689	0.00376203130969962	0.00164008291999841	0.00164008291999841	0.00164008291999841	0.000861962756419465
