"Ficus_sp1_M_SD_017"	"Pseudospondias_longifolia"	"Elaeis_guineensis"	"Tetrapleura_tetraptera"	"Berlinia_bracteosa"	"Pycnanthus_angolensis"	"Unidentified_sp1_M_SD_017"	"Xylopia_sp1_M_SD_017"	"Detarium_macrocarpum"	"Duboscia_macrocarpa"	"Pentadesma_butyracea"	"Milicia_excelsa"	"Ongokea_gore"	"Pentaclethra_sp1_M_SD_017"	"Unidentified_sp2_M_SD_017"	"Marantochloa_sp1_M_SD_017"	"Mandrillus_sphinx"	"Cercocebus_albigena"	"Cercopithecus_nictitans"	"Cercopithecus_cephus"	"Gorilla_gorilla"	"Cercopithecus_pogonias"	"Pan_troglodytes"	"Colobus_satanas"
"Ficus_sp1_M_SD_017"	1.0354896591401	0.0354896591400993	0.0303257109105818	0.0248702802082438	0.0207514979703696	0.0262069286727075	0.0248197837668553	0.0239513305500671	0.0184454034063406	0.0200277601739945	0.0152455708266431	0.0139531447877549	0.00940838124213905	0.00940838124213905	0.0156571108279064	0.00928273046739178	0.0988507737089815	0.0961542856139379	0.0972080386672841	0.0948825145359916	0.0929510681313159	0.0881891643801831	0.089241325047205	0.00918949658176736
"Pseudospondias_longifolia"	0.0354896591400993	1.0354896591401	0.0303257109105818	0.0248702802082438	0.0207514979703696	0.0262069286727075	0.0248197837668553	0.0239513305500671	0.0184454034063406	0.0200277601739945	0.0152455708266431	0.0139531447877549	0.00940838124213905	0.00940838124213905	0.0156571108279064	0.00928273046739178	0.0988507737089815	0.0961542856139379	0.0972080386672841	0.0948825145359916	0.0929510681313159	0.0881891643801831	0.089241325047205	0.00918949658176736
"Elaeis_guineensis"	0.0353799960623454	0.0353799960623454	1.03435263790212	0.0281200429048291	0.0235416257116776	0.0297742207089651	0.023156649345218	0.0271454259947259	0.0159494374378274	0.0177763480878593	0.0123456371547791	0.0109597634858071	0.010516394930343	0.010516394930343	0.0128129872607709	0.00560577535338028	0.109882012635636	0.109193938195944	0.109318978966778	0.107492351719144	0.0184924468841184	0.101639802460546	0.100900966703469	0.00974616910103192
"Tetrapleura_tetraptera"	0.0290153269096178	0.0290153269096178	0.0281200429048291	1.03707169846483	0.0325033880171136	0.0235517324571092	0.0167395912508074	0.027190561414689	0.0158101097606672	0.0114376977916209	0.0211229363630919	0.010910112000505	0.0194940693468367	0.0194940693468367	0.00639307594264882	0.00546359445250866	0.109639450745279	0.110981680677386	0.109344535228372	0.107526183228288	0.0161151120861967	0.101235593337737	0.0130127408619621	0.0988113705014462
"Berlinia_bracteosa"	0.0290520971585175	0.0290520971585175	0.0282499508540132	0.0390040656205364	1.03801238974461	0.0272582749780851	0.0147187714133304	0.027377900630664	0.0138467211899813	0.00849779404166223	0.0244812103039255	0.0124228406479159	0.0184497625036811	0.0184497625036811	0.00266587240378149	0.00179382218043236	0.0238002210222733	0.128302276033376	0.127352999521679	0.12528252608036	0.0144386334810774	0.119019657502289	0.0122087031268879	0.116261649898723
"Pycnanthus_angolensis"	0.0366897001417905	0.0366897001417905	0.0357290648507581	0.028262078948531	0.0272582749780851	1.03472526088031	0.0224192411266232	0.0273237381267084	0.0140139144025734	0.0161041743971483	0.0139484512539502	0.0124824224302784	0.00767655320388875	0.00767655320388875	0.010369765985528	0.00196443926147829	0.0240912952907011	0.126156985055646	0.127322332007767	0.125241928269387	0.0172914352385835	0.119504708449659	0.117674574136696	0.00938340821822612
"Unidentified_sp1_M_SD_017"	0.0347476972735974	0.0347476972735974	0.0277879792142616	0.0200875095009688	0.0147187714133304	0.0224192411266232	1.03270547009756	0.0192885617775861	0.024206052660888	0.0218275123136317	0.0196362622966322	0.0136695995720228	0.00716732454100314	0.00716732454100314	0.0208278735836497	0.0123284561469742	0.128849714103323	0.021992052059603	0.125625341219511	0.123347074624174	0.125274925068044	0.0145962382447276	0.118991844113457	0.00798947723382718
"Xylopia_sp1_M_SD_017"	0.033531862770094	0.033531862770094	0.0325745111936711	0.0326286736976268	0.027377900630664	0.0273237381267084	0.0192885617775861	1.03150245929703	0.0182165098809427	0.0130346007713657	0.014091951214579	0.0124795766217621	0.0121314116988986	0.0121314116988986	0.00728017654002898	0.00620812464338558	0.126018553607106	0.126597333089409	0.126891617908054	0.124811688471094	0.0172323283756112	0.118844274656395	0.0150087265530077	0.0112621440059905
"Detarium_macrocarpum"	0.0322794559610961	0.0322794559610961	0.0239241561567411	0.0237151646410008	0.0173084014874766	0.0175173930032168	0.03025756582611	0.0227706373511784	1.02910404702055	0.0169131192244578	0.0236418111568455	0.0162468250135204	0.00834882790436256	0.00834882790436256	0.015915581763442	0.0147620629578793	0.153762315684582	0.021945824142349	0.151667730459289	0.148959926290369	0.150395396478391	0.0143409374355842	0.0161492632778771	0.00944527289822426
"Duboscia_macrocarpa"	0.0350485803044904	0.0350485803044904	0.0266645221317889	0.0171565466874314	0.0106222425520778	0.0201302179964354	0.0272843903920396	0.0162932509642072	0.0169131192244578	1.03209930432168	0.0112421108123284	0.0162079304489721	0.014207270704621	0.014207270704621	0.0252896334756368	0.014918362308055	0.156823299248486	0.149812758612951	0.0223124314650033	0.0196111097235079	0.150913047108626	0.0133632669297057	0.145197796346145	0.00863295723224178
"Pentadesma_butyracea"	0.0266797489466255	0.0266797489466255	0.0185184557321686	0.0316844045446378	0.0306015128799069	0.0174355640674377	0.0245453278707903	0.0176149390182238	0.0236418111568455	0.0112421108123284	1.03662838501853	0.0161759050462128	0.0162467664103408	0.0162467664103408	0.0101477015931326	0.0092441848791878	0.0259893999535421	0.0240770028223083	0.152244457476321	0.149548473301952	0.146903277860224	0.0145601659929515	0.0126492339952275	0.14069465526414
"Milicia_excelsa"	0.0325573378380948	0.0325573378380948	0.0219195269716141	0.0218202240010099	0.0207047344131932	0.0208040373837974	0.0227826659533713	0.0207992943696034	0.0216624333513606	0.0216105739319628	0.0215678733949503	1.02817354018592	0.010873460094878	0.010873460094878	0.0128735330563081	0.0117533004542974	0.0267717501076016	0.192214899264404	0.193571145763242	0.022208889065589	0.191480595596652	0.0145268341269631	0.0156832564281497	0.0102092963140649
"Ongokea_gore"	0.0219528895649911	0.0219528895649911	0.0210327898606861	0.0389881386936733	0.0307496041728019	0.0127942553398146	0.0119455409016719	0.0202190194981643	0.0111317705391501	0.0189430276061613	0.0216623552137877	0.010873460094878	1.03597827673484	0.0359782767348436	0.00997240458769836	0.00915863422517654	0.197724828500916	0.197353706406185	0.0216202221864184	0.0198079788372721	0.0165617946774911	0.0145141590279877	0.0113927850753054	0.187691191955091
"Pentaclethra_sp1_M_SD_017"	0.0219528895649911	0.0219528895649911	0.0210327898606861	0.0389881386936733	0.0307496041728019	0.0127942553398146	0.0119455409016719	0.0202190194981643	0.0111317705391501	0.0189430276061613	0.0216623552137877	0.010873460094878	0.0359782767348436	1.03597827673484	0.00997240458769836	0.00915863422517654	0.197724828500916	0.197353706406185	0.0216202221864184	0.0198079788372721	0.0165617946774911	0.0145141590279877	0.0113927850753054	0.187691191955091
"Unidentified_sp2_M_SD_017"	0.0365332585984483	0.0365332585984483	0.0256259745215419	0.0127861518852976	0.00444312067296915	0.0172829433092134	0.0347131226394162	0.012133627566715	0.0212207756845893	0.033719511300849	0.0135302687908435	0.0128735330563081	0.00997240458769836	0.00997240458769836	1.03274266224406	0.0192503152892349	0.200232749095883	0.0214906792493188	0.0217667982975172	0.0196212094547992	0.196331113384316	0.0118060166314285	0.188892857367577	0.00652524318582661
"Marantochloa_sp1_M_SD_017"	0.0324895566358712	0.0324895566358712	0.0168173260601408	0.016390783357526	0.00448455545108089	0.00491109815369574	0.0308211403674356	0.0155203116084639	0.0295241259157587	0.02983672461611	0.0184883697583756	0.0176299506814461	0.0137379513377648	0.0137379513377648	0.0288754729338524	1.02757845848218	0.285749469754683	0.0211475370096686	0.0219223053160769	0.0189839802025025	0.282100150363147	0.00990030420649218	0.0181582023234766	0.00870471749062048
"Mandrillus_sphinx"	0.0576629513302392	0.0576629513302392	0.0549410063178178	0.0548197253726395	0.00991675875928054	0.0100380397044588	0.0536873808763846	0.0525077306696273	0.0512541052281942	0.0522744330828286	0.00866313331784737	0.00669293752690039	0.0494312071252289	0.0494312071252289	0.0500581872739709	0.0476249116257804	1.07767119872062	0.0487574077948698	0.0386044275236669	0.0374889379358502	0.048995010223586	0.0246305450299566	0.0340658590746663	0.0231199470301219
"Cercocebus_albigena"	0.0611890908452332	0.0611890908452332	0.0595603299250603	0.0605354621876651	0.0583192163788074	0.0573440841162026	0.00999638729981956	0.0575442423133677	0.0079802996881269	0.054477366768346	0.00875527375356665	0.0524222452539284	0.0538237381107778	0.0538237381107778	0.0058610943407233	0.00384500672903065	0.0531898994125853	1.0695579934077	0.0478986619349228	0.039161621059268	0.0293176965631127	0.0360700356490744	0.0282252265636972	0.0299121987429746
"Cercopithecus_nictitans"	0.0618596609700899	0.0618596609700899	0.059628533981879	0.0596424737609301	0.0578877270553089	0.0578737872762577	0.0571024278270505	0.0576780081400246	0.0551519019851961	0.00811361144181938	0.0553616209004804	0.0527921306627024	0.00589642423265958	0.00589642423265958	0.00593639953568652	0.00398587369383216	0.0421139209349094	0.0478986619349228	1.06444341890389	0.0556447304601064	0.0401602857877968	0.0361202973166918	0.0273073617859611	0.019644656209055
"Cercopithecus_cephus"	0.0664177601751941	0.0664177601751941	0.0644954110314861	0.0645157099369726	0.0626412630401801	0.0626209641346936	0.061673537312087	0.0624058442355469	0.0595839705161477	0.00784444388940317	0.0598193893207809	0.00666266671967671	0.00594239365118163	0.00594239365118163	0.00588636283643977	0.0037967960405005	0.0449867255230203	0.0430777831651948	0.061209203506117	1.06009875905284	0.0346022845867439	0.0390059853420128	0.0292539351431497	0.0210986570142572
"Gorilla_gorilla"	0.0722952752132457	0.0722952752132457	0.0123282979227456	0.0107434080574645	0.00802146304504301	0.00960635291032415	0.0695971805933576	0.00957351576422845	0.0668423984348405	0.0670724653816116	0.065290345715655	0.0638268651988839	0.00552059822583037	0.00552059822583037	0.0654437044614387	0.0626889223029215	0.0653266802981147	0.0358327402438044	0.0490847937406405	0.0384469828741599	1.079405591229	0.0149706717960122	0.0385669502192399	0.01169892293236
"Cercopithecus_pogonias"	0.0881891643801831	0.0881891643801831	0.0871198306804679	0.0867733657180603	0.0850140410730634	0.0853605060354711	0.0104258844605197	0.0848887676117106	0.00819482139176238	0.00763615253126039	0.00832009485311514	0.00622578605441274	0.00622035386913759	0.00622035386913759	0.00505972141346936	0.00282865834471205	0.0422237914799255	0.0566814845914026	0.0567604672119442	0.0557228362028754	0.0192480065948728	1.05261588322621	0.0312348829626024	0.0188459810634966
"Pan_troglodytes"	0.089241325047205	0.089241325047205	0.0864865428886879	0.0111537778816818	0.00872050223349138	0.0840532672404974	0.084994174366755	0.0107205189664341	0.00922815044450122	0.0829701693406541	0.00722813371155855	0.00672139561206416	0.00488262217513088	0.00488262217513088	0.0809540817289614	0.00518805780670759	0.0583986155565708	0.0443539274572385	0.042911568520796	0.0417913359187853	0.0495860788533085	0.0312348829626024	1.06072433491155	0.00433258915247774
"Colobus_satanas"	0.0128652952144743	0.0128652952144743	0.0116954029212383	0.118573644601735	0.116261649898723	0.00938340821822612	0.00798947723382718	0.0112621440059905	0.00755621831857941	0.00690636578579342	0.112555724211312	0.00612557778843896	0.112614715173055	0.112614715173055	0.00391514591149596	0.00348188699624819	0.0554878728722926	0.0658068372345441	0.0432182436599209	0.0421973140285144	0.021058061278248	0.0263843734888953	0.00606562481346883	1.07311500595745
