"Crataegus_monogyna"	"Prunus_mahaleb"	"Berberis_vulgaris"	"Juniperus_phoenicea"	"Lonicera_arborea"	"Rosa_canina"	"Taxus_baccata"	"Hedera_helix"	"Juniperus_communis"	"Juniperus_sabina"	"Sorbus_aria"	"Daphne_laureola"	"Amelanchier_ovalis"	"Rhamnus_myrtifolius"	"Rhamnus_saxatilis"	"Lonicera_splendida"	"Juniperus_oxycedrus"	"Paeonia_officinalis"	"Turdus_merula"	"Turdus_viscivorus"	"Turdus_iliacus"	"Turdus_torquatus"	"Phoenicurus_ochruros"	"Erithacus_rubecula"	"Fringilla_coelebs"	"Parus_ater"	"Sylvia_atricapilla"	"Coccothraustes_coccothraustes"	"Columba_palumbus"	"Corvus_corone"	"Parus_major"	"Turdus_pilaris"	"Garrulus_glandarius"	"Parus_caeruleus"	"Phoenicurus_phoenicurus"	"Sitta_europaea"	"Emberiza_cia"	"Loxia_curvirostra"	"Parus_cristatus"	"Pica_pica"	"Turdus_philomelos"	"Corvus_corax"	"Dendrocopos_major"	"Ficedula_hypoleuca"	"Sylvia_borin"	"Sylvia_cantillans"
"Crataegus_monogyna"	1.09044424243144	0.0479177707825428	0.0350133026743993	0.023566274879847	0.0172631166720462	0.0263663624400968	0.0151106507647905	0.0117595432031019	0.00945697753652553	0.00948789262972905	0.0171215085002003	0.0099294833151364	0.00522586576838455	0.00242442241801614	0.00438338788422068	0.00480853816243625	0.00155482813408354	0.00149916513633812	0.035979963272115	0.037315875218005	0.0343589306787497	0.0353405168813997	0.00719747712530017	0.0310183864193271	0.0314735924206886	0.0307250930172162	0.0302714578800795	0.0298823187798175	0.029180118880964	0.0294892698129992	0.0294314905084294	0.0289904339329687	0.027290005454512	0.0272312430567014	0.00285248976808052	0.0276929188112072	0.0264949745416436	0.0264307213441296	0.0259807679611872	0.0260332987871379	0.0264307213441297	0.0247828236916236	0.00119794426956357	0.00119794426956357	0.00119794426956357	0.00119794426956357
"Prunus_mahaleb"	0.0527095478607972	1.11155194993146	0.0315723573560929	0.0190794688383015	0.0175572798504885	0.00857751240955201	0.0150590951386623	0.011514495657272	0.00723907512598862	0.0072579024739808	0.0103896670631187	0.0109565988444727	0.00746447340774356	0.00885766399763166	0.00511576892710088	0.00526819782401573	0.00157183483191003	0.00159044379474521	0.0381706510738851	0.0377240359658407	0.00896298124980418	0.00914931980159925	0.0352284291861456	0.034521802566672	0.0345988199323598	0.0335622425175947	0.0332817704763559	0.0315240014806302	0.0317118144676321	0.0319000879475539	0.0324593065008364	0.00392159347746635	0.0300467135088668	0.0301143272091391	0.0303926602725141	0.0300257097241619	0.00223691097587545	0.00173403879516057	0.02898674301785	0.0023255284608526	0.00173403879516057	0.00119794426956357	0.0277887987482865	0.0277887987482865	0.0277887987482865	0.0277887987482865
"Berberis_vulgaris"	0.0550209042026274	0.0451033676515613	1.05928540589468	0.0201383033219302	0.0238465669798534	0.0158627529679486	0.0163496077069104	0.0189800050905234	0.00958951818775815	0.0133076768905272	0.0059582598524397	0.0145816977998242	0.00673991851993091	0.0119151886660153	0.00864029973815216	0.00379234182755845	0.00208118372409055	0.00214033431100226	0.0513680234640543	0.0499484093781732	0.0486244572959536	0.0477802333248389	0.047210814725398	0.0456176133422394	0.0456610025337482	0.00637009975891721	0.0447129170768587	0.0055101264579781	0.00547765621625713	0.0426592432439478	0.0433572024275356	0.0411923134241029	0.00349685391579941	0.040209680925899	0.0409450706080539	0.00297388527204726	0.00184630108075823	0.00224189715601105	0.00237805928680329	0.0390820967346099	0.00224189715601105	0.00125047509551426	0.00112758419128903	0.00112758419128903	0.00112758419128903	0.00112758419128903
"Juniperus_phoenicea"	0.0576064497062925	0.0423988196406699	0.0313262496118914	1.05039112980438	0.0153749677156528	0.0290140692143971	0.0269809456477363	0.0145486020476864	0.0196432965609125	0.0195859718665704	0.00803403113994272	0.00179207226586005	0.0012850011848105	0.00399165792250134	0.00445735080356514	0.000784133425761061	0.00306223125529849	0.00305635351940158	0.073352484465638	0.0734935501271639	0.0708419526950978	0.0709024640084979	0.0073807599417834	0.00635537941428299	0.00580139573665132	0.00443697619200302	0.00560536238021106	0.0642239591801351	0.0643749095103265	0.0638016625669049	0.00456617651966203	0.0625964742151309	0.0607242707512518	0.0034880026133377	0.00284404144042976	0.00317261109833585	0.0021126406073191	0.00312261681922465	0.00236920798434158	0.00242803212232095	0.00312261681922465	0.00130923749332483	0.00105997049101675	0.00105997049101675	0.00105997049101675	0.00105997049101675
"Lonicera_arborea"	0.0421987296427796	0.0390161774455301	0.0370946597464386	0.0153749677156528	1.03907151110041	0.014776416268435	0.0187741103310946	0.0273196733693974	0.0133687619840584	0.0133840576791054	0.0129563872691933	0.0172656436474214	0.0103542645254282	0.00779595745886394	0.00836590158606702	0.0102705209431276	0.00297271785237175	0.00297287476795578	0.0713489944309386	0.0713452284569219	0.0689821432986896	0.0688834650945979	0.0675705498386887	0.00971089078700295	0.0676627117436475	0.0652496412515474	0.0650950815078656	0.00488553925903658	0.00529888944066523	0.00545184639113504	0.0631436762671944	0.00406156220386344	0.00278863134656598	0.00325927575013267	0.00359953995594076	0.00323010520039348	0.00225470076425523	0.00188258805411309	0.00193446647347415	0.00228387131399442	0.00188258805411309	0.000959062037335901	0.000975404436138252	0.000975404436138252	0.000975404436138252	0.000975404436138252
"Rosa_canina"	0.0725074967102662	0.02144378102388	0.0277598176939101	0.0326408278661967	0.0166234683019894	1.06472245694057	0.0232858474890687	0.0158273952204749	0.0152491761659944	0.0152023131955327	0.00878893804974312	0.00170407373714879	0.00120176040425126	0.00414192446753159	0.00475412100748718	0.000767328842343888	0.00336031530124639	0.00335229091569806	0.0804549819767535	0.0806475672299134	0.0783447747499667	0.0784313150536932	0.00671990394751671	0.00583643582576664	0.00563430991314052	0.00437853761114907	0.00544247770255455	0.0719978905308553	0.0069776545886691	0.00650902488405293	0.00431194947252063	0.0709978525976883	0.00399737150400287	0.00317541423859984	0.00221783733068239	0.00306288598307736	0.00252679145748036	0.0681930512112916	0.00218399217810305	0.00263931971300284	0.0681930512112917	0.00164789765250605	0.000536094525597001	0.000536094525597001	0.000536094525597001	0.000536094525597001
"Taxus_baccata"	0.0415542896031738	0.0376477378466558	0.0286118134870933	0.0303535638537033	0.0211208741224814	0.0232858474890687	1.03838382814016	0.020138878841532	0.0215170987688258	0.0150648625287169	0.00857724733754274	0.00668295026068611	0.0103644763295096	0.00859621155240373	0.0138029768513253	0.000961450266730556	0.00332237946959504	0.00334684658413318	0.0803243180191963	0.0797371072702809	0.0785774954974503	0.0771347240893171	0.0749345172169983	0.0726697265054657	0.00659506419143323	0.00588449103668105	0.00635470162475059	0.0699262729487759	0.0706226173575916	0.00610025495650291	0.00491621027892688	0.00510794072553162	0.00357191822194932	0.0029074596006477	0.00339574585324892	0.00274333385272007	0.00180214040655368	0.0023997811408662	0.0018856091189658	0.00196626615448131	0.0023997811408662	0.000944415672799405	0.000941193446166394	0.000941193446166394	0.000941193446166394	0.000941193446166394
"Hedera_helix"	0.036958564352606	0.0328985590207772	0.0379600101810468	0.0187053454898825	0.0351252943320823	0.0180884516805428	0.0230158615331794	1.03384967664963	0.016610582366417	0.0166022210839422	0.00946913150534496	0.0138938341897446	0.00648320511976865	0.0095830426305441	0.0102094431068651	0.00647436660545086	0.00368903641038785	0.00371670707512074	0.0892009698028978	0.0885368738493085	0.0866245523692048	0.0858698916685952	0.0837937624958408	0.00897547465380674	0.0821712776372183	0.00725987557636612	0.0805526859858556	0.00527063678357623	0.00580116679018401	0.00571755396543591	0.00670628051088198	0.00436539611155619	0.00270161720771859	0.00301814599649267	0.00377535239659988	0.00260934449770406	0.00178688052218463	0.00197049560168406	0.00166243134716957	0.00219568202097324	0.00197049560168406	0.000839967371650138	0.000822463975519429	0.000822463975519429	0.000822463975519429	0.000822463975519429
"Juniperus_communis"	0.0416107011607123	0.0289563005039545	0.0268506509257228	0.0353579338096425	0.0240637715713052	0.024398681865591	0.0344273580301212	0.0232548153129838	1.03266327809411	0.0224417873811661	0.01230313631547	0.00179566444492696	0.00142299081884899	0.00603679559663842	0.00689316915596102	0.000822581041274272	0.00502162846164775	0.00501208884326021	0.120290132238245	0.120519083079546	0.11720290923057	0.117284361336124	0.00922466290521287	0.00639075167999401	0.00605659483600921	0.00467960549299766	0.00585094957569065	0.00731056241582468	0.109051972608636	0.0068370654792351	0.00418989133904894	0.00539389684511906	0.00363393492234267	0.00262855708502723	0.00268899193081441	0.00289991889779842	0.00217601138519956	0.00247061537025199	0.00166960526625142	0.00190464957242837	0.00247061537025199	0.000945697753652554	0.000723907512598862	0.000723907512598862	0.000723907512598862	0.000723907512598862
"Juniperus_sabina"	0.0417467275708078	0.0290316098959232	0.0372614952934762	0.0352547493598266	0.0240913038223897	0.0243237011128524	0.024103780045947	0.0232431095175191	0.0224417873811661	1.0325250481323	0.0122766818964286	0.00187544977360513	0.00138637912380274	0.00607032061798803	0.0068410209022926	0.000851175905525059	0.00500909113088508	0.00499990185060232	0.119997644414456	0.120218187141242	0.116900353289141	0.116987851328402	0.00894462550630782	0.00611749801167859	0.00645120027381037	0.00468451063160611	0.00623840629742911	0.00665989426945298	0.00738384168801632	0.10821644919931	0.00457818418903489	0.00575838545823594	0.00363317669702802	0.00300534719942371	0.00306827803944881	0.00290224770001384	0.00217645745261576	0.00246902058252618	0.00167457951037099	0.00227955695202563	0.00246902058252618	0.000948789262972906	0.000725790247398081	0.00072579024739808	0.000725790247398081	0.000725790247398081
"Sorbus_aria"	0.0753346374008814	0.0415586682524749	0.0166831275868312	0.0144612560518969	0.023321497084548	0.014062300879589	0.0137235957400684	0.0132567841074829	0.01230313631547	0.0122766818964286	1.06565478680959	0.00203533289701955	0.0104663585926956	0.00119652832597302	0.00138027439968849	0.0101741160201597	0.00498523308825114	0.000459017884281046	0.0110164292227451	0.119645594118027	0.00977857791991196	0.11611401086759	0.00690892952249014	0.00643352371952161	0.00838744103619707	0.114900157068033	0.00584391203115715	0.00529113920905477	0.00564255903562745	0.00537801484521301	0.00489699888062265	0.00399027375423259	0.00355452067032618	0.00334694354157588	0.00183421407921801	0.109316596237291	0.108277629530979	0.00259104465499434	0.0027511175563319	0.002307976835264	0.00259104465499435	0.00171215085002003	0.00103896670631187	0.00103896670631187	0.00103896670631187	0.00103896670631187
"Daphne_laureola"	0.0546121582332502	0.0547829942223635	0.0510359422993848	0.00403216259818512	0.0388476982066981	0.00340814747429757	0.0133659005213722	0.0243142098320531	0.0022445805561587	0.00234431221700641	0.00254416612127444	1.04541668707417	0.0115396172260543	0.00177308876707494	0.0112613552963566	0.0109307680716143	0.000438897878594925	0.00044064673741982	0.0105755216980757	0.0105335490862782	0.010567001228687	0.00894452529142165	0.0120182674743496	0.139746089248855	0.14173818512675	0.00967934389358555	0.139005493108847	0.00388314730291301	0.00389459614138528	0.00489191274986231	0.137268763835129	0.00350091588974618	0.00283476930318364	0.00443347249492917	0.00348780187504961	0.00286517688207858	0.00149560202651949	0.00145419463153565	0.00261076026995114	0.00306389763937008	0.00145419463153565	0.00124118541439205	0.00136957485555909	0.00136957485555909	0.00136957485555909	0.00136957485555909
