"Philodendron_apendiculatum"	"Cecropia_glaziovi"	"Cecropia_pachystachia"	"Cucurbitaceae"	"Vismia_sp."	"Ficus_luschnatiana"	"Ficus_sp."	"Piper_aduncun"	"Piper_dilatatum"	"Piper_sp."	"Rubus_brasiliensis"	"Aureliana_sp."	"Solanum_cinnamomeum"	"Solanum_megalochiton"	"Solanum_cf._paranaense"	"Solanum_rufescens"	"Solanum_santaecatharinae"	"Solanum_scuticum"	"Solanum_subsylvestris"	"Solanum_swartzianum"	"Solanum_variabile"	"Solanum_sp."	"Vassobia_breviflora"	"Unknown_family"	"Artibeus_fimbriatus"	"Artibeus_lituratus"	"Artibeus_jamaicensis"	"Carollia_perspicillata"	"Sturnira_lilium"	"Sturnira_tildae"
"Philodendron_apendiculatum"	1.01584018094399	0.0194177476185965	0.00236395744844055	0.01723579259639	0.0158401809439936	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	0.0158401809439936	0.00118191920084618	0.0184549997157512	0.0158401809439936	0.0158401809439936	0.0182414263109493	0.0158401809439936	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Cecropia_glaziovi"	0.00485443690464912	1.09886213444852	0.0253288141408337	0.0143138790468724	0.00485443690464912	0.0253288141408337	0.0301832510454828	0.000571457417739885	0.000571457417739885	0.0148853364646123	0.005425894322389	0.00485443690464912	0.00485443690464912	0.000571457417739885	0.00654811103138473	0.00485443690464912	0.00485443690464912	0.0218460256122553	0.00485443690464912	0.00485443690464912	0.005425894322389	0.016007553173608	0.0143138790468724	0.0143138790468724	0.170269958560019	0.158693719986104	0.137357766806064	0.00914331868383816	0.184468602376667	0.00673330025397433
"Cecropia_pachystachia"	0.00118197872422028	0.0506576282816674	1.04630954778984	0.0182206269146908	0.00118197872422028	0.0463095477898429	0.0474915265140632	0.000480523057839195	0.000480523057839195	0.0187011499725299	0.00166250178205947	0.00118197872422028	0.00118197872422028	0.000480523057839195	0.00305020832597074	0.00118197872422028	0.00118197872422028	0.031840584867504	0.00118197872422028	0.00118197872422028	0.00166250178205947	0.0200888565164412	0.0182206269146908	0.0182206269146908	0.306695667428469	0.292708995993724	0.00633220353520843	0.00768836892542713	0.0449151915203705	0.00832623926346761
"Cucurbitaceae"	0.00861789629819499	0.0286277580937448	0.0182206269146908	1.02492701173519	0.00861789629819499	0.0182206269146908	0.0268385232128857	0.000986787173627276	0.000986787173627276	0.0259137989088141	0.00960468347182227	0.00861789629819499	0.00861789629819499	0.000986787173627276	0.010794741830599	0.00861789629819499	0.00861789629819499	0.0117194661346707	0.00861789629819499	0.00861789629819499	0.00960468347182227	0.0271038572675908	0.0249270117351868	0.0249270117351868	0.293564077865852	0.0191151147769896	0.0035784697617181	0.0157885947780364	0.32748005933141	0.00714035015266047
"Vismia_sp."	0.0158401809439936	0.0194177476185965	0.00236395744844055	0.01723579259639	1.01584018094399	0.00236395744844055	0.0182041383924342	0.00118191920084618	0.00118191920084618	0.0184177117972362	0.0170221001448398	0.0158401809439936	0.0158401809439936	0.00118191920084618	0.0184549997157512	0.0158401809439936	0.0158401809439936	0.0182414263109493	0.0158401809439936	0.0158401809439936	0.0170221001448398	0.0198506113681476	0.01723579259639	0.01723579259639	0.0251210097431342	0.00968345796044208	0.00242721845232456	0.0189107072135389	0.601926875871759	0.00859739742546854
"Ficus_luschnatiana"	0.00118197872422028	0.0506576282816674	0.0463095477898429	0.0182206269146908	0.00118197872422028	1.04630954778984	0.0474915265140632	0.000480523057839195	0.000480523057839195	0.0187011499725299	0.00166250178205947	0.00118197872422028	0.00118197872422028	0.000480523057839195	0.00305020832597074	0.00118197872422028	0.00118197872422028	0.031840584867504	0.00118197872422028	0.00118197872422028	0.00166250178205947	0.0200888565164412	0.0182206269146908	0.0182206269146908	0.306695667428469	0.292708995993724	0.00633220353520843	0.00768836892542713	0.0449151915203705	0.00832623926346761
"Ficus_sp."	0.0060680461308114	0.0402443347273104	0.0316610176760421	0.0178923488085905	0.0060680461308114	0.0316610176760421	1.03772906380685	0.000714321772174857	0.000714321772174857	0.0186066705807654	0.00678236790298626	0.0060680461308114	0.0060680461308114	0.000714321772174857	0.00818513878923091	0.0060680461308114	0.0060680461308114	0.0273075320153191	0.0060680461308114	0.0060680461308114	0.00678236790298626	0.02000944146701	0.0178923488085905	0.0178923488085905	0.212837448200024	0.19836714998263	0.00503054184091381	0.0114291483547977	0.230585752970833	0.00841662531746792
"Piper_aduncun"	0.00118191920084618	0.00228582967095954	0.000961046115678391	0.00197357434725455	0.00118191920084618	0.000961046115678391	0.00214296531652457	1.03706839209886	0.0370683920988599	0.0390419664461144	0.0382503112997061	0.00118191920084618	0.00118191920084618	0.0370683920988599	0.0403219833690115	0.00118191920084618	0.00118191920084618	0.0034229822394217	0.00118191920084618	0.00118191920084618	0.0382503112997061	0.0411136385154199	0.00197357434725455	0.00197357434725455	0.0142497926353507	0.00169390969270018	0.000285728708869943	0.593094273581758	0.0449129296321548	0.012430032415833
"Piper_dilatatum"	0.00118191920084618	0.00228582967095954	0.000961046115678391	0.00197357434725455	0.00118191920084618	0.000961046115678391	0.00214296531652457	0.0370683920988599	1.03706839209886	0.0390419664461144	0.0382503112997061	0.00118191920084618	0.00118191920084618	0.0370683920988599	0.0403219833690115	0.00118191920084618	0.00118191920084618	0.0034229822394217	0.00118191920084618	0.00118191920084618	0.0382503112997061	0.0411136385154199	0.00197357434725455	0.00197357434725455	0.0142497926353507	0.00169390969270018	0.000285728708869943	0.593094273581758	0.0449129296321548	0.012430032415833
"Piper_sp."	0.00613923726574539	0.0198471152861497	0.01246743331502	0.0172758659392094	0.00613923726574539	0.01246743331502	0.0186066705807654	0.0130139888153715	0.0130139888153715	1.03028985475458	0.0191532260811169	0.00613923726574539	0.00613923726574539	0.0130139888153715	0.0206371556767365	0.00613923726574539	0.00613923726574539	0.00895397150292103	0.00613923726574539	0.00613923726574539	0.0191532260811169	0.0317737843502005	0.0172758659392094	0.0172758659392094	0.200459316122352	0.0133080464155598	0.00248088941076871	0.208223821045944	0.233291016098325	0.00890357757371799
