"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"	"C45"	"C46"
"R1"	1.01962846317027	0.020398615542573	0.0182776403124706	0.0139787498683815	0.0151423181244187	0.0184600237658153	0.0170600630824569	0.012874012840893	0.0160887048329122	0.0210892166092084	0.0189456446986737	0.0110867981125134	0.0117696715558415	0.0197754735019985	0.0178558608766819	0.0150490455544383	0.016721447788248	0.0187492319948816	0.00929313449144602	0.00344618539876775	0.0176430312104406	0	0.0396985030246754	0.0395442109632246	0.0392123133028158	0.0389448207674558	0.0383921384366146	0.0370871838651299	0.038592822859027	0.0382609251986182	0.0379512687580951	0.0381753617320133	0.0380930998144839	0.00569534880905621	0.00531912267019526	0.0363315625632009	0.00441950991678743	0.0363989777673193	0.0376015143052057	0.0366682211218255	0.037250669033008	0.00364266750724649	0.00346935191825878	0.00313745425785	0.00318352929582042	0.00312554540389383	0.00312554540389383	0.002772411948501	0.00277241194850101	0.0024355109890914	0.00238871187029928	0.00199709601668181	0.00149196569574469	0.00143955182161999	0.00183142709148103	0.000917981969538633	0.00069390784737978	0.000817024311913112	0.000524972792177895	0.000524972792177895	0.000524972792177894	0.000524972792177894	0.00035313345539283	0.000309656440523111	0.000376226138860956	0.000390608999893367	0.00025748025681786	0
"R2"	0.0120880684696729	1.02623641691013	0.0157026365786243	0.00914090649259713	0.0139568649646108	0.0120750822523467	0.0111602933885393	0.0172354592571107	0.0201122909874963	0.0217261576950501	0.0221312334972759	0.00809488433499085	0.0166185721611099	0.0229304915644112	0.0193287910742279	0.0140685823259826	0.0208249924570811	0.0172822241906699	0.0108932270363577	0.00225753244230451	0.0194686252527456	0	0.0263493750957722	0.0264366583852155	0.0260476145624884	0.025669919740645	0.025168942593013	0.0240389813291221	0.0254029126730379	0.0250138688503108	0.0246282208418464	0.0248950927941925	0.0248355638989165	0.0245839698565339	0.0242322552983844	0.00516947731698928	0.0234847615630483	0.0237845104589908	0.0241909971247269	0.0234002883635117	0.0237811594673699	0.0226447002740793	0.0224947575882236	0.0221057137654966	0.0220323089415917	0.0222851315263125	0.0222851315263125	0.0218756584626623	0.0218756584626623	0.0211688533139098	0.00264368271652564	0.00233860618988289	0.00152391710648514	0.00154943131063777	0.00148671866661784	0.00114019485096364	0.000689036527035363	0.00067138804249758	0.00072240400698562	0.00072240400698562	0.00072240400698562	0.00072240400698562	0.0004094730636502	0.000385648008464465	0.000351714558149566	0.000360046337305624	0.000344709185142213	0
"R3"	0.0146221122499765	0.0211985593811428	1.0240299613163	0.0108523038674601	0.0157332018326959	0.0136474157057337	0.0124892490942532	0.014219457359227	0.0161888478866374	0.01893327521228	0.018629597739532	0.00942302500321983	0.0141223858827924	0.0239850460561627	0.022265306603667	0.0150728646756115	0.0168195204532582	0.0194260842766453	0.0127418435244626	0.00119768875843741	0.0177355864538426	0	0.0329358815339276	0.0331585426088034	0.032703476768644	0.032382513453126	0.00646664832685822	0.00515469306979123	0.0321907661075155	0.0317357002673561	0.0314242276663698	0.031568592728292	0.0315376245680135	0.0311222430820502	0.03074542146516	0.0303181340012344	0.0298913348693029	0.0301123318984944	0.0310722961905733	0.0302751243120304	0.0307273036398413	0.02916156823594	0.0038141141834145	0.00335904834325512	0.0287274299043251	0.0032513385000808	0.0032513385000808	0.00282303410622076	0.00282303410622076	0.00259311252137826	0.00264131239929238	0.00209791178544968	0.00167369665409017	0.026777303128195	0.0015310842618225	0.000940854298902877	0.000683387354103387	0.000767134127682155	0.000605352462702547	0.000605352462702547	0.000605352462702547	0.000605352462702547	0.000428304393860047	0.000311472600986263	0.000376821616890287	0.000404710089096776	0.000284389147184539	0
"R4"	0.0186383331578421	0.0205670396083436	0.0180871731124335	1.01782955528643	0.017382280495682	0.018683886387858	0.0184926181491867	0.012489504832132	0.0152257336958744	0.0200576725819395	0.0187905293020883	0.0108048388379037	0.00954836236299245	0.018060404849312	0.0173893316173218	0.0154210294989935	0.0158306312753846	0.0200974145744542	0.00987932112522633	0.0028889914986191	0.0171686810833204	0	0.0501642538424478	0.0500915333803761	0.0497387004830466	0.049521692247524	0.0487833525116721	0.00560225867377372	0.0492091643236761	0.0488563314263466	0.0485631715879136	0.0488042144358992	0.0486902284606418	0.00564943851435636	0.00526391277688153	0.00492229331871582	0.00430514578685671	0.00497297420545247	0.0482321773771337	0.00547463980867915	0.0478842046122802	0.00360299961555713	0.00344462775781895	0.00309179486048944	0.00314168850708593	0.00296894977936367	0.00296894977936367	0.00264644254991167	0.00264644254991167	0.00243549864064966	0.00241025521372886	0.00192994987763589	0.00148900684592217	0.00138675439593301	0.00187897763050134	0.000890922699929174	0.000632578960057313	0.000834266861502552	0.000466798332165196	0.000466798332165196	0.000466798332165196	0.000466798332165196	0.000322507229452	0.000293159838433048	0.000385525737474839	0.000418696136967795	0.00024979009664264	0
"R5"	0.0151423181244187	0.0235522096277808	0.0196665022908698	0.0130367103717615	1.02155260213443	0.0151512494679848	0.014960256541099	0.00945380838474176	0.0153749740872817	0.0214423766892258	0.0182182838875728	0.00994828937830065	0.01095450785252	0.0217663849547901	0.0210432748316675	0.0149023858787989	0.0159572315344304	0.0188309137124822	0.0109366768939509	0.00135774513708916	0.0200846315521367	0	0.0392832261215354	0.0395351407785	0.0391445451751447	0.0388955790875874	0.00649548510059279	0.00516938252940396	0.0387144720086979	0.0383238764053425	0.0380283721176679	0.0380865280393585	0.0380012555598009	0.0373575191400158	0.0369849594930459	0.00509848608758897	0.00467881416179495	0.00496581609903053	0.0376941335505531	0.0368135616575153	0.0373567579230054	0.0352851005819809	0.00357489963745909	0.0031843040341037	0.00334840979995101	0.0031549199075262	0.0031549199075262	0.00276623446190495	0.00276623446190495	0.034111679545631	0.00241582359457893	0.00191743974262316	0.00159195735392768	0.00150782572958091	0.00164021569855577	0.000821956082917117	0.000631592602107297	0.000774937216893404	0.000438042255252107	0.000438042255252107	0.000438042255252107	0.000438042255252107	0.000388685445621252	0.000295504287674637	0.000372559646969972	0.000392310702343379	0.000189076167694835	0
"R6"	0.0184600237658153	0.020376701300835	0.0170592696321671	0.0140129147908935	0.0151512494679848	1.02246325213518	0.0210612534046556	0.0128353869168535	0.0148532904823964	0.0198642940366655	0.0177228863050645	0.00983124867911816	0.0104561881965931	0.018538142226197	0.0166351025652883	0.0191022114935297	0.0194727389877745	0.0175217689703048	0.00805111593935017	0.00345070722710329	0.0164135868095622	0	0.039772941249048	0.0395886230638061	0.0393010832088293	0.0390634425679977	0.0383954276750311	0.0371589795168857	0.0387161497354405	0.0384286098804638	0.0380680036029124	0.0381958242448201	0.0381105672664693	0.00551714972378717	0.00503959443644893	0.0047656473128703	0.00418799294137755	0.0364519669936573	0.0377451059837298	0.0368330329358673	0.0374169043854879	0.00349179348866491	0.00345349444037787	0.00316595458540108	0.00310591132703787	0.0030190775936088	0.0030190775936088	0.00268803933956956	0.00268803933956957	0.00233306490211559	0.00242221224677028	0.00207700677469039	0.00152019503170233	0.00136079236995732	0.0334921799742692	0.000945515614130385	0.000615765590028514	0.000743161802744869	0.000494348379168732	0.000494348379168732	0.000494348379168732	0.000494348379168732	0.000331038254039233	0.000360606277551379	0.000477555287338242	0.000365036853548017	0.000256707738337071	0
"R7"	0.0181974006212874	0.0200885280993708	0.0166523321256709	0.0147940945193494	0.0159576069771723	0.022465336964966	1.02226988987797	0.0120433461559042	0.0142437262599519	0.0195794424679592	0.0172525801668248	0.0103346141143768	0.00955574377317657	0.0181178589910905	0.0174413139687631	0.018823076134234	0.0191146965581244	0.0184075626270184	0.00841474046216129	0.00364366596965684	0.0159357764983024	0	0.0419451006914951	0.0417172462798452	0.041416719834768	0.0411995438399231	0.0405595402669609	0.0392591023288479	0.040861718203637	0.0405611917585598	0.0402072158963723	0.0403425994776924	0.0402501292494949	0.00551358520625141	0.00504300830289557	0.00474099207465618	0.00414684792661367	0.00508162426183539	0.0398975696733298	0.0389616568430454	0.0395780774480183	0.00347470395521203	0.00343747915372551	0.00313695270864833	0.00308784914117072	0.00292402850576735	0.00292402850576735	0.00260049530949787	0.00260049530949788	0.00234490720298205	0.00243228995479563	0.0020180913332849	0.00154096169537077	0.00134406913021189	0.0356022575416309	0.000914335010617144	0.000614661153090182	0.000780976046308143	0.000458042917963005	0.000458042917963005	0.000458042917963005	0.000458042917963005	0.000323533196269473	0.00035397586218749	0.00047057690335585	0.000383490888062884	0.000240866923118084	0
"R8"	0.00823936821817151	0.0186142959976795	0.0113755658873816	0.00599496231942336	0.00605043736623473	0.00821464762678627	0.0072260076935425	1.0594718754268	0.0179839160020594	0.0147006193610969	0.0242970243949536	0.00712731710075712	0.035940473329654	0.0191651383834383	0.0150105745601758	0.0128618300323951	0.0243843883561668	0.0128638101635634	0.00911046175195813	0.00241226433315269	0.0122883550279442	0	0.0276740531889093	0.0275645890150016	0.0272392153810031	0.0264223864416928	0.0268790421232201	0.0260358823475047	0.00528419498635694	0.00495882135235844	0.00450725860502202	0.0257712594075544	0.0261971336511678	0.00537030649154996	0.00504876074074008	0.00477245564472089	0.0045855569922469	0.0257046382643379	0.00411630390932507	0.00341656891647959	0.00366635901312223	0.00390779432989359	0.024396479380124	0.0240711057461255	0.0242052351273826	0.0245845153711886	0.0245845153711886	0.0242422807571986	0.0242422807571986	0.00178758305513792	0.0233185808852948	0.023145680212572	0.00124449671321108	0.0221287815730475	0.00127068315960145	0.0220909451520752	0.00109095652010867	0.000542123625872589	0.0220062664478463	0.0220062664478463	0.0220062664478463	0.0220062664478463	0.00034223461398997	0.000451562747336422	0.000321545750809877	0.000267996045074238	0.021189437508536	0
"R9"	0.0111921424924606	0.0236100807244522	0.0140772590318586	0.00794386105871706	0.0106956341476742	0.010332723813841	0.00928938669127297	0.0195477347848472	1.02555180965741	0.0204479115298302	0.0263549455087769	0.00924172733911805	0.0178720864361911	0.0230243187030157	0.0170789902004933	0.0138666452346334	0.0256708928837548	0.0158164223895621	0.0112708491755955	0.0025575664157684	0.0178903451140618	0	0.0295452471338766	0.0295449466625358	0.0291424163348359	0.0287362325521952	0.0285124109600995	0.0274493776218373	0.0283923571326936	0.0279898268049937	0.027514439899739	0.0280251359049175	0.00613671512978844	0.0278406994609446	0.0274940333300788	0.0270723254987338	0.0268043437114594	0.0271267651867681	0.00521983534196928	0.00440078658473057	0.00473178079551045	0.0259571147239664	0.0259318905247597	0.0255293601970599	0.00343195977371357	0.0257555155080339	0.0257555155080339	0.0253443669597657	0.0253443669597658	0.00239038188317137	0.00278891370160232	0.0244068153843142	0.00144313577476013	0.00150984701560515	0.00145459687834552	0.00135439614741049	0.000761634834145247	0.000684959851287084	0.00079713847833765	0.00079713847833765	0.00079713847833765	0.00079713847833765	0.000411148548268137	0.000475386905254719	0.000346666130865835	0.000329508799782543	0.000390954695696943	0
"R10"	0.0140594777394722	0.0244419274069314	0.0157777293435667	0.0100288362909698	0.0142949177928172	0.0132428626911103	0.0122371515424745	0.0153131451678093	0.0195959152160873	1.02469633077314	0.0217560600240144	0.00964999613203322	0.0167398392693917	0.0214341422287824	0.0174937963072252	0.0118974691201891	0.0202772884217551	0.0162670340648659	0.00943308302756078	0.0024748271068718	0.0222215036662666	0	0.0287157671921664	0.0288323794283132	0.0284954836059003	0.0281150327134141	0.027577171049547	0.0264835105053257	0.0277745119350849	0.0274376161126721	0.0270621107715285	0.0274072851782888	0.0273617379139035	0.026847145156295	0.0265497084282904	0.0260897226413098	0.0257318385498789	0.0261484898645307	0.026636112614657	0.0258153544354219	0.0262332226142123	0.00396273454282064	0.00368372041009872	0.00334682458768583	0.00325422103771427	0.0246034117644812	0.0246034117644811	0.0242206592246815	0.0242206592246815	0.0235234747409384	0.00242234142811402	0.00219084566962039	0.00138353990055631	0.0014479127664789	0.00149468657966136	0.00108465824494451	0.000751604589872068	0.000710050240403933	0.00068671379584236	0.000686713795842361	0.00068671379584236	0.00068671379584236	0.000382752539799686	0.000375505341143614	0.000297436728004728	0.000338896543018041	0.000306262903356186	0
