"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.01094253668033	0.0100237869079533	0.0111745725433102	0.0100237869079533	0.0111745725433102	0.0109425366803249	0.00979175104496799	0.00994400859862195	0.0109425366803249	0.00979175104496799	0.00979175104496799	0.00994400859862195	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0111745725433102	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0111745725433102	0.0109425366803249	0.0109425366803249	0.0109425366803249	0.00979175104496799	0.0109425366803249	0.0109425366803249	0.0111745725433102	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0599116849021754	0.0575392817678445	0.0604088853321066	0.0599116849021754	0.00603293243761901
"R2"	0.0100237869079533	1.01178760521565	0.0120252374108508	0.0117876052156496	0.0120252374108508	0.0100237869079533	0.00978615471275209	0.00902522481811329	0.0100237869079533	0.00978615471275209	0.00978615471275209	0.00902522481811329	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0120252374108508	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0120252374108508	0.0100237869079533	0.0100237869079533	0.0100237869079533	0.00978615471275209	0.0100237869079533	0.0100237869079533	0.0120252374108508	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0599137253904023	0.0118816097600622	0.0603649866313081	0.0599137253904023	0.0520377130753354
"R3"	0.010243358164701	0.0110231342932799	1.01209772588841	0.0110231342932799	0.0120977258884097	0.010243358164701	0.00916876656957128	0.00930835785978464	0.010243358164701	0.00916876656957128	0.00916876656957128	0.00930835785978464	0.0120977258884097	0.010243358164701	0.0120977258884097	0.010243358164701	0.0120977258884097	0.010243358164701	0.0120977258884097	0.0120977258884097	0.0120977258884097	0.010243358164701	0.0120977258884097	0.0120977258884097	0.010243358164701	0.010243358164701	0.010243358164701	0.00916876656957128	0.010243358164701	0.010243358164701	0.0120977258884097	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879733	0.0561000182949839	0.053729579756488	0.0565654361879733	0.0561000182949839	0.0482135608164253
"R4"	0.0100237869079533	0.0117876052156496	0.0120252374108508	1.01178760521565	0.0120252374108508	0.0100237869079533	0.00978615471275209	0.00902522481811329	0.0100237869079533	0.00978615471275209	0.00978615471275209	0.00902522481811329	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0120252374108508	0.0120252374108508	0.0100237869079533	0.0120252374108508	0.0120252374108508	0.0100237869079533	0.0100237869079533	0.0100237869079533	0.00978615471275209	0.0100237869079533	0.0100237869079533	0.0120252374108508	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0603649866313081	0.0599137253904023	0.0118816097600622	0.0603649866313081	0.0599137253904023	0.0520377130753354
"R5"	0.010243358164701	0.0110231342932799	0.0120977258884097	0.0110231342932799	1.01209772588841	0.010243358164701	0.00916876656957128	0.00930835785978464	0.010243358164701	0.00916876656957128	0.00916876656957128	0.00930835785978464	0.0120977258884097	0.010243358164701	0.0120977258884097	0.010243358164701	0.0120977258884097	0.010243358164701	0.0120977258884097	0.0120977258884097	0.0120977258884097	0.010243358164701	0.0120977258884097	0.0120977258884097	0.010243358164701	0.010243358164701	0.010243358164701	0.00916876656957128	0.010243358164701	0.010243358164701	0.0120977258884097	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879732	0.0565654361879733	0.0561000182949839	0.053729579756488	0.0565654361879733	0.0561000182949839	0.0482135608164253
"R6"	0.0109425366803249	0.0100237869079533	0.0111745725433102	0.0100237869079533	0.0111745725433102	1.01094253668033	0.00979175104496799	0.00994400859862195	0.0109425366803249	0.00979175104496799	0.00979175104496799	0.00994400859862195	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0111745725433102	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0111745725433102	0.0109425366803249	0.0109425366803249	0.0109425366803249	0.00979175104496799	0.0109425366803249	0.0109425366803249	0.0111745725433102	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0599116849021754	0.0575392817678445	0.0604088853321066	0.0599116849021754	0.00603293243761901
"R7"	0.0107709261494648	0.0107647701840273	0.0110025198834855	0.0107647701840273	0.0110025198834855	0.0107709261494648	1.01053317645001	0.00969612732666721	0.0107709261494648	0.0105331764500066	0.0105331764500066	0.00969612732666721	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0110025198834855	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0110025198834855	0.0107709261494648	0.0107709261494648	0.0107709261494648	0.0105331764500066	0.0107709261494648	0.0107709261494648	0.0110025198834855	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0644879293678548	0.0118874849729117	0.0649727357341883	0.0644879293678548	0.00602143708453941
"R8"	0.0109384094584841	0.00992774729992463	0.0111700294317416	0.00992774729992463	0.0111700294317416	0.0109384094584841	0.00969612732666721	1.01069806026641	0.0109384094584841	0.00969612732666721	0.00969612732666721	0.00986403190944215	0.0111700294317416	0.0109384094584841	0.0111700294317416	0.0109384094584841	0.0111700294317416	0.0109384094584841	0.0111700294317416	0.0111700294317416	0.0111700294317416	0.0109384094584841	0.0111700294317416	0.0111700294317416	0.0109384094584841	0.0109384094584841	0.0109384094584841	0.00969612732666721	0.0109384094584841	0.0109384094584841	0.0111700294317416	0.064955854537992	0.064955854537992	0.0649558545379919	0.0649558545379919	0.064955854537992	0.0649558545379919	0.064955854537992	0.0144209515246716	0.0621141065908471	0.064955854537992	0.0644626529425198	0.00602211930469288
"R9"	0.0109425366803249	0.0100237869079533	0.0111745725433102	0.0100237869079533	0.0111745725433102	0.0109425366803249	0.00979175104496799	0.00994400859862195	1.01094253668033	0.00979175104496799	0.00979175104496799	0.00994400859862195	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0111745725433102	0.0111745725433102	0.0109425366803249	0.0111745725433102	0.0111745725433102	0.0109425366803249	0.0109425366803249	0.0109425366803249	0.00979175104496799	0.0109425366803249	0.0109425366803249	0.0111745725433102	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0604088853321066	0.0599116849021754	0.0575392817678445	0.0604088853321066	0.0599116849021754	0.00603293243761901
"R10"	0.0107709261494648	0.0107647701840273	0.0110025198834855	0.0107647701840273	0.0110025198834855	0.0107709261494648	0.0105331764500066	0.00969612732666721	0.0107709261494648	1.01053317645001	0.0105331764500066	0.00969612732666721	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0110025198834855	0.0110025198834855	0.0107709261494648	0.0110025198834855	0.0110025198834855	0.0107709261494648	0.0107709261494648	0.0107709261494648	0.0105331764500066	0.0107709261494648	0.0107709261494648	0.0110025198834855	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0649727357341883	0.0644879293678548	0.0118874849729117	0.0649727357341883	0.0644879293678548	0.00602143708453941
