"Ictalurus_punctatus"	"Rhinichthys_osculus"	"Gila_cypha"	"Pimephales_promelas"	"Fundulus_zebrinus"	"Catostomus_discobolus"	"Oncorhynchus_mykiss"	"Cyprinella_lutrensis"	"Catostomus_latipinnis"	"Cyprinus_carpio"	"Ameiurus_natalis"	"Bothriocephalus_acheilognathi"	"Ornithodiplostomum_sp."	"Lernaea_cyprinacea"	"Contracaecum_sp."	"Rhabdochona_sp."	"Unidenti?ed_metacercaria"	"Corallobothriinae"	"Posthodiplostomum_sp."	"Eustrongylides_sp."	"Oribatida_gen._sp."	"Henneguya_exilis"	"Ligictaluridus_?oridanus"	"Dactylogyrus_extensus"	"Gyrodactylus_hoffmani"	"Corallobothrium_?mbriatum"	"Megathylacoides_giganteum"	"Truttaedacnitis_truttae"	"Ergasilus_arthrosis"	"Myzobdella_lugubris"	"Gyrodactylus_sp."
"Ictalurus_punctatus"	2.6754946258289	0.635860515655435	0.486239989613312	0.249361259697818	0.222331995212723	0.201446271450877	0.162149262080105	0.212536220655563	0.145485320522693	0.111652147136256	0.160600286883158	0.811959225563105	0.527015286510805	0.288532965402247	0.418521152609271	0.176127320581546	0.186536503093947	0.281420675842778	0.118622853525149	0.282490157315181	0.113610750488406	0.218904105749638	0.218904105749637	0.0502434662113151	0.0561062834320092	0.218904105749638	0.218904105749638	0.0486447786240315	0.218904105749637	0.218904105749637	0.0635860515655435
"Rhinichthys_osculus"	0.777162852467753	1.99069737089406	0.593588458755184	0.277156837873115	0.410007725237076	0.265102848436405	0.230987758833651	0.262639961494006	0.158627116112606	0.127378098487491	0.169808866145498	0.926321838445145	0.552247650083661	0.515728307491711	0.417861766868625	0.367639991393414	0.354919107745993	0.13990456769121	0.138678804647117	0.262655788654949	0.291321475267748	0.0635860515655434	0.0635860515655434	0.0573201443193711	0.0623602885214509	0.0635860515655434	0.0635860515655435	0.0692963276500954	0.0635860515655434	0.0635860515655434	0.199069737089406
"Gila_cypha"	0.764091412249491	0.763185161256666	1.77308842807941	0.394345268881824	0.36041213473216	0.289300188427939	0.238305679790913	0.235293941194555	0.171977062977233	0.132807412037285	0.140351205109372	0.965805013093364	0.619711018766991	0.527459644917681	0.272581310876391	0.38537975862204	0.391077084835686	0.290485082274778	0.316696197680048	0.138835086218807	0.157411246440403	0.0625165700931402	0.0625165700931402	0.059763335416778	0.0887276854984105	0.0625165700931402	0.0625165700931402	0.0714917039372741	0.0625165700931402	0.0625165700931402	0.0763185161256665
"Pimephales_promelas"	0.685743464169001	0.623602885214509	0.690104220543192	1.79366502583881	0.270036263457116	0.279382646123014	0.206957701312488	0.206451596430537	0.208911815765985	0.152307085523369	0.145995190358825	1.10761097194495	0.788593999197199	0.33586892262062	0.246099886544093	0.211846133297712	0.234902767856766	0.14483396893042	0.492302316312142	0.11846657195346	0.123118447799302	0.0561062834320091	0.0561062834320091	0.0685381884855161	0.403574630813732	0.0561062834320091	0.0561062834320091	0.0620873103937464	0.0561062834320091	0.0561062834320091	0.0623602885214509
"Fundulus_zebrinus"	0.611412986834989	0.922517381783422	0.63072123578128	0.270036263457116	1.57369178499494	0.223653143228911	0.2939927034916	0.281346026557551	0.151521019790386	0.148924135302798	0.155341213513848	1.08300940617424	0.419407728568139	0.700026739131686	0.296583791149702	0.52742512011694	0.240440411461751	0.131117429237599	0.141850889592587	0.142276437101205	0.446332389802204	0.0500246989228627	0.0500246989228627	0.0670158608862591	0.0607581592778511	0.0500246989228627	0.0500246989228627	0.0881978110474801	0.0500246989228627	0.0500246989228627	0.0922517381783422
"Catostomus_discobolus"	0.738636328653216	0.795308545309214	0.675033772998524	0.372510194830686	0.298204190971882	1.39582524289108	0.22218777518996	0.22495084380995	0.220304697713093	0.16140597771032	0.158790324658919	1.17378013790449	0.828454273169687	0.367558439727949	0.278905635205683	0.233416854027976	0.585068483926627	0.147223937963645	0.170604850365286	0.139964735966184	0.146626797499595	0.0604338814352631	0.0604338814352631	0.0726326899696438	0.0838147938369043	0.0604338814352631	0.0604338814352631	0.0666563325569881	0.0604338814352631	0.0604338814352631	0.0795308545309214
"Oncorhynchus_mykiss"	0.594547294293718	0.692963276500954	0.556046586178798	0.275943601749984	0.391990271322134	0.22218777518996	1.71564678920242	0.317198264919121	0.159954465946653	0.170472389110813	0.166207180322284	1.23971309636697	0.390155962838129	0.838839358871313	0.287893816894891	0.22898584263485	0.207444364144357	0.120136482561306	0.13357901433102	0.117941106274127	0.157494138697576	0.0486447786240315	0.0486447786240315	0.0767125750998658	0.0620873103937464	0.0486447786240315	0.0486447786240315	0.514694036760727	0.0486447786240315	0.0486447786240315	0.0692963276500954
"Cyprinella_lutrensis"	0.779299475737062	0.787919884482018	0.549019196120628	0.275268795240716	0.375128035410068	0.22495084380995	0.31719826491912	1.38204845860097	0.159891216625084	0.164225704439635	0.248208019351593	1.19428581728602	0.414512816556671	0.74355799582986	0.668861000933378	0.233783978773834	0.216865423949553	0.134349048555035	0.132523661287528	0.142552854644871	0.163195796415467	0.0637608661966688	0.0637608661966687	0.0739015669978359	0.0619354789291611	0.0637608661966688	0.0637608661966688	0.0951594794757361	0.0637608661966688	0.0637608661966688	0.0787919884482018
"Catostomus_latipinnis"	0.800169262874811	0.713822022506729	0.601919720420316	0.417823631531969	0.303042039580771	0.33045704656964	0.23993169891998	0.239836824937626	1.25608434820124	0.185194115653741	0.174877183540017	1.34677276328193	0.972625662581784	0.360886896653383	0.28749637656018	0.216956339496101	0.24790899456132	0.142858072574967	0.171399995434448	0.136850596485885	0.139566661156347	0.0654683942352118	0.0654683942352118	0.0833373520441836	0.0940103170946931	0.0654683942352118	0.0654683942352118	0.0719795096759939	0.0654683942352118	0.0654683942352118	0.0713822022506729
"Cyprinus_carpio"	0.614086809249407	0.573201443193711	0.464825942130496	0.304614171046738	0.297848270605596	0.242108966565479	0.255708583666219	0.246338556659453	0.185194115653741	1.89314090619617	0.186090129769833	1.54511914561547	0.391835176446808	0.33471348272011	0.265205735924947	0.184099340622408	0.189716169705793	0.110006801628093	0.128301523902294	0.107563610530686	0.12433600520563	0.0502434662113151	0.0502434662113151	0.851913407788275	0.0685381884855161	0.0502434662113151	0.0502434662113151	0.0767125750998658	0.0502434662113151	0.0502434662113151	0.0573201443193711
