"Apollonia_melanostoma"	"Proterorhinus_marmoratus"	"Perca_flavescens"	"Amia_calva"	"Percina_caprodes"	"Acipenser_fulvescens"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Micropterus_dolomieu"	"Micropterus_sp."	"Notropis_hudsonius"	"Salvelinus_namaycush"	"Sander_vitreus"	"Cystidicola_stigmatura"	"Sphaeromyxa_sevastopoli"	"Proteocephalus_ambloplitis"	"Dichelyne_cotylophora"	"Raphidascaris_acus"	"Eustrongylides_tubifex"	"Spiroxys_sp."	"Leptorhynchoides_thecatus"	"Myxobolus_burti"	"Neochasmus_umbellus"	"Diplostomum_spathaceum"	"Diplostomum_sp."	"Ichthyocotylurus_pileatus"	"Digenea_gen._sp."	"Proteocephalus_sp."	"Scolex_pleuronectis"	"Hysterothylacium_brachyurum"	"Truttaedacnitis_clitellarius"	"Philometra_cylindraceum"	"Haplonema_immutatum"	"Rhabdochona_decaturensis"	"Contracaecum_sp."	"Spinitectus_sp."	"Spiroxys_contortus"	"Philometra_sp."	"Dioctophymidae"	"Neoechinorhynchus_tumidus"	"Neoechinorhynchus_sp."	"Southwellina_hispida"	"Myzobdella_lugubris"	"Piscicolaria_reducta"
"Apollonia_melanostoma"	3.78772013081504	1.10560479494061	0.316051154820548	0	0	0	0	0	0	0	0	0	0.0537818141606395	0	0.337823687342963	0	0.119515142579199	0.337823687342963	0.298374717683526	0.337823687342963	0.337823687342963	0	0.227263207848903	0.227263207848903	0.227263207848903	0.227263207848903	0.227263207848903	0.110560479494061	0.227263207848903	0	0	0.0711115098346234	0	0.227263207848903	0.110560479494061	0.227263207848903	0.110560479494061	0.227263207848902	0.0711115098346234	0.227263207848903	0.110560479494061	0.110560479494061	0	0
"Proterorhinus_marmoratus"	1.84267465823435	3.24056449483597	0.153754615858645	0	0	0	0	0	0	0	0	0	0.0261641258078787	0	0.434616928977658	0	0.058142501795286	0.434616928977658	0.145155268062256	0.434616928977658	0.434616928977658	0	0.110560479494061	0.110560479494061	0.110560479494061	0.110560479494061	0.110560479494061	0.324056449483597	0.110560479494061	0	0	0.0345947885681951	0	0.110560479494061	0.324056449483597	0.110560479494061	0.324056449483597	0.110560479494061	0.0345947885681951	0.110560479494061	0.324056449483597	0.324056449483597	0	0
"Perca_flavescens"	1.18519183057706	0.345947885681951	3.18930099273869	0	0	0	0	0	0	0	0	0	0.542717185739147	0	0.105706298402819	0	1.20603819053144	0.105706298402819	0.788704233200828	0.105706298402819	0.105706298402819	0	0.0711115098346234	0.0711115098346234	0.0711115098346234	0.0711115098346234	0.0711115098346234	0.0345947885681951	0.0711115098346234	0	0	0.717592723366205	0	0.0711115098346233	0.0345947885681951	0.0711115098346234	0.0345947885681952	0.0711115098346233	0.717592723366205	0.0711115098346234	0.0345947885681951	0.0345947885681951	0	0
"Amia_calva"	0	0	0	3.9267447615905	0	0	0	0	1.33641313314635	0	0	0	0	0	0	2.96980696254743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76703514271572	0	0	0	0	0	0	0	0	0	0	0
"Percina_caprodes"	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158
"Acipenser_fulvescens"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_artedi"	0	0	0	0	0	0	2.42105263157895	1.42105263157895	0	0	0	1.42105263157895	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_clupeaformis"	0	0	0	0	0	0	1.42105263157895	2.42105263157895	0	0	0	1.42105263157895	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_dolomieu"	0	0	0	2.67282626629269	0	0	0	0	2.59033162844415	0	0	0	0	0	0	3.53407028543145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20277181983171	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_sp."	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Notropis_hudsonius"	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Salvelinus_namaycush"	0	0	0	0	0	0	1.42105263157895	1.42105263157895	0	0	0	2.42105263157895	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sander_vitreus"	0.806727212409593	0.235477132270908	2.17086874295659	0	0	0	0	0	0	0	0	0	2.05008480709976	0	0.0719513459716664	0	2.33352179355501	0.0719513459716664	0.536849099909807	0.0719513459716664	0.0719513459716664	0	0.0484036327445756	0.0484036327445756	0.0484036327445756	0.0484036327445756	0.0484036327445756	0.0235477132270908	0.0484036327445756	0	0	0.488445467165232	0	0.0484036327445756	0.0235477132270908	0.0484036327445756	0.0235477132270908	0.0484036327445755	0.488445467165232	0.0484036327445756	0.0235477132270908	0.0235477132270908	0	0
"Cystidicola_stigmatura"	0	0	0	0	0	0	1.57894736842105	1.57894736842105	0	0	0	1.57894736842105	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphaeromyxa_sevastopoli"	2.53367765507222	1.95577618039946	0.211412596805637	0	0	0	0	0	0	0	0	0	0.0359756729858332	0	1.34759827734428	0	0.0799459399685182	0.347598277344279	0.199588493585602	0.34759827734428	0.34759827734428	0	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.195577618039946	0.152020659304334	0	0	0.0475678342812683	0	0.152020659304334	0.195577618039946	0.152020659304334	0.195577618039946	0.152020659304333	0.0475678342812683	0.152020659304334	0.195577618039946	0.195577618039946	0	0
"Proteocephalus_ambloplitis"	0	0	0	2.96980696254744	0	0	0	0	1.76703514271572	0	0	0	0	0	0	3.9267447615905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33641313314635	0	0	0	0	0	0	0	0	0	0	0
"Dichelyne_cotylophora"	0.896363569343992	0.261641258078787	2.41207638106287	0	0	0	0	0	0	0	0	0	1.16676089677751	0	0.0799459399685182	0	2.5928019928389	0.0799459399685182	0.596498999899786	0.0799459399685182	0.0799459399685182	0	0.0537818141606395	0.0537818141606395	0.0537818141606395	0.0537818141606395	0.0537818141606395	0.0261641258078787	0.0537818141606395	0	0	0.542717185739147	0	0.0537818141606395	0.0261641258078787	0.0537818141606395	0.0261641258078787	0.0537818141606395	0.542717185739147	0.0537818141606395	0.0261641258078787	0.0261641258078787	0	0
"Raphidascaris_acus"	2.53367765507222	1.95577618039946	0.211412596805637	0	0	0	0	0	0	0	0	0	0.0359756729858332	0	0.34759827734428	0	0.0799459399685182	1.34759827734428	0.199588493585602	0.34759827734428	0.34759827734428	0	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.195577618039946	0.152020659304334	0	0	0.0475678342812683	0	0.152020659304333	0.195577618039946	0.152020659304334	0.195577618039946	0.152020659304333	0.0475678342812683	0.152020659304334	0.195577618039946	0.195577618039946	0	0
"Eustrongylides_tubifex"	2.23781038262644	0.653198706280152	1.57740846640166	0	0	0	0	0	0	0	0	0	0.268424549954904	0	0.199588493585602	0	0.596498999899786	0.199588493585602	1.48918552789796	0.199588493585602	0.199588493585602	0	0.134268622957587	0.134268622957587	0.134268622957587	0.134268622957587	0.134268622957587	0.0653198706280152	0.134268622957587	0	0	0.354916904940373	0	0.134268622957587	0.0653198706280151	0.134268622957587	0.0653198706280152	0.134268622957587	0.354916904940373	0.134268622957587	0.0653198706280152	0.0653198706280151	0	0
"Spiroxys_sp."	2.53367765507223	1.95577618039946	0.211412596805637	0	0	0	0	0	0	0	0	0	0.0359756729858332	0	0.34759827734428	0	0.0799459399685182	0.34759827734428	0.199588493585602	1.34759827734428	0.34759827734428	0	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.195577618039946	0.152020659304334	0	0	0.0475678342812683	0	0.152020659304334	0.195577618039946	0.152020659304334	0.195577618039946	0.152020659304333	0.0475678342812683	0.152020659304334	0.195577618039946	0.195577618039946	0	0
"Leptorhynchoides_thecatus"	2.53367765507223	1.95577618039946	0.211412596805637	0	0	0	0	0	0	0	0	0	0.0359756729858332	0	0.34759827734428	0	0.0799459399685182	0.347598277344279	0.199588493585602	0.347598277344279	1.34759827734428	0	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.152020659304334	0.195577618039946	0.152020659304333	0	0	0.0475678342812683	0	0.152020659304334	0.195577618039946	0.152020659304334	0.195577618039946	0.152020659304333	0.0475678342812683	0.152020659304334	0.195577618039946	0.195577618039946	0	0
