"Catostomus_catostomus"	"Catostomus_macrocheilus"	"Cottus_asper"	"Cottus_cognatus"	"Lota_lota"	"Mylocheilus_caurinus"	"Oncorhynchus_nerka"	"Oncorhynchus_tshawytscha"	"Prosopium_williamsoni"	"Ptychocheilus_oregonensis"	"Richardsonius_balteatus"	"Salmo_gairdneri"	"Salvelinus_malma"	"Salvelinus_namaycush"	"Acolpenteron_catostomi"	"Anoncohaptor_anomalum"	"Pseudomurraytrema_copulata"	"Tetraonchus_alaskensis"	"Tetraonchus_variabilis"	"Octomacrum_lanceatum"	"Octomacrum_micronfibulum"	"Allocreadium_isosporum"	"Bunodera_luciopercae"	"Crepidostomum_farionis"	"Phyllodistomum_sp."	"Brachyphallus_crenatus"	"Genolinea_oncorhynchi"	"Lampritrema_miescheri"	"Diplostomum_sp.1_(L)"	"Diplostomum_sp.2_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Glaridacris_catostomi"	"Proteocephalus_ptychocheilus"	"Proteocephalus_salmonidicola"	"Proteocephalus_sp."	"Proteocephalus_tumidocollus"	"Bothriocephalus_opsariichthydis"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Ligula_intestinalis_(L)"	"Phyllobothrium_sp._(L)"	"Hysterothylacium_brachyurum"	"Eustrongylides_sp._(L)"	"Philometroides_huronensis"	"Philonema_agubernaculum"	"Philonema_oncorhynchi"	"Philonema_sp."	"Haplonema_hamatulum"	"Cystidicola_farionis"	"Cystidicoloides_tenuissima"	"Rhabdochona_canadensis"	"Rhabdochona_cascadilla"	"Rhabdochona_cotti"	"Rhabdochona_kisutchi"	"Rhabdochona_milleri"	"Rhabdochona_zacconis"	"Neoechinorhynchus_cristatus"	"Neoechinorhynchus_rutili"	"Octospinifer_macilentus"	"Ergasilus_nerkae"	"Salmincola_californiensis"	"Salmincola_edwardsii"	"Salmincola_extensus"	"Salmincola_thymalli"
"Catostomus_catostomus"	2.22708839303245	0.665851236324718	0.016362376422401	0.130855551443597	0.0641047383689922	0.170238567453214	0.165594940721795	0.340773168125701	0.375063377602301	0.101164206115379	0.12039639309959	0.367238481166935	0.327358565093274	0.191067899766488	0.308318283973566	0.222708839303245	0.308318283973566	0.0196415139055965	0.018753168880115	0.0306695851313131	0.0191518388384866	0.0191518388384866	0.0194420372382495	0.121559302119499	0.0440079100653694	0.0306695851313131	0.0306695851313131	0.0306695851313131	0.0573470449568511	0.466096460187603	0.253378424434559	0.526639676233252	0.222708839303245	0.0227619463759603	0.0196415139055965	0.0909020912355609	0.0194420372382495	0.0227619463759603	0.0813905097766864	0.113072177982394	0.0191518388384866	0.0306695851313131	0.0144235661330232	0.0950222325329446	0.222708839303245	0.0381952061183646	0.0306695851313131	0.076466150855163	0.0526187722513878	0.0196415139055965	0.039083551143846	0.0196415139055965	0.0552707567683634	0.0392566654330792	0.0764661508551629	0.018753168880115	0.0856094446703209	0.308318283973566	0.101032023682283	0.0856094446703208	0.0377812696696885	0.0501116223695626	0.0629605556128314	0.018753168880115	0.018753168880115
"Catostomus_macrocheilus"	0.856094446703209	2.05399978746455	0.0174485249591548	0.145968661967772	0.0641228001505575	0.185961029713491	0.175278430580634	0.192077655670599	0.396302315626025	0.110903007309028	0.134070983081756	0.379750984624627	0.346300370757546	0.204878896127892	0.349695131630049	0.0856094446703209	0.349695131630049	0.0207780222454528	0.0198151157813012	0.0172869890103539	0.0209206158427677	0.0209206158427677	0.020104463891892	0.112131044403197	0.0464460362511924	0.0172869890103539	0.0172869890103539	0.0172869890103539	0.060840195515961	0.520746199422853	0.102896433680675	0.586338815350473	0.0856094446703209	0.0249531766445314	0.0207780222454528	0.0969362497730823	0.020104463891892	0.0249531766445314	0.085979975472815	0.1043261632883	0.0209206158427677	0.0172869890103539	0.0144276300338754	0.100078408597053	0.0856094446703209	0.0399195796731933	0.0172869890103539	0.0804164253589673	0.0543472097070687	0.0207780222454528	0.0408824861373448	0.0207780222454528	0.0611419107672945	0.0437905985903315	0.0804164253589673	0.0198151157813012	0.264085686959728	0.349695131630049	0.106757997718268	0.264085686959728	0.040639439283089	0.0373914529022459	0.0669347103860544	0.0198151157813012	0.0198151157813012
"Cottus_asper"	0.147261387801609	0.122139674714084	1.23621189581494	0.0723189302762503	0.104975758055623	0.573698596288235	0.487674502620689	0.172863860835776	0.777869431500722	0.0942262362878732	0.0946084514898897	0.488525041621481	0.689994310787987	0.200789816641678	0.0304298112434002	0.0147261387801609	0.0304298112434002	0.0413996586472792	0.0388934715750361	0.0155577474752198	0.0645410920824264	0.0645410920824265	0.0258630904387843	0.200196895243662	0.0516789240070001	0.0155577474752198	0.0155577474752198	0.0155577474752198	0.129297654096247	0.212480080002558	0.0302838862553807	0.353085456794583	0.0147261387801609	0.0212009031647715	0.0413996586472792	1.31228831008302	0.0258630904387843	0.0212009031647715	0.145435777126864	0.147529801704535	0.0645410920824265	0.0155577474752198	0.0236195455625152	0.150976669388386	0.0147261387801609	0.0647565620138204	0.0155577474752198	0.161019602205927	0.0883761075763356	0.0413996586472792	0.0672627490860635	0.0413996586472792	0.0929236275293933	0.0216956790828751	0.161019602205927	0.0388934715750361	0.0157036724632393	0.0304298112434002	0.186835435774143	0.0157036724632393	0.119404473627254	0.0414208379140041	0.106108963790531	0.0388934715750361	0.0388934715750361
"Cottus_cognatus"	0.392566654330792	0.340593544591468	0.0241063100920834	1.57487213794146	0.0863854819674642	0.25921818689545	0.241477995612492	0.176239286116584	0.545615132783378	0.154792929229186	0.188184487177859	0.518478582805364	0.47698647836386	0.283640686829401	0.0830472640234107	0.0392566654330792	0.0830472640234107	0.0286191887018316	0.0272807566391689	0.0158615357504925	0.0291620460257381	0.0291620460257381	0.0274488661485193	0.145813355189097	0.0639169544551565	0.0158615357504925	0.0158615357504925	0.0158615357504925	0.0838916688134262	0.731781151355364	0.0551182011835717	0.822937880964074	0.0392566654330792	0.0348284090765669	0.0286191887018316	0.133923944956019	0.0274488661485193	0.0348284090765669	0.118363985600731	0.13567843554665	0.0291620460257381	0.0158615357504925	0.0194367334426795	0.137613954008766	0.0392566654330792	0.0547296227876882	0.0158615357504925	0.110515085995925	0.0741663562303676	0.0286191887018316	0.0560680548503508	0.0286191887018316	0.0856173921790959	0.472461641382439	0.110515085995925	0.0272807566391689	0.0437905985903315	0.0830472640234107	0.146983174302562	0.0437905985903315	0.0563283205321435	0.0433104018990118	0.0923680336476377	0.0272807566391689	0.0272807566391689
"Lota_lota"	0.144235661330232	0.112214900263476	0.0262439395139058	0.0647891114755982	1.64175437583193	0.172267270253064	0.278159718889574	0.3100311557706	0.76677046443723	0.199836077353626	0.0647596322933503	0.734832072598616	0.552809315053666	0.194454199671975	0.0288511961668987	0.0144235661330232	0.0288511961668987	0.0331685589032199	0.0383385232218615	0.027902804019354	0.0193800679034697	0.0193800679034697	0.0389028744316914	0.539000463513388	0.0639041286752311	0.027902804019354	0.027902804019354	0.027902804019354	0.0966214655570226	0.203127030097896	0.0423263701523772	0.298763183781008	0.0144235661330232	0.0449631174045658	0.0331685589032199	0.145799663966143	0.0389028744316914	0.0449631174045658	0.13353562027217	0.163314014819667	0.0193800679034697	0.027902804019354	0.369394734562184	0.524767808523523	0.0144235661330232	0.0772413976535529	0.027902804019354	0.14170292493185	0.446636132215737	0.0331685589032199	0.0720714333349113	0.0331685589032199	0.0388079575914748	0.0194367334426795	0.14170292493185	0.0383385232218615	0.0144276300338754	0.0288511961668987	0.16670417917539	0.0144276300338754	0.0506730362785468	0.0668056784510453	0.0965083363686211	0.0383385232218615	0.0383385232218615
"Mylocheilus_caurinus"	0.191518388384866	0.162715900999305	0.0717123245360294	0.0972068200857937	0.0861336351265319	2.10117068265793	0.374855874539	0.15139021139038	0.58487648445124	0.112604134026064	0.205008953147037	0.495533723870181	0.434398316471634	0.194032445050851	0.0400724546812543	0.0191518388384866	0.0400724546812543	0.026063898988298	0.029243824222562	0.0136251190251342	0.236381701799017	0.236381701799017	0.026234138322539	0.15671833434764	0.0511811669719341	0.0136251190251342	0.0136251190251342	0.0136251190251342	0.291859664344118	0.237226076833898	0.0327769578636208	0.541114994674416	0.0191518388384866	0.0253359301558643	0.0260638989882981	0.398401802977941	0.026234138322539	0.0253359301558643	0.122596277080134	0.120114009207928	0.236381701799017	0.0136251190251342	0.0193800679034697	0.126257859592733	0.0191518388384866	0.055477962545101	0.0136251190251342	0.123713147419037	0.0748580304485707	0.0260638989882981	0.052298037310837	0.0260638989882981	0.297884387743128	0.0291620460257381	0.123713147419037	0.029243824222562	0.0209206158427677	0.0400724546812543	0.148660176068432	0.0209206158427677	0.278552987684655	0.0398592573476732	0.0802547518602552	0.029243824222562	0.029243824222562
"Oncorhynchus_nerka"	0.186294308312019	0.153368626758054	0.0609593128275861	0.0905542483546847	0.139079859444787	0.374855874539	1.4870294407198	0.240416213043386	0.746206401917545	0.116170316066165	0.0983603236386782	0.672595896398421	0.617117490580425	0.280149582136289	0.0383482542715232	0.0186294308312019	0.0383482542715232	0.0370270494348255	0.0373103200958772	0.0216374591739047	0.0421712858856375	0.0421712858856375	0.0356080180446223	0.330166627205284	0.0716272500335737	0.0216374591739048	0.0216374591739047	0.0216374591739048	0.115089624026137	0.240987245433809	0.0402668900051067	0.476587664515311	0.0186294308312019	0.0261383211148872	0.0370270494348255	0.338662849042145	0.0356080180446223	0.0261383211148872	0.276228382210429	0.167602078738181	0.0421712858856375	0.0216374591739047	0.0312929683750771	0.167376677065289	0.0186294308312019	0.0729183381404996	0.0216374591739047	0.277236199656302	0.104211306515577	0.0370270494348255	0.0726350674794478	0.0370270494348255	0.071679382977241	0.0271662745064054	0.277236199656302	0.0373103200958772	0.0197188234403213	0.0383482542715232	0.313255431645254	0.0197188234403213	0.209462097966615	0.057245477218527	0.110356601519654	0.0373103200958772	0.0373103200958772
"Oncorhynchus_tshawytscha"	0.306695851313131	0.134454358969419	0.0172863860835776	0.0528717858349751	0.12401246230824	0.121112169112304	0.192332970434709	2.63577479996821	0.444837690988075	0.0667139540215806	0.0517083320472165	0.545592442255956	0.382887800307254	0.186876891092196	0.047956574141667	0.0306695851313131	0.047956574141667	0.0229732680184352	0.0222418845494038	0.237219731997139	0.0136251190251342	0.0136251190251342	0.0288843057664918	0.360859453524728	0.0529113346212027	0.237219731997139	0.237219731997139	0.237219731997139	0.0647513093410298	0.177457096695366	0.267889317128452	0.227730314549261	0.0306695851313131	0.0150106396548556	0.0229732680184352	0.0960354782420978	0.0288843057664918	0.0150106396548556	0.0967906783445112	0.335346219186181	0.0136251190251342	0.237219731997139	0.027902804019354	0.11701290200854	0.0306695851313131	0.0511261903158956	0.237219731997139	0.0957369175082355	0.0790289943352496	0.0229732680184352	0.051857573784927	0.0229732680184352	0.0291376186392992	0.0158615357504925	0.0957369175082355	0.0222418845494038	0.0172869890103539	0.047956574141667	0.119763946362946	0.0172869890103539	0.035262578199039	0.26610403776363	0.0692421814225499	0.0222418845494038	0.0222418845494038
"Prosopium_williamsoni"	0.18753168880115	0.154117567187899	0.0432149684167068	0.0909358554638964	0.170393436541607	0.259945104200551	0.331647289741131	0.247132050548931	1.99417161505995	0.12669881909355	0.0919571044957194	0.699460354644449	0.582116020402007	0.283836020139297	0.0385682846614163	0.018753168880115	0.0385682846614163	0.0349269612241204	0.0997085807529974	0.0222418845494037	0.029243824222562	0.029243824222562	0.037030254069412	0.269556523913672	0.0735234566587502	0.0222418845494037	0.0222418845494037	0.0222418845494038	0.165982659044971	0.301595171285169	0.0409950534295188	0.396656549899657	0.018753168880115	0.0285072342960487	0.0349269612241204	0.240083157870593	0.037030254069412	0.0285072342960487	0.210542357507625	0.230400883185272	0.029243824222562	0.0222418845494037	0.0383385232218615	0.23851155356444	0.018753168880115	0.136738834822409	0.0222418845494037	0.208976116142407	0.175077358044271	0.0349269612241204	0.0719572152935324	0.0349269612241204	0.0568309555712778	0.0272807566391689	0.208976116142407	0.0997085807529973	0.0198151157813012	0.0385682846614163	0.245469318731745	0.0198151157813012	0.0665541443184392	0.0592721386188157	0.171128744566456	0.0997085807529974	0.0997085807529974
"Ptychocheilus_oregonensis"	0.227619463759603	0.1940802627908	0.0235565590719683	0.11609469692189	0.199836077353626	0.225208268052127	0.232340632132331	0.166784885053951	0.570144685920974	1.95248623822036	0.11115641309031	0.540824168262927	0.494789731507907	0.208235812598067	0.0477151230204917	0.0227619463759603	0.0477151230204917	0.0296873838904744	0.0285072342960487	0.0150106396548556	0.0253359301558643	0.0253359301558643	0.0286318677315667	0.172938564092398	0.0554050436370325	0.0150106396548556	0.0150106396548556	0.0150106396548556	0.0824750321834797	0.229490117847707	0.037772586030816	0.72027377271804	0.0227619463759603	0.439309403599581	0.0296873838904744	0.130869772622046	0.0286318677315667	0.439309403599581	0.110050599047968	0.128610301478411	0.0253359301558643	0.0150106396548556	0.0449631174045658	0.571099006922237	0.0227619463759603	0.0571391020276154	0.0150106396548556	0.112964807032977	0.102102219432181	0.0296873838904744	0.0583192516220411	0.0296873838904744	0.0586828540829574	0.0348284090765669	0.112964807032977	0.0285072342960487	0.0249531766445314	0.0477151230204917	0.139737982938443	0.0249531766445314	0.0514742512707516	0.0436425073864223	0.0849677940919888	0.0285072342960487	0.0285072342960487
