"Rhombomys_opimus"	"Cricetulus_migratorius"	"Meriones_tamariscinus"	"Allactaga_elater"	"Meriones_meridianus"	"Ellobius_talpinus"	"Pygeretmus_pumilio"	"Allactaga_major"	"Allactaga_sibirica"	"Apodemus_uralensis"	"Allactaga_severtzovi"	"Microtus_gregalis"	"Microtus_socialis"	"Microtus_arvalis"	"Pygeretmus_shitkovi"	"Dipus_sagitta"	"Stylodipus_telum"	"Spermophilus_pygmaeus"	"Xenopsylla_skrjabini"	"Xenopsylla_hirtipes"	"Xenopsylla_gerbilli"	"Xenopsylla_conformis"	"Amphipsylla_schelkovnikovi"	"Nosopsyllus_laeviceps"	"Mesopsylla_lenis"	"Coptopsylla_lamellifer"	"Echidnophaga_oschanini"	"Mesopsylla_eucta"	"Mesopsylla_tuschkan"	"Xenopsylla_magdalinae"	"Mesopsylla_hebes"	"Ophthalmopsylla_volgensis"	"Ctenophthalmus_arvalis"	"Ctenophthalmus_dolichus"	"Nosopsyllus_consimilis"	"Neopsylla_teratura"	"Nosopsyllus_tersus"	"Amphipsylla_rossica"	"Nosopsyllus_fidus"	"Pectinoctenus_nemorosa"	"Citellophilus_ullus"	"Rhadinopsylla_socia"	"Ctenophthalmus_dux"	"Rhadinopsylla_cedestis"	"Rhadinopsylla_bivirgis"	"Amphipsylla_dumalis"	"Citellophilus_trispinus"	"Ctenophthalmus_breviatus"	"Paradoxopsyllus_repandus"
"Rhombomys_opimus"	2.73557878151647	0.137604909116906	0.40736792285614	0.373044612476313	0.296694991832337	0.0612829154147242	0.145498844333741	0.0700532100382535	0.176195749956171	0.140587725753487	0.0991498242963062	0.043042512262888	0.0922048715000478	0.0587930563725369	0.0629617540133713	0.0970257574236292	0.189918690339994	0.0761517652335231	0.206866432217487	0.164134726890988	0.20143918813862	0.350881753304863	0.0357676244833362	0.338452289926769	0.192460066668047	0.164134726890988	0.269915701216599	0.349041708924535	0.188150232381966	0.013788655968313	0.0900356592512181	0.220258437879844	0.267261603336436	0.164134726890988	0.147691973042513	0.0821094486422367	0.164134726890988	0.0700024182651059	0.103188680510615	0.018075564739734	0.216510602686778	0.164134726890988	0.013788655968313	0.164134726890988	0.164134726890988	0.013788655968313	0.0176920597436022	0.0165968768700086	0.164134726890988
"Cricetulus_migratorius"	0.29486766239337	1.71792265412301	0.222327377911358	0.372356489046636	0.16068643746236	0.155343488899186	0.160466430844902	0.173019856576693	0.186843669615494	0.567610603069851	0.184260931151191	0.136187816654155	0.391879478418023	0.233969059102589	0.0893507535476761	0.0539384568993862	0.140910268090588	0.0212164609303721	0.0493968700639846	0.0176920597436022	0.0549277086482658	0.136708521584817	0.293854275924797	0.094295381912765	0.171365107440892	0.0176920597436022	0.0752005670754301	0.20886635420774	0.162949572300662	0.0349522850023168	0.122773466408461	0.455039154953565	0.677470215477003	0.0176920597436022	0.585009423142859	0.419670861385398	0.0176920597436022	0.434583299770817	0.137668401637687	0.0729785061089808	0.0462770083322054	0.0176920597436022	0.0349522850023168	0.0176920597436022	0.0176920597436022	0.0349522850023168	0.220875769815816	0.0705383061152442	0.0176920597436022
"Meriones_tamariscinus"	0.872931263263158	0.222327377911358	1.56963874333101	0.405418347402408	0.344875472606778	0.120145259554375	0.198219044041225	0.110763837754156	0.213194224335916	0.278987707263237	0.102767750033441	0.0771200538200705	0.158730592992466	0.10514849553454	0.100595373682279	0.111926186339006	0.181140032961538	0.0892281319098825	0.0931323832121355	0.0523758757957895	0.0929177105360303	0.407172775028933	0.0644547966653051	0.396569475155033	0.366751916265207	0.0523758757957895	0.316264156436139	0.268799865905023	0.21463937129888	0.0270326833997345	0.112145946446953	0.268955779201988	0.523966826389914	0.0523758757957895	0.23304586234983	0.123856628413981	0.0523758757957895	0.124570852064311	0.282279828557107	0.035869848076702	0.254186571366919	0.0523758757957895	0.0270326833997345	0.0523758757957895	0.0523758757957895	0.0270326833997345	0.0285849485886031	0.0285715067386438	0.0523758757957895
"Allactaga_elater"	0.621741020793855	0.289610602591828	0.315325381312984	1.58064177506029	0.235670184794187	0.117149147870305	0.224234302538121	0.179229831202884	0.334578006565376	0.265012671662488	0.152730043463996	0.0976126807882858	0.196584389578105	0.130422313749505	0.125518718892356	0.128834580879605	0.234331134426607	0.0339311085660637	0.0900289664936178	0.0373044612476313	0.19536863875366	0.336306668152677	0.0713087066898406	0.150804926960283	0.368037982175584	0.0373044612476313	0.120266929250826	0.394285044308658	0.379441003400682	0.0263585582708187	0.272057168048662	0.461003527450283	0.510900450434387	0.0373044612476313	0.401579424160374	0.152512909853098	0.0373044612476313	0.145820590938751	0.125067610596495	0.034073057785177	0.0778462959878721	0.0373044612476313	0.0263585582708187	0.0373044612476313	0.0373044612476313	0.0263585582708187	0.0372356489046636	0.0353851901240589	0.0373044612476313
"Meriones_meridianus"	0.890084975497013	0.224961012447303	0.482825661649489	0.424206332629536	1.42434984440767	0.13440574698357	0.180933948125014	0.11816539634215	0.213332177830512	0.232962378983692	0.132329539381444	0.0832843830896225	0.16669350339575	0.110758755512038	0.0700857398900869	0.12218099269982	0.146682430626618	0.104915075245511	0.0864086454208098	0.0534050985298208	0.0958257317927744	0.469267735570295	0.0588758646125565	0.466289223313382	0.207440140183194	0.0534050985298207	0.371865655592422	0.471017495938209	0.209515557206482	0.0302412930713033	0.116270044175091	0.25469511399976	0.586158396567236	0.0534050985298208	0.237456546433332	0.128579557038225	0.0534050985298207	0.122108321877403	0.13274002926668	0.0299523058693318	0.115482683599041	0.0534050985298208	0.0302412930713033	0.0534050985298207	0.0534050985298208	0.0302412930713033	0.0289235587432247	0.0300048306112351	0.0534050985298208
"Ellobius_talpinus"	0.229810932805216	0.271851105573575	0.210254204220157	0.263585582708187	0.168007183729463	2.76948377377946	0.0795876597455488	0.150796394050937	0.101075714832241	0.277344995902003	0.0679784745565521	0.123859062504166	0.225892286101779	0.159673092483772	0.0380516843102843	0.0376388226708635	0.0682179062060843	0.0200490185565566	0.0291376848646819	0.0137886559683129	0.0401472142391317	0.114358660912058	0.0706109273325742	0.0891067491402516	0.104057157176354	0.0137886559683129	0.0710626324393507	0.126882901789952	0.0947459094816281	0.623133849100378	0.0897911051559033	0.15027752458865	0.966915346760417	0.0137886559683129	0.286507521189001	0.13166508119786	0.0137886559683129	0.159173466576026	0.0805985491727404	0.0356586423302575	0.0408213393680474	0.013788655968313	0.623133849100378	0.0137886559683129	0.0137886559683129	0.623133849100379	0.0349522850023167	0.0406606114983202	0.0137886559683129
"Pygeretmus_pumilio"	0.54562066625153	0.280816253978578	0.346883327072145	0.504527180710772	0.226167435156268	0.0795876597455488	1.38681471066524	0.106940209970242	0.362710983918374	0.321594238526187	0.205334174756787	0.0625933825200053	0.1552903500702	0.0925571224231564	0.134278311896045	0.14144993235276	0.276687253503176	0.0333047012198264	0.0949918720133065	0.0327372399750918	0.083189958046169	0.232151850842315	0.0774527776077555	0.148020894310339	0.283019852477095	0.0327372399750918	0.118046663212496	0.56282163580632	0.553681106673021	0.0179072234427485	0.147822758167457	0.648159076834637	0.347090627223643	0.0327372399750918	0.243873980543491	0.167005293047428	0.0327372399750918	0.133172177347338	0.397980425476608	0.0413478306676526	0.0773365248843676	0.0327372399750918	0.0179072234427485	0.0327372399750918	0.0327372399750918	0.0179072234427485	0.0361049469401029	0.027952263012636	0.0327372399750918
"Allactaga_major"	0.350266050191267	0.403712998678951	0.258448954759698	0.537689493608653	0.196942327236916	0.201061858734583	0.14258694662699	1.32869312439149	0.295770042087862	0.401395413709271	0.116007966344671	0.17700847611525	0.326123149007038	0.228962037389331	0.0736993721129288	0.0670901477748917	0.132393811855351	0.0253057241117025	0.05080457067893	0.021015963011476	0.0747849123723414	0.173654249099934	0.103513938735628	0.1124698849409	0.203190033381199	0.021015963011476	0.0896947332403678	0.230357591745275	0.199068794093908	0.0452389182152812	0.505615494254127	0.288751291922434	0.876853106148042	0.021015963011476	0.762935417703869	0.197018495460297	0.021015963011476	0.230904716773695	0.11691919607994	0.0516079817626206	0.0542451143377229	0.021015963011476	0.0452389182152812	0.021015963011476	0.021015963011476	0.0452389182152812	0.0519059569730079	0.0587021668212668	0.021015963011476
"Allactaga_sibirica"	0.528587249868512	0.261581137461692	0.298471914070283	0.602240411817677	0.213332177830512	0.080860571865793	0.290168787134699	0.177462025252717	1.45474071840576	0.215229355798017	0.190157850583174	0.0648672318315313	0.147179912689048	0.0907468790429958	0.17176652614549	0.134460026674725	0.310696657874294	0.0306084603899251	0.101621983013827	0.0317152349921107	0.0919392761738784	0.229221040567462	0.0613042062762483	0.136037601733001	0.507654015662455	0.0317152349921107	0.108489987382068	0.514527729776666	0.517779107625453	0.0181936286698034	0.375315978070619	0.625246248093039	0.352641938414708	0.0317152349921107	0.257673557354948	0.144843945735229	0.0317152349921107	0.115020654273176	0.131335283231231	0.0276723457454593	0.0700901953725757	0.0317152349921107	0.0181936286698034	0.0317152349921107	0.0317152349921107	0.0181936286698034	0.033631860530789	0.0264923842840287	0.0317152349921107
"Apodemus_uralensis"	0.3012594123289	0.567610603069851	0.278987707263237	0.34073057785177	0.166401699274065	0.158482854801144	0.183768136300678	0.172026605875402	0.153735254141441	1.76126053484058	0.159592030823963	0.138020590287425	0.395723223668494	0.237445893734026	0.0626327968069804	0.0527544879249964	0.109055282979875	0.0236702027640097	0.0426130034102058	0.018075564739734	0.052148622524911	0.141710296037193	0.299426289159913	0.105200901173376	0.150337448840951	0.018075564739734	0.0838977186857677	0.198998714054544	0.151370192435009	0.0356586423302575	0.113353385293257	0.276671546788072	0.69116133899388	0.018075564739734	0.589680542717588	0.418534078667431	0.018075564739734	0.44189023754045	0.303665461795287	0.226447783050932	0.0539454128164359	0.018075564739734	0.0356586423302575	0.018075564739734	0.018075564739734	0.0356586423302575	0.0729785061089808	0.0712301802603289	0.018075564739734
"Allactaga_severtzovi"	0.495749121481531	0.429942172686113	0.239791416744695	0.45819013039199	0.220549232302407	0.0906379660754028	0.273778899675716	0.116007966344671	0.316929750971957	0.372381405255913	1.31033910004624	0.0747073389094052	0.287325717257184	0.11748429532616	0.136935300213378	0.0771912577225419	0.216926315274476	0.02829050805706	0.0785533682256489	0.0297449472888919	0.0755639603280908	0.1808292131277	0.103155888592546	0.125735591364711	0.244125999256961	0.0297449472888919	0.100274134113357	0.627012159758385	0.248011107553088	0.0203935423669656	0.137668758117553	0.723275936033194	0.395282240939951	0.0297449472888919	0.30435951174852	0.547976247712712	0.0297449472888919	0.190119806296687	0.140308186684257	0.0478776092471888	0.0605752722989241	0.0297449472888919	0.0203935423669656	0.0297449472888919	0.0297449472888919	0.0203935423669656	0.0552782793453573	0.0517186291062931	0.0297449472888919
"Microtus_gregalis"	0.32281884197166	0.476657358289542	0.269920188370247	0.439257063547286	0.208210957724056	0.247718125008332	0.125186765040011	0.265512714172875	0.162168079578828	0.483072066005987	0.112061008364108	1.21968178169364	0.398749917588541	0.282675340009449	0.0604661348540387	0.0560332796928927	0.107138801221932	0.0258294716034155	0.0434753607932344	0.0193691305182996	0.0632948368730282	0.160691809344192	0.123393783123711	0.114797651570735	0.159135975857202	0.0193691305182996	0.0915511271276614	0.191748388230782	0.150604188949657	0.0557365781268748	0.15276977493078	0.247501793775774	1.08032626739745	0.0193691305182996	0.952407692661212	0.228787070798881	0.0193691305182996	0.279971370292483	0.124980311982375	0.0621092656293412	0.0540731547373313	0.0193691305182996	0.0557365781268748	0.0193691305182996	0.0193691305182996	0.0557365781268748	0.0612845174943697	0.0717749851659374	0.0193691305182996
