"Rhombomys_opimus"	"Spermophilus_pygmaeus"	"Spermophilus_fulvus"	"Meriones_meridianus"	"Stylodipus_telum"	"Allactaga_elater"	"Allactaga_major"	"Pygeretmus_pumilio"	"Meriones_tamariscinus"	"Cricetulus_migratorius"	"Allocricetulus_eversmanni"	"Xenopsylla_skrjabini"	"Nosopsyllus_laeviceps"	"Coptopsylla_lamellifer"	"Neopsylla_setosa"	"Citellophilus_trispinus"	"Rhadinopsylla_cedestis"	"Echidnophaga_oschanini"	"Oropsylla_ilovaiskii"	"Citellophilus_tesquorum"	"Ctenophthalmus_dolichus"	"Mesopsylla_hebes"	"Mesopsylla_tuschkan"	"Mesopsylla_lenis"	"Ctenophthalmus_breviatus"	"Xenopsylla_conformis"	"Ophthalmopsylla_volgensis"	"Frontopsylla_semura"	"Amphipsylla_schelkovnikovi"	"Amphipsylla_kalabukhovi"	"Paradoxopsyllus_repandus"	"Leptopsylla_segnis"	"Stenoponia_conspecta"
"Rhombomys_opimus"	1.93161426486403	0.670470570614129	0.241735084662579	0.503872966410841	0.43846930410889	0.390771839197015	0.233317469688834	0.268849241270064	0.2890248924925	0.142789858627389	0.152242402800576	0.376455868263356	0.373585966001194	0.161873457720158	0.301859291660293	0.198057217535777	0.269323223865371	0.234585047770528	0.30398611409926	0.196771635460586	0.124636611515926	0.335162980434668	0.303035262243505	0.340195605563969	0.194765913391328	0.162427083996739	0.299499330392822	0.19568083828893	0.0321277181911625	0.0342545406301296	0.0869226419188811	0.124713114399694	0.0869226419188811
"Spermophilus_pygmaeus"	0.838088213267661	1.70388722177282	0.253310514915148	0.482027284086238	0.460580280925454	0.408663539960469	0.243354206011846	0.280336015842234	0.283016074250792	0.148967985633729	0.160926558070455	0.391103923042313	0.388118588908125	0.110253796878615	0.315687605896165	0.20794198403414	0.278920373736636	0.242600584005112	0.318378284694428	0.209238044225666	0.133557625821766	0.350237361597528	0.316719564829939	0.353107345805041	0.207449942554246	0.169709672128233	0.316775994089324	0.208021185584836	0.0335177967675889	0.0362084755658523	0.0377139695970448	0.0738660159035126	0.0377139695970448
"Spermophilus_fulvus"	0.80578361554193	0.675494706440394	1.34928359799076	0.466845714753077	0.473488541971762	0.402174414806199	0.209868811888951	0.259924726659351	0.29983768275063	0.171467374539128	0.148988707394657	0.490048251611952	0.497148089099913	0.109824250516663	0.425178636461487	0.315199938846069	0.217435418514124	0.179301149537278	0.420120936353981	0.315389351251145	0.074256839936659	0.287685311973846	0.249105152702543	0.287655711913338	0.146519270716328	0.10927026854314	0.24761418325986	0.149192508885088	0.0385801592713038	0.0335224591637979	0.0362602626993869	0.0712736913058677	0.0362602626993869
"Meriones_meridianus"	0.839788277351402	0.642703045448317	0.233422857376539	1.57676830022719	0.423783292921731	0.406226974812245	0.249973678527034	0.288421495533453	0.311793227128246	0.158111058588027	0.132165686822656	0.413113692276955	0.411192628680206	0.196135795628627	0.334022164337987	0.149043648024536	0.305931033379641	0.26978389371415	0.328184455690779	0.14362912590554	0.0739425187872809	0.373587551222006	0.338012563039699	0.378100263670474	0.138352976834157	0.19220014130432	0.249492220057758	0.145176125032161	0.0355749881823061	0.0297372795350977	0.0377904724808131	0.156048094997852	0.0377904724808131
"Stylodipus_telum"	0.797216916561618	0.669934954073388	0.258266477439143	0.462309046823706	1.50708523804088	0.433259372826035	0.2486966259676	0.290781251244919	0.253981711120963	0.161680153012715	0.179946147625877	0.416617516314745	0.415691056847465	0.103202731186889	0.345650104543281	0.14495336545761	0.217266076782207	0.178191066248657	0.349759953331242	0.235605548049299	0.0735586024119009	0.381600787696896	0.345222753269035	0.377877544698873	0.23735345964925	0.108231780923679	0.35103745797308	0.23585891998777	0.036378034427861	0.0404878832158223	0.0358747612452728	0.0705479397570508	0.0358747612452728
"Allactaga_elater"	0.781543678394031	0.653861663936751	0.241304648883719	0.487472369774694	0.476585310108638	1.45796686630664	0.255934160510292	0.313216944768707	0.27428479974876	0.16612997659702	0.154857475707591	0.428841733369135	0.427830854026921	0.10699508179996	0.352294915446104	0.143410069995858	0.31526256840569	0.182164924472946	0.349758602745982	0.147138225011075	0.0719491841241736	0.394760092231781	0.357380847497451	0.392646036036577	0.145785459712725	0.108509611857276	0.355663351798557	0.242159545646114	0.0373792447343295	0.034842932034208	0.0351694655277314	0.0717298932608335	0.0351694655277314
"Allactaga_major"	0.777724898962779	0.648944549364922	0.209868811888951	0.499947357054067	0.455943814273933	0.42655693418382	1.32444947227308	0.32933261737366	0.295928334270754	0.146153145085241	0.148307960005635	0.495229857512998	0.329446894316216	0.110541600924334	0.249056200533363	0.141029001830399	0.227777620993554	0.345712152667073	0.249541033890451	0.140285567033585	0.0715007513551019	0.458586064681881	0.425701607037702	0.463749535729656	0.14217453625151	0.108996803134157	0.421574846259915	0.147195369326786	0.0328844576441793	0.0333692910012679	0.034997620453325	0.0724936722323801	0.034997620453325
"Pygeretmus_pumilio"	0.768140689343038	0.640768036210819	0.222792622850872	0.49443684948592	0.456941966242016	0.447452778241011	0.282285100605994	1.34900473508498	0.295981680465394	0.161332305415687	0.144021130791108	0.472609119631212	0.466566123258843	0.109703882220289	0.255067869830938	0.142083213973334	0.359461300238336	0.188089849348046	0.251172855540407	0.141414587359273	0.0706095330572953	0.437435207433703	0.401135438715174	0.439190226203582	0.140400448359641	0.107692296768739	0.396457429431729	0.148266443973333	0.0362997687185297	0.0324047544279992	0.0345663310204367	0.0716490947318808	0.0345663310204367
"Meriones_tamariscinus"	0.825785407121427	0.646893884001811	0.257003728071969	0.534502675076993	0.399114117475798	0.391835428212515	0.25365285794636	0.295981680465394	1.40173372316838	0.140302638190179	0.116351755006019	0.476431987550967	0.469952152451804	0.257470951215744	0.251674457698891	0.292321590770867	0.36717870821838	0.3319066608828	0.246285508982454	0.144753474936199	0.0735481242955661	0.289226614668457	0.257658521075667	0.437881428340172	0.132382060601758	0.113635824926341	0.243749965321247	0.14146810426453	0.0315680935927903	0.0261791448763543	0.0371603433204642	0.0772480439512388	0.0371603433204642
"Cricetulus_migratorius"	0.713949293136945	0.595871942534914	0.257201061808692	0.474333175764082	0.444620420784968	0.41532494149255	0.219229717627862	0.282331534477453	0.245529616832813	1.50267754315747	0.112088647119098	0.314310261530051	0.619528251096301	0.0992707999662589	0.551660388784982	0.135793767822846	0.206467610186707	0.165673054378027	0.238777887176349	0.140603708657916	0.0656455149587515	0.582264455876387	0.244162008665957	0.275730102258747	0.127243494988409	0.101220503141058	0.233806966085448	0.139402794120942	0.33810244721043	0.0252199456017969	0.0321277181911626	0.0677027063734687	0.0321277181911626
"Allocricetulus_eversmanni"	0.76121201400288	0.64370623228182	0.223483061091986	0.396497060467969	0.494851905971161	0.387143689268977	0.222461940008452	0.252036978884438	0.203615571260533	0.112088647119098	1.56606079437953	0.301006760450529	0.292857415051058	0.0901709650415815	0.234273515746705	0.130164620236134	0.193627127069641	0.159748731608702	0.561417248880302	0.144473358575602	0.0704630161959819	0.266525102012174	0.241305156410377	0.267484301286731	0.463314578147198	0.10020029573108	0.563931555610673	0.145793831446012	0.0252199456017969	0.352363678735394	0.0342545406301296	0.0639918201652273	0.0342545406301296
"Xenopsylla_skrjabini"	0.836568596140791	0.695295863186335	0.326698834407968	0.550818256369273	0.50919918660691	0.476490814854595	0.330153238341999	0.367584870824276	0.370558212539641	0.139693449568912	0.133780782422457	1.39604519495736	0.377953235359069	0.126600154809128	0.283049124640851	0.173404003046859	0.255855632413394	0.215233532864659	0.281718774532898	0.167422555923237	0.0767559791305669	0.330828197194077	0.299397171041071	0.347040369796168	0.148518406807094	0.118067348358262	0.288186477858429	0.161301904098955	0.0314310261530051	0.0301006760450529	0.0376455868263356	0.0789569560540311	0.0376455868263356
"Nosopsyllus_laeviceps"	0.830191035558208	0.689988602503334	0.331432059399942	0.548256838240274	0.508066847258013	0.475367615585468	0.219631262877477	0.362884762534656	0.365518340795847	0.275345889376134	0.130158851133804	0.377953235359069	1.40696137103708	0.12547307471332	0.313309543466013	0.172880479646104	0.253724631332709	0.197229623035754	0.280642459861488	0.16745437008567	0.0761704554909319	0.343196036313527	0.281243211203897	0.328238426449077	0.147025302680784	0.117289718358952	0.269409689840982	0.16052264657837	0.0619528251096301	0.0292857415051058	0.0373585966001194	0.0784778594681399	0.0373585966001194
"Coptopsylla_lamellifer"	1.07915638480106	0.588020250019277	0.219648501033326	0.784543182514508	0.378410014351926	0.356650272666533	0.221083201848668	0.255975725180673	0.600765552836736	0.132361066621679	0.120227953388775	0.379800464427384	0.376419224139961	1.18464406136936	0.266266774109151	0.191826736899354	0.282729889639018	0.250882680710243	0.263536823631748	0.145546270890697	0.0816381763796319	0.299393143897539	0.269611903907661	0.346853189272385	0.139650285248173	0.14047891506822	0.237822454731548	0.144697520275686	0.0297812399898777	0.0270512895124745	0.0485620373160476	0.107402776004636	0.0485620373160476
"Neopsylla_setosa"	0.862455119029407	0.721571670619806	0.364438831252703	0.572609424579406	0.543164449996584	0.503278450637291	0.213476743314311	0.255067869830938	0.251674457698891	0.315234507877132	0.133870580426688	0.363920303109665	0.402826555884873	0.114114331761065	1.33767397091675	0.166422856077879	0.23279223919762	0.186724249730575	0.296867087240403	0.178505439243586	0.0793988868286874	0.347824098132829	0.276896333860474	0.30925447842176	0.153960495151686	0.122344593672143	0.264071507613023	0.169134675113037	0.0709277642723548	0.0301208805960049	0.0388104803563233	0.0817561871997789	0.0388104803563233
