"Microtus_arvalis"	"Lagurus_lagurus"	"Marmota_bobak"	"Arvicola_terrestris"	"Allocricetulus_eversmanni"	"Apodemus_uralensis"	"Microtus_gregalis"	"Spermophilus_major"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Microtus_oeconomus"	"Spermophilus_pygmaeus"	"Allactaga_major"	"Cricetus_cricetus"	"Spermophilus_fulvus"	"Micromys_minutus"	"Ctenophthalmus_breviatus"	"Ctenophthalmus_assimilis"	"Citellophilus_tesquorum"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Oropsylla_ilovaiskii"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Mesopsylla_hebes"	"Amphipsylla_prima"	"Frontopsylla_semura"	"Palaeopsylla_soricis"	"Leptopsylla_segnis"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Amphipsylla_kalabukhovi"	"Amphipsylla_kuznetzovi"
"Microtus_arvalis"	1.62144650271685	0.309867358922926	0.174146147797531	0.334185052000668	0.343316672907767	0.433821978831047	0.314942170528814	0.164915034471511	0.218264243912682	0.455607439804898	0.249842828402431	0.164755810887331	0.140977049555352	0.17572088687377	0.113978433521065	0.0473702836021945	0.806846970908651	0.661563706303095	0.592117022880434	0.651248995960932	0.50518062588045	0.125961155264378	0.157900945340648	0.332123089434597	0.1053240912709	0.0422931148666055	0.114354224009614	0.0856910309924845	0.0491094548803534	0.111294365465618	0.0836202733225189	0.0522438443392593	0.051497500936165	0.208471693206453
"Lagurus_lagurus"	0.433814302492097	1.42277131675042	0.188724497921161	0.330631109239125	0.370781655186012	0.383615790346583	0.306369005197583	0.178701860829053	0.228697319572331	0.492310859704312	0.233974081244454	0.178524986288656	0.152736927042568	0.189456687496011	0.12337207153511	0.0486754238913602	0.864418073993941	0.707092774766888	0.648333581625796	0.705649793944686	0.343919792570136	0.136443257822019	0.162251412971201	0.176615603691526	0.104101065183777	0.0458210781127702	0.319395947548488	0.0926288697384348	0.0514568969037745	0.120134116782215	0.0905691173471298	0.0566173493763483	0.0556172482779018	0.0557761246061268
"Marmota_bobak"	0.406341011527572	0.314540829868602	1.62006199650048	0.316212604620881	0.364311374768196	0.359321551622239	0.249058702740765	0.226041115560288	0.213467565745438	0.292089878281698	0.214289451468492	0.23239311212556	0.120025570581552	0.165036773334226	0.136109515135265	0.0338568408555906	1.08846019612857	0.452954709794336	0.897873268761829	0.442228084095935	0.293660451910035	0.144652860383131	0.112856136185302	0.143696490004528	0.0962453288731342	0.0360076711744656	0.0941717622982809	0.0954795607558087	0.0480302022927235	0.0870654449222005	0.110550788178247	0.486018598950143	0.0546467062152294	0.0522438443392593
"Arvicola_terrestris"	0.467859072800935	0.330631109239125	0.189727562772528	1.3607391861186	0.371225400640451	0.413721094376827	0.335104886270663	0.179419769290605	0.235625931330493	0.423071346009834	0.269278576268764	0.179400101443704	0.151676569784435	0.184979333915028	0.123555310554506	0.0471426439203456	0.876322360742213	0.710659217859776	0.646906166829153	0.698052474759782	0.542445973551305	0.136395494888864	0.157142146401152	0.176606360860766	0.113603514209833	0.0455029709353304	0.113908487007164	0.0927504032624196	0.053015834549361	0.10988868751863	0.0908866235994632	0.0569182688317585	0.0556838100960677	0.0601533093601202
"Allocricetulus_eversmanni"	0.400536118392395	0.30898471265501	0.182155687384098	0.309354500533709	1.62916595114023	0.354188367549846	0.277429214642582	0.188527853352141	0.214328589163986	0.348603634699297	0.21649380975535	0.19473497940819	0.165984716610318	0.170971891956452	0.262756336279207	0.0389415312140325	0.828091129136425	0.651994472824642	0.629927263156974	0.656146415637822	0.303778399313809	0.1851806718725	0.129805104046775	0.149446223387123	0.0969350397568507	0.0497954149830954	0.100437715596383	0.323201793554796	0.0482239325618969	0.0961120349054165	0.137247394706219	0.0546467062152294	0.244374892671034	0.051497500936165
"Apodemus_uralensis"	0.506125641969555	0.319679825288819	0.179660775811119	0.344767578647356	0.354188367549846	1.44755967482736	0.324915339262226	0.170137343896442	0.225175944969917	0.470035008732053	0.257754517968508	0.169973078232097	0.145441322791271	0.181285381624773	0.117587750582565	0.0488703425829307	0.832397124987425	0.68251322366936	0.610867395271647	0.671871880833028	0.521178012366665	0.129949925181084	0.162901141943102	0.342640320600025	0.108659354161146	0.0436323968373813	0.117975441103251	0.0884045803072465	0.0506645876182312	0.114818687038696	0.0862682486443987	0.0538982327433358	0.0531282551324769	0.065073296824657
"Microtus_gregalis"	0.440919038740339	0.306369005197584	0.149435221644459	0.335104886270663	0.332915057571099	0.389898407114671	1.42169123403574	0.14472928539048	0.232253719437427	0.524772248914982	0.26913593471837	0.142654540358111	0.145299564800087	0.189097223313184	0.105988634143039	0.132893893086606	0.837068886385694	0.716764722891464	0.411622625080251	0.704271087140392	0.559423956446814	0.118805245300082	0.442979643622019	0.182645069480028	0.112812672185054	0.0435898694400262	0.122617138653206	0.0817338488785766	0.0522570868734211	0.124199884711596	0.074592952350345	0.0448305664933378	0.0499372586356648	0.0566895906951864
"Spermophilus_major"	0.384801747100193	0.297836434715089	0.226041115560288	0.299032948817675	0.377055706704283	0.340274687792885	0.2412154756508	1.3428732075025	0.197965026201312	0.287441386869106	0.199828911093196	0.241191669752197	0.310267605375941	0.161184040957809	0.323116888715851	0.0330310419277223	0.988819990192171	0.434389729800648	0.80754235639642	0.486321587809509	0.279678684650994	0.592877310478286	0.110103473092408	0.1374724632507	0.0895036358912643	0.0930802816127822	0.0905673079890296	0.153493422620398	0.0445421308952953	0.0853119620276562	0.169292567540414	0.0678123346680863	0.0565583560056424	0.0494745103414533
"Sorex_araneus"	0.381962426847193	0.285871649465414	0.160100674309078	0.294532414163117	0.321492883745979	0.337763917454875	0.290317149296784	0.148473769650984	1.72247663743301	0.344796421463998	0.425440422470498	0.150863534089716	0.101725870097594	0.156731849228701	0.100914553644277	0.0396937213756289	0.97286008004887	0.832340100339269	0.390302099928551	0.426596077658869	0.345102027451171	0.105334258017857	0.13231240458543	0.144105010972527	0.483281338478288	0.0305177610292783	0.0957878653777171	0.07849829865518	0.387557243422426	0.0913505232425529	0.0755334263201981	0.0480302022927235	0.0482239325618969	0.0491094548803534
"Clethrionomys_glareolus"	0.455607439804898	0.351650614074508	0.125181376406442	0.302193818578453	0.29880311545654	0.40288715034176	0.374837320653559	0.123189165801045	0.197026526550856	1.68492541199323	0.23364052943361	0.12022652634005	0.136785656636537	0.246014546958861	0.0934336333884462	0.116755062318046	0.630277927116829	0.662527709721183	0.392102757715026	0.680467683203298	0.510079163395348	0.106022536747809	0.389183541060155	0.335644439211023	0.0969000875965048	0.0410356969909612	0.279930377789684	0.0728505573350149	0.0443309684739426	0.290437631343931	0.0640980479185488	0.0375544129219326	0.044820467318481	0.0585780994034869
