"Rhombomys_opimus"	"Meriones_meridianus"	"Meriones_libycus"	"Spermophilus_fulvus"	"Meriones_tamariscinus"	"Allactaga_elater"	"Dipus_sagitta"	"Cricetulus_migratorius"	"Ellobius_talpinus"	"Spermophilopsis_leptodactylus"	"Pygeretmus_pumilio"	"Diplomesodon_pulchellum"	"Microtus_socialis"	"Crocidura_suaveolens"	"Allactaga_major"	"Allactaga_severtzovi"	"Eremodipus_lichtensteini"	"Xenopsylla_gerbilli"	"Coptopsylla_lamellifer"	"Nosopsyllus_laeviceps"	"Xenopsylla_conformis"	"Xenopsylla_skrjabini"	"Echidnophaga_oschanini"	"Ctenophthalmus_dolichus"	"Citellophilus_trispinus"	"Neopsylla_setosa"	"Nosopsyllus_turkmenicus"	"Rhadinopsylla_cedestis"	"Stenoponia_conspecta"	"Xenopsylla_hirtipes"	"Stenoponia_vlasovi"	"Oropsylla_ilovaiskii"	"Nosopsyllus_tersus"	"Nosopsyllus_aralis"	"Rostropsylla_daca"	"Mesopsylla_lenis"	"Mesopsylla_tuschkan"	"Desertopsylla_rothschildi"	"Ophthalmopsylla_volgensis"	"Frontopsylla_macrophthalma"	"Amphipsylla_rossica"	"Synosternus_longispinus"	"Mesopsylla_eucta"	"Paradoxopsyllus_repandus"	"Leptopsylla_nana"	"Mesopsylla_hebes"	"Nosopsyllus_fidus"
"Rhombomys_opimus"	1.97232512450072	0.449905817011737	0.653957019839113	0.449376724298749	0.357330738748398	0.398353944590877	0.206484657473618	0.266905226488335	0.119008395200256	0.0932251623726564	0.0492997242350818	0.135680193122805	0	0.0632305746874271	0	0.0246498621175409	0.0234247300495281	0.403437424028185	0.36148610096049	0.330958057507859	0.397188619520567	0.16053282734534	0.188204387884306	0.250814612926794	0.197343303282664	0.230551732168203	0.19630919062397	0.123765640811806	0.19630919062397	0.16053282734534	0.232011709184047	0.16053282734534	0.16057611674913	0.19630919062397	0.126479542689155	0.117120815087986	0.0547774713723131	0.052054955665618	0.0547774713723131	0.0693597820000603	0	0.117120815087986	0.0547774713723131	0.0845282196214595	0.0284537586093422	0	0.030528043452631
"Meriones_meridianus"	0.858911105204224	1.54068360605687	0.659692448220205	0.405882200573606	0.426926507754655	0.343717339073278	0.237591650468478	0.273376289533258	0.123950271019369	0.0708078986977941	0.0425379747363415	0.152276087623994	0	0.0785818537736194	0	0.0212689873681708	0.0269536746329786	0.443384278218834	0.411520723804827	0.377258604089428	0.448705805110637	0.109600566513831	0.133289727445826	0.311708019968691	0.235656497918484	0.181934027902489	0.245140605010655	0.0763920228305362	0.245140605010655	0.109600566513831	0.282325686316466	0.109600566513831	0.202447954235189	0.245140605010655	0.0686740303513313	0.064932803679683	0.0472644163737128	0.0598970547399524	0.0472644163737128	0.0613308714256542	0	0.064932803679683	0.0472644163737128	0.0368104759373239	0.0353618341981288	0	0.0342621197153986
"Meriones_libycus"	0.915539827774758	0.48377446202815	1.72650683998684	0.473194225054032	0.37929846281802	0.336970111643567	0.207389016483138	0.260915338859798	0.130495084454091	0.0689007009587157	0.0417029473539021	0.142508166011057	0	0.0515839122344742	0	0.0208514736769511	0.0235273253993475	0.414349660876886	0.383344345445463	0.351280008092975	0.422492870781691	0.181543722730342	0.13906985204628	0.204616185196748	0.221125269623554	0.254238505919972	0.220339224764571	0.142827831589557	0.220339224764571	0.181543722730342	0.259487750100799	0.181543722730342	0.18240937848277	0.220339224764571	0.0702427366217689	0.0668077030520932	0.0463366081710023	0.0522829453318834	0.0463366081710023	0.0662861730025308	0	0.0668077030520931	0.0463366081710023	0.0392374211903468	0.0232127605055134	0	0.0320643373524879
"Spermophilus_fulvus"	0.857901019115793	0.405882200573606	0.645264852346407	1.58017927286467	0.319729435474032	0.438858298750087	0.217517874537145	0.297238831319564	0.12258806434486	0.0707089128323827	0.0543124861707518	0.152008619217814	0	0.0491353865728329	0	0.0271562430853759	0.0246763975315249	0.442723600485943	0.410904589711371	0.376702650387363	0.447681009014829	0.204770472726882	0.240177590835308	0.194903700072237	0.237979016410177	0.279763313199998	0.140664564905017	0.0754830776743184	0.140664564905017	0.204770472726882	0.177440984208475	0.204770472726882	0.108691621357613	0.140664564905017	0.0685861973081062	0.0726737746130866	0.0603472068563909	0.0548364389589442	0.0603472068563909	0.165193983132116	0	0.0726737746130866	0.0603472068563909	0.036767186533534	0.0221109239577748	0	0.0342019393240081
"Meriones_tamariscinus"	0.833771723746262	0.521799065033467	0.632164104696699	0.390780421134928	1.45351847799595	0.353574985002918	0.251293713307618	0.285375867510241	0.129130222332211	0.0727230142520441	0.0437579431401626	0.160095640819915	0	0.0847856338611313	0	0.0218789715700813	0.0285081103332172	0.465741340248081	0.433015983834661	0.39699446465018	0.471755050534324	0.105635863704045	0.133326062797175	0.336316347649154	0.14832851447951	0.181066113369311	0.261707418731702	0.0736629201566418	0.261707418731702	0.105635863704045	0.300446485431365	0.105635863704045	0.116355570932107	0.261707418731702	0.0684584302882597	0.0646619362841695	0.0486199368224028	0.0633513562960381	0.0486199368224028	0.0609018059567329	0	0.0646619362841695	0.0486199368224028	0.0357330738748398	0.0381535352375091	0	0.036021519184481
"Allactaga_elater"	0.760493894218946	0.343717339073278	0.459504697695773	0.438858298750087	0.289288624093297	1.78912807783988	0.207600215440837	0.268703408230755	0.0929938130011374	0.0667063615530197	0.221419976019909	0.146311849800756	0	0.0441700660642409	0	0.110709988009955	0.0235512849449689	0.428129504206626	0.398111641507767	0.365191475302597	0.426009785408108	0.0960694654078252	0.249429970973036	0.175207928721489	0.124191793150184	0.158515190366406	0.117214067479961	0.0601628773282726	0.117214067479961	0.0960694654078253	0.145112211380303	0.0960694654078253	0.0882852050706317	0.117214067479961	0.0626104581653851	0.178975801835244	0.246022195577677	0.0523361887665976	0.246022195577677	0.18228979444827	0	0.178975801835244	0.246022195577677	0.0325925954665263	0.0198765297289084	0	0.0329201662051701
"Dipus_sagitta"	0.722696301157663	0.435584692525543	0.518472541207844	0.398782769984767	0.376940569961427	0.380600394974868	1.41598755943075	0.315979385932652	0.107618668121057	0.0770054566543385	0.0471025698899379	0.180588154918028	0	0.101610300895892	0	0.0235512849449689	0.160637244137102	0.527490414470731	0.492837958976278	0.452205624119722	0.525123559412595	0.0947087322740851	0.135366333166224	0.403054193553706	0.130347479844357	0.167620253758886	0.135413855659928	0.0620810510935133	0.135413855659928	0.0947087322740852	0.167699456096245	0.0947087322740852	0.097719798663785	0.135413855659928	0.0656251541154951	0.0621127309371683	0.0523361887665977	0.356971653638005	0.0523361887665977	0.0637677134966974	0	0.0621127309371683	0.0523361887665977	0.0309726986210427	0.0457246354031515	0	0.0406323348565563
"Cricetulus_migratorius"	0.800715679465006	0.429591312123691	0.55910429755671	0.467089592073601	0.366911829656024	0.422248212934043	0.270839473656558	1.36155170399289	0.136156581128826	0.0759141226888766	0.052256845298178	0.172406273011038	0	0.0915180619950563	0	0.026128422649089	0.0307254865072566	0.501101544734727	0.466940189524732	0.428148778097249	0.50778716386338	0.106079065285847	0.282137036146912	0.363021645913724	0.141227445368694	0.321982687280723	0.139702207164638	0.0678626441161886	0.139702207164638	0.106079065285847	0.180549181503286	0.106079065285847	0.103011024199036	0.139702207164638	0.0684777414727805	0.0688639673210259	0.05806316144242	0.0682788589050147	0.05806316144242	0.0727640022278982	0	0.0688639673210258	0.05806316144242	0.034316386262786	0.0411831278977753	0	0.0387914114274836
"Ellobius_talpinus"	0.833058766401792	0.454484327071021	0.652475422270454	0.449489569264486	0.387390666996632	0.340977314337504	0.215237336242114	0.317698689300594	1.2529300496436	0.0597961598342351	0.0421988731265666	0.159365429789266	0	0.0525381728930377	0	0.0210994365632833	0.0244176810022567	0.351347823508533	0.324439551583127	0.288582329880542	0.700318566476207	0.111627463199762	0.141224056102524	0.208401419142383	0.148812544505573	0.52835345243149	0.150775191901778	0.074851043896304	0.150775191901778	0.111627463199762	0.526654206794859	0.111627463199762	0.112036125202115	0.150775191901778	0.0626107904854826	0.063600662460418	0.0468876368072962	0.0542615133383481	0.0468876368072962	0.0646745632037991	0	0.063600662460418	0.0468876368072962	0.0357025185600768	0.0236421778018669	0	0.0358572217025847
"Spermophilopsis_leptodactylus"	0.978864204912892	0.389443442837868	0.516755257190368	0.388899020578105	0.327253564134199	0.366884988541608	0.231016369963016	0.265699429411068	0.0896942397513527	1.38269055888975	0.0454051704688621	0.181777614008931	0	0.0498637093648065	0	0.0227025852344311	0.0262077394495858	0.93130694815682	0.309096196656432	0.268196233504423	0.336004468581838	0.10477564927369	0.137949551751121	0.197792713813732	0.136639203687697	0.16584527640909	0.137545549326545	0.0729566384991174	0.137545549326545	0.10477564927369	0.16445382125195	0.10477564927369	0.104820192913125	0.137545549326545	0.664162074568084	0.0719691857665542	0.0504501894098468	0.0582394209990795	0.0504501894098468	0.0618368734734311	0	0.0719691857665542	0.0504501894098468	0.0419513230676954	0.0224386692141629	0	0.0408999631520095
