"Clethrionomys_rutilus"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Sorex_caecutiens"	"Sorex_arcticus"	"Sciurus_vulgaris"	"Sorex_daphaenodon"	"Alticola_macrotis"	"Lemmus_sibiricus"	"Spermophilus_parryii"	"Sorex_cinereus"	"Sorex_minutissimus"	"Sorex_roboratus"	"Megabothris_advenarius"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Megabothris_calcarifer"	"Amalaraeus_penicilliger"	"Ceratophyllus_indages"	"Catallagia_ioffi"	"Tarsopsylla_octodecimdentata"	"Oropsylla_alaskensis"	"Megabothris_beljaevi"	"Amphipsylla_marikovskii"	"Rhadinopsylla_pseudodahurica"	"Peromyscopsylla_ostsibirica"	"Ctenophyllus_armatus"	"Neopsylla_acanthina"
"Clethrionomys_rutilus"	1.99139497490637	0.612530425036656	0.746832791938976	0.372747764375382	0.241579229259657	0.0832591899999826	0.0769237424570852	0.249138321188947	0.403746329915849	0.246652405239325	0	0.0832591899999826	0.0775467652093131	0.0775467652093131	0.628236575947252	0.775467652093131	0.555061266666551	0.490735366553617	0.414672488009989	0.101710281693257	0.481767085597558	0.0346156841056884	0	0.0726743393848529	0.341998148625136	0.263244236834709	0.330338834422278	0.0670945975875688	0.179225547741574
"Microtus_oeconomus"	0.87504346433808	1.66663874937113	0.710737992262926	0.342448933621535	0.264442549465061	0.0934269514637692	0.0706709901231703	0.274363429693066	0.435464041420057	0.267410310946897	0	0.0934269514637692	0.0845417652836914	0.0845417652836914	0.672574254470225	0.845417652836913	0.622846343091795	0.53552618303114	0.451377588294762	0.093442753607303	0.513018396346638	0.0318019455554266	0	0.0783835274556103	0.372994060839151	0.158711935920006	0.220352743971883	0.0616408080518764	0.0787539117904272
"Clethrionomys_rufocanus"	0.93354098992372	0.621895743230061	1.79572522264841	0.398149889426424	0.227391115770439	0.0621989470914891	0.082165964442141	0.235024981860226	0.426507024452337	0.257677338095265	0	0.0621989470914891	0.0803408653524219	0.0803408653524219	0.659954581428548	0.803408653524219	0.414659647276594	0.513806496757307	0.442767065172081	0.10864166409572	0.514434045268837	0.0369746839989635	0	0.0767712644014207	0.36599580077066	0.286037776641081	0.357704756737837	0.0716669800967563	0.0840186890931348
"Tamias_sibiricus"	0.745495528750764	0.47942850707015	0.637039823082279	1.88167964052887	0.194297362020381	0.0480705678396739	0.388321148746086	0.156396053025067	0.376886917732328	0.201632780630631	0	0.0480705678396739	0.0529194987354688	0.0529194987354688	0.725723409018522	0.529194987354688	0.320470452264492	0.307811035832911	0.268242030928021	0.513446852230936	0.606944366223218	0.174744516935739	0	0.0678396451918191	0.200402385736202	0.138761577684325	0.477463912979523	0.338702335295197	0.0670945975875688
"Sorex_caecutiens"	0.805264097532189	0.617032615418476	0.60637630872117	0.323828936700635	1.34934402494046	0.133661396910912	0.0668283920324878	0.312919079556281	0.412082541183913	0.28772151652043	0	0.133661396910912	0.107218794154488	0.107218794154488	0.843607596806033	1.07218794154488	0.89107597940608	0.40021604717156	0.294198725761651	0.0883619850207338	0.352487934367766	0.0300727764146195	0	0.0741748574131043	0.220023868348547	0.140691103509029	0.198980312115143	0.0582892086061144	0.072473768777897
"Sorex_arcticus"	0.832591899999826	0.653988660246385	0.497591576731913	0.240352839198369	0.400984190732736	1.26756037936793	0.0496014776434852	0.40938131684461	0.298372576307961	0.205316899387279	0	0.267560379367928	0.0699278494542119	0.0699278494542119	0.493857481526861	0.699278494542119	1.78373586245285	0.399406044569284	0.26870364343515	0.0655841759952748	0.311967154490856	0.0223206649395683	0	0.0537070637354329	0.214996579699717	0.130912323382325	0.174175834438031	0.0432635110557065	0.0749332709999844
"Sciurus_vulgaris"	0.384618712285426	0.247348465431096	0.328663857768564	0.970802871865215	0.100242588048732	0.0248007388217426	2.74811473279257	0.0806884095224866	0.194444842906488	0.104027103382682	0	0.0248007388217426	0.0273024165450508	0.0273024165450508	0.374417809748409	0.273024165450508	0.165338258811617	0.158806967531629	0.138392385383246	1.41139614669239	0.313136902318985	1.23665162975665	0	0.0350000717231678	0.103392313660078	0.0715903681046518	0.246334885040391	0.174744516935739	0.0346156841056884
"Sorex_daphaenodon"	0.830461070629823	0.640181335950487	0.626733284960604	0.260660088375111	0.312919079556281	0.136460438948204	0.0537922730149911	1.37727073472145	0.362129166775079	0.308447889906043	0	0.136460438948204	0.108821046475283	0.108821046475283	0.526070176588403	1.08821046475283	0.90973625965469	0.73327360721092	0.292741269842186	0.071125338764266	0.339660085749706	0.024206522856746	0	0.0651832500195143	0.227558019822672	0.145248990914752	0.192167806822272	0.04691881590752	0.074741496356684
"Alticola_macrotis"	0.807492659831699	0.60964965798808	0.682411239123739	0.376886917732328	0.247249524710348	0.0596745152615921	0.0777779371625952	0.217277500065048	1.68874257448209	0.254035135386688	0	0.0596745152615921	0.0911428588655226	0.0911428588655226	0.75002783786959	0.911428588655226	0.397830101743948	0.369222921877405	0.53180279464866	0.102839716914987	0.599642439840479	0.0350000717231678	0	0.303973663406776	0.227829131241884	0.149445603786274	0.217285248978093	0.0678396451918191	0.0726743393848529
"Lemmus_sibiricus"	0.822174684131084	0.623957392209426	0.68713956825404	0.336054634384385	0.28772151652043	0.0684389664624264	0.0693514022551216	0.308447889906043	0.423391892311147	1.35054196516293	0	0.0684389664624264	0.108749508338692	0.108749508338692	0.85970143559465	1.08749508338692	0.456259776416176	0.729218972805138	0.307732556900453	0.0916979652039941	0.368222391089642	0.0312081310148047	0	0.0762105406160065	0.231522016284446	0.151298923000377	0.211788757189567	0.0604898341891894	0.0739957215717975
"Spermophilus_parryii"	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Sorex_cinereus"	0.832591899999826	0.653988660246385	0.497591576731913	0.240352839198369	0.400984190732736	0.267560379367928	0.0496014776434852	0.40938131684461	0.298372576307961	0.205316899387279	0	1.26756037936793	0.0699278494542119	0.0699278494542119	0.493857481526861	0.699278494542119	1.78373586245285	0.399406044569284	0.26870364343515	0.0655841759952748	0.311967154490856	0.0223206649395683	0	0.0537070637354329	0.214996579699717	0.130912323382325	0.174175834438031	0.0432635110557065	0.0749332709999844
"Sorex_minutissimus"	0.775467652093131	0.591792356985839	0.642726922819375	0.264597493677344	0.321656382463465	0.0699278494542119	0.0546048330901016	0.326463139425848	0.455714294327613	0.326248525016076	0	0.0699278494542119	1.18201529796481	0.182015297964813	0.542214050345638	1.82015297964813	0.466185663028079	0.413999955593461	0.300215029239854	0.0721997237524677	0.347842578101776	0.0245721748905457	0	0.0820285729789703	0.218186456260884	0.142098867505562	0.189726416367484	0.0476275488619219	0.0697920886883818
