"Lagurus_lagurus"	"Allactaga_major"	"Allocricetulus_eversmanni"	"Alticola_strelzowi"	"Spermophilus_erythrogenys"	"Clethrionomys_rutilus"	"Cricetulus_barabensis"	"Microtus_oeconomus"	"Apodemus_uralensis"	"Microtus_arvalis"	"Apodemus_agrarius"	"Sicista_subtilis"	"Allactaga_sibirica"	"Microtus_gregalis"	"Ctenophthalmus_arvalis"	"Mesopsylla_hebes"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Callopsylla_caspia"	"Neopsylla_pleskei"	"Amphipsylla_primaris"	"Pectinoctenus_nemorosa"	"Amphipsylla_rossica"	"Megabothris_walkeri"	"Leptopsylla_segnis"	"Ophthalmopsylla_volgensis"
"Lagurus_lagurus"	1.59513744235963	0	0.717178284970084	0.236333384432418	0.806702547241049	0.249489476377334	0.122040842610456	0.595137442359629	0	0.362772483925883	0.124775249248393	0.378315283801206	0	0.075275457410764	1.35499792529554	0	0.271201872467679	0.250918191369213	1.13389591574798	0.0709000153297255	0.963654038037435	0.216106473833114	0	0.254038203681154	0.164980607339542	0.0561488621617768	0
"Allactaga_major"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0
"Allocricetulus_eversmanni"	0.537883713727563	0	1.85324720945397	0.213597514537654	0.729095719911531	0.225487957130907	0.315363495726412	0.537883713727563	0	0.327872852560861	0.11277155438399	0.341920395739318	0	0.0680337678370703	1.22464369450762	0	0.700807768280915	0.226779226123567	1.02481225803045	0.0640792543612962	0.870948079947758	0.195316483945372	0	0.229599085352334	0.149109055241054	0.0507471994727957	0
"Alticola_strelzowi"	0.236333384432418	0	0.284796686050205	2.42804970438899	0.708701182509477	0.475506776181957	0.0484633016177871	0.236333384432418	0	0.220529603096365	0.0758509462879216	0.161308147411117	0	0.387284778328183	0.686171094418246	0	0.107696225817305	1.29094926109394	0.406034164207456	0.728414911316698	0.333445497872453	0.855981124168404	0	0.193725093780615	0.100291806758474	0.0341329258295647	0
"Spermophilus_erythrogenys"	0.48402152834463	0	0.583276575929225	0.425220709505686	1.91345417064107	0.246534860802047	0.099255047584595	0.48402152834463	0	0.459616821254235	0.158084766546043	0.311655351450724	0	0.0980165343339564	1.15514253919626	0	0.220566772410211	0.326721781113188	0.906316805459072	0.127566212851706	0.766071897306246	0.471987963567099	0	0.482306797091664	0.20902319132199	0.0711381449457192	0
"Clethrionomys_rutilus"	0.374234214566001	0	0.450975914261813	0.713260164272936	0.616337152005119	1.54938608718017	0.0767416996958128	0.374234214566001	0	0.340490345462537	0.117111329012592	0.275920285283879	0	0.374466488429982	1.36048576805701	0	0.17053711043514	1.24822162809994	0.561114925187175	0.213978049281881	0.43695079680943	0.324918736642802	0	0.213087790999682	0.154847201694428	0.0527000980556666	0
"Cricetulus_barabensis"	0.366122527831367	0	1.26145398290565	0.145389904853361	0.496275237922975	0.153483399391626	1.89533145507428	0.366122527831367	0	0.223173958465796	0.0767604697907834	0.232735731553653	0	0.046308699115989	0.83358100214384	0	1.98962545572062	0.15436233038663	0.69756128487787	0.0436169714560084	0.592830205678726	0.132946514282144	0	0.156281730365874	0.101494398945591	0.0345422114058525	0
"Microtus_oeconomus"	0.595137442359629	0	0.717178284970084	0.236333384432418	0.806702547241049	0.249489476377334	0.122040842610456	1.59513744235963	0	0.362772483925883	0.124775249248393	0.378315283801206	0	0.075275457410764	1.35499792529554	0	0.271201872467679	0.250918191369213	1.13389591574798	0.0709000153297255	0.963654038037435	0.216106473833114	0	0.254038203681154	0.164980607339542	0.0561488621617768	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0
"Microtus_arvalis"	0.362772483925883	0	0.437163803414481	0.220529603096365	0.766028035423725	0.226993563641691	0.0743913194885987	0.362772483925883	0	1.84731491363844	0.635382199595388	0.260642645613369	0	0.0691668429730153	1.22754116075637	0	0.165314043307997	0.230556143243384	0.571199583026075	0.0661588809289094	0.453910392500058	0.20404392730518	0	0.692079520467804	0.840116463909458	0.285921989817925	0
"Apodemus_agrarius"	0.187162873872589	0	0.225543108767981	0.113776419431882	0.395211916365107	0.117111329012592	0.0383802348953917	0.187162873872589	0	0.953073299393083	2.87557935138361	0.134471683405624	0	0.0356848043363964	0.63331741414819	0	0.0852894108786482	0.118949347787988	0.294695326274599	0.0341329258295647	0.234183068742068	0.105271070775284	0	0.357060134763644	1.57993269794055	1.29401070812262	0
"Sicista_subtilis"	0.567472925701809	0	0.683840791478635	0.241962221116675	0.77913837862681	0.275920285283879	0.116367865776827	0.567472925701809	0	0.390963968420054	0.134471683405624	1.42468953632907	0	0.0808573128956498	1.51715645190845	0	0.258595257281837	0.269524376318833	1.27570313300469	0.0725886663350024	0.634592841656604	0.212833574487828	0	0.257534098678842	0.177801448058547	0.0605122575325307	0
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316
"Microtus_gregalis"	0.225826372232292	0	0.272135071348281	1.16185433498455	0.490082671669782	0.748932976859965	0.046308699115989	0.225826372232292	0	0.207500528919046	0.0713696086727928	0.1617146257913	0	1.65160663291055	0.756982675162082	0	0.102908220257753	2.17202210970185	0.357712676899384	0.348556300495365	0.284941095293299	0.436771181395925	0	0.150465039576274	0.0943664825784705	0.0321163239027568	0
"Ctenophthalmus_arvalis"	0.580713396555232	0	0.699796396861495	0.294073326179248	0.825101813711617	0.388710219444861	0.119083000306263	0.580713396555232	0	0.526089068895587	0.180947832613769	0.433473271973842	0	0.108140382166012	2.18220984550216	0	0.264628889569473	0.360467940553372	0.849463526083296	0.0882219978537745	0.654400553695067	0.236740324321865	0	0.306345047136767	0.239253245344872	0.0814265246761959	0
"Mesopsylla_hebes"	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pavlovskii"	0.406802808701519	0	1.40161553656183	0.161544338725957	0.551416931025528	0.17053711043514	0.994812727860312	0.406802808701519	0	0.247971064961996	0.0852894108786482	0.258595257281837	0	0.0514541101288767	0.926201113493156	0	2.21069495080069	0.171513700429589	0.775068094308744	0.0484633016177871	0.658700228531918	0.147718349202382	0	0.173646367073194	0.11277155438399	0.0383802348953917	0
