"Clethrionomys_rutilus"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Myopus_schisticolor"	"Arvicola_terrestris"	"Neomys_fodiens"	"Sicista_betulina"	"Megabothris_rectangulatus"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Rhadinopsylla_integella"	"Palaeopsylla_soricis"
"Clethrionomys_rutilus"	1.99299953969444	0.849494489796638	0.685035906661797	0.597922438394956	0.475299343238537	0.234209943439721	0.229495916960612	0.0871134682668411	0.111586848283303	0.991883095851579	0.682787295216456	0.682787295216456	0.786060457848732	0.68123941753566	0.290378227556137	0.256242797960713	0.365463518077424
"Clethrionomys_glareolus"	0.849494489796637	1.89691875572254	0.738019132231785	0.592296218200846	0.470826959211013	0.232006117945266	0.227336448642388	0.145722914030939	0.110536858955433	0.982549857381625	0.676362529357292	0.676362529357292	0.778663931246366	0.674829216610183	0.485743046769796	0.10922072011671	0.353110274423894
"Microtus_agrestis"	0.799208557772096	0.861022320937082	1.76496610581177	0.610672495247437	0.48543459366417	0.23920422012599	0.23438967207125	0.154293610564328	0.113966318542724	1.01303394260199	0.697347004424779	0.697347004424779	0.802822356856841	0.695766119907036	0.514312035214428	0.102755385999269	0.213458255834037
"Microtus_oeconomus"	0.837091413752938	0.829214705481184	0.732806994296924	1.6438202675487	0.511784356430895	0.252188409006191	0.247112523583395	0.0889867267482292	0.120152497888391	1.06802220345237	0.7351995356875	0.7351995356875	0.846400171300027	0.733532839543334	0.296622422494097	0.107626038911092	0.214239358187244
"Clethrionomys_rufocanus"	0.831773850667439	0.823947178619272	0.728151890496256	0.639730445538619	1.54303689608099	0.222074897895975	0.260639942042314	0.0884214449576368	0.125381348438344	1.1145008750075	0.784435983440761	0.784435983440761	0.901723957359802	0.537186385875727	0.294738149858789	0.106942352228671	0.212878418051149
"Myopus_schisticolor"	0.819734802039025	0.812021412808431	0.717612660377971	0.630471022515478	0.444149795791949	1.342653367798	0.25304105446902	0.0871416378624926	0.156332141074474	1.3896190317731	0.530857614785915	0.530857614785915	0.644726089296974	1.03511792624183	0.290472126208309	0.105394474547875	0.209797227623244
"Arvicola_terrestris"	0.803235709362144	0.795677570248357	0.70316901621375	0.617781308958488	0.521279884084628	0.25304105446902	1.32704601455003	0.0853877072552618	0.15653962959516	1.3914633741792	0.539538526484982	0.539538526484982	1.1367092330325	0.536119027076999	0.284625690850873	0.103273162632276	0.20557456452135
"Neomys_fodiens"	0.609794277867888	1.02006039821657	0.925761663385971	0.444933633741146	0.353685779830547	0.174283275724985	0.170775414510524	1.48082802964482	0.0830354218143867	0.738092638350104	0.508084348111177	0.508084348111177	0.584933284640913	0.506932521725547	1.60276009881608	0.078402121440157	0.209552744068002
"Sicista_betulina"	0.781107937983119	0.77375801268803	0.683797911256342	0.600762489441956	0.501525393753375	0.312664282148948	0.31307925919032	0.0830354218143867	1.21342718646037	1.89713054631438	0.523461484897375	0.523461484897375	0.664347151533019	0.551317198269892	0.276784739381289	0.100428163454972	0.199911336514862
"Megabothris_rectangulatus"	0.867897708870132	0.859731125208922	0.759775456951491	0.667513877157728	0.55725043750375	0.347404757943275	0.3478658435448	0.092261579793763	0.237141318289297	2.1079228292382	0.581623872108194	0.581623872108194	0.738163501703354	0.612574664744324	0.307538599312543	0.111586848283303	0.222123707238735
"Peromyscopsylla_silvatica"	0.955902213303039	0.946907541100209	0.836816405309735	0.735199535687499	0.627548786752609	0.212343045914366	0.215815410593993	0.101616869622235	0.104692296979475	0.930598195373111	1.64370382266282	0.643703822662822	0.740820757430118	0.598059716304949	0.338722898740785	0.122901713138962	0.244646968423275
"Ctenophthalmus_uncinatus"	0.955902213303039	0.946907541100208	0.836816405309735	0.7351995356875	0.627548786752609	0.212343045914366	0.215815410593993	0.101616869622235	0.104692296979475	0.930598195373111	0.643703822662822	1.64370382266282	0.740820757430118	0.598059716304949	0.338722898740785	0.122901713138962	0.244646968423275
"Amalaraeus_penicilliger"	0.917070534156854	0.908441253120761	0.802822356856841	0.705333476083356	0.601149304906535	0.214908696432324	0.378903077677499	0.0974888807734854	0.110724525255503	0.984218002271139	0.617350631191765	0.617350631191765	1.78785701614664	0.578800950982341	0.324962935911618	0.11790906867731	0.234708658364265
"Amphipsylla_sibirica"	0.953735184549924	0.944760903254257	0.834919343888444	0.733532839543334	0.429749108700582	0.414047170496731	0.2144476108308	0.101386504345109	0.110263439653978	0.980119463590919	0.598059716304949	0.598059716304949	0.694561141178809	1.68768739357085	0.337955014483698	0.122623095156419	0.244092354146252
"Corrodopsylla_birulai"	0.677549197630987	1.13340044246286	1.02862407042886	0.494370704156829	0.392984199811719	0.193648084138872	0.189750460567248	0.534253366272028	0.092261579793763	0.820102931500115	0.564538164567974	0.564538164567974	0.649925871823236	0.56325835747283	1.78084455424009	0.0871134682668411	0.23283638229778
"Rhadinopsylla_integella"	1.79369958572499	0.764545040816974	0.616532315995617	0.53813019455546	0.427769408914683	0.210788949095749	0.206546325264551	0.078402121440157	0.100428163454972	0.892694786266421	0.614508565694811	0.614508565694811	0.707454412063859	0.613115475782094	0.261340404800523	1.23061851816464	0.328917166269682
"Palaeopsylla_soricis"	1.27912231327098	1.23588596048363	0.640374767502112	0.53559839546811	0.425756836102297	0.209797227623244	0.20557456452135	0.104776372034001	0.0999556682574309	0.888494828954942	0.611617421058187	0.611617421058187	0.704125975092794	0.610230885365629	0.34925457344667	0.164458583134841	1.32335820662559
