"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Apodemus_uralensis"	"Sorex_araneus"	"Microtus_subterraneus"	"Neomys_fodiens"	"Crocidura_leucodon"	"Apodemus_sylvaticus"	"Arvicola_terrestris"	"Talpa_europaea"	"Neomys_anomalus"	"Sorex_alpinus"	"Micromys_minutus"	"Myoxus_glis"	"Muscardinus_avellanarius"	"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Ctenophthalmus_assimilis"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_solutus"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_uncinatus"	"Rhadinopsylla_pentacantha"	"Atyphloceras_nuperus"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_bisoctodentatus"	"Peromyscopsylla_silvatica"	"Amalaraeus_arvicolae"	"Rhadinopsylla_isacantha"	"Amphipsylla_rossica"	"Ctenophthalmus_obtusus"	"Palaeopsylla_kohauti"
"Apodemus_flavicollis"	1.6187391205901	0.568829995484006	0.490881460510414	0.362619862851755	0.183769929758363	0.275968159827132	0.372210700287416	0.240861771590143	0.353116012497425	0.128136603155895	0.128136603155895	0.120463477986184	0.117299139654238	0.091337733106429	0.0427795134067003	0.105243624333541	0.0627641865412021	0.619343861599025	0.570393512089338	0.660791254547497	0.125330688014457	0.37691174227446	0.306861125750143	0.106800628183996	0.226931067913926	0.309074036680381	0.224192687396986	0.226931067913926	0.216978245128279	0.0426622496613005	0.27895194018312	0.117021294123298	0.0426622496613005	0.0418737037823343	0.0426622496613005	0.083456984232123	0.0454006301782403	0.0716108862877242
"Clethrionomys_glareolus"	0.521427495860339	1.93240107811076	0.385228683660299	0.406507597188574	0.158591671185628	0.2451407992043	0.395563629807965	0.216500514295445	0.240104765861467	0.123766898118971	0.123766898118971	0.110263002847986	0.112359945086568	0.0753436382542568	0.042144180179841	0.107476256417329	0.0665708405381395	0.588138807532481	0.56192240239788	0.636306469231834	0.235163093895418	0.269315948178012	0.316348211922748	0.0977011634251257	0.112055730780948	0.193470961481428	0.226115198885637	0.112055730780948	0.232093238873004	0.144930080858307	0.295870402391731	0.0954676163628515	0.144930080858307	0.044500908353396	0.144930080858307	0.190662185542022	0.0308706127536172	0.0639931798991553
"Apodemus_agrarius"	0.599966229512729	0.513638244880398	1.52705376881715	0.377108264651084	0.194563636696421	0.290507870632956	0.354098589691614	0.253222863061027	0.381577279006125	0.133893744466136	0.133893744466136	0.126241369207862	0.122322637030447	0.0969997274016255	0.0449373828302033	0.0784542134165609	0.0346783289683609	0.6526068927117	0.599165104402711	0.680958202527555	0.120783639479583	0.403038612774719	0.32257716241234	0.112031232506811	0.250853458804973	0.337054956834915	0.240316391298787	0.250853458804973	0.127447105757378	0.0385228683660299	0.154125906526048	0.124283358573098	0.0385228683660299	0.0398360913403066	0.0385228683660299	0.0809475481392768	0.0490599358722161	0.0753344413976769
"Microtus_arvalis"	0.498602311421163	0.609761395782861	0.42424679773247	1.48692688299398	0.19767901214084	0.294619353484773	0.412964601457054	0.260840954083106	0.290356110959291	0.137863578190089	0.137863578190089	0.124611778431378	0.12617044314991	0.100017912509539	0.0470301991603782	0.0791430784367586	0.0344599066131569	0.666614104088249	0.627069322138375	0.69507156170047	0.259469896684456	0.418971041248898	0.342689311028526	0.114856907219767	0.12055091432455	0.332307966393062	0.128951519027784	0.12055091432455	0.132985356918456	0.0457321046837146	0.15315514050292	0.112594664672221	0.0457321046837146	0.0464585176639186	0.0457321046837146	0.213011379020538	0.0373314999804802	0.0770057742747939
"Apodemus_uralensis"	0.505367306835499	0.475775013556885	0.437768182566947	0.395358024281681	1.24895479716502	0.319852733412471	0.347287349367169	0.280661260306296	0.349148321998857	0.166963328709026	0.166963328709026	0.148746074257402	0.150033748210802	0.0931771117345264	0.0574087275577992	0.0869238179037428	0.032768768163691	0.800215742605863	0.765449700770656	0.842411884845252	0.119230730552262	0.293825469181621	0.204355783004589	0.128233236376503	0.130015550995037	0.455508158088855	0.120808178469093	0.130015550995037	0.116101187016205	0.0356831260167664	0.145638969616404	0.130638243687248	0.0356831260167664	0.0390698268038066	0.0356831260167664	0.0801609037484555	0.0448904985427101	0.0832231119132621
"Sorex_araneus"	0.433664251156922	0.420241370064514	0.373510119385229	0.336707832554026	0.182772990521412	1.50204707978161	0.336060013767501	0.414871327520687	0.326508682737565	0.147886133147787	0.147886133147787	0.184952714200489	0.192600900073451	0.107362460366511	0.0501091712082248	0.0772645257872929	0.0287121893158278	0.711022367872514	0.668122282776331	0.755258567333902	0.10720448546601	0.452183160320995	0.180037117953736	0.313131307979203	0.11481232026827	0.193815874297915	0.104350735242564	0.11481232026827	0.104806474852885	0.0315181027548386	0.127609730292568	0.290585840869755	0.0315181027548386	0.0378067515488439	0.0315181027548386	0.0693977339171665	0.0419796877805441	0.255351037957168
"Microtus_subterraneus"	0.511789712895197	0.593345444711947	0.398360913403066	0.412964601457054	0.173643674683585	0.294052512046564	1.5744314700882	0.261731339191868	0.257494422604731	0.137581652919895	0.137581652919895	0.122746885122259	0.126091654230289	0.100959781369148	0.0471559406523323	0.0788468827048782	0.0343793537359351	0.663840425424505	0.628745875364431	0.69171711729467	0.268082966402237	0.427790207215223	0.349792761524878	0.114893948696711	0.114816220886106	0.200344565353831	0.126210703476037	0.114816220886106	0.263498152520653	0.044500908353396	0.152797127715267	0.107737242848987	0.044500908353396	0.177123540384922	0.044500908353396	0.0909594260173146	0.0331064257634654	0.0770664524276241
"Neomys_fodiens"	0.441579914581929	0.433001028590889	0.37983429459154	0.347787938777475	0.187107506870864	0.484016548774135	0.34897511892249	1.44204298378158	0.273275235451075	0.152822292212044	0.152822292212044	0.141819322550942	0.204571955973578	0.112129311795097	0.0529765346536586	0.0790092081355988	0.0293864068619034	0.725442701889963	0.706353795382114	0.771910242035263	0.110860921135563	0.481493876192055	0.184973616333238	0.339908733487413	0.109248082612814	0.190473414771224	0.106587772341992	0.109248082612814	0.107864043761618	0.0324750771443167	0.130606252719571	0.139911883308524	0.0324750771443167	0.0392597008787801	0.0324750771443167	0.0716012202567826	0.0351353874151383	0.27853714669534
"Crocidura_leucodon"	0.554896591067382	0.411608170048229	0.490599358722161	0.331835555382047	0.199513326856489	0.326508682737565	0.294279340119693	0.234235916100922	1.62778028969929	0.130038978528764	0.130038978528764	0.187700545870716	0.115115041645504	0.0844190906173605	0.0346111992946907	0.0784928977806371	0.0314839317366238	0.699382857189749	0.461482657262543	0.731250582906875	0.101308538497563	0.280002157767897	0.195769104548019	0.111649587689334	0.303746603297509	0.385968601820699	0.125331178804074	0.303746603297509	0.109377668695323	0.0308706127536172	0.139928585496106	0.307575888788811	0.0308706127536172	0.0331064257634654	0.0308706127536172	0.0682021127340974	0.209286037247052	0.0771150751956823
"Apodemus_sylvaticus"	0.469834211571615	0.495067592475885	0.401681233398409	0.367636208506905	0.222617771612035	0.345067644011503	0.366884407786387	0.305644584424088	0.303424283233782	1.18498537502734	0.18498537502734	0.160108883739177	0.165974183091094	0.0990747639094166	0.0642995508755779	0.0927725117506101	0.0330993142956774	0.881293496731977	0.857327345007705	0.928249738187842	0.119763638768687	0.296038844986791	0.198372743055296	0.140004782535277	0.117620797845238	0.209068869914973	0.115739173722301	0.117620797845238	0.116845546258428	0.0371300694356914	0.147108063536344	0.131410198624718	0.0371300694356914	0.0412744958759685	0.0371300694356914	0.0784891428927182	0.0390116935586291	0.0902125276079493
