"Dipterocarpus_pachyphyllus"	"Dipterocarpus_geniculatus"	"Dipterocarpus_crinitus"	"Dipterocarpus_globosus"	"Dipterocarpus_palembanicus"	"Dipterocarpus_tempehes"	"Dryobalanops_aromatica"	"Dryobalanops_lanceolata"	"Shorea_smithiana"	"Shorea_macrophylla"	"Shorea_xantophylla"	"Shorea_laxa"	"Shorea_argentifolia"	"Sternuchopsis_hoplomachus"	"Araecerus_corporaali"	"Phloebius_sp._1"	"Ctenomerus_sp._2"	"Manoja_sp._1"	"Meregallia_dipterocarpi"	"Meregallia_sp._1"	"Nanophyes_shoreae"	"Nanophyes_sp._2"	"Apionidae_Gn._sp._1"	"Involvulus_sp._3"	"Imathia_sp._1"	"Ochyromera_sp._2"	"Idotasia_sp._1"	"Sternuchopsis_curranae"	"Sternuchopsis_dipterocarpi"	"Sternuchopsis_shoreaphilus"	"Niphades_sp._1"	"Orchestes_sp._1"	"Orchestes_sp._2"	"Orchestes_sp._4"	"Coccotrypes_advena"	"Coccotrypes_cardamoni"	"Coccotrypes_gedeanus"	"Coccotrypes_papuanus"	"Dryocoetiops_malaccensis"	"Xyleborinus_exiguus"	"Xyleborinus_similis"	"Andrioplecta_shoreae"	"Andrioplecta_subpulverula"	"Andrioplecta_sp._A"	"Andrioplecta_sp._B"	"Lamoria_adaptella"	"Cosmopterigidae_sp._A"	"Assara_albicostalis"	"Sesiidae_Gn._Sp._A"	"Imma_homocrossa"
"Dipterocarpus_pachyphyllus"	2.06350863136169	0.50815278708959	0.0323425206620362	0.174910536873601	0.444459016563949	0.425087836562827	0.133307074937924	0.148915928017878	0.627879945178063	0.425960253883421	0.0638085683295273	0.0750714763940198	0.139753318882321	0.0728913729323142	0.307665178548119	0.0347799139005949	0.156436071275542	0.0383364228495079	0.0381114590317192	0.0747812253913503	0.0403637107614469	0.0383364228495079	0.0400013114907554	0.116072360514095	0.233764965650918	0.0381114590317192	0.200748450410214	0.347414110201214	0.0822897064261432	0.0337821643773089	0.229327444207856	0.0403637107614469	0.0690775665097342	0.10907887800049	0.347010860335301	0.0803650222522023	0.391323239469973	0.112246243728874	0.116072360514095	0.0347799139005949	0.156436071275542	0.274809948821465	0.0347799139005949	0.236698489789746	0.0381114590317192	0.116072360514095	0.194185131036569	0.107808402206787	0.0383364228495079	0.116072360514095
"Dipterocarpus_geniculatus"	0.677537049452786	1.92236328965805	0.0277886553834921	0.205485342331999	0.417320505989463	0.583327408210428	0.148919993628082	0.133698165662955	0.507164295351329	0.3890626938477	0.0539173100405568	0.0843414383841044	0.112231746795902	0.191904034668843	0.335193400672778	0.0477267879444896	0.0707148780185904	0.035015642446293	0.144177246724353	0.0852856334835413	0.0326034189868711	0.035015642446293	0.0375588455390517	0.0381114590317192	0.156920149041764	0.144177246724353	0.115779754269657	0.390313434299772	0.0662729430256418	0.037953647272847	0.262618912687433	0.0326034189868711	0.0568662085051217	0.0944250540441734	0.388544755246851	0.0701622645259228	0.433609631497918	0.238138236693543	0.0381114590317192	0.0477267879444896	0.0707148780185904	0.283577291228007	0.0477267879444896	0.139400044503654	0.144177246724353	0.0381114590317192	0.219847551295124	0.092628851278307	0.035015642446293	0.0381114590317192
"Dipterocarpus_crinitus"	0.51748033059258	0.333463864601905	1.42816725216089	0.123231346547961	0.297700524064272	0.284259732509923	0.0857336194861453	0.0741132318219299	0.993703103248623	0.866585923828432	0.0844507162036782	0.0364123664706225	0.137855883199884	0.0482674043232274	0.246042367009672	0.0232576144780846	0.0929891823761013	0.0779927331445589	0.0250097898451429	0.0500506616438691	0.0638809137802686	0.0779927331445589	0.0267930471657845	0.0291082685958326	0.161621101879467	0.0250097898451429	0.0781352853081961	0.168508340389047	0.105237678740234	0.0163855649117801	0.141256586699329	0.0638809137802686	0.101883736071924	0.128676783237708	0.272696458663022	0.0906739609460532	0.257842561595117	0.0759944572965186	0.0291082685958326	0.0232576144780846	0.0929891823761013	0.237348470325768	0.0232576144780846	0.212338680480625	0.0250097898451429	0.0291082685958326	0.08091110560676	1.42722417386963	0.0779927331445589	0.0291082685958326
"Dipterocarpus_globosus"	0.699642147494405	0.616456026995997	0.0308078366369902	1.36075153504322	0.457299600170098	0.590428636710191	0.182505787015979	0.146595018572677	0.473282544592413	0.494893659762137	0.0530808589179705	0.0655334224616923	0.0918808203630724	0.0945419995737154	0.250019570202261	0.0483077975490156	0.069780177234644	0.0445404293785924	0.0462342020246998	0.0894647615643245	0.0304253064380837	0.0445404293785924	0.0411569640153088	0.0393548707965603	0.431221359575186	0.0462342020246998	0.124490340383672	0.303274116169943	0.0579895525470054	0.0294900401077616	0.164322176808359	0.0304253064380837	0.0543116929511704	0.0954686569664793	0.56978343767647	0.0715822704533925	0.624493600825498	0.40071109495844	0.0393548707965603	0.0483077975490156	0.069780177234644	0.188119054746858	0.0483077975490156	0.141884852722158	0.0462342020246998	0.0393548707965603	0.126746036836569	0.102692788789967	0.0445404293785924	0.0393548707965603
"Dipterocarpus_palembanicus"	0.711134426502318	0.500784607187356	0.0297700524064272	0.182919840068039	1.75754691864305	0.495513619268783	0.138355881190188	0.178773085933777	0.585283176319036	0.386834597850653	0.114223059758752	0.0889037457222422	0.0931148838862215	0.0781008689337703	0.34872186395804	0.0405420233947186	0.0776266585398363	0.0348151138065587	0.0375588455390517	0.198721246072593	0.0376253470490809	0.0348151138065587	0.158179222677875	0.0400013114907554	0.274152611990498	0.0375588455390517	0.251812459948763	0.411426778814599	0.0655598122149473	0.040006685575009	0.155727527473607	0.0376253470490809	0.0890257239405192	0.247204946618394	0.27320636965253	0.195804569726956	0.447392171061457	0.119257832949079	0.0400013114907554	0.0405420233947186	0.0776266585398363	0.177935083051313	0.0405420233947186	0.140376237512261	0.0375588455390517	0.0400013114907554	0.235739379707682	0.0992335080214242	0.0348151138065588	0.0400013114907554
"Dipterocarpus_tempehes"	0.618309580455021	0.636357172593195	0.0258417938645384	0.214701322440069	0.450466926607984	1.96446140898605	0.155536126681601	0.139081919655825	0.471875734746248	0.361631441571681	0.0527000128529958	0.0890815212469755	0.0831129330346579	0.208455448679712	0.346659084378736	0.160728660735222	0.0651147825628538	0.0325468297414513	0.0477267879444896	0.201270684129941	0.0303348686622588	0.0325468297414513	0.0405420233947186	0.034779913900595	0.15617656458578	0.0477267879444896	0.117046513192061	0.412249484437392	0.0552687485726562	0.040086684561139	0.273570231242566	0.0303348686622588	0.0540498744461069	0.0945918978408255	0.401085696537513	0.0708768920569774	0.45301742716672	0.256763246228728	0.034779913900595	0.160728660735222	0.0651147825628538	0.170322280159192	0.160728660735222	0.122595492214702	0.0477267879444896	0.034779913900595	0.123048725239803	0.0861393128817947	0.0325468297414513	0.034779913900595
"Dryobalanops_aromatica"	0.710971066335594	0.595679974512326	0.0285778731620484	0.243341049354638	0.461186270633959	0.57029913116587	1.24692470923077	0.209245335643285	0.475743681510566	0.43284409975736	0.0534183714629939	0.145935654987819	0.0889906769796138	0.0913368360929047	0.242375214292323	0.0466608380044803	0.0705756448641993	0.0389559689781624	0.0446759980884244	0.0881676023615366	0.0305835223828221	0.0389559689781624	0.0415067643570563	0.0399921224813772	0.17520659192139	0.0446759980884244	0.144272487531419	0.675357781138073	0.0572807254767062	0.0656710447445185	0.161912480957104	0.0305835223828221	0.0546217895411694	0.0961285538982257	0.629697598809291	0.0720902867398784	0.70339444147651	0.146088572197698	0.0399921224813772	0.0466608380044803	0.0705756448641993	0.18090481502467	0.0466608380044803	0.136228816936246	0.0446759980884244	0.0399921224813772	0.126174884926858	0.0952595772068281	0.0389559689781624	0.0399921224813772
"Dryobalanops_lanceolata"	0.794218282762015	0.53479266265182	0.0247044106073099	0.19546002476357	0.595910286445923	0.509967038738024	0.209245335643285	1.31979967815123	0.420563547468354	0.367531530662043	0.0548932056946305	0.15291723684243	0.0831546543062103	0.0818340255956339	0.240254795592251	0.0417245758967474	0.0717110064569004	0.0330778377595839	0.0401094496988865	0.0953565016768805	0.027036228051537	0.0330778377595839	0.0536319257801331	0.0446747784053634	0.175363047516883	0.0401094496988865	0.494246607630865	0.707666990498578	0.0519826243434001	0.0688127565790934	0.153545032052534	0.027036228051537	0.0517381706141208	0.105370096394254	0.293374976076907	0.0806681538316701	0.715910577250871	0.125812531167437	0.0446747784053634	0.0417245758967474	0.0717110064569004	0.169844690207234	0.0417245758967474	0.129735240508347	0.0401094496988865	0.0446747784053634	0.138416153884383	0.0823480353576999	0.0330778377595839	0.0446747784053634
"Shorea_smithiana"	0.717577080203501	0.434712253158282	0.0709787930891874	0.135223584169261	0.418059411656454	0.370759505872052	0.101945074609407	0.0901207601717901	2.05385670499776	0.452015754026716	0.166509944310472	0.0475245708256955	0.203874457646261	0.0629382876491299	0.313642408643347	0.0303348686622588	0.172397356082732	0.0406814178624044	0.0326034189868711	0.0679602157113397	0.132033645321285	0.0406814178624044	0.0376253470490809	0.0403637107614469	0.149095782111016	0.0326034189868711	0.105025285862065	0.21993315276558	0.193195982615163	0.021386056871563	0.235335643731862	0.132033645321285	0.206963120260997	0.244588467310078	0.337025890415172	0.169658992370366	0.269653820194505	0.0933635940872137	0.0403637107614469	0.0303348686622588	0.172397356082732	0.306844530225886	0.0303348686622588	0.274241111239015	0.0326034189868711	0.0403637107614469	0.110592476797399	0.236595976963958	0.0406814178624044	0.0403637107614469
"Shorea_macrophylla"	0.681536406213473	0.46687523261724	0.0866585923828432	0.197957463904855	0.386834597850653	0.397794585728849	0.129853229927208	0.110259459198613	0.632822055637402	1.89097581780571	0.0618197698698429	0.0509236792615429	0.168847004338611	0.0675624721877442	0.351583250308729	0.0325468297414513	0.0790178407119123	0.170187823602514	0.035015642446293	0.06736194354801	0.0406814178624044	0.170187823602514	0.0348151138065587	0.0383364228495079	0.287879789637173	0.035015642446293	0.10622937441565	0.235663471249251	0.0913355191639878	0.0229156556676943	0.146580312899657	0.0406814178624044	0.0685003143038338	0.103315428110393	0.400264534858925	0.0754965316689632	0.427476068562664	0.112102901566337	0.0383364228495079	0.0325468297414513	0.0790178407119123	0.334875408062303	0.0325468297414513	0.29985976561601	0.035015642446293	0.0383364228495079	0.10816717910236	0.288861974609477	0.170187823602514	0.0383364228495079
