"Ambrosia_trifida"	"Coreopsis_tripteris"	"Helianthis_rigidus"	"Monarda_fistulosa"	"Silphium_laciniatum"	"Solidago_altissima"	"Veronicastrum_virginicum"	"Hippopsis_lemniscata"	"Mecas_sp."	"Apion_sp."	"Curculionidae_12"	"Mordellistena"	"Mordellidae_23"	"Thomasiniana"	"Tephritidae"	"Epiblema_sp."	"Family_unkn_46"
"Ambrosia_trifida"	2.18337126302503	0.589946801638453	1.22600522166005	0.636339189239094	0.344375786433778	0.283119632740438	0	0.753891651085049	0.318305591504925	0.583908584116233	0.466273721877405	0.767809367365241	0.908860754980249	0.576907610593513	0.183900783249008	0.176984040491536	0
"Coreopsis_tripteris"	0.983244669397422	2.13759683531061	1.14672293486966	0.361830226035556	0.400524798383014	0.233238430740591	0	0.990271531315166	0.213506361643933	0.285533108302203	0.45720189333607	0.457541548532651	1.17050769058752	0.348992480721984	0.172008440230448	0.641279050593182	0
"Helianthis_rigidus"	1.02167101805004	0.573361467434828	2.40876725308346	0.495332848675206	0.414924520695184	0.349100786798126	0	0.717224311441975	0.305695208661718	0.33250063785157	0.705126476334508	0.693815725814088	0.903940345754808	0.545215871211526	0.361315087962518	0.172008440230448	0
"Monarda_fistulosa"	1.06056531539849	0.361830226035556	0.990665697350412	2.02621000584239	0.285525515396087	0.538361134713907	0	0.448050679184957	0.850125512373976	0.798764758524446	0.519348847152059	0.947364613127007	0.576537161113196	0.33950161137429	0.148599854602562	0.108549067810667	0
"Silphium_laciniatum"	0.860939466084444	0.60078719757452	1.24477356208555	0.42828827309413	1.62534294372539	0.503026452172808	0	0.521921297480389	0.354848385406003	0.283455585823439	1.14448226246702	0.470171620136272	1.25332562215681	0.341685138208033	0.186716034312833	0.180236159272356	0
"Solidago_altissima"	0.707799081851094	0.349857646110886	1.04730236039438	0.80754170207086	0.503026452172808	1.84763065213682	0	0.389456482625619	1.07369630408283	0.369666345354455	1.21489105099849	0.526761699413612	0.615818386103383	0.284499188792354	0.157095354059157	0.104957293833266	0
"Veronicastrum_virginicum"	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	4.73684210526316
"Hippopsis_lemniscata"	1.25648608514175	0.990271531315166	1.43444862288395	0.448050679184957	0.347947531653593	0.259637655083746	0	1.73841624815266	0.251252148543173	0.360582699081002	0.488580627464395	0.575749992513594	0.894992637396774	0.441334788758107	0.215167293432592	0.29708145939455	0
"Mecas_sp."	0.795763978762313	0.320259542465899	0.917085625985155	1.27518826856096	0.354848385406003	1.07369630408283	0	0.376878222814759	1.86571981740556	0.525793996745505	0.780407954167746	0.663356840643279	0.536559996247461	0.28080036007499	0.137562843897773	0.0960778627397698	0
"Apion_sp."	1.45977146029058	0.428299662453304	0.997501913554709	1.19814713778667	0.283455585823439	0.369666345354455	0	0.540874048621503	0.525793996745505	1.62220300418831	0.443530156063259	0.771828291221512	0.66842906224205	0.412384149885512	0.149625287033206	0.128489898735991	0
"Curculionidae_12"	0.777122869795675	0.45720189333607	1.41025295266902	0.519348847152059	0.762988174978015	0.809927367332326	0	0.488580627464395	0.520271969445164	0.295686770708839	1.91934993694001	0.507224713609192	0.831925306204501	0.351420059463574	0.211537942900352	0.137160568000821	0
"Mordellistena"	1.27968227894207	0.457541548532651	1.38763145162818	0.947364613127008	0.313447746757515	0.351174466275741	0	0.575749992513594	0.442237893762186	0.514552194147675	0.507224713609192	1.7226969118919	0.716801478554476	0.438487527953799	0.208144717744226	0.137262464559795	0
"Mordellidae_23"	1.13607594372531	0.877880767940642	1.35591051863221	0.432402870834897	0.626662811078407	0.307909193051692	0	0.67124447804758	0.26827999812373	0.334214531121025	0.623943979653376	0.537601108915857	1.95324274303286	0.407880247665388	0.203386577794832	0.263364230382193	0
"Thomasiniana"	1.44226902648378	0.523488721082976	1.63564761363458	0.509252417061435	0.341685138208033	0.284499188792354	0	0.662002183137161	0.28080036007499	0.412384149885511	0.527130089195361	0.657731291930698	0.815760495330776	1.50495556681227	0.245347142045187	0.157046616324893	0
"Tephritidae"	0.91950391624504	0.516025320691345	2.16789052777511	0.445799563807686	0.373432068625666	0.314190708118313	0	0.645501880297777	0.275125687795547	0.299250574066413	0.634613828701057	0.624434153232679	0.813546311179327	0.490694284090374	1.32518357916627	0.154807596207403	0
"Epiblema_sp."	0.88492020245768	1.92383715177955	1.03205064138269	0.325647203432001	0.360472318544712	0.209914587666532	0	0.89124437818365	0.19215572547954	0.256979797471983	0.411481704002463	0.411787393679386	1.05345692152877	0.314093232649786	0.154807596207403	1.57715114553386	0
"Family_unkn_46"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	5.26315789473684
