"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Palicourea_corymbifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Azteca_sp8"	"Crematogaster_brasiliensis"	"Crema_limata"	"Camponotus_femoratus"	"Pachycondila_unidentata"	"Solenopsis_sp5"
"Cordia_nodosa"	3.4719150818222	0	0	0	0	0	0	1.79124281291464	0.781180893409996	0	0	0	0	0	0	0	1.18421052631579	1.18421052631579	0.781180893409996	0.403029632905794	0.403029632905794
"Hirtella_myrmecophila"	0	3.4719150818222	0	0	1.79124281291464	0	0	0	0	2.36842105263158	0	0	0	0	0.806059265811588	1.56236178681999	0	0	0	0	0
"Maieta_guianensis"	0	0	3.9267447615905	0	0	1.33641313314635	0	0	0	0	1.76703514271572	0	2.96980696254743	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	1.79124281291464	0	0	3.4719150818222	0	0	0	0	2.36842105263158	0	0	0	0	1.56236178681999	0.806059265811588	0	0	0	0	0
"Tococa_bullifera"	0	0	2.67282626629269	0	0	2.59033162844415	0	0	0	0	1.20277181983171	0	3.53407028543145	0	0	0	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0
"Palicourea_corymbifera"	1.79124281291464	0	0	0	0	0	0	3.47191508182221	0.403029632905794	0	0	0	0	0	0	0	1.18421052631579	1.18421052631579	0.403029632905794	0.781180893409996	0.781180893409996
"Azteca_r.am.1"	3.12472357363998	0	0	0	0	0	0	1.61211853162318	1.703062804069	0	0	0	0	0	0	0	1.06578947368421	1.06578947368421	0.703062804068997	0.362726669615215	0.362726669615215
"Allomerus_octoarticulatus"	0	2.36842105263158	0	0	2.36842105263158	0	0	0	0	3.13157894736842	0	0	0	0	1.06578947368421	1.06578947368421	0	0	0	0	0
"Pheidole_minutula"	0	0	3.53407028543145	0	0	1.20277181983171	0	0	0	0	2.59033162844415	0	2.67282626629269	0	0	0	0	0	0	0	0
"Myrcidris_sp."	0	0	0	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	2.96980696254743	0	0	1.76703514271572	0	0	0	0	1.33641313314635	0	3.9267447615905	0	0	0	0	0	0	0	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0
"Allomerus_septemarticulatus"	0	1.61211853162318	0	0	3.12472357363998	0	0	0	0	2.13157894736842	0	0	0	0	2.40612560813799	0.725453339230429	0	0	0	0	0
"Azteca_sp8"	0	3.12472357363998	0	0	1.61211853162318	0	0	0	0	2.13157894736842	0	0	0	0	0.725453339230429	2.40612560813799	0	0	0	0	0
"Crematogaster_brasiliensis"	2.36842105263158	0	0	0	0	0	0	2.36842105263158	0.532894736842106	0	0	0	0	0	0	0	2.06578947368421	1.06578947368421	0.532894736842106	0.532894736842106	0.532894736842106
"Crema_limata"	2.36842105263158	0	0	0	0	0	0	2.36842105263158	0.532894736842106	0	0	0	0	0	0	0	1.06578947368421	2.06578947368421	0.532894736842106	0.532894736842106	0.532894736842106
"Camponotus_femoratus"	3.12472357363998	0	0	0	0	0	0	1.61211853162318	0.703062804068996	0	0	0	0	0	0	0	1.06578947368421	1.06578947368421	1.703062804069	0.362726669615215	0.362726669615215
"Pachycondila_unidentata"	1.61211853162318	0	0	0	0	0	0	3.12472357363998	0.362726669615215	0	0	0	0	0	0	0	1.06578947368421	1.06578947368421	0.362726669615215	1.703062804069	0.703062804068997
"Solenopsis_sp5"	1.61211853162318	0	0	0	0	0	0	3.12472357363999	0.362726669615215	0	0	0	0	0	0	0	1.06578947368421	1.06578947368421	0.362726669615215	0.703062804068997	1.703062804069
