"Dryas_octopetala"	"Saxifraga_oppositifolia"	"Salix_arctica"	"Potentilla_rubricaulis"	"Saxifraga_caespitosa"	"Polygonum_viviparum"	"Silene_acaulis"	"Cerastium_arcticum"	"Papaver_radicatum"	"Potentilla_hyparctica"	"Cassiope_tetragona"	"Saxifraga_nivalis"	"Arnica_angustifolia"	"Arenaria_pseudofrigida"	"Melandrium_triflorum"	"Saxifraga_cernua"	"Ranunculus_sulphureus"	"Cochlearia_groenlandica"	"Stellaria_longipes"	"Epilobium_latifolium"	"Rhododendron_lapponicum"	"Taraxacum_phymatocarpum"	"Armeria_scabra"	"Pedicularis_hirsuta"	"Draba_lactea"	"Vaccinium_uliginosum"	"Saxifraga_hirculus"	"Draba_arctica"	"Erigeron_compositus"	"Lesquerella_arctica"	"Pedicularis_flammea"	"Spilogona_sanctipauli"	"Limnophyes_brachytomus"	"Spilogona_dorsata"	"Bradysia_sp1_M_PL_010"	"Paraphaenocladius_sp1_M_PL_010"	"Platycheirus_lundbecki"	"Spilogona_almqvistii"	"Spilogona_extensa"	"Aedes_nigripes"	"Clossiana_chariclea"	"Pseudosmittia_sp1_M_PL_010"	"Limnophyes_sp1_M_PL_010"	"Nysius_groenlandicus"	"Rhamphomyia_nigrita"	"Smittia_sp1_M_PL_010"	"Aedes_impiger"	"Drymeia_segnis"	"Spilogona_denudata"	"Rhamphomyia_filicauda"	"Spilogona_micans"	"Platycheirus_carinatus"	"Stenomacrus_sp1_M_PL_010"	"Limnophora_sinuata"	"Culicoides_sp1_M_PL_010"	"Parasyrphus_tarsatus"	"Peleteria_aenea"	"Sympistis_zetterstedti"	"Brachypogon_sp1_M_PL_010"	"Colias_hecla"	"Rheocricotopus_sp1_M_PL_010"	"Spilogona_tornensis"	"Unidentified_sp1_M_PL_010"	"Zaphne_frontata"	"Bombus_sp1_M_PL_010"	"Cricotopus_sp1_M_PL_010"	"Phaonia_bidentata"	"Polia_richardsoni"	"Scathophaga_furcata"	"Scatopsciara_sp1_M_PL_010"	"Unidentified_sp2_M_PL_010"	"Unidentified_sp3_M_PL_010"	"Drymeia_groenlandica"	"Eupeodes_curtus"	"Eupeodes_nigroventris"	"Lasiopiophila_pilosa"	"Lophosceles_minimus"	"Spilogona_tundrae"	"Delia_echinata"	"Entephria_puncticeps"	"Eukiefferiella_sp1_M_PL_010"	"Forcipomyia_sp1_M_PL_010"	"Megaselia_sp1_M_PL_010"	"Neoleria_prominens"	"Olethreutes_inquitana"	"Orthocladius_sp1_M_PL_010"	"Phytomyza_fuscula"	"Plebeius_glandon"	"Procladius_sp1_M_PL_010"	"Protophormia_terraenovae"	"Spilogona_melanosoma"	"Stenomacrus_sp2_M_PL_010"	"Sympistis_lapponica"	"Unidentified_sp4_M_PL_010"	"Unidentified_sp5_M_PL_010"	"Unidentified_sp6_M_PL_010"	"Aphidius_sp1_M_PL_010"	"Chironomus_sp1_M_PL_010"	"Gonarcticus_arcticus"	"Olethreutes_mengelana"	"Spilogona_arcticola"	"Spilogona_deflorata"	"Spilogona_malaisei"	"Spilogona_obsoleta"	"Stenomacrus_sp3_M_PL_010"	"Syngrapha_parilis"	"Unidentified_sp7_M_PL_010"
"Dryas_octopetala"	1.38967771841041	0.258007234673557	0.259094282276262	0.224333383098491	0.251146531187391	0.20300112024157	0.202003116425476	0.20018595790822	0.158612576699855	0.164121878832195	0.153162568635637	0.138910964363943	0.143928777730864	0.136372786317303	0.136944666794433	0.121936676114291	0.103051897735846	0.0937964086118926	0.100119834072921	0.0988921628976269	0.0829824032835732	0.086370322263515	0.0807987227756854	0.0756309990658833	0.0840966679838272	0.0677659727413272	0.0584594743018251	0.0578901935343785	0.0492022960694155	0.0544836698704052	0.0281766298188189	0.197663232053874	0.186585714532396	0.180162673566122	0.162670660180886	0.162884314779789	0.161900803166183	0.163564216392077	0.164568507060244	0.155402717571289	0.152141716022572	0.14892411463516	0.13651673130357	0.0968373623694728	0.128656094608218	0.130276571873173	0.120585701496048	0.120843565448539	0.120076268960475	0.114457853707581	0.0729671171721661	0.0982129325714319	0.0649118732242135	0.0888351870502205	0.0802799946443616	0.0474169460809393	0.0816958454755766	0.0810607954361638	0.0405911509575612	0.0720327850466211	0.0744973540718349	0.0405394860315825	0.0390391515316568	0.0423741347585268	0.032316311056184	0.0330911248977295	0.0309705919815055	0.0316119524878463	0.0322606214500373	0.0324574331502723	0.0335439218968292	0.0651988060943862	0.0227470299509078	0.0233340901389092	0.025376426700559	0.0557806122563085	0.0238778463114018	0.0575539290843433	0.0478515078078338	0.0159506431724852	0.01524211964755	0.0163887234894709	0.048125960953039	0.0176566696085007	0.0150315162021099	0.0170919174485709	0.015145730748437	0.0159506431724852	0.0160934168397617	0.048125960953039	0.0157182115186426	0.0165574932472665	0.0156777987768872	0.0477000803160475	0.0173693056244831	0.0162524227581293	0.0080071210760759	0.00751322731736154	0.00756309990658833	0.00832803050173699	0.00904127512274609	0.00751322731736154	0.00751621812452037	0.00946087514818057	0.00904127512274609	0.00790446977317082	0.00772889233018847
"Saxifraga_oppositifolia"	0.284697638260477	1.39248045272516	0.252973403772751	0.234986013799596	0.239409659445098	0.260398847246	0.192115443210103	0.171093198283646	0.170238756174573	0.163026463073325	0.136562883672697	0.152559550198884	0.138029945032126	0.125000946639444	0.130962681324078	0.127809616989522	0.0982149628243741	0.110556893066309	0.106648574024807	0.0809293914224662	0.0798956640246128	0.0857949093738646	0.0803026127176107	0.079393559957946	0.0657713106637138	0.0747495941177912	0.0625690207984223	0.0544634300603977	0.0443430712931231	0.0435199358781417	0.0236594646657853	0.197320909768791	0.151975369968223	0.186020629736285	0.165047709258643	0.162102134939889	0.128257300552594	0.168202130632169	0.167897157228821	0.158284158076708	0.159299226823144	0.151903230101913	0.137165634055279	0.0975513529540473	0.136515342607474	0.130473957020763	0.088086452128435	0.0851222654801187	0.127020045772711	0.118900988748321	0.112732422697549	0.101571043809713	0.101307735307175	0.0953616282224597	0.0474733172188236	0.0843780205202404	0.0503124006077521	0.0510458409735259	0.0785758607790435	0.0399680278494393	0.0389185376335068	0.043667226784573	0.0757279884545316	0.0777406157991612	0.0305211207684791	0.0340410887042315	0.0287609529789081	0.0307991621283208	0.0707317913915215	0.0305167723713994	0.0318181951215248	0.0304375044258427	0.0233886820910777	0.059860326382456	0.0599649463202487	0.0598528444288319	0.0237118599957091	0.0231055874485078	0.016042896217183	0.0534044307114414	0.0154300632937815	0.015403204050237	0.0166258688160994	0.0163004099466127	0.0151299657580098	0.0160094376482335	0.0147855919408775	0.0534044307114414	0.0162654192253189	0.0166258688160994	0.0160990355199521	0.0166633361283921	0.0152391026649127	0.0156887832826651	0.0167500357184334	0.0145582516534823	0.0432149106018153	0.00806394108195347	0.0079393559957946	0.00813128797840985	0.00861874774002353	0.00806394108195346	0.00804458838836858	0.00739927244966781	0.00861874774002353	0.00751756082126489	0.00736612221182806
"Salix_arctica"	0.296107751172871	0.262008168193206	1.36930771475007	0.249813507276091	0.226061184799912	0.213341820909905	0.215359671161867	0.193148188555602	0.153462603538665	0.167211788430944	0.150620639469468	0.145801213439945	0.135893401161318	0.124140938489991	0.126548566468031	0.113737308414895	0.105297913158458	0.0917708003270766	0.0907012040596853	0.093112377599527	0.102538915251491	0.0878461106442205	0.0832951533442949	0.0788303341440637	0.071387846036816	0.0779920763622436	0.0554046514941519	0.0555668280674968	0.0506733047151167	0.0465998831498452	0.0295760301495755	0.200861031299069	0.191894546592407	0.183568777770126	0.165160836679013	0.166211788160553	0.164739268280376	0.167283685976744	0.165795692123106	0.159296832508159	0.158092132394112	0.150922631540573	0.143921654874753	0.0948303764246299	0.133033862550686	0.136981409780093	0.126879429775091	0.128608108358133	0.087954055837853	0.080880281320022	0.0720987692349434	0.0652898126413412	0.0627910059673699	0.0562243469017452	0.0870162611128774	0.0867959190240693	0.0853586340119458	0.0502445641346534	0.0781194058377893	0.0772517297328728	0.0775367048958621	0.0780627181611039	0.0417653359544782	0.0410705487138102	0.0701414931698189	0.0334484487190836	0.0302873769672003	0.0349021395007476	0.0321415702843678	0.0344608612097319	0.0333746052611634	0.031836329610968	0.0251451742293668	0.0236018874546593	0.0602829528910304	0.0253117072794321	0.023320228776816	0.0250508316658809	0.016308519404665	0.0164794461879279	0.0151666247071369	0.0163785609281374	0.0164662331545338	0.0166106136229544	0.0171115357870405	0.0158011215888408	0.0162483863437476	0.0164794461879279	0.0526608528963038	0.0164662331545338	0.0166284358232004	0.0152616578449021	0.0163332675251833	0.0168004414718945	0.0521516649126205	0.0153194978069063	0.00813128797840984	0.00726928122025253	0.00788303341440637	0.0440134622598237	0.00813820265279683	0.00726928122025253	0.00712345519210524	0.00803113267914181	0.00813820265279683	0.00842711756720348	0.00789734348688438
"Potentilla_rubricaulis"	0.276102625351989	0.262099784622626	0.269029930912713	1.32531205336438	0.213997768347244	0.218171427237385	0.199640991008026	0.187726401670859	0.183280022094755	0.155496573067617	0.141145891876094	0.152535171147607	0.133537937277053	0.131122403899609	0.12439350717349	0.119168564012046	0.112312122684426	0.0989548776213785	0.101372385301657	0.0898786547098536	0.0996847323401519	0.0838754130500958	0.0891331967325907	0.085752496889931	0.0618219085279234	0.0722076226473982	0.0569330408450119	0.0611489211151818	0.0747233632022575	0.052233459645009	0.0303646463604825	0.201536752802853	0.197374113303179	0.185489186151228	0.128503918556985	0.169691676588861	0.169789812620609	0.167773439112777	0.129984392326906	0.162646642104733	0.160556461393657	0.114919309818237	0.149852391021711	0.140553025977108	0.138848645031464	0.135965680480235	0.131684645218887	0.130056055007323	0.125844548270313	0.118645340161323	0.112288905726385	0.102955067825055	0.0629059771369807	0.0570691221233288	0.0503847459016857	0.0879785158401321	0.0490480004011088	0.0483557411346613	0.0416741937515071	0.0411504116629619	0.0397548861771151	0.0798729947964318	0.0796222446196067	0.0407439475239276	0.0333705117436989	0.070782083079131	0.0355372474627849	0.0328464786550512	0.0327798584574953	0.0318619869464123	0.0704512033996346	0.0313934038691636	0.0635294976303469	0.025395919881082	0.0244854415438899	0.0241316891002782	0.025117370695075	0.0231680391226047	0.016194683731571	0.0166712740518502	0.0171050944584519	0.0154882435925389	0.0154693059985255	0.0156433760785311	0.0175468755996068	0.0163831831758406	0.0570846909429518	0.0166712740518502	0.0545235770990933	0.0154693059985255	0.0163921421556279	0.0150238820548595	0.0153608259530836	0.015704842756055	0.0163513102969808	0.0167483386200104	0.00813413124690909	0.00868168525711998	0.00857524968899309	0.00864739063648007	0.00770391966050079	0.00868168525711998	0.00731996239435868	0.00695496470939139	0.00770391966050079	0.00781203877857494	0.00842340920133191
"Saxifraga_caespitosa"	0.321467559919861	0.277715204956314	0.253188526975901	0.222557679081134	1.45371733036628	0.200146498776299	0.184962630817751	0.177373695949945	0.150080553417629	0.141466713775968	0.155954106942867	0.136887946810163	0.13150054685291	0.12477636804446	0.128723729509543	0.124500180695773	0.107856605596509	0.10328320049842	0.108620246711122	0.0868887428739302	0.0723901726177198	0.0865772346853376	0.0641977339313208	0.0652238263414367	0.0682980030363125	0.0592231476644362	0.0893261678709773	0.0498039933735647	0.0425809423802643	0.0509965427838014	0.0228720614788954	0.202614332044634	0.192032345043993	0.190506499923217	0.17507251245212	0.125054830390186	0.125591156419057	0.173191256793808	0.175450322905516	0.117880588898936	0.121961836819837	0.157995490747962	0.0997259025238726	0.0918700735869795	0.0958148142172639	0.139811680090206	0.0851043267850386	0.0839873412787062	0.137967005460747	0.125810360812705	0.11638836156701	0.110220606225254	0.113079635598038	0.101829085295368	0.0463603516868496	0.0460454732686831	0.0489964138597468	0.0477653067694577	0.0387407882811306	0.0387269521422834	0.0416172379504119	0.0388633030974305	0.0359274275400491	0.0855781476117945	0.0306634048663616	0.0323294956390858	0.0283833697831418	0.0291878063258139	0.032791043745675	0.0280989131518628	0.0761088052911725	0.076844567292156	0.0213281140421938	0.0234277735941934	0.0690907742860063	0.0251494371214974	0.023088357077011	0.0247066167820788	0.0170626130684614	0.016450567257357	0.0151983242658364	0.0165643696372167	0.0613750990159321	0.0611062424087222	0.0130374981697385	0.0167070979532001	0.0140910610175404	0.016450567257357	0.0158421223132976	0.0613750990159321	0.0149376151705054	0.0638186169051688	0.0150296192841141	0.0178136936382824	0.0604720265459828	0.0140692548107023	0.00861874774002353	0.00710907884609823	0.00652238263414367	0.00813820265279684	0.052333823893186	0.00710907884609823	0.0114847930119828	0.00768352534158517	0.052333823893186	0.00723766816243375	0.00808924541973816
"Polygonum_viviparum"	0.282436341205663	0.328328981310173	0.259720477629449	0.246628569920522	0.217550542148151	1.31857756001242	0.195330944435178	0.170327147591732	0.166187012999473	0.163090759809638	0.143290387391938	0.151742829554553	0.14723014899556	0.142075776268459	0.139021611998808	0.129366930238083	0.0917795354790958	0.109951238516871	0.103562330491569	0.0952565723462391	0.0787539310960057	0.0831557461891956	0.0740751664341578	0.0655436082265645	0.0651546558060298	0.0707173708835591	0.0519159141059346	0.0562108214843972	0.0495891735321717	0.0453624036300239	0.0212234050052238	0.207398485310606	0.150372838398759	0.195510221563241	0.128503513833242	0.13067880948378	0.128823718449688	0.178221846484026	0.176060377900877	0.169014990001782	0.166679179125535	0.162460482011737	0.102563640169564	0.142201095029037	0.145228104179703	0.0976576980476092	0.132196084835738	0.0855545946080864	0.092615099758112	0.126394608250311	0.121648171495088	0.0691778219048718	0.0662300404467011	0.103326667068385	0.0481334027307114	0.0934025729228493	0.0942321976031947	0.0935885493605656	0.0867241124572263	0.0401763906713228	0.0393463850165301	0.0856515650905846	0.0406442446050399	0.0868113798957487	0.0311394810812011	0.0773271830737304	0.0297581377618136	0.0307470270960835	0.0796158526913448	0.0300168415834654	0.0309171491248348	0.0311527936694078	0.0234970130088199	0.0265970706773079	0.0263694978364775	0.0267672589018397	0.023589290505904	0.0229381425162156	0.0170769648565245	0.0617860333275035	0.0147554815661704	0.0155441014478241	0.0157753416137427	0.01589190380813	0.013642214621297	0.0170463730968353	0.0159755188347669	0.0617860333275035	0.0168853010144592	0.0157753416137427	0.0161789189446897	0.014506722759525	0.0151274019392737	0.0160036063872058	0.0161799777268515	0.0142118771879194	0.0101895201096261	0.00787201640523819	0.00655436082265644	0.00834815820951802	0.00783181951733345	0.00787201640523819	0.00667490324219159	0.00732989877817837	0.00783181951733345	0.00764338478224609	0.00688346516093219
"Silene_acaulis"	0.281047814157184	0.242232515351868	0.262176990979664	0.225681120269943	0.201046337845382	0.195330944435178	1.35573404022709	0.177041358729708	0.16320368647428	0.155346362764675	0.149827765645987	0.154153802530472	0.143132595101318	0.113211208287459	0.127990748059988	0.112405895509065	0.10058616696028	0.0988352180906305	0.0931603985450492	0.0879833881303969	0.125603230140241	0.114159994524298	0.0787135894997559	0.0763751039219294	0.0743018750953965	0.0865891015218228	0.0678244279464399	0.0544983034464525	0.0605062740774196	0.0564857458884519	0.0279718905790168	0.209474397008612	0.20098423212005	0.144701994525416	0.175991047632877	0.130362407151687	0.174593654177388	0.17517250314512	0.128966109913976	0.16329536295638	0.167269744691126	0.155471401311575	0.105471570647673	0.0967704941341866	0.0953846662195764	0.144004418652651	0.136919076947543	0.136274195188982	0.132992269553003	0.0775758063855939	0.069758832720967	0.0630846298459037	0.110737083458859	0.0540437077505362	0.052621876506946	0.09575485510558	0.0487094094214344	0.0936384685713527	0.0415535562971082	0.0858413644400978	0.04108522124903	0.0407779117255522	0.0405797428632134	0.0381042889734396	0.0812096825410807	0.0311610987683159	0.0783299663768049	0.0825238388950825	0.0318354191533689	0.0824549880257278	0.0305605306058666	0.0315335047506081	0.0268470304294521	0.0239194131518593	0.0231823465509021	0.0236462497996244	0.0238626191663555	0.0242302918642398	0.0151823331630789	0.015160945603511	0.0152746634602764	0.0187022113247736	0.0151421379356046	0.0156654799800205	0.0189418011048147	0.0155407193581489	0.0168879798901879	0.015160945603511	0.0162391563457784	0.0151421379356046	0.0617216138360079	0.0159579517555474	0.0633248619508557	0.0163322815907576	0.0156647857296372	0.0163442208332434	0.00751756082126489	0.00773070093825537	0.00763751039219294	0.00842711756720347	0.00723766816243374	0.00773070093825537	0.0087202835931137	0.00835896094823211	0.00723766816243374	0.0530504624436688	0.007543962522021
"Cerastium_arcticum"	0.320297532653152	0.248085137511286	0.270407463977843	0.244044322172116	0.221717119937431	0.195876219730492	0.203597562539164	1.2412323141562	0.163427452734252	0.164842214575272	0.151636086514743	0.144024923648362	0.129442138770872	0.132694932711019	0.124381208475084	0.122491613824904	0.126451689594199	0.0967497824097198	0.0961745299421683	0.0932276777047934	0.0927410227961192	0.0943939045167515	0.0769000920734446	0.0840501244543751	0.100233594557609	0.0748916838011469	0.0582964203393093	0.0563615227372275	0.0536241294773414	0.0485358644599128	0.0323276119405344	0.217143111172499	0.20510137406567	0.197173731228517	0.183350187104705	0.179589212795507	0.181479633060763	0.178577236576805	0.184309996363144	0.172058440535459	0.169377971711784	0.162962254661628	0.158381046695269	0.0954412446789054	0.0978435288533206	0.148504617921992	0.139119953774899	0.142357624457041	0.088732017004076	0.132023835807136	0.0725625907741306	0.0652225831660341	0.0634192281291771	0.056571523860642	0.0988578857386034	0.0488168253190703	0.0495177123827247	0.0491293548187602	0.0412078392486552	0.0411234352673056	0.0933612999820863	0.0416324209286711	0.0406672180783637	0.0404056502800164	0.033534751545944	0.0331723281146935	0.0310321606261001	0.0332683974885709	0.0310463351787123	0.0360151470098477	0.0817688352495302	0.0326610550860357	0.0245356805195145	0.0235418962706595	0.0243726787255137	0.025434502800266	0.0249917054384923	0.07614010163063	0.0175387566372925	0.015363915564392	0.01722517711224	0.0170249812729619	0.0169901844236174	0.0165113461842018	0.0167517044970882	0.0162593161705179	0.0164913074967898	0.015363915564392	0.0171393565601907	0.0169901844236174	0.0160682630980572	0.015477070361373	0.0164623125493445	0.0175378979723242	0.0166734848027496	0.0149703888763314	0.00769919392276406	0.0077413003926751	0.00840501244543751	0.00869166848500211	0.0079818163177475	0.00774130039267509	0.00749525404362548	0.0112762793877311	0.0079818163177475	0.00796686114283687	0.00948387671956493
"Papaver_radicatum"	0.267136971283966	0.259838101529612	0.22615541574119	0.250804240761244	0.197474412391618	0.201173752578309	0.197562357310971	0.172028897615002	1.38676169796458	0.141992989027931	0.123113595261904	0.153891463530499	0.139109267390829	0.125918259245312	0.127269559181043	0.128949345987753	0.146542133437843	0.0959581647216805	0.0924925866058459	0.0881665250557885	0.096274930904988	0.0793970137680527	0.0848441295008609	0.0779716432607042	0.0627833321802868	0.0622033498475602	0.0540515951477915	0.0573326846261306	0.0661356732633062	0.0702852016160595	0.0295386039981846	0.218126699897579	0.208466589354502	0.14430675388303	0.126672312784057	0.186238393493689	0.190273166272243	0.125182489064524	0.126307877315235	0.177613816956946	0.175042725993963	0.110179401608428	0.108422415189095	0.159641339048346	0.155506025959439	0.0965535905096493	0.0890655785320546	0.14859415526799	0.0873970353629703	0.136227923861865	0.130944958642722	0.0640635810264349	0.0605992552648178	0.113355852592818	0.0462811748067872	0.0482823686842685	0.0471176827601043	0.0471613911128002	0.0377203914550087	0.0393441784694053	0.0365120735340535	0.0399966535959153	0.0400250804730805	0.0380649213039706	0.0305898656734389	0.0315735866330389	0.0938825441790086	0.0303184613110369	0.0321336360987789	0.0304564464478371	0.0345227245037316	0.0331000736608897	0.0830351410474173	0.0824090479143924	0.0224423011483042	0.023094444289029	0.0850259280601364	0.0223176525803189	0.0156079725545602	0.0159359574871917	0.0766793720166865	0.0140708709726068	0.0146223061634598	0.0140342185795803	0.0164619081075193	0.015502562522772	0.0186020362466159	0.0159359574871917	0.0159509664773725	0.0146223061634598	0.016387095761846	0.0140585696508143	0.0148764321773801	0.0144383670508436	0.0143783600663508	0.019027193192495	0.00806394108195347	0.0656887120088484	0.00779716432607042	0.00726928122025253	0.00710907884609823	0.0656887120088483	0.00694949080471605	0.00706312487028227	0.00710907884609823	0.00773070093825538	0.0109906600078383
"Potentilla_hyparctica"	0.308935301331191	0.278103966419201	0.275407651533319	0.237818288221062	0.20803928496466	0.220652204448333	0.210174490799267	0.193932017147379	0.158698046560629	1.21775912590479	0.14125116978671	0.155843979735073	0.139267921685613	0.129301674156268	0.13814890136381	0.118802321921398	0.118090192468005	0.0971320703124497	0.0941710369131731	0.0927375063932221	0.0853471485426355	0.0929124527743147	0.0763074052871227	0.0874166652964729	0.0676858707388763	0.075325585970969	0.055803995457211	0.0540984816332892	0.050573130673907	0.0494308365791534	0.0339891697173434	0.221814888294607	0.214265800730507	0.207193021069263	0.18912643819085	0.189518378174395	0.189566548566255	0.190312438827699	0.1892264262369	0.182597273527528	0.123259898468082	0.173951928486823	0.167324214140686	0.0964479973450022	0.0998780875899797	0.15615381483983	0.0925342043684502	0.149792536608829	0.0894393701996921	0.0814639768434153	0.0737543109743237	0.0660979552432108	0.0644144395918009	0.0580663018801057	0.0507357571929026	0.0502550523354006	0.0517588625235154	0.107253918137223	0.0990611474509589	0.0417522291842628	0.0418281736794831	0.0989546016537264	0.0417095197463787	0.0410120724874496	0.0327032296738136	0.0331240169931256	0.0307420901828618	0.0323249692962624	0.0335682741370823	0.0319942514538835	0.0333052909808047	0.0319392206709305	0.0234306907738957	0.0249143125007526	0.0249726158089537	0.081789218884075	0.0247301156259512	0.0250304065796954	0.0170010558314141	0.017265029446745	0.0163740403248144	0.0163074990501908	0.0161782196086675	0.0154347925592302	0.0164229098984845	0.0160512785955587	0.0158181411164305	0.017265029446745	0.0170845603146297	0.0161782196086675	0.0169904430652865	0.0146642136746549	0.016586339954877	0.0166341836504422	0.016341803058013	0.0150453660155853	0.00863081275094071	0.00751727588971401	0.00874166652964729	0.00885238879928525	0.00748941425872774	0.00751727588971401	0.00717479941592712	0.00761466045812359	0.00748941425872774	0.0082242192051887	0.0088567644351004
