"Discaria_nana"	"Azorella_monanthos"	"Phacelia_secunda"	"Senecio_looseri"	"Sisyrinchium_junceum"	"Adesmia_haemisphaerica"	"Jaborosa_laciniata"	"Astragalus_nivicola"	"Cerastium_arvense"	"Montiopsis_gilliesii"	"Oxalis_erythrorhiza"	"Perezia_pilifera"	"Senecio_tricephalus"	"Tarasa_humilis"	"Astragalus_cruckshanksii"	"Calandrinia_caespitosa"	"Epilobium_nivale"	"Hypochoeris_montana"	"Leuceria_candidissima"	"Loasa_incurva"	"Menonvillea_hookeri"	"Megachile_sp1_M_PL_022"	"Chilimelissa_sp1_M_PL_022"	"Geron_sp1_M_PL_022"	"Megachile_sp2_M_PL_022"	"Unidentified_sp2_M_PL_022"	"Unidentified_sp5_M_PL_022"	"Anthidium_chubuti"	"Thysanoptera_sp1_M_PL_022"	"Astylus_sp1_M_PL_022"	"Chironomidae_sp1_M_PL_022"	"Chlorobrachycoma_versicolor"	"Hypodinerus_sp1_M_PL_022"	"Ichneumonidae_sp1_M_PL_022"	"Liphantus_sp1_M_PL_022"	"Liphantus_sp2_M_PL_022"	"Microcerella_rusca"	"Mosillus_sp1_M_PL_022"	"Spinoliella_sp1_M_PL_022"	"Thyridanthrax_sp2_M_PL_022"	"Tropidia_notata"	"Unidentified_sp1_M_PL_022"	"Agrotis_ipsilon"	"Alloscirtetica_antarctica"	"Alloscirtetica_sp1_M_PL_022"	"Calliphoridae_sp1_M_PL_022"	"Chilimelissa_farellones"	"Coccinela_anchoralis"	"Dasybaris_chillan"	"Dolichogyna_sp1_M_PL_022"	"Hypodinerus_sp2_M_PL_022"	"Issoria_lathonioides"	"Peridroma_saucia"	"Phulia_sp1_M_PL_022"	"Phulia_sp2_M_PL_022"	"Podagritus_sp1_M_PL_022"	"Pseudoleucania_nobilis"	"Pseudoleucania_sp1_M_PL_022"	"Pyrgus_fides"	"Tamseuxoa_ingoufii"	"Thyridanthrax_sp1_M_PL_022"	"Thyridanthrax_sp3_M_PL_022"	"Thyridanthrax_sp4_M_PL_022"	"Unidentified_sp3_M_PL_022"	"Unidentified_sp4_M_PL_022"	"Unidentified_sp6_M_PL_022"
"Discaria_nana"	3.29980781616116	0.587602771503702	0.245094928514848	0.0927523204614176	0.0650025549824161	0.0769852879353723	0.197479001968217	0.0835365526296649	0.162137963669429	0.0775429293130021	0.0369615416698659	0.0775429293130021	0.0417083193463102	0.0282830719651229	0.0162949682610398	0.106956555865968	0.0243821934544913	0.0125793482153745	0.0073742394307783	0.00970180893523127	0.0134307911404324	0.12673864203031	0.108365304242184	0.236269937148937	0.0625815489338415	0.257801002472619	0.108604647037584	0.0323393631174376	0.0447693038014414	0.0279541071452767	0.178184574255562	0.185490542841113	0.237681235257706	0.0628389515686173	0.0163871987350629	0.0796164282170568	0.185490542841113	0.0796164282170568	0.0266402304535179	0.185490542841113	0.214382418629578	0.0796164282170568	0.141420334978335	0.00975038324736242	0.00975038324736242	0.072962083651243	0.0367642392772271	0.0440702078627777	0.141420334978335	0.141420334978335	0.141420334978335	0.141420334978335	0.141420334978335	0.141420334978335	0.013857351828367	0.0440702078627777	0.141420334978335	0.141420334978335	0.0139128480692126	0.141420334978335	0.141420334978335	0.141420334978335	0.0440702078627777	0.141420334978335	0.0355462203542791	0.0367642392772271
"Azorella_monanthos"	1.02830485013148	2.44510331101467	0.283904339309643	0.192971297786367	0.0939682606023567	0.144567067720166	0.556042194471475	0.0614048051506955	0.0505263529636941	0.0291070860833284	0.0138741569952133	0.0291070860833284	0.154134156036251	0.0436257818390548	0.0217659984160665	0.0333304093079831	0.0091522800346575	0.00472187696055578	0.0106602648582505	0.0164865662794453	0.0403997526921649	0.169291098791628	0.0406768001540333	0.088688026882982	0.0874844474931471	0.37012620209019	0.280936166080131	0.0549552209314842	0.134665842307216	0.0104930599123462	0.0866558587592242	0.227452956188878	0.0740675762399625	0.252743118542413	0.023689477462779	0.283470343330965	0.227452956188878	0.283470343330965	0.0485772964955297	0.227452956188878	0.0668070666964401	0.283470343330966	0.0440702078627777	0.0140952390903535	0.0140952390903535	0.0227368588336624	0.0425856508964465	0.1833827483261	0.0440702078627777	0.0440702078627777	0.0440702078627777	0.0440702078627777	0.0440702078627777	0.0440702078627777	0.0260220721896299	0.1833827483261	0.0440702078627777	0.0440702078627777	0.028945694667955	0.0440702078627777	0.0440702078627777	0.0440702078627777	0.1833827483261	0.0440702078627777	0.100087595004865	0.0425856508964465
"Phacelia_secunda"	0.857832249801966	0.567808678619286	1.94598002062014	0.354443909263895	0.26227058777693	0.31213194000519	0.25432133398595	0.14840355413367	0.0421500832477763	0.0378607127098834	0.018046652646156	0.0378607127098834	0.0669522272854206	0.129028002751689	0.0789748683191594	0.027804886848323	0.0119047246447331	0.00614192800142284	0.0297533860083072	0.0392565770003316	0.034230858356722	0.614248975815684	0.0529098873099251	0.115359946956223	0.193211989997159	0.417024733384166	0.443832989579986	0.130855256667772	0.114102861189073	0.0136487288920508	0.328661242370249	0.0793498901736736	0.0617886374407179	0.0727141531748857	0.066118635574016	0.0883634910139175	0.0793498901736736	0.0883634910139175	0.111229187627844	0.0793498901736736	0.0557317767387265	0.0883634910139175	0.0367642392772271	0.0393405881665395	0.0393405881665395	0.0189675374614993	0.291897003093022	0.0425856508964465	0.0367642392772271	0.0367642392772271	0.0367642392772272	0.0367642392772271	0.0367642392772271	0.0367642392772272	0.0561837492009341	0.0425856508964465	0.0367642392772272	0.0367642392772272	0.0531665863895843	0.0367642392772271	0.0367642392772271	0.0367642392772272	0.0425856508964465	0.0367642392772271	0.045777840117471	0.291897003093022
"Senecio_looseri"	0.324633121614961	0.385942595572734	0.354443909263895	1.92376780733292	0.448753741742894	0.451515511321541	0.10943614401309	0.243375528732023	0.0159510360029189	0.040487780847485	0.0192988685386662	0.040487780847485	0.214855955785553	0.289261457581383	0.100831685426181	0.0105223220691524	0.0127307662208849	0.00656810231778136	0.0509090379288157	0.0610626794380732	0.158322062138399	0.784246442203626	0.0565811832039327	0.123364509451556	0.510163683018857	0.115723635049108	0.451950244195355	0.203542264793578	0.527740207127997	0.014595782928403	0.0670794344587969	0.0428585427371677	0.0233829379314498	0.125630874771454	0.113131195397368	0.0486442005903112	0.0428585427371677	0.0486442005903113	0.418732827011561	0.0428585427371676	0.0210908142705261	0.0486442005903113	0.0139128480692126	0.067313061261434	0.067313061261434	0.00717796620131352	0.0531665863895843	0.028945694667955	0.0139128480692126	0.0139128480692126	0.0139128480692126	0.0139128480692126	0.0139128480692126	0.0139128480692126	0.0812727920378774	0.028945694667955	0.0139128480692126	0.0139128480692126	0.288565171099939	0.0139128480692126	0.0139128480692126	0.0139128480692126	0.028945694667955	0.0139128480692126	0.0196985059223562	0.0531665863895843
"Sisyrinchium_junceum"	0.227508942438456	0.187936521204713	0.26227058777693	0.448753741742894	2.30258350623233	0.560297182290708	0.0599557621919472	0.264757992828414	0.0111787833409251	0.0415368353318973	0.0197989098884462	0.0415368353318973	0.0555133994959721	0.166961539782972	0.102860950409275	0.0073742394307783	0.0130606254306137	0.00673828445783252	0.261217456589381	0.183386720033086	0.0379290785073787	0.800029614294358	0.0580472241360607	0.126560932894594	0.592981477857134	0.073978247698806	0.221602381330654	0.611289066776954	0.126430261691262	0.0149739654618501	0.049090971413902	0.0238456223377159	0.0163871987350629	0.039076268863541	0.580483236865292	0.024887276284904	0.0238456223377159	0.024887276284904	0.142445754163771	0.0238456223377159	0.0147808357507787	0.024887276284904	0.00975038324736241	0.345387525934849	0.345387525934849	0.00503045250341628	0.0393405881665395	0.0140952390903535	0.00975038324736242	0.00975038324736242	0.00975038324736242	0.00975038324736242	0.00975038324736241	0.00975038324736242	0.100853492812327	0.0140952390903535	0.00975038324736242	0.00975038324736242	0.067313061261434	0.00975038324736241	0.00975038324736241	0.00975038324736242	0.0140952390903535	0.00975038324736242	0.0107920371945505	0.0393405881665395
"Adesmia_haemisphaerica"	0.323338209328563	0.346960962528399	0.374558328006227	0.54181861358585	0.67235661874885	1.81984610513052	0.102333654518052	0.268638576105791	0.0158874097395291	0.0439920054375797	0.0209691890224919	0.0439920054375797	0.0736402713158309	0.178353176347309	0.105663901719934	0.0104803501222944	0.0138326162879463	0.00713657273454556	0.0762757508664662	0.176065393864036	0.0470181838890417	0.821830346710601	0.0614782946130948	0.134041729553926	0.590290156605436	0.11448323103218	0.491050912351936	0.586884646213455	0.156727279630139	0.0158590505212124	0.0700411010293012	0.0398794240179969	0.023289666938432	0.0591601942817538	0.169501668592147	0.0444421300028793	0.0398794240179969	0.0444421300028793	0.161531721394167	0.0398794240179969	0.0210066862111551	0.0444421300028794	0.013857351828367	0.100853492812327	0.100853492812327	0.00714933438278807	0.0561837492009341	0.0260220721896299	0.013857351828367	0.013857351828367	0.013857351828367	0.013857351828367	0.013857351828367	0.013857351828367	0.327572298923494	0.0260220721896299	0.013857351828367	0.013857351828367	0.0812727920378775	0.013857351828367	0.013857351828367	0.013857351828367	0.0260220721896299	0.013857351828367	0.0184200578132494	0.0561837492009341
"Jaborosa_laciniata"	0.829411808266512	1.33450126673154	0.30518560078314	0.131323372815708	0.0719469146303366	0.102333654518052	2.12071393280218	0.0483351426224297	0.0407536284316575	0.0233105615988287	0.0111111909430872	0.0233105615988287	0.0867408212350986	0.0337944232234499	0.018086724855641	0.0268836960662615	0.00732965116833903	0.00378153977474816	0.008162044937055	0.0120049705511506	0.0241363871828016	0.140674526654985	0.0325762274148402	0.0710262685799538	0.063411143716885	0.563140163381008	0.183983998857942	0.0400165685038355	0.0804546239426721	0.00840342172166259	0.0813240604717501	0.135633815359145	0.0597415468139144	0.13912096456066	0.0181378776379	0.481816102909257	0.135633815359145	0.481816102909257	0.0349059963729087	0.135633815359145	0.053885353148525	0.481816102909258	0.0355462203542791	0.0107920371945505	0.0107920371945505	0.0183391327942459	0.045777840117471	0.100087595004866	0.0355462203542791	0.0355462203542791	0.0355462203542791	0.0355462203542791	0.0355462203542791	0.0355462203542791	0.0184200578132494	0.100087595004866	0.0355462203542791	0.0355462203542791	0.0196985059223562	0.0355462203542791	0.0355462203542791	0.0355462203542791	0.100087595004866	0.0355462203542791	0.381728507904392	0.045777840117471
"Astragalus_nivicola"	0.584755868407655	0.245619220602782	0.296807108267341	0.486751057464047	0.529515985656827	0.447730960176318	0.0805585710373828	1.40313090765751	0.0287323174649803	0.207736032672224	0.0990192670817709	0.207736032672224	0.0625152147000239	0.183606960490876	0.11357085461265	0.01895367160505	0.0653194324867144	0.0336998345950565	0.0600711412299762	0.0657612208275047	0.0415662350279251	0.883328869209503	0.290308588829842	0.632962667491155	0.653970901597122	0.102504016360938	0.216546739236654	0.219204069425016	0.13855411675975	0.0748885213223478	0.0695820320290007	0.0434824073341081	0.0421192702334445	0.0465532881602194	0.133491424955503	0.0329219843319376	0.0434824073341081	0.0329219843319376	0.155635790840501	0.0434824073341081	0.0379905086481406	0.0329219843319376	0.0250609657888995	0.0794273978485241	0.079427397848524	0.0129295428592411	0.0445210662401011	0.0184214415452086	0.0250609657888995	0.0250609657888995	0.0250609657888995	0.0250609657888995	0.0250609657888995	0.0250609657888995	0.0805915728317373	0.0184214415452086	0.0250609657888995	0.0250609657888995	0.0730126586196071	0.0250609657888995	0.0250609657888995	0.0250609657888995	0.0184214415452086	0.0250609657888995	0.0145005427867289	0.0445210662401011
"Cerastium_arvense"	1.702448618529	0.303158117782165	0.126450249743329	0.0478531080087568	0.0335363500227752	0.0397185243488226	0.101884071079144	0.0430984761974704	2.63142149717977	0.0400062246774087	0.0190693304156633	0.0400062246774087	0.021518304885676	0.0145919033705411	0.00840695814741545	0.0551814078034611	0.0125793482153745	0.00648998220028876	0.00380454391014676	0.00500539187104289	0.00692926167117851	0.0653874522576758	0.0559082142905534	0.121897228720152	0.032287295946759	0.133005612740651	0.0560316968792633	0.0166846395701429	0.0230975389039284	0.0144221826673084	0.0919296211127424	0.0956989424849054	0.122625350674358	0.0324200960322165	0.00845454202254837	0.0410759916279083	0.0956989424849054	0.0410759916279083	0.013744322718057	0.0956989424849054	1.25710175738214	0.0410759916279083	0.072962083651243	0.00503045250341628	0.00503045250341628	1.1841396737309	0.0189675374614993	0.0227368588336624	0.072962083651243	0.072962083651243	0.072962083651243	0.072962083651243	0.072962083651243	0.072962083651243	0.00714933438278807	0.0227368588336624	0.072962083651243	0.072962083651243	0.00717796620131352	0.072962083651243	0.072962083651243	0.0729620836512431	0.0227368588336624	0.072962083651243	0.0183391327942459	0.0189675374614993
"Montiopsis_gilliesii"	0.814200757786522	0.174642516499971	0.11358213812965	0.121463342542455	0.124610505995692	0.109980013593949	0.0582764039970716	0.311604049008337	0.0400062246774087	1.59485110176471	0.521870723465038	0.594851101764706	0.0218451510363471	0.0444119440436552	0.0272197497531993	0.0263906608166099	0.344259258756349	0.17761146470869	0.0141364859743012	0.0158169774025745	0.0115273230196128	0.211709164747106	1.53004115002822	1.11374152448159	0.150188694430134	0.0755195803672692	0.0681514132852244	0.0527232580085818	0.0384244100653759	0.394692143797088	0.0519316389102985	0.0479925069283487	0.0586459129257999	0.022928506703854	0.0314144132762249	0.0235879414569707	0.0479925069283488	0.0235879414569707	0.0382048762010131	0.0479925069283487	0.0528971192956849	0.0235879414569707	0.034894318190851	0.0186915758993538	0.0186915758993538	0.0180028011048339	0.0170373207194475	0.0130981887374978	0.034894318190851	0.034894318190851	0.034894318190851	0.034894318190851	0.0348943181908509	0.034894318190851	0.0197964024469109	0.0130981887374978	0.034894318190851	0.034894318190851	0.0182195013813683	0.034894318190851	0.034894318190851	0.034894318190851	0.0130981887374978	0.034894318190851	0.0104897527194729	0.0170373207194475
