"Grindelia_chiloensis"	"Discaria_trinervis"	"Baccharis_pingraea"	"Larrea_divaricata"	"Hysterionica_jasionoides"	"Rosa_rubiginosa"	"Senecio_subulatus"	"Opuntia_corrugata"	"Lathyrus_sp1_M_PL_023"	"Pyrrhocactus_strausianum"	"Rapistrum_rugosum"	"Thelesperma_megapotamicum"	"Arjona_patagonica"	"Junellia_tonini"	"Oxalis_sp1_M_PL_023"	"Senecio_filaginoides"	"Adesmia_retrofracta"	"Lecanophora_heterophylla"	"Mimulus_sp1_M_PL_023"	"Mutisia_decurrens"	"Oenothera_mendocinensis"	"Phacelia_secunda"	"Polygala_stenophylla"	"Copestylum_aricia"	"Scaeva_occidentalis"	"Megachile_sp2_M_PL_023"	"Psaenythia_rufipes"	"Unidentified_sp26_M_PL_023"	"Callonychium_mandibulare"	"Carposcalis_punctulata"	"Dialictus_sp1_M_PL_023"	"Dialictus_sp2_M_PL_023"	"Megachile_sp1_M_PL_023"	"Unidentified_sp16_M_PL_023"	"Vanessa_cardui"	"Apis_mellifera"	"Arhysosage_bifasciata"	"Centris_sp1_M_PL_023"	"Colletes_lycii"	"Compsomyiops_fulvicrura"	"Copestylum_sp1_M_PL_023"	"Sappho_sp1_M_PL_023"	"Svastrides_zebra"	"Tatochila_sp1_M_PL_023"	"Unidentified_sp1_M_PL_023"	"Unidentified_sp13_M_PL_023"	"Unidentified_sp14_M_PL_023"	"Unidentified_sp18_M_PL_023"	"Unidentified_sp25_M_PL_023"	"Unidentified_sp3_M_PL_023"	"Unidentified_sp6_M_PL_023"	"Unidentified_sp9_M_PL_023"	"Alipumilio_sp1_M_PL_023"	"Alloscirtetica_herbsti"	"Ammophila_sp1_M_PL_023"	"Anthidium_rubriceps"	"Augochloropsis_sp1_M_PL_023"	"Caenohalictus_sp1_M_PL_023"	"Caenohalictus_sp2_M_PL_023"	"Carposcalis_saltana"	"Centris_muralis"	"Chalepogenus_caeruleus"	"Diadasia_patagonica"	"Entypus_sp1_M_PL_023"	"Epicauta_sp1_M_PL_023"	"Eriopis_conexa"	"Eristalis_bogotensis"	"Eristalis_tenax"	"Hypodinerus_sp1_M_PL_023"	"Microcerella_sp1_M_PL_023"	"Notiphila_sp1_M_PL_023"	"Ocyptamus_meridionalis"	"Oxybelus_sp1_M_PL_023"	"Prionyx_sp1_M_PL_023"	"Thyridanthrax_sp1_M_PL_023"	"Toxomerus_sp1_M_PL_023"	"Unidentified_sp10_M_PL_023"	"Unidentified_sp11_M_PL_023"	"Unidentified_sp12_M_PL_023"	"Unidentified_sp15_M_PL_023"	"Unidentified_sp17_M_PL_023"	"Unidentified_sp19_M_PL_023"	"Unidentified_sp2_M_PL_023"	"Unidentified_sp20_M_PL_023"	"Unidentified_sp21_M_PL_023"	"Unidentified_sp22_M_PL_023"	"Unidentified_sp23_M_PL_023"	"Unidentified_sp24_M_PL_023"	"Unidentified_sp27_M_PL_023"	"Unidentified_sp28_M_PL_023"	"Unidentified_sp29_M_PL_023"	"Unidentified_sp4_M_PL_023"	"Unidentified_sp5_M_PL_023"	"Unidentified_sp7_M_PL_023"	"Unidentified_sp8_M_PL_023"
"Grindelia_chiloensis"	2.67143906274223	0.816640862397062	0.318724356016236	0.192495663666118	0.162125573651315	0.175025798646903	0.141273749020343	0.140192935020357	0.0596877022225961	0.108021525107617	0.0813168297085652	0.107391247154753	0.0652749816235658	0.0652749816235658	0.0236384168810295	0.0488303688088786	0.0107937976625705	0.0423785017634855	0.0107937976625705	0	0	0	0.0218377433570806	0.290540694412828	0.202048108306465	0.0479724340558691	0.163847034594632	0.148470456136659	0.132114540829192	0.123041181312997	0.128335421115529	0.120164284471889	0.141261672544952	0.129009384882375	0.129462046886739	0.102219207181972	0.0639498679118654	0.0285435982632421	0.0485283185712901	0.096963734002578	0.0995889129754473	0	0.0995889129754473	0.0587474834612091	0.0523266178874677	0.0969637340025781	0.0969637340025781	0.096963734002578	0.0969637340025781	0.0569339185801043	0.102219207181972	0.096963734002578	0.0262491705770484	0.0707145634255297	0.0254292748236619	0	0.0262491705770484	0.0260774473104193	0.0262491705770484	0.0262491705770484	0.0288743495499176	0.0707145634255296	0.0707145634255296	0.0707145634255295	0.0288743495499176	0.0707145634255296	0.0243950489125695	0.0262491705770484	0.0262491705770484	0.0262491705770484	0.0260774473104193	0.0262491705770484	0.0260774473104193	0.0260774473104193	0.0262491705770484	0.0315046437564425	0.0262491705770484	0.0262491705770484	0.0707145634255296	0.0219736659639953	0.0262491705770484	0.0262491705770484	0.0707145634255296	0.0707145634255296	0.0262491705770484	0.0707145634255296	0.0260774473104193	0.0707145634255296	0.0291826032572368	0.0707145634255296	0.0262491705770484	0.0262491705770484	0.0707145634255296	0.0707145634255296	0.0262491705770484
"Discaria_trinervis"	0.991635332910717	3.02223182987105	0.346784331915772	0.105532532905841	0.117471795903432	0.105063529208924	0.144359517322192	0.0651938440651709	0.023883600516983	0.0465021406724846	0.0832550524417457	0.0704882729731673	0.0242300036095831	0.0242300036095831	0.009458740822941	0.0457065974065014	0.00431905973650274	0.0165204710049837	0.00431905973650274	0	0	0	0.0119721781027635	0.271954254568684	0.223871752170707	0.0191958210511233	0.076013350956075	0.177750313175565	0.0685405757316164	0.151765600057571	0.0692910490120932	0.0480828656468067	0.0550682366832792	0.0757689159893799	0.0480561738256732	0.0451606058346546	0.0286192571164088	0.0114215135254184	0.0266048402283633	0.123392336537189	0.0420790505129245	0	0.0420790505129246	0.0218070032486248	0.125516429480522	0.123392336537189	0.123392336537189	0.123392336537189	0.123392336537189	0.0448961483756008	0.0451606058346547	0.123392336537189	0.0971431659601408	0.0262491705770484	0.0259847131179946	0	0.0971431659601408	0.0283732635203814	0.0971431659601408	0.0971431659601408	0.0158298799358761	0.0262491705770484	0.0262491705770484	0.0262491705770484	0.0158298799358762	0.0262491705770484	0.0249765157325237	0.0971431659601408	0.0971431659601408	0.0971431659601408	0.0283732635203814	0.0971431659601409	0.0283732635203814	0.0283732635203814	0.0971431659601409	0.0189114352576062	0.0971431659601408	0.0971431659601409	0.0262491705770484	0.0205679688329256	0.0971431659601409	0.0971431659601408	0.0262491705770484	0.0262491705770484	0.0971431659601407	0.0262491705770484	0.0283732635203814	0.0262491705770484	0.0211449232626178	0.0262491705770484	0.0971431659601408	0.0971431659601408	0.0262491705770484	0.0262491705770484	0.0971431659601408
"Baccharis_pingraea"	0.985148009504729	0.882723753967421	2.25582965385739	0.0971048547565968	0.146549597013542	0.104218300154645	0.188254283703997	0.138713791782195	0.0334388798214484	0.0646481809360894	0.0995388066454433	0.124661097425171	0.0240714898250024	0.0240714898250024	0.0132429654990941	0.0391455277859032	0.00604701620963201	0.0186870828457176	0.00604701620963201	0	0	0	0.0110160969681854	0.232915890326124	0.329144932123741	0.0268756275983645	0.103061432204678	0.27290436266767	0.0898547040004083	0.239018591600951	0.241855931231563	0.0673197144078477	0.0622902761523919	0.248043657308121	0.0477417881529214	0.0448367413382553	0.0506050574318207	0.0159909984210269	0.0244802154848564	0.0544507108308007	0.0406431755239088	0	0.0406431755239088	0.0216643408425022	0.212941144290532	0.0544507108308007	0.0544507108308007	0.0544507108308007	0.0544507108308007	0.0526450650945554	0.0448367413382553	0.0544507108308007	0.0283732635203814	0.0260774473104193	0.0338857710667195	0	0.0283732635203814	0.18456788077015	0.0283732635203814	0.0283732635203814	0.0145657282134895	0.0260774473104193	0.0260774473104193	0.0260774473104193	0.0145657282134895	0.0260774473104193	0.029861641993633	0.0283732635203814	0.0283732635203814	0.0283732635203814	0.18456788077015	0.0283732635203814	0.184567880770151	0.184567880770151	0.0283732635203814	0.018759294027836	0.0283732635203814	0.0283732635203814	0.0260774473104193	0.0176154875036564	0.0283732635203814	0.0283732635203814	0.0260774473104193	0.0260774473104193	0.0283732635203814	0.0260774473104193	0.18456788077015	0.0260774473104193	0.0263789274624376	0.0260774473104193	0.0283732635203814	0.0283732635203814	0.0260774473104193	0.0260774473104193	0.0283732635203814
"Larrea_divaricata"	1.09080876077467	0.492485153560592	0.178025567053761	2.24921327703267	0.148353346505364	0.159668387597548	0.146711623974168	0.0656349200669636	0.0254738377151147	0.0509327881589973	0.108013696848974	0.10589944315731	0.0266532457383855	0.0266532457383855	0.010088530351259	0.0960203940902644	0.00460663486358861	0.0181455558894316	0.00460663486358861	0	0	0	0.255162850755808	0.571321344837074	0.144785761440291	0.0204739327270605	0.0856256453836491	0.0856780500146335	0.0873477848680763	0.0592699576992833	0.058207934778474	0.0512843578795188	0.0604851862981052	0.0752099107106002	0.0528622707144646	0.0576146593174762	0.030047693462766	0.012181989972601	0.567028557235128	0.0447042294857938	0.366256341104819	0	0.366256341104819	0.0239879211645469	0.0303956081493657	0.0447042294857938	0.0447042294857938	0.0447042294857938	0.0447042294857938	0.0551484020829087	0.0576146593174762	0.0447042294857938	0.0158298799358762	0.0288743495499177	0.0264080923153502	0	0.0158298799358762	0.0145657282134895	0.0158298799358762	0.0158298799358762	0.337381991554901	0.0288743495499176	0.0288743495499176	0.0288743495499176	0.337381991554901	0.0288743495499176	0.0324041090546922	0.0158298799358761	0.0158298799358761	0.0158298799358762	0.0145657282134895	0.0158298799358762	0.0145657282134895	0.0145657282134895	0.0158298799358762	0.0287403097675586	0.0158298799358761	0.0158298799358762	0.0288743495499176	0.043209177340619	0.0158298799358762	0.0158298799358761	0.0288743495499176	0.0288743495499176	0.0158298799358761	0.0288743495499176	0.0145657282134895	0.0288743495499176	0.0267036023709655	0.0288743495499176	0.0158298799358761	0.0158298799358762	0.0288743495499176	0.0288743495499176	0.0158298799358761
"Hysterionica_jasionoides"	1.10245390082895	0.657842057059221	0.322409113429793	0.178024015806437	1.59044034569799	0.174322582885077	0.222143817345164	0.187368918883405	0.0416413207495402	0.165272007331107	0.175050635298771	0.208257272610871	0.0269377876220647	0.0269377876220647	0.0164914188802807	0.0999394028237806	0.00753032825583594	0.0323688515574941	0.00753032825583594	0	0	0	0.0201960017931672	0.594639446801496	0.455486793919691	0.0334681255814931	0.407201474430972	0.116692341104422	0.377939047266136	0.0767064539822923	0.0977195374684405	0.0838330062308649	0.107896171858314	0.118038712502936	0.053426612117095	0.0605606681765507	0.0917396089480981	0.0199135347209883	0.044880003984816	0.0503275265198546	0.0558862056282023	0	0.0558862056282023	0.0242440088598582	0.0475238507250554	0.0503275265198546	0.0503275265198546	0.0503275265198546	0.0503275265198546	0.0713639520414434	0.0605606681765507	0.0503275265198546	0.0211449232626178	0.0291826032572368	0.0399858871221296	0	0.0211449232626178	0.0263789274624376	0.0211449232626178	0.0211449232626178	0.0267036023709655	0.0291826032572368	0.0291826032572368	0.0291826032572368	0.0267036023709655	0.0291826032572368	0.0525151905896314	0.0211449232626178	0.0211449232626178	0.0211449232626178	0.0263789274624376	0.0211449232626178	0.0263789274624376	0.0263789274624376	0.0211449232626178	0.0313780649193139	0.0211449232626178	0.0211449232626178	0.0291826032572368	0.0449727312707013	0.0211449232626178	0.0211449232626178	0.0291826032572368	0.0291826032572368	0.0211449232626178	0.0291826032572368	0.0263789274624376	0.0291826032572368	0.286279262225638	0.0291826032572368	0.0211449232626178	0.0211449232626178	0.0291826032572368	0.0291826032572368	0.0211449232626178
"Rosa_rubiginosa"	1.19017543079894	0.588355763569972	0.229280260340218	0.191602065117057	0.174322582885077	1.8857233054933	0.367142058711503	0.073925891328888	0.028098002244595	0.0568414673463613	0.129793477243028	0.11933740801231	0.0290812096213316	0.0290812096213316	0.0111277912509487	0.107416269969889	0.00508118321961129	0.0199549660111031	0.00508118321961129	0	0	0	0.021736368731767	0.639126806320838	0.205577051702178	0.0225830365316057	0.0965684744286646	0.135260943609955	0.0986839310794495	0.0691753730418848	0.0668972633332783	0.0565673699788208	0.0665165533703437	0.0860651601879715	0.0576777324156409	0.370934838745237	0.0336857657529082	0.0134369067363054	0.0483030416261488	0.0504160790140488	0.0602449535240011	0	0.0602449535240011	0.0261730886591984	0.0376707292854422	0.0504160790140488	0.0504160790140488	0.0504160790140488	0.0504160790140488	0.405515765556864	0.370934838745237	0.0504160790140488	0.0189114352576062	0.0315046437564425	0.0660855705680706	0	0.0189114352576062	0.018759294027836	0.0189114352576062	0.0189114352576062	0.0287403097675585	0.0315046437564425	0.0315046437564425	0.0315046437564425	0.0287403097675586	0.0315046437564425	0.0389380431729083	0.0189114352576062	0.0189114352576062	0.0189114352576062	0.018759294027836	0.0189114352576062	0.018759294027836	0.018759294027836	0.0189114352576062	0.339430194988794	0.0189114352576062	0.0189114352576062	0.0315046437564425	0.0483373214864498	0.0189114352576062	0.0189114352576062	0.0315046437564425	0.0315046437564425	0.0189114352576062	0.0315046437564425	0.018759294027836	0.0315046437564425	0.0313780649193139	0.0315046437564425	0.0189114352576062	0.0189114352576062	0.0315046437564425	0.0315046437564425	0.0189114352576062
"Senecio_subulatus"	0.960661493338336	0.808413297004276	0.414159424148793	0.176053948769001	0.222143817345164	0.367142058711503	1.65024607665322	0.074786992656613	0.0246649159260265	0.0541774027303147	0.182836111492483	0.121112570407305	0.0234731767603032	0.0234731767603032	0.00976816904126415	0.104022261148131	0.00446035116039459	0.0171297927298998	0.00446035116039459	0	0	0	0.019972506793122	0.618932453831382	0.477180773375829	0.0198237829350871	0.0984954561126237	0.382344052805954	0.101748933067983	0.0852997590083759	0.0761421192381192	0.0496558229492077	0.0570993090996661	0.0956488170125727	0.0465551339079347	0.0915148453917324	0.0330802941668323	0.0117951508463768	0.04438334842916	0.0514139879416564	0.051837367139012	0	0.051837367139012	0.0211258590842729	0.059870484184714	0.0514139879416564	0.0514139879416564	0.0514139879416564	0.0514139879416564	0.363129864365649	0.0915148453917324	0.0514139879416564	0.0259847131179946	0.0254292748236619	0.29704429379758	0	0.0259847131179946	0.0338857710667194	0.0259847131179946	0.0259847131179946	0.0264080923153502	0.0254292748236618	0.0254292748236618	0.0254292748236618	0.0264080923153502	0.0254292748236618	0.0548508334477448	0.0259847131179945	0.0259847131179945	0.0259847131179946	0.0338857710667194	0.0259847131179946	0.0338857710667195	0.0338857710667195	0.0259847131179946	0.0660855705680705	0.0259847131179946	0.0259847131179946	0.0254292748236618	0.046810017516659	0.0259847131179946	0.0259847131179946	0.0254292748236618	0.0254292748236618	0.0259847131179945	0.0254292748236618	0.0338857710667194	0.0254292748236618	0.0399858871221296	0.0254292748236618	0.0259847131179946	0.0259847131179946	0.0254292748236618	0.0254292748236618	0.0259847131179946
"Opuntia_corrugata"	1.19163994767303	0.456356908456196	0.381462927401036	0.0984523801004454	0.234211148604256	0.09240736416111	0.0934837408207661	1.60960848695309	0.229804728431815	0.406407805790797	0.0576383731518501	0.0731192177139418	0.0291169941965357	0.0291169941965357	0.091010706889744	0.031968284584464	0.0415574004062758	0.0630681173082819	0.0415574004062758	0	0	0	0.0111689674903867	0.190211293277561	0.153699220487297	0.184699557361226	0.557785668430031	0.0942497017929756	0.095637182442529	0.0774226284452377	0.42491592309502	0.462646738473571	0.210227057694273	0.0846897788447567	0.0577487051564624	0.0481767359285801	0.484084251301685	0.109896236629929	0.0248199277564148	0.0462120252942438	0.0463112673946472	0	0.0463112673946472	0.0262052947768821	0.0458792180656574	0.0462120252942438	0.0462120252942438	0.0462120252942438	0.0462120252942438	0.0334603988967377	0.0481767359285801	0.0462120252942438	0.0146686149146634	0.0315434103795804	0.0168270733477379	0	0.0146686149146634	0.0312106031509939	0.0146686149146634	0.0146686149146634	0.0147678570150668	0.0315434103795803	0.0315434103795803	0.0315434103795803	0.0147678570150668	0.0315434103795803	0.017291511945555	0.0146686149146634	0.0146686149146634	0.0146686149146634	0.0312106031509939	0.0146686149146634	0.0312106031509939	0.0312106031509939	0.0146686149146634	0.0166333255489998	0.0146686149146634	0.0146686149146634	0.0315434103795803	0.0143857280630088	0.0146686149146634	0.0146686149146634	0.0315434103795803	0.0315434103795803	0.0146686149146634	0.0315434103795803	0.0312106031509939	0.0315434103795803	0.042158006748766	0.0315434103795803	0.0146686149146634	0.0146686149146634	0.0315434103795803	0.0315434103795803	0.0146686149146634
"Lathyrus_sp1_M_PL_023"	0.676460625189422	0.222913604825175	0.122609226011977	0.0509476754302294	0.0694022012492336	0.0468300037409916	0.0411081932100441	0.306406304575753	1.99635041856688	0.0900813019503606	0.0243323326152149	0.0316090407649168	0.0165289021539497	0.0165289021539497	0.790624562136966	0.0141485865139084	0.361015781797702	0.0184646717473508	0.361015781797702	0	0	0	0.00577977830511006	0.0841840897577549	0.0622946255555427	1.60451458576756	0.126364516006294	0.0425025295461162	0.0398814191211159	0.0351030547683083	0.096879393142758	0.685752854766388	0.0615489058245027	0.0374206868426884	0.0327823226053335	0.0263357113401573	0.0959658091146527	0.954686178531698	0.0128439517891335	0.0250713908218738	0.0255484619813133	0	0.0255484619813133	0.0148760119385547	0.0171967441015294	0.0250713908218738	0.0250713908218738	0.0250713908218737	0.0250713908218738	0.0158288754511864	0.0263357113401573	0.0250713908218737	0.00716508015509491	0.0179063106667789	0.00739947477780794	0	0.00716508015509491	0.0100316639464345	0.00716508015509491	0.00716508015509491	0.00764215131453441	0.0179063106667788	0.0179063106667788	0.0179063106667788	0.00764215131453441	0.0179063106667788	0.00729969978456447	0.00716508015509491	0.00716508015509491	0.00716508015509491	0.0100316639464345	0.00716508015509491	0.0100316639464345	0.0100316639464345	0.00716508015509491	0.00842940067337849	0.00716508015509491	0.00716508015509491	0.0179063106667788	0.00636686393125877	0.00716508015509491	0.00716508015509491	0.0179063106667788	0.0179063106667788	0.00716508015509491	0.0179063106667788	0.0100316639464345	0.0179063106667788	0.012492396224862	0.0179063106667788	0.00716508015509491	0.00716508015509491	0.0179063106667788	0.0179063106667788	0.00716508015509491
"Pyrrhocactus_strausianum"	1.22424395121966	0.434019979609856	0.237043330098994	0.101865576317995	0.275453345551845	0.0947357789106023	0.0902956712171911	0.54187707438773	0.0900813019503607	1.65239134446412	0.0578481516191997	0.0732008765458268	0.0299136531067248	0.0299136531067248	0.0356753449939709	0.0334252559733768	0.0162901118693931	0.217037203097885	0.0162901118693931	0	0	0	0.011556178825991	0.198880273041592	0.148940822519044	0.0724004971973027	0.699627804808092	0.0820047748339517	0.103948322695365	0.0657515540148574	0.173723253550351	0.181353189854633	0.723457343659618	0.07376117477686	0.0593287453283374	0.0494588977361936	0.617639745076475	0.043078295832395	0.0256803973910911	0.0463570997340305	0.0476862939799843	0	0.0476862939799844	0.0269222877960522	0.0333450964825722	0.0463570997340306	0.0463570997340306	0.0463570997340305	0.0463570997340306	0.0333056610230028	0.0494588977361936	0.0463570997340305	0.0139506422017454	0.0324064575322852	0.0162532208190944	0	0.0139506422017454	0.0193944542808268	0.0139506422017454	0.0139506422017454	0.0152798364476992	0.0324064575322851	0.0324064575322851	0.0324064575322851	0.0152798364476992	0.0324064575322851	0.0173544454857599	0.0139506422017454	0.0139506422017454	0.0139506422017454	0.0193944542808268	0.0139506422017454	0.0193944542808268	0.0193944542808268	0.0139506422017454	0.0170524402039084	0.0139506422017454	0.0139506422017454	0.0324064575322851	0.0150413651880196	0.0139506422017454	0.0139506422017454	0.0324064575322851	0.0324064575322851	0.0139506422017454	0.0324064575322851	0.0193944542808268	0.0324064575322851	0.0495816021993321	0.0324064575322851	0.0139506422017454	0.0139506422017454	0.0324064575322851	0.0324064575322851	0.0139506422017454
