"Claytonia_virginica"	"Isopyrum_biternatum"	"Dentaria_laciniata"	"Erythronium_albidum"	"Dicentra_cucullaria"	"Sanguinaria_canadensis"	"Dicentra_canadensis"	"Apis_mellifera"	"Andrena_carlini"	"Andrena_irgeniae"	"Bombus_griseocollis"	"Andrena_forbesii"	"Andrena_mansonii"	"Andrena_rugosa"	"Helophilus_fasciatus"	"Melanostoma_sp1_M_PL_032"	"Metasyrphus_americanus"	"Syrphus_torvus"	"Andrena_cressoni"	"Andrena_miserabilis"	"Eristalis_dimidiatus"	"Syrphus_sp1_M_PL_032"	"Andrena_erythronii"	"Andrena_personata"	"Andrena_sp1_M_PL_032"	"Augochlora_pura"	"Augochlorella_striata"	"Carposcalis_obscura"	"Ceratina_metallica"	"Dialictus_coeruleus"	"Dialictus_imitatus"	"Dialictus_oblongus"	"Dialictus_obscurus"	"Dialictus_zephyrus"	"Erylaeus_macroupinensis"	"Halictus_confusus"	"Lasioglossum_forbesii"	"Mesograpta_marginata"	"Nomada_luteola"	"Xylota_nemorum"
"Claytonia_virginica"	2.76308527504286	1.14497485863844	0.700728190964647	0.353458788739695	0.118351025138018	0.120854459536228	0.0617052966769552	0.377638189740417	0.269995721637006	0.269995721637006	0.27424576300869	0.212663415103535	0.212663415103535	0.216976903326052	0.216976903326052	0.216976903326052	0.214029103583883	0.216976903326052	0.159644596792581	0.159644596792581	0.165453034687322	0.165453034687322	0.0530188183109543	0.0515238686387299	0.108120728153851	0.0515238686387299	0.0515238686387299	0.108120728153851	0.108120728153851	0.108120728153851	0.0515238686387299	0.0515238686387299	0.108120728153851	0.0515238686387299	0.0515238686387299	0.0573323065334711	0.108120728153851	0.108120728153851	0.108120728153851	0.0515238686387299
"Isopyrum_biternatum"	1.31672108743421	2.67921247978409	0.632402526553086	0.368889831257796	0.0986750853861522	0.12559459160488	0.0416622927166354	0.380085284463446	0.279163929817481	0.279163929817481	0.185165745407268	0.227421904917683	0.227421904917683	0.223830455128812	0.223830455128812	0.223830455128812	0.22860599645121	0.223830455128812	0.172088430229014	0.172088430229014	0.103265893538528	0.103265893538528	0.0553334746886694	0.120564561590284	0.0515238686387299	0.120564561590284	0.120564561590284	0.0515238686387299	0.0515238686387299	0.0515238686387299	0.120564561590284	0.120564561590284	0.0515238686387299	0.120564561590284	0.120564561590284	0.051742024899798	0.0515238686387299	0.0515238686387299	0.0515238686387299	0.120564561590284
"Dentaria_laciniata"	1.46515894474426	1.14982277555107	1.9523162472329	0.356570424527144	0.145590389227013	0.113973517018256	0.0797255964362029	0.439098618605404	0.322294860795033	0.322294860795033	0.354335984160902	0.162559895112341	0.162559895112341	0.268809297115961	0.268809297115961	0.268809297115961	0.160362414091484	0.268809297115961	0.109074331433269	0.109074331433269	0.217067272216163	0.217067272216163	0.0534855636790716	0.051742024899798	0.0573323065334711	0.0517420248997979	0.051742024899798	0.0573323065334712	0.0573323065334711	0.0573323065334712	0.0517420248997979	0.0517420248997979	0.0573323065334711	0.0517420248997979	0.0517420248997979	0.159734965682692	0.0573323065334711	0.0573323065334711	0.0573323065334711	0.051742024899798
"Erythronium_albidum"	1.3549253568355	1.22963277085932	0.653712444966431	1.72183648199339	0.126465067809842	0.130481604167658	0.0461041681047051	0.535739331367579	0.420113328977704	0.420113328977704	0.20490741379869	0.366627765298633	0.366627765298632	0.161837856678695	0.161837856678695	0.161837856678695	0.16706901487507	0.161837856678695	0.108352292999624	0.108352292999624	0.106504381990026	0.106504381990026	0.258275472299009	0.0553334746886694	0.0530188183109543	0.0553334746886693	0.0553334746886694	0.0530188183109544	0.0530188183109543	0.0530188183109543	0.0553334746886694	0.0553334746886694	0.0530188183109543	0.0553334746886694	0.0553334746886694	0.0534855636790716	0.0530188183109543	0.0530188183109543	0.0530188183109543	0.0553334746886694
"Dicentra_cucullaria"	1.3610367890872	0.986750853861522	0.800747140748574	0.379395203429526	1.34003483299705	0.19155345700117	0.2036396176118	0.909301435901659	0.220086705402461	0.220086705402461	0.905064967163557	0.154571030250305	0.154571030250305	0.163177424888033	0.163177424888033	0.163177424888032	0.183860805386403	0.163177424888032	0.0976617497358765	0.0976617497358765	0.118773636464264	0.118773636464264	0.0569092805144289	0.0444037884237685	0.053257961312108	0.0444037884237685	0.0444037884237685	0.053257961312108	0.053257961312108	0.053257961312108	0.0444037884237685	0.0444037884237685	0.053257961312108	0.0444037884237685	0.0444037884237685	0.0655156751521561	0.053257961312108	0.053257961312108	0.053257961312108	0.0444037884237685
"Sanguinaria_canadensis"	1.38982628466662	1.2559459160488	0.626854343600407	0.391444812502973	0.19155345700117	1.35340001490119	0.0541330660156864	0.916135939903223	0.220906877547159	0.220906877547159	0.240591404514162	0.169618794888944	0.169618794888944	0.162190155671713	0.162190155671713	0.162190155671713	0.719932079719036	0.162190155671713	0.110902073013498	0.110902073013498	0.105672589449518	0.105672589449518	0.058716721875446	0.0565175662221959	0.0543845067913024	0.0565175662221959	0.0565175662221959	0.0543845067913024	0.0543845067913024	0.0543845067913024	0.0565175662221959	0.0565175662221959	0.0543845067913024	0.0565175662221959	0.0565175662221959	0.0512880826582151	0.0543845067913024	0.0543845067913024	0.0543845067913024	0.0565175662221959
"Dicentra_canadensis"	1.41922182356997	0.833245854332707	0.876981560798232	0.276625008628231	0.407279235223601	0.108266132031373	1.34153828015273	0.438273033805787	0.206277618541049	0.206277618541049	1.51794791178992	0.134524581748466	0.134524581748466	0.164783867246814	0.164783867246814	0.164783867246814	0.141750589868349	0.164783867246814	0.0930308304542316	0.0930308304542316	0.127287803801842	0.127287803801842	0.0414937512942347	0.0374960634449718	0.0555347670092597	0.0374960634449718	0.0374960634449718	0.0555347670092598	0.0555347670092597	0.0555347670092598	0.0374960634449718	0.0374960634449718	0.0555347670092598	0.0374960634449718	0.0374960634449718	0.0717530367925826	0.0555347670092598	0.0555347670092597	0.0555347670092597	0.0374960634449718
"Apis_mellifera"	1.4476130606716	1.26695094821149	0.805014134109907	0.535739331367579	0.303100478633887	0.305378646634408	0.0730455056342978	1.53369981999726	0.259884213626527	0.259884213626527	0.32464669170799	0.194019420835716	0.194019420835716	0.17952331392139	0.17952331392139	0.17952331392139	0.251078912116063	0.17952331392139	0.113658521130579	0.113658521130579	0.122510521251873	0.122510521251873	0.0803608997051368	0.0570127926695169	0.0566457284610625	0.0570127926695168	0.0570127926695169	0.0566457284610626	0.0566457284610625	0.0566457284610625	0.0570127926695168	0.0570127926695168	0.0566457284610625	0.0570127926695168	0.0570127926695168	0.0658647927908106	0.0566457284610625	0.0566457284610625	0.0566457284610625	0.0570127926695168
"Andrena_carlini"	1.55247539941279	1.39581964908741	0.88631086718634	0.630169993466556	0.110043352701231	0.11045343877358	0.0515694046352622	0.38982632043979	1.29060276427612	0.290602764276126	0.229197353934499	0.218086420597243	0.218086420597243	0.196077265256142	0.196077265256142	0.196077265256142	0.173264969025371	0.196077265256142	0.12356092157726	0.12356092157726	0.133265381047209	0.133265381047209	0.0945254990199835	0.0628118842089333	0.0607490373683265	0.0628118842089333	0.0628118842089333	0.0607490373683265	0.0607490373683264	0.0607490373683265	0.0628118842089333	0.0628118842089333	0.0607490373683265	0.0628118842089333	0.0628118842089333	0.0725163436788823	0.0607490373683265	0.0607490373683264	0.0607490373683264	0.0628118842089333
"Andrena_irgeniae"	1.55247539941279	1.39581964908741	0.88631086718634	0.630169993466556	0.110043352701231	0.11045343877358	0.0515694046352622	0.38982632043979	0.290602764276125	1.29060276427613	0.229197353934499	0.218086420597243	0.218086420597243	0.196077265256142	0.196077265256142	0.196077265256142	0.173264969025371	0.196077265256142	0.12356092157726	0.12356092157726	0.133265381047209	0.133265381047209	0.0945254990199834	0.0628118842089333	0.0607490373683265	0.0628118842089332	0.0628118842089333	0.0607490373683265	0.0607490373683264	0.0607490373683265	0.0628118842089333	0.0628118842089333	0.0607490373683264	0.0628118842089333	0.0628118842089333	0.0725163436788824	0.0607490373683265	0.0607490373683264	0.0607490373683264	0.0628118842089333
"Bombus_griseocollis"	1.57691313729997	0.925828727036341	0.97442395644248	0.307361120698034	0.452532483581778	0.120295702257081	0.379486977947481	0.486970037561985	0.229197353934499	0.229197353934499	1.68660879087769	0.149471757498296	0.149471757498296	0.183093185829794	0.183093185829794	0.183093185829793	0.157500655409277	0.183093185829794	0.103367589393591	0.103367589393591	0.141430893113158	0.141430893113158	0.0461041681047052	0.0416622927166354	0.0617052966769553	0.0416622927166353	0.0416622927166354	0.0617052966769553	0.0617052966769552	0.0617052966769553	0.0416622927166353	0.0416622927166353	0.0617052966769553	0.0416622927166353	0.0416622927166353	0.0797255964362029	0.0617052966769553	0.0617052966769553	0.0617052966769553	0.0416622927166354
"Andrena_forbesii"	1.63041951579377	1.51614603278455	0.596052948745249	0.733255530597265	0.103047353500204	0.11307919659263	0.0448415272494887	0.388038841671433	0.290781894129657	0.290781894129657	0.199295676664394	1.24201392559596	0.242013925595955	0.180793564540068	0.180793564540068	0.180793564540068	0.182911234473049	0.180793564540068	0.132025596006366	0.132025596006366	0.112566993064763	0.112566993064763	0.10998832958959	0.068226571475305	0.0637990245310606	0.0682265714753049	0.068226571475305	0.0637990245310606	0.0637990245310606	0.0637990245310606	0.0682265714753049	0.0682265714753049	0.0637990245310606	0.0682265714753049	0.0682265714753049	0.0487679685337022	0.0637990245310606	0.0637990245310606	0.0637990245310606	0.068226571475305
"Andrena_mansonii"	1.63041951579377	1.51614603278455	0.596052948745249	0.733255530597265	0.103047353500204	0.11307919659263	0.0448415272494887	0.388038841671433	0.290781894129658	0.290781894129658	0.199295676664394	0.242013925595955	1.24201392559596	0.180793564540068	0.180793564540068	0.180793564540068	0.182911234473049	0.180793564540068	0.132025596006366	0.132025596006366	0.112566993064763	0.112566993064763	0.10998832958959	0.068226571475305	0.0637990245310606	0.0682265714753049	0.068226571475305	0.0637990245310606	0.0637990245310606	0.0637990245310606	0.068226571475305	0.0682265714753049	0.0637990245310606	0.068226571475305	0.0682265714753049	0.0487679685337022	0.0637990245310606	0.0637990245310606	0.0637990245310606	0.068226571475305
"Andrena_rugosa"	1.6634895921664	1.49220303419208	0.98563408942519	0.32367571335739	0.108784949925355	0.108126770447809	0.0549279557489381	0.35904662784278	0.261436353674856	0.261436353674856	0.244124247773058	0.180793564540068	0.180793564540068	1.21288499667125	0.212884996671247	0.212884996671247	0.180899254237973	0.212884996671247	0.132242207536459	0.132242207536459	0.145735860132604	0.145735860132604	0.0485513570036086	0.0671491365386436	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0650930709978157	0.0650930709978156	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0806427891347883	0.0650930709978156	0.0650930709978156	0.0650930709978156	0.0671491365386435
"Helophilus_fasciatus"	1.6634895921664	1.49220303419208	0.98563408942519	0.32367571335739	0.108784949925355	0.108126770447809	0.054927955748938	0.35904662784278	0.261436353674856	0.261436353674856	0.244124247773058	0.180793564540068	0.180793564540068	0.212884996671247	1.21288499667125	0.212884996671247	0.180899254237973	0.212884996671247	0.132242207536459	0.132242207536459	0.145735860132604	0.145735860132604	0.0485513570036086	0.0671491365386436	0.0650930709978156	0.0671491365386435	0.0671491365386436	0.0650930709978157	0.0650930709978156	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0806427891347883	0.0650930709978156	0.0650930709978156	0.0650930709978156	0.0671491365386435
"Melanostoma_sp1_M_PL_032"	1.6634895921664	1.49220303419208	0.98563408942519	0.32367571335739	0.108784949925355	0.108126770447809	0.0549279557489381	0.35904662784278	0.261436353674856	0.261436353674856	0.244124247773058	0.180793564540068	0.180793564540068	0.212884996671247	0.212884996671247	1.21288499667125	0.180899254237973	0.212884996671247	0.132242207536459	0.132242207536459	0.145735860132604	0.145735860132604	0.0485513570036086	0.0671491365386436	0.0650930709978156	0.0671491365386435	0.0671491365386436	0.0650930709978157	0.0650930709978156	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0806427891347883	0.0650930709978156	0.0650930709978156	0.0650930709978156	0.0671491365386436
"Metasyrphus_americanus"	1.64088979414311	1.5240399763414	0.587995518335442	0.334138029750139	0.122573870257602	0.479954719812691	0.0472501966227831	0.502157824232126	0.231019958700494	0.231019958700494	0.210000873879036	0.182911234473049	0.182911234473049	0.180899254237973	0.180899254237973	0.180899254237973	1.34877015392624	0.180899254237973	0.132790530010528	0.132790530010528	0.11231745530261	0.11231745530261	0.0501207044625209	0.068581798935363	0.064208731075165	0.0685817989353629	0.0685817989353629	0.064208731075165	0.064208731075165	0.064208731075165	0.0685817989353629	0.0685817989353629	0.064208731075165	0.0685817989353629	0.0685817989353629	0.0481087242274453	0.064208731075165	0.064208731075165	0.064208731075165	0.0685817989353629
"Syrphus_torvus"	1.6634895921664	1.49220303419208	0.98563408942519	0.323675713357391	0.108784949925355	0.108126770447809	0.0549279557489381	0.35904662784278	0.261436353674856	0.261436353674856	0.244124247773058	0.180793564540068	0.180793564540068	0.212884996671247	0.212884996671247	0.212884996671247	0.180899254237973	1.21288499667125	0.132242207536459	0.132242207536459	0.145735860132604	0.145735860132604	0.0485513570036086	0.0671491365386436	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0650930709978156	0.0650930709978156	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0650930709978156	0.0671491365386435	0.0671491365386435	0.0806427891347883	0.0650930709978156	0.0650930709978156	0.0650930709978156	0.0671491365386435
"Andrena_cressoni"	1.83591286311468	1.72088430229014	0.59990882288298	0.325056878998871	0.0976617497358765	0.110902073013498	0.0465154152271158	0.340975563391738	0.24712184315452	0.24712184315452	0.206735178787181	0.198038394009548	0.198038394009548	0.198363311304689	0.198363311304689	0.198363311304689	0.199185795015792	0.198363311304689	1.14927986215972	0.149279862159718	0.120923517701633	0.120923517701633	0.0487585318498307	0.0774397936030563	0.0718400685566615	0.0774397936030562	0.0774397936030563	0.0718400685566615	0.0718400685566614	0.0718400685566615	0.0774397936030563	0.0774397936030563	0.0718400685566615	0.0774397936030563	0.0774397936030563	0.0490834491449711	0.0718400685566615	0.0718400685566615	0.0718400685566615	0.0774397936030563
"Andrena_miserabilis"	1.83591286311468	1.72088430229014	0.59990882288298	0.325056878998871	0.0976617497358765	0.110902073013498	0.0465154152271158	0.340975563391738	0.24712184315452	0.247121843154519	0.206735178787181	0.198038394009548	0.198038394009548	0.198363311304689	0.198363311304689	0.198363311304689	0.199185795015792	0.198363311304689	0.149279862159718	1.14927986215972	0.120923517701633	0.120923517701633	0.0487585318498307	0.0774397936030563	0.0718400685566615	0.0774397936030562	0.0774397936030563	0.0718400685566615	0.0718400685566614	0.0718400685566615	0.0774397936030562	0.0774397936030562	0.0718400685566615	0.0774397936030562	0.0774397936030562	0.0490834491449711	0.0718400685566615	0.0718400685566615	0.0718400685566614	0.0774397936030563
"Eristalis_dimidiatus"	1.9027098989042	1.03265893538528	1.1938699971889	0.319513145970078	0.118773636464264	0.105672589449518	0.0636439019009212	0.367531563755619	0.266530762094418	0.266530762094418	0.282861786226317	0.168850489597144	0.168850489597144	0.218603790198906	0.218603790198906	0.218603790198906	0.168476182953915	0.218603790198906	0.120923517701633	0.120923517701633	1.17213413810657	0.172134138106568	0.0479269718955117	0.0464696520923376	0.074453865609295	0.0464696520923375	0.0464696520923375	0.074453865609295	0.074453865609295	0.074453865609295	0.0464696520923375	0.0464696520923375	0.074453865609295	0.0464696520923375	0.0464696520923375	0.0976802724972734	0.074453865609295	0.074453865609295	0.074453865609295	0.0464696520923376
"Syrphus_sp1_M_PL_032"	1.90270989890421	1.03265893538528	1.1938699971889	0.319513145970078	0.118773636464264	0.105672589449518	0.0636439019009212	0.367531563755619	0.266530762094418	0.266530762094418	0.282861786226316	0.168850489597144	0.168850489597144	0.218603790198906	0.218603790198906	0.218603790198906	0.168476182953916	0.218603790198906	0.120923517701633	0.120923517701633	0.172134138106568	1.17213413810657	0.0479269718955117	0.0464696520923376	0.074453865609295	0.0464696520923375	0.0464696520923376	0.074453865609295	0.074453865609295	0.074453865609295	0.0464696520923376	0.0464696520923376	0.074453865609295	0.0464696520923376	0.0464696520923376	0.0976802724972733	0.074453865609295	0.074453865609295	0.074453865609295	0.0464696520923376
"Andrena_erythronii"	1.21943282115195	1.10666949377339	0.588341200469788	1.54965283379405	0.113818561028858	0.117433443750892	0.0414937512942346	0.482165398230821	0.378101996079934	0.378101996079934	0.184416672418821	0.329964988768769	0.329964988768769	0.145654071010826	0.145654071010826	0.145654071010826	0.150362113387563	0.145654071010826	0.0975170636996614	0.0975170636996614	0.0958539437910234	0.0958539437910234	1.23244792506911	0.0498001272198025	0.0477169364798589	0.0498001272198024	0.0498001272198024	0.0477169364798589	0.0477169364798589	0.0477169364798589	0.0498001272198024	0.0498001272198024	0.0477169364798589	0.0498001272198024	0.0498001272198024	0.0481370073111645	0.0477169364798589	0.0477169364798589	0.0477169364798589	0.0498001272198024
"Andrena_personata"	1.18504897869079	2.41129123180568	0.569162273897777	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198025	1.10850810543126	0.0463714817748569	0.108508105431255	0.108508105431256	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
