"Azorina_vidalii"	"Crithmum_maritimum"	"Daucus_carota"	"Leucanthemum_vulgare"	"Lotus_corniculatus"	"Freesia_sp1_M_PL_036"	"Reseada_luteola"	"Silene_vulgaris"	"Solidago_sempervirens"	"Beta_maritima"	"Unidentified_sp1_M_PL_036"	"Unidentified_sp2_M_PL_036"	"Unidentified_sp3_M_PL_036"	"Apis_mellifera"	"Bombus_sp1_M_PL_036"	"Unidentified_sp4_M_PL_036"	"Lucilia_sp1_M_PL_036"	"Calliphora_sp1_M_PL_036"	"Moth_sp1_M_PL_036"	"Unidentified_sp5_M_PL_036"	"Unidentified_sp6_M_PL_036"	"Unidentified_sp7_M_PL_036"
"Azorina_vidalii"	2.38202277942107	0.44903795173095	0.342903588943477	0.344036317566231	0.511561906979533	0.346394083379778	0.286918393823222	0.258705318008892	0.204622807098266	0.136954747785424	0.811670468156454	0.575093073777246	0.608687767935217	0.55055941199918	0.577323472299631	0.577323472299631	0.203904615822507	0.267977562684871	0.0920802631942196	0.103210895269869	0.101033539139464	0.267977562684871
"Crithmum_maritimum"	0.898075903461899	2.13156928466946	0.603013496010604	0.418883950652589	0.207353275537332	0.134169469973148	0.179347770548037	0.309240938480997	0.178426831905636	0.203076973497143	0.707759766559023	0.88720586218905	0.902564326653969	0.24394601854728	0.22361578328858	0.22361578328858	0.66050713785381	0.101033539139464	0.0802920743575363	0.125665185195777	0.479603089050628	0.101033539139464
"Daucus_carota"	0.914409570515937	0.804017994680805	1.69647690629126	0.528829728740428	0.226480385157797	0.140396048408533	0.258072437630737	0.288703646229623	0.289055631733568	0.11671554534815	1.14658733920982	0.951367115995732	0.51873575710289	0.286947789164214	0.233993414014222	0.233993414014222	0.689847120690561	0.102871076683043	0.130075034280105	0.158648918622128	0.180904048803181	0.102871076683043
"Leucanthemum_vulgare"	0.917430180176616	0.558511934203451	0.528829728740428	1.91902518085256	0.230017590361582	0.141547538941105	0.272631108940551	0.284905653826972	0.309514382386678	0.100744596306898	1.22774038346716	0.963232553343543	0.447753761363991	0.294900171401592	0.235912564901841	0.235912564901841	0.284314103817905	0.103210895269869	0.139281472074005	0.575707554255769	0.125665185195777	0.103210895269869
"Lotus_corniculatus"	1.36416508527875	0.276471034049776	0.226480385157797	0.230017590361582	1.83743109725244	0.579203754468159	0.346799795580794	0.171150170089916	0.148861265204216	0.0825777172934073	0.59048301864339	0.352623947410873	0.367012076859588	0.86075780928095	0.965339590780264	0.965339590780264	0.130150098208539	0.15346857209386	0.0669875693418972	0.0690052771084747	0.0622059826611996	0.15346857209386
"Freesia_sp1_M_PL_036"	1.38557633351911	0.268338939946296	0.2105940726128	0.212321308411657	0.868805631702238	1.712207419478	0.234388919368609	0.158987646283121	0.13074068427626	0.0811969391387458	0.518604714295833	0.343128213316154	0.360875285061093	0.521994040747445	1.18701236579667	1.18701236579667	0.123554483271757	0.1558773375209	0.0588333079243172	0.0636963925234971	0.0603762614879166	0.1558773375209
"Reseada_luteola"	1.14767357529289	0.358695541096075	0.387108656446105	0.408946663410827	0.52019969337119	0.234388919368609	1.48339865505955	0.294126799691956	0.332080472364656	0.096538918634985	1.3172525403798	0.448636369924146	0.429061860599933	0.952702580008606	0.390648198947681	0.390648198947681	0.196839093680449	0.12911327722045	0.149436212564095	0.122683999023248	0.0807064967466169	0.12911327722045
"Silene_vulgaris"	1.03482127203557	0.618481876961993	0.433055469344434	0.427358480740457	0.256725255134874	0.158987646283121	0.294126799691956	1.45296220921316	0.330065866958324	0.256573018372958	1.30926127226802	0.513700000445917	1.14032452610203	0.325792029505844	0.264979410471868	0.264979410471868	0.269075063119779	0.116417393104001	0.148529640131246	0.128207544222137	0.139158422316448	0.116417393104001
"Solidago_sempervirens"	0.818491228393063	0.356853663811272	0.433583447600352	0.464271573580017	0.223291897806324	0.13074068427626	0.332080472364656	0.330065866958324	2.08324245182284	0.0905366081237308	1.59686172556395	0.441728843905866	0.402384924994359	0.308504045100212	0.217901140460434	0.217901140460434	0.210367108637642	0.0920802631942196	0.93745910332028	0.139281472074005	0.0802920743575362	0.0920802631942196
"Beta_maritima"	1.09563798228339	0.812307893988572	0.35014663604445	0.302233788920694	0.247733151880222	0.162393878277492	0.19307783726997	0.513146036745915	0.181073216247462	1.40540747307868	0.718257091114931	0.501742676643854	1.80181099146078	0.284464245342435	0.270656463795819	0.270656463795819	0.287813266960764	0.123259273006881	0.0814829473113578	0.0906701366762083	0.182769276147429	0.123259273006881
